Messstelle:                ;Weissenstein, Bl 648
HZB-Nummer:                ;359984
HD-Nummer:                 ;
DBMS-Nummer:               ;2900067
PorenGW-Gebiet:            ;415 Unteres Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Österreichische Draukraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;15.03.2023
 Geländehöhe:              ;503,68
 Messpunkthöhe:            ;504,53
 Sohllage:                 ;497,40
 T-Messtiefe u.GOK:        ;5,15
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  13.01.2015               ;13 42 46                 ;46 41 01
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 13.1.15: 5.18 - 15.3.23: 5.15 - ~~
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.02.2015 00:00:00   ;    10,8 ;     
01.03.2015 00:00:00   ;    10,3 ;     
01.04.2015 00:00:00   ;    10,1 ;     
01.05.2015 00:00:00   ;    10,1 ;     
01.06.2015 00:00:00   ;    10,3 ;     
01.07.2015 00:00:00   ;    10,5 ;     
01.08.2015 00:00:00   ;    10,9 ;     
01.09.2015 00:00:00   ;    11,5 ;     
01.10.2015 00:00:00   ;    12,0 ;     
01.11.2015 00:00:00   ;    12,1 ;     
01.12.2015 00:00:00   ;    11,8 ;     
01.01.2016 00:00:00   ;    11,2 ;     
01.02.2016 00:00:00   ;    10,4 ;     
01.03.2016 00:00:00   ;     9,9 ;     
01.04.2016 00:00:00   ;     9,9 ;     
01.05.2016 00:00:00   ;    10,0 ;     
01.06.2016 00:00:00   ;    10,1 ;     
01.07.2016 00:00:00   ;    10,4 ;     
01.08.2016 00:00:00   ;    10,8 ;     
01.09.2016 00:00:00   ;    11,2 ;     
01.10.2016 00:00:00   ;    11,7 ;     
01.11.2016 00:00:00   ;    12,0 ;     
01.12.2016 00:00:00   ;    11,8 ;     
01.01.2017 00:00:00   ;    11,3 ;     
01.02.2017 00:00:00   ;    10,5 ;     
01.03.2017 00:00:00   ;     9,9 ;     
01.04.2017 00:00:00   ;     9,9 ;     
01.05.2017 00:00:00   ;    10,0 ;     
01.06.2017 00:00:00   ;    10,1 ;     
01.07.2017 00:00:00   ;    10,4 ;     
01.08.2017 00:00:00   ;    10,9 ;     
01.09.2017 00:00:00   ;    11,5 ;     
01.10.2017 00:00:00   ;    11,9 ;     
01.11.2017 00:00:00   ;    12,2 ;     
01.12.2017 00:00:00   ;    11,7 ;     
01.01.2018 00:00:00   ;    11,0 ;     
01.02.2018 00:00:00   ;    10,4 ;     
01.03.2018 00:00:00   ;     9,8 ;     
01.04.2018 00:00:00   ;     9,7 ;     
01.05.2018 00:00:00   ;     9,8 ;     
01.06.2018 00:00:00   ;    10,1 ;     
01.07.2018 00:00:00   ;    10,4 ;     
01.08.2018 00:00:00   ;    10,9 ;     
01.09.2018 00:00:00   ;    11,4 ;     
01.10.2018 00:00:00   ;    11,9 ;     
01.11.2018 00:00:00   ;    12,1 ;     
01.12.2018 00:00:00   ;    12,0 ;     
01.01.2019 00:00:00   ;    11,5 ;     
01.02.2019 00:00:00   ;    10,6 ;     
01.03.2019 00:00:00   ;    10,0 ;     
01.04.2019 00:00:00   ;     9,8 ;     
01.05.2019 00:00:00   ;     9,9 ;     
01.06.2019 00:00:00   ;    10,2 ;     
01.07.2019 00:00:00   ;    10,4 ;     
01.08.2019 00:00:00   ;    10,8 ;     
01.09.2019 00:00:00   ;    11,4 ;     
01.10.2019 00:00:00   ;    11,9 ;     
01.11.2019 00:00:00   ;    12,1 ;     
01.12.2019 00:00:00   ;    11,9 ;     
01.01.2020 00:00:00   ;    11,4 ;     
01.02.2020 00:00:00   ;    10,8 ;     
01.03.2020 00:00:00   ;    10,2 ;     
01.04.2020 00:00:00   ;    10,1 ;     
01.05.2020 00:00:00   ;    10,2 ;     
01.06.2020 00:00:00   ;    10,4 ;     
01.07.2020 00:00:00   ;    10,6 ;     
01.08.2020 00:00:00   ;    11,1 ;     
01.09.2020 00:00:00   ;    11,6 ;     
01.10.2020 00:00:00   ;    12,1 ;     
01.11.2020 00:00:00   ;    12,4 ;     
01.12.2020 00:00:00   ;    11,9 ;     
01.01.2021 00:00:00   ;    11,2 ;     
01.02.2021 00:00:00   ;    10,3 ;     
01.03.2021 00:00:00   ;     9,9 ;     
01.04.2021 00:00:00   ;     9,9 ;     
01.05.2021 00:00:00   ;    10,0 ;     
01.06.2021 00:00:00   ;    10,2 ;     
01.07.2021 00:00:00   ;    10,5 ;     
01.08.2021 00:00:00   ;    10,8 ;     
01.09.2021 00:00:00   ;    11,3 ;     
01.10.2021 00:00:00   ;    11,7 ;     
01.11.2021 00:00:00   ;    12,0 ;     
01.12.2021 00:00:00   ;    11,6 ;     
01.01.2022 00:00:00   ;Lücke        ; 
