Messstelle:                ;Mitterndorf a.d.F., Bl Th1
HZB-Nummer:                ;300830
HD-Nummer:                 ;
DBMS-Nummer:               ;11002119
PorenGW-Gebiet:            ;250 Südliches Wiener Becken
Grundwasserkörper:         ;Südl. Wiener Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;Magistratsabteilung 31
Bundesland:                ;Niederösterreich
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
Höhenangaben [m ü.A.]:     ;gültig seit: ;17.11.2017
 Geländehöhe:              ;186,66
 Messpunkthöhe:            ;187,56
 Sohllage:                 ;182,57
 T-Messtiefe u.GOK:        ;3,60
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  27.09.1965               ;16 28 01                 ;47 59 28
Exportzeitreihe:           ;GWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 17.11.17: 3.6 - ~~
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.12.2017 00:00:00   ;    12,6 ;     
01.01.2018 00:00:00   ;    10,8 ;     
01.02.2018 00:00:00   ;     9,7 ;     
01.03.2018 00:00:00   ;     8,6 ;     
01.04.2018 00:00:00   ;     8,5 ;     
01.05.2018 00:00:00   ;    10,2 ;     
01.06.2018 00:00:00   ;    12,2 ;     
01.07.2018 00:00:00   ;    13,8 ;     
01.08.2018 00:00:00   ;    15,2 ;     
01.09.2018 00:00:00   ;    16,3 ;     
01.10.2018 00:00:00   ;    16,3 ;     
01.11.2018 00:00:00   ;    15,6 ;     
01.12.2018 00:00:00   ;    13,6 ;     
01.01.2019 00:00:00   ;    11,5 ;     
01.02.2019 00:00:00   ;     9,7 ;     
01.03.2019 00:00:00   ;     9,1 ;     
01.04.2019 00:00:00   ;     9,6 ;     
01.05.2019 00:00:00   ;    10,6 ;     
01.06.2019 00:00:00   ;    11,7 ;     
01.07.2019 00:00:00   ;    13,9 ;     
01.08.2019 00:00:00   ;    15,4 ;     
01.09.2019 00:00:00   ;    16,4 ;     
01.10.2019 00:00:00   ;    16,4 ;     
01.11.2019 00:00:00   ;    15,4 ;     
01.12.2019 00:00:00   ;    13,7 ;     
01.01.2020 00:00:00   ;    11,7 ;     
01.02.2020 00:00:00   ;    10,2 ;     
01.03.2020 00:00:00   ;     9,8 ;     
01.04.2020 00:00:00   ;    10,0 ;     
01.05.2020 00:00:00   ;    11,3 ;     
01.06.2020 00:00:00   ;    12,5 ;     
01.07.2020 00:00:00   ;    14,0 ;     
01.08.2020 00:00:00   ;    15,5 ;     
01.09.2020 00:00:00   ;    16,5 ;     
01.10.2020 00:00:00   ;    16,2 ;     
01.11.2020 00:00:00   ;    15,0 ;     
01.12.2020 00:00:00   ;    13,0 ;     
01.01.2021 00:00:00   ;    11,1 ;     
01.02.2021 00:00:00   ;     9,6 ;     
01.03.2021 00:00:00   ;     8,9 ;     
01.04.2021 00:00:00   ;     9,1 ;     
01.05.2021 00:00:00   ;    10,0 ;     
01.06.2021 00:00:00   ;    11,4 ;     
01.07.2021 00:00:00   ;    13,5 ;     
01.08.2021 00:00:00   ;    15,3 ;     
01.09.2021 00:00:00   ;    16,0 ;     
01.10.2021 00:00:00   ;    16,0 ;     
01.11.2021 00:00:00   ;    14,9 ;     
01.12.2021 00:00:00   ;    13,0 ;     
01.01.2022 00:00:00   ;Lücke        ; 
