Messstelle:                ;Ehrwald (Viadukt)
HZB-Nummer:                ;201152
HD-Nummer:                 ;
DBMS-Nummer:               ;7001013
Gewässer:                  ;Loisach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;88,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1951              ;00958,12
   18.07.1978              ;00958,00
   01.01.1998              ;00958,02
   23.01.2007              ;00958,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1951              ;193688,00 - 252321,90
Exportzeitreihe:           ;(7001013,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1980 00:00,01.01.2022 00:00]
Werte:
31.01.1980 12:00:00;  1,16
03.02.1980 06:00:00;  1,32
11.03.1980 11:00:00;  1,37
11.04.1980 06:00:00;  2,04
20.05.1980 14:00:00;  3,84
03.06.1980 21:30:00;  4,20
29.07.1980 16:30:00;  4,42
28.08.1980 18:30:00;  2,31
30.09.1980 23:59:55;  1,76
07.10.1980 21:00:00;  1,59
30.11.1980 17:00:00;  1,46
23.12.1980 13:00:00;  1,31
27.01.1981 14:30:00; 0,920
28.02.1981 08:30:00; 0,726
02.03.1981 12:30:00; 0,692
30.04.1981 17:00:00;  2,47
05.05.1981 02:00:00;  2,47
30.06.1981 23:59:55;  2,43
13.07.1981 12:30:00;  1,99
31.08.1981 22:30:00;  2,11
11.09.1981 00:00:00;  1,68
10.10.1981 17:30:00;  2,33
19.11.1981 11:00:00;  2,06
30.12.1981 15:00:00;  1,26
29.01.1982 03:30:00;  1,14
28.02.1982 21:00:00;  1,02
15.03.1982 09:00:00; 0,886
26.04.1982 07:30:00;  2,24
02.05.1982 13:00:00;  2,15
22.06.1982 13:00:00;  5,02
19.07.1982 14:30:00;  2,85
26.08.1982 14:00:00;  2,50
26.09.1982 18:30:00;  1,57
31.10.1982 18:00:00;  1,32
08.11.1982 09:30:00;  1,01
06.12.1982 13:30:00;  1,00
24.01.1983 14:00:00; 0,749
23.02.1983 02:30:00; 0,848
03.03.1983 01:00:00; 0,893
07.04.1983 10:30:00;  1,53
31.05.1983 12:30:00;  2,74
01.06.1983 10:30:00;  2,87
31.07.1983 17:00:00;  1,72
01.08.1983 12:00:00;  1,67
29.09.1983 20:30:00;  1,94
31.10.1983 13:00:00;  1,26
25.11.1983 23:30:00; 0,835
16.12.1983 11:00:00; 0,926
28.01.1984 08:30:00; 0,982
29.02.1984 08:30:00; 0,715
12.03.1984 06:30:00; 0,755
07.04.1984 10:30:00;  1,33
02.05.1984 13:00:00;  2,81
13.06.1984 15:00:00;  3,71
25.07.1984 14:30:00;  2,19
31.08.1984 12:00:00;  1,81
04.09.1984 17:30:00;  1,64
31.10.1984 08:30:00;  1,37
