Messstelle:                ;Winklern
HZB-Nummer:                ;212373
HD-Nummer:                 ;00066
DBMS-Nummer:               ;2001005
Gewässer:                  ;Möll
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;412,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1907              ;00876,94
   01.01.1920              ;00877,13
   25.10.1930              ;00877,23
   01.01.1954              ;00878,13
   02.06.2003              ;00878,14
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1907              ;415958,59 - 193845,54
   01.01.2014              ;416060,00 - 193873,00
Exportzeitreihe:           ;(2001005,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1951 12:00,01.01.2022 00:00]
Werte:
22.01.1951 12:00:00;  2,00
26.02.1951 12:00:00;  3,00
11.03.1951 12:00:00;  2,80
04.04.1951 12:00:00;  3,40
02.05.1951 12:00:00;  16,3
30.06.1951 12:00:00;  38,9
28.07.1951 12:00:00;  30,1
19.08.1951 12:00:00;  20,4
30.09.1951 12:00:00;  10,2
31.10.1951 12:00:00;  4,76
07.11.1951 12:00:00;  4,52
31.12.1951 12:00:00;  3,00
29.01.1952 12:00:00;  1,88
07.02.1952 12:00:00;  2,00
15.03.1952 12:00:00;  1,76
07.04.1952 12:00:00;  2,48
29.05.1952 12:00:00;  7,90
01.06.1952 12:00:00;  16,3
27.07.1952 12:00:00;  18,3
19.08.1952 12:00:00;  16,8
30.09.1952 12:00:00;  9,42
20.10.1952 12:00:00;  7,30
30.11.1952 12:00:00;  5,84
31.12.1952 12:00:00;  3,60
22.01.1953 12:00:00;  2,48
16.02.1953 12:00:00;  2,32
16.03.1953 12:00:00;  2,32
18.04.1953 12:00:00;  4,04
15.05.1953 12:00:00;  4,76
05.06.1953 12:00:00;  10,6
27.07.1953 12:00:00;  15,8
31.08.1953 12:00:00;  11,0
19.09.1953 12:00:00;  6,40
14.10.1953 12:00:00;  5,84
29.11.1953 12:00:00;  4,76
26.12.1953 12:00:00;  2,80
25.01.1954 12:00:00;  1,88
22.02.1954 12:00:00;  1,64
09.03.1954 12:00:00;  2,00
03.04.1954 12:00:00;  2,80
01.05.1954 12:00:00;  4,52
03.06.1954 12:00:00;  21,0
31.07.1954 12:00:00;  17,8
31.08.1954 12:00:00;  13,8
20.09.1954 12:00:00;  10,2
31.10.1954 12:00:00;  6,70
30.11.1954 12:00:00;  4,28
26.12.1954 12:00:00;  3,20
20.01.1955 12:00:00;  2,32
14.02.1955 12:00:00;  2,00
21.03.1955 12:00:00;  2,32
02.04.1955 12:00:00;  3,80
05.05.1955 12:00:00;  10,6
04.06.1955 12:00:00;  14,8
31.07.1955 12:00:00;  16,8
30.08.1955 12:00:00;  9,80
30.09.1955 12:00:00;  8,28
31.10.1955 12:00:00;  6,12
30.11.1955 12:00:00;  3,80
29.12.1955 12:00:00;  3,00
08.01.1956 12:00:00;  2,00
29.02.1956 12:00:00;  1,88
09.03.1956 12:00:00;  1,76
16.04.1956 12:00:00;  2,32
03.05.1956 12:00:00;  3,40
27.06.1956 12:00:00;  12,0
24.07.1956 12:00:00;  16,0
17.08.1956 12:00:00;  11,1
23.09.1956 12:00:00;  7,60
26.10.1956 12:00:00;  7,00
30.11.1956 12:00:00;  3,80
28.12.1956 12:00:00;  2,64
28.01.1957 12:00:00;  2,16
28.02.1957 12:00:00;  2,16
02.03.1957 12:00:00;  1,40
16.04.1957 12:00:00;  3,60
11.05.1957 12:00:00;  6,70
01.06.1957 12:00:00;  11,0
31.07.1957 12:00:00;  16,5
05.08.1957 12:00:00;  14,2
30.09.1957 12:00:00;  8,80
31.10.1957 12:00:00;  5,34
30.11.1957 12:00:00;  3,86
31.12.1957 12:00:00;  3,01
22.01.1958 12:00:00;  1,83
12.02.1958 12:00:00;  1,97
25.03.1958 12:00:00;  2,11
19.04.1958 12:00:00;  2,44
01.05.1958 12:00:00;  3,86
15.06.1958 12:00:00;  15,6
28.07.1958 12:00:00;  15,6
15.08.1958 12:00:00;  12,0
15.09.1958 12:00:00;  7,10
31.10.1958 12:00:00;  7,10
30.11.1958 12:00:00;  5,60
31.12.1958 12:00:00;  3,86
31.01.1959 12:00:00;  3,00
17.02.1959 12:00:00;  2,64
05.03.1959 12:00:00;  2,80
30.04.1959 12:00:00;  3,80
01.05.1959 12:00:00;  4,04
03.06.1959 12:00:00;  13,4
28.07.1959 12:00:00;  15,6
31.08.1959 12:00:00;  9,94
30.09.1959 12:00:00;  5,90
27.10.1959 12:00:00;  3,42
25.11.1959 12:00:00;  2,82
16.12.1959 12:00:00;  2,25
11.01.1960 12:00:00;  1,97
12.02.1960 12:00:00;  1,55
16.03.1960 12:00:00;  2,11
07.04.1960 12:00:00;  3,86
01.05.1960 12:00:00;  4,30
28.06.1960 12:00:00;  20,6
06.07.1960 12:00:00;  13,3
31.08.1960 12:00:00;  12,8
04.09.1960 12:00:00;  11,5
20.10.1960 12:00:00;  11,5
30.11.1960 12:00:00;  7,10
31.12.1960 12:00:00;  4,82
31.01.1961 12:00:00;  3,20
15.02.1961 12:00:00;  2,82
07.03.1961 12:00:00;  3,42
02.04.1961 12:00:00;  4,82
23.05.1961 12:00:00;  8,80
01.06.1961 12:00:00;  14,2
11.07.1961 12:00:00;  14,6
31.08.1961 12:00:00;  9,94
30.09.1961 12:00:00;  5,90
31.10.1961 12:00:00;  4,56
26.11.1961 12:00:00;  3,20
08.12.1961 12:00:00;  2,25
31.01.1962 12:00:00;  2,00
27.02.1962 12:00:00;  2,48
19.03.1962 12:00:00;  2,00
15.04.1962 12:00:00;  2,00
04.05.1962 12:00:00;  5,84
13.06.1962 12:00:00;  13,3
08.07.1962 12:00:00;  16,5
31.08.1962 12:00:00;  12,0
30.09.1962 12:00:00;  6,70
25.10.1962 12:00:00;  4,04
30.11.1962 12:00:00;  4,04
31.12.1962 12:00:00;  3,20
31.01.1963 12:00:00;  2,00
