Messstelle:                ;Kitzbühel (Bahnhofsbrücke)
HZB-Nummer:                ;201913
HD-Nummer:                 ;
DBMS-Nummer:               ;7001084
Gewässer:                  ;Kitzbüheler Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;153
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1912              ;00736,29
   01.01.1976              ;00735,34
   01.01.1979              ;00735,42
   13.01.2021              ;00735,44
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1912              ;378900,79 - 257655,84
   01.01.1976              ;378880,00 - 257762,00
Exportzeitreihe:           ;(7001084,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[16.01.1951 12:00,01.01.2022 00:00]
Werte:
16.01.1951 12:00:00;  2,86
28.02.1951 12:00:00;  2,40
05.03.1951 12:00:00;  2,27
05.04.1951 12:00:00;  3,47
19.05.1951 12:00:00;  6,98
30.06.1951 12:00:00;  3,64
05.07.1951 12:00:00;  2,14
31.08.1951 12:00:00;  2,40
26.09.1951 12:00:00;  1,66
31.10.1951 12:00:00;  1,15
07.11.1951 12:00:00;  1,22
16.12.1951 12:00:00;  1,76
31.01.1952 12:00:00;  1,29
19.02.1952 12:00:00;  1,22
02.03.1952 12:00:00;  1,48
07.04.1952 12:00:00;  4,95
23.05.1952 12:00:00;  4,00
15.06.1952 12:00:00;  3,64
31.07.1952 12:00:00;  1,88
14.08.1952 12:00:00;  1,66
13.09.1952 12:00:00;  1,48
19.10.1952 12:00:00;  4,00
26.11.1952 12:00:00;  3,64
31.12.1952 12:00:00;  2,40
31.01.1953 12:00:00;  2,08
28.02.1953 12:00:00;  1,28
01.03.1953 12:00:00;  1,64
21.04.1953 12:00:00;  4,88
11.05.1953 12:00:00;  6,39
23.06.1953 12:00:00;  4,09
27.07.1953 12:00:00;  4,09
21.08.1953 12:00:00;  2,68
25.09.1953 12:00:00;  1,78
31.10.1953 12:00:00;  1,78
30.11.1953 12:00:00;  1,07
19.12.1953 12:00:00; 0,860
16.01.1954 12:00:00; 0,920
26.02.1954 12:00:00;  1,07
11.03.1954 12:00:00;  1,07
23.04.1954 12:00:00;  3,72
27.05.1954 12:00:00;  7,56
25.06.1954 12:00:00;  5,50
29.07.1954 12:00:00;  5,50
22.08.1954 12:00:00;  3,19
20.09.1954 12:00:00;  1,78
25.10.1954 12:00:00;  2,38
28.11.1954 12:00:00;  1,38
25.12.1954 12:00:00; 0,680
26.01.1955 12:00:00; 0,680
25.02.1955 12:00:00;  1,07
14.03.1955 12:00:00; 0,960
03.04.1955 12:00:00;  4,28
25.05.1955 12:00:00;  7,49
20.06.1955 12:00:00;  7,49
21.07.1955 12:00:00;  5,34
31.08.1955 12:00:00;  2,84
10.09.1955 12:00:00;  1,88
05.10.1955 12:00:00;  2,68
30.11.1955 12:00:00;  1,60
23.12.1955 12:00:00;  1,46
23.01.1956 12:00:00;  1,21
28.02.1956 12:00:00;  1,00
01.03.1956 12:00:00;  1,32
26.04.1956 12:00:00;  4,91
03.05.1956 12:00:00;  5,34
14.06.1956 12:00:00;  6,97
14.07.1956 12:00:00;  4,50
17.08.1956 12:00:00;  3,70
30.09.1956 12:00:00;  3,42
03.10.1956 12:00:00;  3,60
30.11.1956 12:00:00;  2,40
26.12.1956 12:00:00;  2,72
31.01.1957 12:00:00;  2,40
01.02.1957 12:00:00;  2,40
04.03.1957 12:00:00;  3,79
16.04.1957 12:00:00;  6,73
10.05.1957 12:00:00;  6,97
30.06.1957 12:00:00;  5,60
09.07.1957 12:00:00;  3,79
14.08.1957 12:00:00;  5,39
22.09.1957 12:00:00;  3,04
31.10.1957 12:00:00;  1,85
25.11.1957 12:00:00;  1,38
31.12.1957 12:00:00;  1,25
22.01.1958 12:00:00; 0,550
07.02.1958 12:00:00; 0,930
24.03.1958 12:00:00;  1,36
14.04.1958 12:00:00;  3,92
01.05.1958 12:00:00;  4,88
10.06.1958 12:00:00;  3,04
20.07.1958 12:00:00;  3,74
22.08.1958 12:00:00;  2,72
17.09.1958 12:00:00;  2,25
11.10.1958 12:00:00;  2,41
30.11.1958 12:00:00;  3,74
17.12.1958 12:00:00;  2,25
29.01.1959 12:00:00;  1,71
03.02.1959 12:00:00;  1,85
01.03.1959 12:00:00;  2,72
03.04.1959 12:00:00;  4,11
29.05.1959 12:00:00;  4,55
07.06.1959 12:00:00;  4,55
13.07.1959 12:00:00;  5,30
29.08.1959 12:00:00;  3,45
30.09.1959 12:00:00;  1,81
28.10.1959 12:00:00;  1,15
30.11.1959 12:00:00;  1,25
28.12.1959 12:00:00;  1,15
21.01.1960 12:00:00;  1,02
14.02.1960 12:00:00;  1,02
11.03.1960 12:00:00;  2,88
30.04.1960 12:00:00;  2,58
03.05.1960 12:00:00;  2,30
26.06.1960 12:00:00;  2,10
06.07.1960 12:00:00;  2,78
28.08.1960 12:00:00;  3,78
29.09.1960 12:00:00;  3,29
07.10.1960 12:00:00;  3,14
21.11.1960 12:00:00;  2,41
31.12.1960 12:00:00;  1,35
31.01.1961 12:00:00;  1,35
02.02.1961 12:00:00;  1,45
30.03.1961 12:00:00;  2,73
29.04.1961 12:00:00;  4,18
30.05.1961 12:00:00;  3,61
30.06.1961 12:00:00;  2,54
09.07.1961 12:00:00;  1,88
11.08.1961 12:00:00;  2,05
30.09.1961 12:00:00;  1,24
03.10.1961 12:00:00; 0,900
30.11.1961 12:00:00;  1,13
04.12.1961 12:00:00;  1,13
25.01.1962 12:00:00;  1,42
23.02.1962 12:00:00;  1,42
03.03.1962 12:00:00;  1,54
12.04.1962 12:00:00;  2,72
04.05.1962 12:00:00;  5,70
30.06.1962 12:00:00;  5,10
27.07.1962 12:00:00;  4,34
31.08.1962 12:00:00;  2,86
12.09.1962 12:00:00;  2,05
31.10.1962 12:00:00;  1,32
26.11.1962 12:00:00;  1,02
31.12.1962 12:00:00;  1,02
31.01.1963 12:00:00;  1,02
28.02.1963 12:00:00; 0,650
04.03.1963 12:00:00;  1,02
05.04.1963 12:00:00;  2,68
08.05.1963 12:00:00;  6,07
30.06.1963 12:00:00;  3,96
23.07.1963 12:00:00;  2,41
12.08.1963 12:00:00;  2,00
25.09.1963 12:00:00;  2,98
28.10.1963 12:00:00;  1,24
12.11.1963 12:00:00;  1,01
31.12.1963 12:00:00; 0,550
07.01.1964 12:00:00; 0,550
02.02.1964 12:00:00; 0,920
09.03.1964 12:00:00;  1,01
01.04.1964 12:00:00;  2,24
28.05.1964 12:00:00;  4,13
05.06.1964 12:00:00;  3,14
31.07.1964 12:00:00;  2,54
02.08.1964 12:00:00;  2,27
30.09.1964 12:00:00;  2,83
06.10.1964 12:00:00;  2,14
14.11.1964 12:00:00;  3,61
31.12.1964 12:00:00;  2,68
27.01.1965 12:00:00;  1,65
08.02.1965 12:00:00;  1,42
12.03.1965 12:00:00;  2,00
23.04.1965 12:00:00;  7,36
01.05.1965 12:00:00;  8,14
30.06.1965 12:00:00;  8,40
24.07.1965 12:00:00;  3,98
24.08.1965 12:00:00;  3,25
26.09.1965 12:00:00;  3,42
19.10.1965 12:00:00;  1,68
17.11.1965 12:00:00;  1,82
16.12.1965 12:00:00; 0,450
30.01.1966 12:00:00; 0,450
01.02.1966 12:00:00; 0,450
10.03.1966 12:00:00; 0,680
02.04.1966 12:00:00;  1,28
12.05.1966 12:00:00;  8,05
23.06.1966 12:00:00;  5,94
06.07.1966 12:00:00;  6,61
29.08.1966 12:00:00;  6,49
30.09.1966 12:00:00;  3,30
26.10.1966 12:00:00;  1,60
02.11.1966 12:00:00;  1,46
31.12.1966 12:00:00; 0,820
15.01.1967 12:00:00;  1,02
04.02.1967 12:00:00;  1,36
25.03.1967 12:00:00;  2,57
05.04.1967 12:00:00;  4,91
06.05.1967 12:00:00;  7,74
29.06.1967 12:00:00;  8,26
23.07.1967 12:00:00;  4,70
31.08.1967 12:00:00;  4,91
29.09.1967 12:00:00;  2,68
31.10.1967 12:00:00;  2,38
30.11.1967 12:00:00;  1,22
21.12.1967 12:00:00; 0,820
11.01.1968 12:00:00; 0,820
13.02.1968 12:00:00;  1,02
10.03.1968 12:00:00;  1,46
14.04.1968 12:00:00;  5,77
11.05.1968 12:00:00;  8,22
30.06.1968 12:00:00;  5,00
04.07.1968 12:00:00;  4,60
06.08.1968 12:00:00;  5,84
13.09.1968 12:00:00;  5,00
31.10.1968 12:00:00;  3,56
30.11.1968 12:00:00;  1,80
31.12.1968 12:00:00;  1,48
31.01.1969 12:00:00;  1,48
03.02.1969 12:00:00;  1,42
07.03.1969 12:00:00;  1,60
04.04.1969 12:00:00;  1,60
31.05.1969 12:00:00;  3,50
30.06.1969 12:00:00;  2,70
03.07.1969 12:00:00;  2,70
12.08.1969 12:00:00;  2,10
24.09.1969 12:00:00;  1,89
31.10.1969 12:00:00;  1,24
30.11.1969 12:00:00;  1,16
31.12.1969 12:00:00; 0,960
28.01.1970 12:00:00; 0,960
09.02.1970 12:00:00;  1,09
03.03.1970 12:00:00;  1,58
10.04.1970 12:00:00;  4,20
04.05.1970 12:00:00;  8,60
23.06.1970 12:00:00;  8,22
13.07.1970 12:00:00;  5,00
31.08.1970 12:00:00;  5,42
29.09.1970 12:00:00;  3,56
24.10.1970 12:00:00;  3,18
18.11.1970 12:00:00;  2,86
31.12.1970 12:00:00;  2,00
31.01.1971 12:00:00;  1,60
28.02.1971 12:00:00;  1,36
04.03.1971 12:00:00;  1,10
01.04.1971 12:00:00;  3,86
27.05.1971 12:00:00;  4,22
27.06.1971 12:00:00;  4,80
28.07.1971 12:00:00;  2,58
26.08.1971 12:00:00;  1,60
23.09.1971 12:00:00;  2,00
26.10.1971 12:00:00;  1,80
06.11.1971 12:00:00;  1,36
09.12.1971 12:00:00;  1,48
31.01.1972 12:00:00;  1,30
16.02.1972 12:00:00;  1,18
05.03.1972 12:00:00;  1,26
01.04.1972 12:00:00;  1,54
02.05.1972 12:00:00;  4,20
11.06.1972 12:00:00;  4,20
10.07.1972 12:00:00;  3,88
16.08.1972 12:00:00;  3,50
24.09.1972 12:00:00;  2,22
20.10.1972 12:00:00;  1,70
08.11.1972 12:00:00;  2,46
31.12.1972 12:00:00;  1,70
27.01.1973 12:00:00;  1,08
23.02.1973 12:00:00;  1,08
20.03.1973 12:00:00;  1,20
22.04.1973 12:00:00;  2,86
31.05.1973 12:00:00;  8,72
17.06.1973 12:00:00;  5,20
17.07.1973 12:00:00;  4,80
24.08.1973 12:00:00;  2,46
15.09.1973 12:00:00;  2,22
10.10.1973 12:00:00;  2,58
13.11.1973 12:00:00;  2,70
31.12.1973 12:00:00;  1,90
09.01.1974 12:00:00;  1,90
05.02.1974 12:00:00;  2,10
03.03.1974 12:00:00;  2,46
27.04.1974 12:00:00;  4,04
03.05.1974 12:00:00;  6,30
12.06.1974 12:00:00;  7,40
30.07.1974 12:00:00;  5,40
17.08.1974 12:00:00;  2,61
18.09.1974 12:00:00;  3,02
16.10.1974 12:00:00;  3,86
28.11.1974 12:00:00;  3,86
26.12.1974 12:00:00;  3,68
29.01.1975 12:00:00;  3,20
27.02.1975 12:00:00;  1,50
01.03.1975 12:00:00;  1,89
02.04.1975 12:00:00;  2,33
05.05.1975 12:00:00;  12,4
08.06.1975 12:00:00;  9,18
31.07.1975 12:00:00;  4,79
09.08.1975 12:00:00;  3,03
30.09.1975 12:00:00;  1,60
17.10.1975 12:00:00;  1,40
15.11.1975 12:00:00; 0,700
31.12.1975 12:00:00; 0,440
01.01.1976 01:00:00; 0,392
13.02.1976 06:00:00;  1,32
11.03.1976 06:00:00;  1,34
14.04.1976 17:00:00;  3,18
03.05.1976 14:00:00;  4,57
30.06.1976 23:59:55;  2,67
16.07.1976 23:00:00;  1,67
29.08.1976 18:00:00;  3,34
29.09.1976 15:00:00;  3,57
29.10.1976 18:00:00;  1,95
07.11.1976 11:00:00;  1,76
31.12.1976 11:00:00;  1,69
08.01.1977 22:00:00;  1,57
01.02.1977 00:00:00;  1,60
01.03.1977 08:00:00;  2,58
17.04.1977 04:00:00;  4,35
31.05.1977 23:59:55;  7,74
21.06.1977 13:00:00;  4,37
13.07.1977 11:00:00;  3,57
31.08.1977 23:59:55;  5,44
30.09.1977 23:59:55;  2,65
26.10.1977 08:00:00;  1,84
30.11.1977 10:00:00;  1,77
21.12.1977 11:00:00;  1,78
28.01.1978 10:00:00;  1,46
24.02.1978 18:00:00;  1,24
27.03.1978 14:00:00;  2,65
18.04.1978 08:00:00;  4,62
16.05.1978 14:00:00;  7,93
22.06.1978 17:00:00;  3,76
31.07.1978 23:59:55;  3,99
29.08.1978 18:00:00;  2,07
05.09.1978 01:00:00;  2,22
22.10.1978 19:00:00;  3,08
30.11.1978 14:00:00;  1,28
29.12.1978 19:00:00; 0,886
07.01.1979 08:00:00; 0,840
27.02.1979 09:00:00; 0,913
