Messstelle:                ;Großsierning
HZB-Nummer:                ;207860
HD-Nummer:                 ;no160
DBMS-Nummer:               ;3001026
Gewässer:                  ;Sierningbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;87,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00239,00
   01.01.1977              ;00236,71
   28.06.2010              ;00236,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1900              ;685193,00 - 339553,00
Exportzeitreihe:           ;(3001026,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[18.01.1971 12:00,01.01.2022 00:00]
Werte:
18.01.1971 12:00:00; 0,240
27.02.1971 12:00:00; 0,510
11.03.1971 12:00:00; 0,340
30.04.1971 12:00:00; 0,630
27.05.1971 12:00:00; 0,340
29.06.1971 12:00:00; 0,410
31.07.1971 12:00:00; 0,310
26.08.1971 12:00:00; 0,220
28.09.1971 12:00:00; 0,170
31.10.1971 12:00:00; 0,130
01.11.1971 12:00:00; 0,130
31.12.1971 12:00:00; 0,170
17.01.1972 12:00:00; 0,110
09.02.1972 12:00:00; 0,120
31.03.1972 12:00:00; 0,270
01.04.1972 12:00:00; 0,270
30.05.1972 12:00:00; 0,390
29.06.1972 12:00:00; 0,220
10.07.1972 12:00:00; 0,200
31.08.1972 12:00:00; 0,390
30.09.1972 12:00:00; 0,250
31.10.1972 12:00:00; 0,200
30.11.1972 12:00:00; 0,200
31.12.1972 12:00:00; 0,150
25.01.1973 12:00:00; 0,130
20.02.1973 12:00:00; 0,290
01.03.1973 12:00:00; 0,410
13.04.1973 12:00:00; 0,440
31.05.1973 12:00:00; 0,350
17.06.1973 12:00:00; 0,220
26.07.1973 12:00:00; 0,180
28.08.1973 12:00:00; 0,090
10.09.1973 12:00:00; 0,080
15.10.1973 12:00:00; 0,110
14.11.1973 12:00:00; 0,110
01.12.1973 12:00:00; 0,200
07.01.1974 12:00:00; 0,350
28.02.1974 12:00:00; 0,490
31.03.1974 12:00:00; 0,270
30.04.1974 12:00:00; 0,180
04.05.1974 12:00:00; 0,180
10.06.1974 12:00:00; 0,270
31.07.1974 12:00:00; 0,490
26.08.1974 12:00:00; 0,220
30.09.1974 12:00:00; 0,150
12.10.1974 12:00:00; 0,150
23.11.1974 12:00:00; 0,170
06.12.1974 12:00:00; 0,350
27.01.1975 12:00:00; 0,390
18.02.1975 12:00:00; 0,300
28.03.1975 12:00:00; 0,250
30.04.1975 12:00:00; 0,220
31.05.1975 12:00:00; 0,200
08.06.1975 12:00:00; 0,200
31.07.1975 12:00:00; 0,850
24.08.1975 12:00:00; 0,490
30.09.1975 12:00:00; 0,350
16.10.1975 12:00:00; 0,200
11.11.1975 12:00:00; 0,270
19.12.1975 12:00:00; 0,200
01.01.1976 00:00:00; Lücke
24.01.1977 11:00:00; 0,368
04.02.1977 07:00:00; 0,800
27.03.1977 13:00:00; 0,633
05.04.1977 15:00:00; 0,821
30.05.1977 07:00:00; 0,348
30.06.1977 03:00:00; 0,192
30.07.1977 17:00:00; 0,141
31.08.1977 23:59:55; 0,146
02.09.1977 09:00:00; 0,141
07.10.1977 00:00:00; 0,137
30.11.1977 23:59:55; 0,160
05.12.1977 05:00:00; 0,130
19.01.1978 15:00:00; 0,179
19.02.1978 09:00:00; 0,147
20.03.1978 15:00:00; 0,332
10.04.1978 04:55:25; 0,249
25.05.1978 16:00:00; 0,222
24.06.1978 10:00:00; 0,143
31.07.1978 23:59:55; 0,098
03.08.1978 00:00:00; 0,092
23.09.1978 05:00:00; 0,065
12.10.1978 23:00:00; 0,061
30.11.1978 08:00:00; 0,063
05.12.1978 04:00:00; 0,056
01.01.1979 20:00:00; 0,087
