Messstelle:                ;Scharnitz (Weidach)
HZB-Nummer:                ;201095
HD-Nummer:                 ;
DBMS-Nummer:               ;7001008
Gewässer:                  ;Isar
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;203,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   02.05.1978              ;00956,97
   18.10.2006              ;00956,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;220286,00 - 250511,00
   13.12.2006              ;220291,00 - 250505,00
Exportzeitreihe:           ;(7001008,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1979 01:00,01.01.2022 00:00]
Werte:
31.01.1979 23:59:55;  2,69
28.02.1979 10:00:00;  2,53
03.03.1979 17:00:00;  2,52
08.04.1979 04:00:00;  2,28
06.05.1979 14:00:00;  4,14
11.06.1979 14:00:00;  15,1
31.07.1979 23:59:55;  10,5
31.08.1979 23:59:55;  9,07
19.09.1979 12:00:00;  6,66
30.10.1979 01:00:00;  4,76
26.11.1979 15:00:00;  4,08
30.12.1979 19:00:00;  4,51
31.01.1980 14:00:00;  2,95
25.02.1980 14:00:00;  2,84
01.03.1980 00:00:00;  3,06
12.04.1980 15:00:00;  3,83
01.05.1980 12:00:00;  6,22
30.06.1980 18:00:00;  10,3
03.07.1980 07:00:00;  9,49
27.08.1980 15:00:00;  8,15
30.09.1980 23:59:55;  5,96
11.10.1980 18:00:00;  5,32
30.11.1980 23:59:55;  4,40
18.12.1980 09:00:00;  3,32
21.01.1981 01:00:00;  2,70
28.02.1981 23:59:55;  2,48
01.03.1981 00:00:00;  2,48
30.04.1981 23:59:55;  9,83
07.05.1981 14:00:00;  9,02
27.06.1981 06:00:00;  11,3
15.07.1981 15:00:00;  9,51
30.08.1981 15:00:00;  8,38
28.09.1981 06:00:00;  7,14
10.10.1981 04:00:00;  7,53
30.11.1981 23:59:55;  6,30
30.12.1981 17:00:00;  4,43
26.01.1982 23:00:00;  3,08
28.02.1982 23:59:55;  2,80
24.03.1982 02:00:00;  2,40
01.04.1982 05:00:00;  5,10
02.05.1982 09:00:00;  5,39
22.06.1982 15:00:00;  16,4
31.07.1982 17:00:00;  10,9
31.08.1982 12:00:00;  7,82
30.09.1982 09:00:00;  5,61
31.10.1982 07:00:00;  4,02
30.11.1982 09:00:00;  3,26
31.12.1982 14:00:00;  2,86
25.01.1983 12:00:00;  2,57
25.02.1983 15:00:00;  2,61
07.03.1983 12:00:00;  2,48
05.04.1983 02:00:00;  4,28
31.05.1983 14:00:00;  9,26
01.06.1983 13:00:00;  9,30
29.07.1983 11:00:00;  8,83
31.08.1983 23:59:55;  7,36
30.09.1983 23:59:55;  6,73
31.10.1983 12:00:00;  5,02
26.11.1983 22:00:00;  4,11
18.12.1983 11:00:00;  3,61
27.01.1984 11:30:00;  3,04
27.02.1984 17:30:00;  2,50
15.03.1984 16:30:00;  2,29
09.04.1984 15:30:00;  3,23
01.05.1984 08:30:00;  6,18
13.06.1984 13:00:00;  10,1
24.07.1984 13:00:00;  9,47
24.08.1984 11:30:00;  7,09
03.09.1984 17:30:00;  7,06
31.10.1984 09:30:00;  5,52
29.11.1984 09:30:00;  4,34
31.12.1984 19:30:00;  3,61
30.01.1985 00:00:00;  2,89
23.02.1985 20:45:00;  2,74
21.03.1985 15:00:00;  2,50
01.04.1985 00:30:00;  2,94
01.05.1985 00:00:00;  4,94
20.06.1985 00:45:00;  8,63
29.07.1985 17:00:00;  7,79
03.08.1985 20:15:00;  8,18
30.09.1985 23:59:55;  5,97
31.10.1985 16:15:00;  4,61
30.11.1985 23:59:55;  3,75
30.12.1985 11:15:00;  3,17
31.01.1986 23:59:55;  2,46
20.02.1986 06:00:00;  2,38
03.03.1986 04:30:00;  2,59
21.04.1986 13:45:00;  4,37
12.05.1986 16:00:00;  9,42
30.06.1986 19:00:00;  9,25
31.07.1986 14:00:00;  7,13
08.08.1986 18:45:00;  6,22
30.09.1986 23:59:55;  4,64
31.10.1986 13:00:00;  3,58
28.11.1986 02:45:00;  3,20
30.12.1986 20:30:00;  2,38
31.01.1987 23:59:55;  2,23
09.02.1987 00:00:00;  2,20
25.03.1987 05:15:00;  2,02
02.04.1987 15:15:00;  2,69
24.05.1987 15:45:00;  8,96
02.06.1987 14:45:00;  10,6
24.07.1987 11:45:00;  12,7
31.08.1987 23:59:55;  7,90
26.09.1987 16:15:00;  4,88
31.10.1987 23:59:55;  3,49
10.11.1987 06:15:00;  3,28
17.12.1987 18:30:00;  2,83
16.01.1988 00:15:00;  3,75
16.02.1988 00:15:00;  2,69
05.03.1988 20:15:00;  2,45
01.04.1988 00:15:00;  3,20
01.05.1988 06:45:00;  11,2
28.06.1988 10:00:00;  13,0
28.07.1988 06:30:00;  9,47
11.08.1988 13:30:00;  7,44
26.09.1988 16:30:00;  6,32
25.10.1988 11:45:00;  4,64
08.11.1988 00:00:00;  3,75
31.12.1988 23:59:55;  3,75
25.01.1989 00:00:00;  3,20
18.02.1989 17:45:00;  3,10
03.03.1989 17:00:00;  3,81
30.04.1989 23:59:55;  5,94
04.05.1989 13:00:00;  5,49
18.06.1989 13:30:00;  9,00
31.07.1989 02:30:00;  10,5
27.08.1989 12:15:00;  7,17
25.09.1989 17:45:00;  5,97
29.10.1989 07:30:00;  5,56
30.11.1989 23:59:55;  3,49
31.12.1989 23:59:55;  2,98
31.01.1990 23:59:55;  2,29
04.02.1990 00:00:00;  2,28
07.03.1990 17:00:00;  3,98
13.04.1990 12:45:00;  4,25
01.05.1990 11:00:00;  4,99
02.06.1990 14:00:00;  7,44
31.07.1990 12:00:00;  7,98
31.08.1990 23:59:55;  5,62
30.09.1990 23:59:55;  4,64
29.10.1990 05:15:00;  3,52
30.11.1990 23:59:55;  3,23
31.12.1990 23:45:00;  2,50
16.01.1991 01:00:00;  2,28
27.02.1991 11:00:00;  2,03
01.03.1991 00:00:00;  2,07
27.04.1991 19:00:00;  2,48
01.05.1991 00:00:00;  2,52
01.06.1991 11:45:00;  9,64
24.07.1991 06:30:00;  9,59
31.08.1991 23:59:55;  5,95
27.09.1991 00:00:00;  3,87
31.10.1991 23:59:55;  3,20
30.11.1991 23:59:55;  2,94
21.12.1991 00:00:00;  2,54
31.01.1992 23:59:55;  2,22
24.02.1992 17:15:00;  1,98
01.03.1992 00:00:00;  2,19
02.04.1992 18:30:00;  3,36
01.05.1992 05:45:00;  11,7
30.06.1992 00:45:00;  11,1
31.07.1992 18:30:00;  8,35
31.08.1992 22:00:00;  5,85
29.09.1992 13:45:00;  5,16
19.10.1992 10:45:00;  4,25
18.11.1992 13:45:00;  4,63
31.12.1992 23:59:55;  3,75
12.01.1993 16:45:00;  3,44
28.02.1993 23:59:55;  2,94
07.03.1993 10:15:00;  2,17
01.04.1993 14:15:00;  4,13
08.05.1993 07:45:00;  12,0
15.06.1993 16:45:00;  9,98
10.07.1993 23:00:00;  9,51
22.08.1993 20:30:00;  7,17
30.09.1993 23:59:55;  7,06
31.10.1993 23:59:55;  4,96
30.11.1993 23:59:55;  3,75
16.12.1993 00:00:00;  3,47
21.01.1994 09:00:00;  3,15
24.02.1994 00:00:00;  2,47
01.03.1994 13:15:00;  2,84
10.04.1994 14:30:00;  5,78
01.05.1994 07:00:00;  10,8
17.06.1994 19:15:00;  11,3
31.07.1994 14:30:00;  6,65
17.08.1994 11:15:00;  5,39
30.09.1994 23:59:55;  5,29
28.10.1994 11:15:00;  3,89
07.11.1994 10:30:00;  3,67
28.12.1994 04:00:00;  3,58
31.01.1995 23:59:55;  2,93
04.02.1995 00:00:00;  2,86
11.03.1995 15:15:00;  2,67
01.04.1995 03:00:00;  3,44
23.05.1995 11:45:00;  11,4
26.06.1995 03:00:00;  15,8
31.07.1995 23:59:55;  10,3
24.08.1995 23:00:00;  7,67
30.09.1995 16:00:00;  8,31
30.10.1995 22:00:00;  5,36
30.11.1995 17:45:00;  4,38
31.12.1995 23:59:55;  3,08
31.01.1996 23:59:55;  2,38
29.02.1996 23:59:55;  1,96
05.03.1996 00:00:00;  1,94
04.04.1996 15:00:00;  2,35
07.05.1996 15:00:00;  5,24
21.06.1996 19:45:00;  6,82
31.07.1996 07:45:00;  6,82
11.08.1996 09:45:00;  6,36
12.09.1996 18:00:00;  7,61
16.10.1996 00:00:00;  7,00
30.11.1996 23:59:55;  5,72
31.12.1996 23:59:55;  3,68
31.01.1997 23:59:55;  3,10
24.02.1997 00:00:00;  2,46
01.03.1997 00:00:00;  2,86
01.04.1997 00:00:00;  3,98
02.05.1997 08:00:00;  9,29
03.06.1997 16:00:00;  11,6
04.07.1997 14:15:00;  12,8
26.08.1997 06:30:00;  7,22
30.09.1997 23:00:00;  5,40
10.10.1997 04:45:00;  4,82
28.11.1997 03:45:00;  3,98
31.12.1997 12:15:00;  3,57
31.01.1998 05:30:00;  2,05
06.02.1998 04:45:00;  1,92
03.03.1998 07:30:00;  2,38
20.04.1998 08:00:00;  4,98
26.05.1998 10:30:00;  8,41
02.06.1998 16:00:00;  9,39
31.07.1998 22:45:00;  8,65
22.08.1998 00:45:00;  6,54
02.09.1998 21:15:00;  6,54
28.10.1998 06:45:00;  6,99
30.11.1998 23:59:55;  4,25
09.12.1998 09:15:00;  2,91
30.01.1999 17:30:00;  3,56
12.02.1999 00:00:00;  3,44
01.03.1999 11:00:00;  3,56
01.04.1999 13:15:00;  7,43
01.05.1999 11:30:00;  19,0
26.06.1999 14:45:00;  16,0
31.07.1999 23:59:55;  12,2
31.08.1999 23:59:55;  8,51
28.09.1999 09:15:00;  5,48
31.10.1999 23:59:55;  3,90
23.11.1999 12:00:00;  2,63
31.12.1999 23:59:55;  2,60
15.01.2000 16:30:00;  2,19
24.02.2000 13:00:00;  2,37
07.03.2000 00:15:00;  2,37
02.04.2000 19:30:00;  4,92
24.05.2000 11:30:00;  17,7
30.06.2000 23:59:55;  14,0
24.07.2000 20:30:00;  12,4
30.08.2000 20:30:00;  7,50
20.09.2000 03:45:00;  6,31
30.10.2000 12:00:00;  6,74
30.11.2000 23:59:55;  4,63
31.12.2000 23:59:55;  2,81
31.01.2001 05:00:00;  1,92
04.02.2001 06:15:00;  1,79
01.03.2001 00:00:00;  1,91
23.04.2001 06:45:00;  4,78
01.05.2001 10:30:00;  12,1
08.06.2001 12:00:00;  10,5
19.07.2001 21:30:00;  8,85
30.08.2001 21:15:00;  6,48
04.09.2001 06:30:00;  9,56
31.10.2001 21:45:00;  5,18
26.11.2001 02:45:00;  3,62
29.12.2001 12:44:10;  3,22
27.01.2002 13:54:40;  2,85
25.02.2002 11:05:45;  3,12
06.03.2002 10:27:40;  3,16
21.04.2002 09:30:00;  4,98
01.05.2002 13:00:00;  9,54
27.06.2002 18:00:00;  9,54
25.07.2002 05:45:00;  7,50
01.08.2002 21:45:00;  8,55
19.09.2002 08:15:00;  7,13
31.10.2002 23:59:55;  6,19
02.11.2002 12:00:00;  6,14
20.12.2002 19:30:00;  5,07
31.01.2003 23:59:55;  3,16
28.02.2003 23:59:55;  3,06
17.03.2003 16:45:00;  3,03
10.04.2003 09:45:00;  4,11
18.05.2003 21:30:00;  9,39
30.06.2003 23:59:55;  7,82
16.07.2003 18:00:00;  6,28
28.08.2003 18:30:00;  4,24
09.09.2003 21:45:00;  4,21
03.10.2003 13:45:00;  4,64
30.11.2003 23:59:55;  3,67
31.12.2003 23:59:55;  1,96
10.01.2004 18:02:15;  1,71
20.02.2004 19:30:00;  2,49
10.03.2004 13:30:00;  2,30
15.04.2004 14:00:00;  5,18
15.05.2004 07:00:00;  8,38
01.06.2004 12:00:00;  10,4
31.07.2004 23:59:55;  8,48
14.08.2004 20:00:00;  6,49
23.09.2004 04:00:00;  6,78
31.10.2004 23:59:55;  5,61
30.11.2004 23:59:55;  3,65
31.12.2004 23:59:55;  2,79
31.01.2005 23:59:55;  2,33
28.02.2005 23:59:55;  1,99
13.03.2005 09:45:00;  1,89
12.04.2005 04:30:00;  6,23
14.05.2005 12:15:00;  9,61
30.06.2005 23:59:55;  9,33
31.07.2005 23:59:55;  8,87
13.08.2005 18:15:00;  7,41
27.09.2005 04:45:00;  5,70
