Messstelle:                ;Woppendorf
HZB-Nummer:                ;210237
HD-Nummer:                 ;
DBMS-Nummer:               ;1001021
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;416,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00242,00
   01.01.1984              ;00242,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1939              ;754550,00 - 229400,00
   03.02.2012              ;754510,00 - 229404,00
   05.10.2018              ;754500,17 - 229420,08
Exportzeitreihe:           ;(1001021,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[26.01.1951 12:00,01.01.2022 00:00]
Werte:
26.01.1951 12:00:00;  1,22
04.02.1951 12:00:00;  2,76
28.03.1951 12:00:00;  1,22
30.04.1951 12:00:00;  1,22
10.05.1951 12:00:00;  1,41
28.06.1951 12:00:00;  2,18
16.07.1951 12:00:00;  1,41
14.08.1951 12:00:00; 0,350
24.09.1951 12:00:00; 0,250
12.10.1951 12:00:00; 0,350
02.11.1951 12:00:00; 0,730
30.12.1951 12:00:00;  1,05
30.01.1952 12:00:00; 0,350
01.02.1952 12:00:00; 0,800
11.03.1952 12:00:00;  1,41
19.04.1952 12:00:00;  1,05
25.05.1952 12:00:00; 0,730
09.06.1952 12:00:00; 0,730
30.07.1952 12:00:00; 0,320
31.08.1952 12:00:00; 0,250
04.09.1952 12:00:00; 0,320
19.10.1952 12:00:00; 0,760
14.11.1952 12:00:00; 0,760
06.12.1952 12:00:00; 0,400
25.01.1953 12:00:00; 0,730
15.02.1953 12:00:00;  1,05
13.03.1953 12:00:00; 0,590
20.04.1953 12:00:00; 0,590
22.05.1953 12:00:00; 0,350
01.06.1953 12:00:00; 0,730
27.07.1953 12:00:00;  1,05
