Messstelle:                ;Angern an der March
HZB-Nummer:                ;207324
HD-Nummer:                 ;
DBMS-Nummer:               ;10001014
Gewässer:                  ;March
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;25623,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1891              ;00141,88
   01.11.1939              ;00140,88
   01.01.1976              ;00139,88
   01.01.2001              ;00139,74
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1891              ;787200,00 - 360700,00
   01.01.2010              ;787163,00 - 360652,00
Exportzeitreihe:           ;(10001014,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1977 00:00,01.01.2022 00:00]
Werte:
12.01.1977 12:00:00;  61,5
08.02.1977 12:00:00;   172
30.03.1977 12:00:00;   208
30.04.1977 12:00:00;   168
31.05.1977 12:00:00;  75,9
27.06.1977 12:00:00;  46,2
30.07.1977 12:00:00;  37,1
01.08.1977 00:00:00;  42,9
17.09.1977 12:00:00;  63,4
27.10.1977 12:00:00;  53,0
01.11.1977 00:00:00;  60,3
15.12.1977 12:00:00;  56,6
25.01.1978 12:00:00;  54,2
22.02.1978 12:00:00;  49,6
31.03.1978 12:00:00;   147
13.04.1978 12:00:00;  92,2
30.05.1978 12:00:00;  91,5
23.06.1978 12:00:00;  54,2
30.07.1978 12:00:00;  29,8
26.08.1978 12:00:00;  29,4
12.09.1978 12:00:00;  29,8
18.10.1978 12:00:00;  43,4
27.11.1978 12:00:00;  39,2
10.12.1978 02:00:00;  37,1
23.01.1979 12:00:00;  56,6
13.02.1979 12:00:00;  55,6
01.03.1979 12:00:00;  62,7
25.04.1979 12:00:00;   137
31.05.1979 12:00:00;  58,4
05.06.1979 12:00:00;  44,5
27.07.1979 12:00:00;  40,8
23.08.1979 12:00:00;  37,1
23.09.1979 12:00:00;  33,2
19.10.1979 12:00:00;  42,4
14.11.1979 12:00:00;  43,4
10.12.1979 12:00:00;  93,7
30.01.1980 12:00:00;  65,3
01.02.1980 00:00:00;  68,6
15.03.1980 12:00:00;  71,9
04.04.1980 12:00:00;   155
28.05.1980 12:00:00;  70,5
19.06.1980 12:00:00;  50,7
04.07.1980 12:00:00;  60,9
31.08.1980 12:00:00;  56,6
10.09.1980 12:00:00;  54,8
08.10.1980 12:00:00;  50,1
15.11.1980 12:00:00;  70,5
12.12.1980 12:00:00;  56,6
30.01.1981 12:00:00;  62,1
02.02.1981 12:00:00;  62,1
04.03.1981 12:00:00;   101
27.04.1981 12:00:00;  68,3
29.05.1981 12:00:00;  60,9
16.06.1981 02:00:00;  47,8
16.07.1981 12:00:00;  31,4
21.08.1981 12:00:00;  37,1
09.09.1981 12:00:00;  38,2
11.10.1981 12:00:00;  66,6
19.11.1981 12:00:00;   103
30.12.1981 12:00:00;   127
29.01.1982 12:00:00;   132
25.02.1982 12:00:00;  88,5
02.03.1982 12:00:00;  96,6
27.04.1982 12:00:00;   113
29.05.1982 12:00:00;  82,8
13.06.1982 12:00:00;  50,1
12.07.1982 12:00:00;  55,4
31.08.1982 12:00:00;  44,5
