Messstelle:                ;Bad Schallerbach
HZB-Nummer:                ;205021
HD-Nummer:                 ;3690
DBMS-Nummer:               ;4001051
Gewässer:                  ;Trattnach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;184
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1935              ;00301,19
   01.01.2003              ;00300,62
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1935              ;493510,00 - 343515,00
   03.03.2020              ;493661,26 - 343298,17
   31.03.2020              ;493661,26 - 343298,17
Exportzeitreihe:           ;(4001051,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
01.01.1976 11:00:00;  1,07
22.02.1976 16:30:00;  1,84
10.03.1976 13:30:00;  1,25
12.04.1976 15:00:00;  1,12
18.05.1976 17:00:00; 0,509
29.06.1976 09:30:00; 0,564
16.07.1976 17:00:00; 0,257
10.08.1976 13:00:00; 0,412
28.09.1976 17:00:00; 0,524
15.10.1976 02:30:00; 0,691
08.11.1976 13:30:00; 0,532
30.12.1976 00:00:05;  1,05
25.01.1977 08:00:00; 0,614
03.02.1977 08:30:00;  1,37
27.03.1977 03:00:00;  1,43
06.04.1977 09:30:00;  1,54
29.05.1977 00:00:00;  1,05
07.06.1977 01:30:00; 0,867
27.07.1977 14:00:00; 0,609
17.08.1977 20:30:00; 0,364
27.09.1977 21:00:00;  1,16
09.10.1977 16:30:00;  1,02
01.11.1977 06:30:00;  1,02
05.12.1977 06:00:00;  1,34
16.01.1978 15:30:00; 0,752
21.02.1978 07:00:00;  1,05
18.03.1978 19:00:00;  2,02
26.04.1978 00:30:00;  1,53
30.05.1978 11:30:00;  1,01
22.06.1978 02:00:00; 0,533
29.07.1978 04:00:00; 0,438
06.08.1978 19:00:00; 0,422
22.09.1978 12:00:00; 0,679
20.10.1978 13:30:00; 0,927
23.11.1978 02:00:00; 0,652
04.12.1978 19:00:00; 0,583
25.01.1979 13:00:00;  1,19
01.02.1979 15:00:00;  1,32
02.03.1979 07:30:00;  1,90
27.04.1979 05:30:00;  2,61
31.05.1979 23:59:55;  1,53
13.06.1979 02:00:00;  1,05
27.07.1979 22:30:00;  1,15
22.08.1979 05:00:00; 0,866
03.09.1979 08:00:00; 0,673
31.10.1979 23:00:00; 0,673
03.11.1979 06:30:00; 0,656
31.12.1979 23:59:55;  1,32
28.01.1980 04:00:00; 0,492
27.02.1980 20:30:00;  1,43
05.03.1980 01:30:00;  1,06
01.04.1980 06:00:00;  1,74
