Messstelle:                ;Wildalpen
HZB-Nummer:                ;210898
HD-Nummer:                 ;ow1730
DBMS-Nummer:               ;6001040
Gewässer:                  ;Salza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Ennskraft
orogr.Einzugsgebiet [km²]: ;592,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00583,06
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1960              ;648678,00 - 281566,10
   01.01.2018              ;648670,20 - 281589,00
Exportzeitreihe:           ;(6001040,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  8,22
03.02.1951 12:00:00;  8,22
04.03.1951 12:00:00;  8,66
16.04.1951 12:00:00;  12,6
18.05.1951 12:00:00;  19,9
30.06.1951 12:00:00;  13,7
09.07.1951 12:00:00;  9,62
31.08.1951 12:00:00;  6,36
26.09.1951 12:00:00;  4,46
20.10.1951 12:00:00;  2,90
01.11.1951 12:00:00;  3,00
11.12.1951 12:00:00;  5,64
15.01.1952 12:00:00;  5,28
19.02.1952 12:00:00;  5,28
16.03.1952 12:00:00;  6,54
07.04.1952 12:00:00;  22,8
23.05.1952 12:00:00;  23,3
23.06.1952 12:00:00;  25,1
28.07.1952 12:00:00;  8,22
29.08.1952 12:00:00;  5,28
30.09.1952 12:00:00;  5,82
02.10.1952 12:00:00;  5,46
27.11.1952 12:00:00;  8,00
31.12.1952 12:00:00;  6,90
21.01.1953 12:00:00;  5,10
22.02.1953 12:00:00;  5,10
15.03.1953 12:00:00;  6,54
27.04.1953 12:00:00;  15,9
31.05.1953 12:00:00;  18,2
25.06.1953 12:00:00;  11,7
27.07.1953 12:00:00;  10,7
21.08.1953 12:00:00;  7,56
30.09.1953 12:00:00;  4,02
28.10.1953 12:00:00;  3,24
19.11.1953 12:00:00;  3,00
25.12.1953 12:00:00;  3,60
