Messstelle:                ;Pöllau (Prätisbach-II)
HZB-Nummer:                ;211623
HD-Nummer:                 ;ow4560
DBMS-Nummer:               ;6001111
Gewässer:                  ;Prätisbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;21,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00433,23
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1980              ;711931,90 - 241631,50
   01.01.2018              ;711938,10 - 241590,50
Exportzeitreihe:           ;(6001111,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1981 00:00:50,01.01.2022 00:00]
Werte:
07.01.1981 23:15:00; 0,164
16.02.1981 08:00:00; 0,151
06.03.1981 11:45:00; 0,358
16.04.1981 10:15:00; 0,181
31.05.1981 23:59:55; 0,129
01.06.1981 15:15:00; 0,084
22.07.1981 13:30:00; 0,122
17.08.1981 01:15:00; 0,091
07.09.1981 00:00:00; 0,085
20.10.1981 21:00:00; 0,147
30.11.1981 21:00:00; 0,131
21.12.1981 09:00:00; 0,067
01.01.1982 05:45:00; 0,114
20.02.1982 09:00:00; 0,068
01.03.1982 12:00:00; 0,095
30.04.1982 09:00:00; 0,088
15.05.1982 13:30:00; 0,084
23.06.1982 01:00:00; 0,034
31.07.1982 13:30:00; 0,096
07.08.1982 09:45:00; 0,077
29.09.1982 11:30:00; 0,028
01.10.1982 11:00:00; 0,032
24.11.1982 07:30:00; 0,151
08.12.1982 03:30:00; 0,169
14.01.1983 15:15:00; 0,176
25.02.1983 08:30:00; 0,131
01.03.1983 13:45:00; 0,171
28.04.1983 11:45:00; 0,120
22.05.1983 17:00:00; 0,088
30.06.1983 16:00:00; 0,072
18.07.1983 18:15:00; 0,046
24.08.1983 01:15:00; 0,027
27.09.1983 20:00:00; 0,004
06.10.1983 03:00:00; 0,003
25.11.1983 03:30:00; 0,003
03.12.1983 07:15:00; 0,000
12.01.1984 10:00:00; 0,016
12.02.1984 04:15:00; 0,015
01.03.1984 15:45:00; 0,062
29.04.1984 10:00:00; 0,120
18.05.1984 02:30:00; 0,086
28.06.1984 15:00:00; 0,095
31.07.1984 20:00:00; 0,045
30.08.1984 00:30:00; 0,033
03.09.1984 19:30:00; 0,029
01.10.1984 00:00:00; 0,063
15.11.1984 00:30:00; 0,065
31.12.1984 23:59:55; 0,022
01.01.1985 03:30:00; 0,021
19.02.1985 12:45:00; 0,038
01.03.1985 00:00:00; 0,043
26.04.1985 12:15:00; 0,130
06.05.1985 14:15:00; 0,106
26.06.1985 04:00:00; 0,130
27.07.1985 14:30:00; 0,113
25.08.1985 15:45:00; 0,089
29.09.1985 07:15:00; 0,050
15.10.1985 17:45:00; 0,043
21.11.1985 12:00:00; 0,039
04.12.1985 12:00:00; 0,019
11.01.1986 05:45:00; 0,000
19.02.1986 11:30:00; 0,002
02.03.1986 19:45:00; 0,020
30.04.1986 15:30:00; 0,122
28.05.1986 05:45:00; 0,043
18.06.1986 10:30:00; 0,019
22.07.1986 17:45:00; 0,055
30.08.1986 23:45:00; 0,001
26.09.1986 12:15:00; 0,004
18.10.1986 08:30:00; 0,019
27.11.1986 23:30:00; 0,011
24.12.1986 18:15:00; 0,003
08.01.1987 08:15:00; 0,016
