Messstelle:                ;St. Johann in Tirol
HZB-Nummer:                ;201939
HD-Nummer:                 ;
DBMS-Nummer:               ;7001086
Gewässer:                  ;Kitzbüheler Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;332,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1896              ;00649,88
   01.01.1976              ;00656,75
   01.01.1980              ;00659,71
   07.10.2008              ;00659,70
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1980              ;381037,17 - 264865,38
Exportzeitreihe:           ;(7001086,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[20.01.1951 12:00,01.01.2022 00:00]
Werte:
20.01.1951 12:00:00;  3,00
28.02.1951 12:00:00;  4,40
13.03.1951 12:00:00;  4,40
03.04.1951 12:00:00;  11,0
20.05.1951 12:00:00;  17,4
30.06.1951 12:00:00;  9,56
11.07.1951 12:00:00;  7,48
31.08.1951 12:00:00;  5,92
26.09.1951 12:00:00;  4,70
31.10.1951 12:00:00;  1,80
01.11.1951 12:00:00;  2,28
16.12.1951 12:00:00;  4,40
31.01.1952 12:00:00;  2,03
06.02.1952 12:00:00;  1,83
02.03.1952 12:00:00;  3,75
07.04.1952 12:00:00;  13,4
23.05.1952 12:00:00;  10,9
15.06.1952 12:00:00;  8,59
28.07.1952 12:00:00;  3,46
15.08.1952 12:00:00;  3,46
06.09.1952 12:00:00;  5,40
01.10.1952 12:00:00;  8,98
19.11.1952 12:00:00;  8,59
31.12.1952 12:00:00;  5,40
31.01.1953 12:00:00;  3,70
23.02.1953 12:00:00;  2,55
02.03.1953 12:00:00;  3,99
27.04.1953 12:00:00;  11,8
26.05.1953 12:00:00;  12,2
22.06.1953 12:00:00;  7,01
28.07.1953 12:00:00;  10,5
21.08.1953 12:00:00;  6,03
28.09.1953 12:00:00;  3,70
31.10.1953 12:00:00;  3,15
30.11.1953 12:00:00;  1,83
31.12.1953 12:00:00;  1,07
16.01.1954 12:00:00; 0,920
25.02.1954 12:00:00;  1,35
09.03.1954 12:00:00;  2,03
24.04.1954 12:00:00;  9,72
27.05.1954 12:00:00;  13,9
25.06.1954 12:00:00;  13,1
01.07.1954 12:00:00;  13,9
22.08.1954 12:00:00;  10,1
20.09.1954 12:00:00;  5,73
25.10.1954 12:00:00;  7,40
30.11.1954 12:00:00;  9,72
25.12.1954 12:00:00;  3,15
11.01.1955 12:00:00;  3,15
28.02.1955 12:00:00;  3,15
09.03.1955 12:00:00;  2,27
03.04.1955 12:00:00;  8,56
25.05.1955 12:00:00;  11,4
30.06.1955 12:00:00;  10,5
18.07.1955 12:00:00;  7,40
28.08.1955 12:00:00;  3,70
05.09.1955 12:00:00;  4,85
31.10.1955 12:00:00;  3,70
30.11.1955 12:00:00;  1,66
03.12.1955 12:00:00;  1,66
27.01.1956 12:00:00;  1,50
12.02.1956 12:00:00;  1,35
01.03.1956 12:00:00;  3,99
28.04.1956 12:00:00;  6,62
05.05.1956 12:00:00;  8,95
14.06.1956 12:00:00;  11,4
19.07.1956 12:00:00;  6,62
18.08.1956 12:00:00;  6,62
26.09.1956 12:00:00;  2,76
25.10.1956 12:00:00;  3,84
25.11.1956 12:00:00;  3,00
31.12.1956 12:00:00;  2,28
31.01.1957 12:00:00;  2,76
01.02.1957 12:00:00;  3,28
05.03.1957 12:00:00;  4,70
17.04.1957 12:00:00;  11,4
11.05.1957 12:00:00;  9,20
30.06.1957 12:00:00;  8,72
08.07.1957 12:00:00;  4,58
14.08.1957 12:00:00;  9,08
14.09.1957 12:00:00;  6,81
31.10.1957 12:00:00;  4,58
30.11.1957 12:00:00;  3,70
31.12.1957 12:00:00;  2,70
28.01.1958 12:00:00;  2,64
06.02.1958 12:00:00;  2,82
13.03.1958 12:00:00;  3,26
14.04.1958 12:00:00;  8,00
31.05.1958 12:00:00;  9,05
10.06.1958 12:00:00;  6,32
22.07.1958 12:00:00;  8,33
31.08.1958 12:00:00;  5,14
30.09.1958 12:00:00;  5,14
11.10.1958 12:00:00;  5,14
30.11.1958 12:00:00;  7,61
17.12.1958 12:00:00;  4,30
31.01.1959 12:00:00;  4,30
20.02.1959 12:00:00;  4,06
01.03.1959 12:00:00;  5,70
03.04.1959 12:00:00;  8,33
29.05.1959 12:00:00;  9,05
26.06.1959 12:00:00;  8,90
28.07.1959 12:00:00;  8,90
31.08.1959 12:00:00;  7,20
30.09.1959 12:00:00;  2,90
22.10.1959 12:00:00;  2,00
30.11.1959 12:00:00;  2,54
28.12.1959 12:00:00;  2,18
01.01.1960 12:00:00;  2,19
20.02.1960 12:00:00;  2,57
09.03.1960 12:00:00;  7,40
30.04.1960 12:00:00;  7,40
03.05.1960 12:00:00;  7,06
26.06.1960 12:00:00;  4,22
07.07.1960 12:00:00;  5,40
28.08.1960 12:00:00;  7,40
19.09.1960 12:00:00;  4,22
