Messstelle:                ;Zwettl (Bahnbrücke)
HZB-Nummer:                ;207944
HD-Nummer:                 ;no265
DBMS-Nummer:               ;3001034
Gewässer:                  ;Kamp
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;621,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00505,00
   01.01.1977              ;00506,57
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1951              ;664425,00 - 386458,00
Exportzeitreihe:           ;(3001034,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[30.01.1951 12:00,01.01.2022 00:00]
Werte:
30.01.1951 12:00:00;  2,38
05.02.1951 12:00:00;  2,07
06.03.1951 12:00:00;  2,69
27.04.1951 12:00:00;  2,85
01.05.1951 12:00:00;  4,37
29.06.1951 12:00:00;  3,00
09.07.1951 12:00:00;  1,61
31.08.1951 12:00:00;  2,07
14.09.1951 12:00:00;  1,21
18.10.1951 12:00:00;  1,05
01.11.1951 12:00:00;  1,21
25.12.1951 12:00:00;  2,07
07.01.1952 12:00:00;  2,23
11.02.1952 12:00:00;  3,45
15.03.1952 12:00:00;  2,96
25.04.1952 12:00:00;  7,60
09.05.1952 12:00:00;  3,45
02.06.1952 12:00:00;  5,21
27.07.1952 12:00:00;  2,30
16.08.1952 12:00:00;  1,97
01.09.1952 12:00:00;  2,13
19.10.1952 12:00:00;  2,46
26.11.1952 12:00:00;  3,84
31.12.1952 12:00:00;  3,45
10.01.1953 12:00:00;  2,79
08.02.1953 12:00:00;  3,45
15.03.1953 12:00:00;  4,04
25.04.1953 12:00:00;  2,63
28.05.1953 12:00:00;  1,62
08.06.1953 12:00:00;  1,80
27.07.1953 12:00:00;  3,20
31.08.1953 12:00:00;  1,76
25.09.1953 12:00:00; 0,350
28.10.1953 12:00:00; 0,270
27.11.1953 12:00:00; 0,230
03.12.1953 12:00:00; 0,230
12.01.1954 12:00:00; 0,600
28.02.1954 12:00:00; 0,810
31.03.1954 12:00:00;  2,23
10.04.1954 12:00:00;  2,54
02.05.1954 12:00:00;  2,23
22.06.1954 12:00:00;  2,38
31.07.1954 12:00:00;  3,98
30.08.1954 12:00:00;  1,13
12.09.1954 12:00:00; 0,450
20.10.1954 12:00:00;  1,13
21.11.1954 12:00:00; 0,650
08.12.1954 12:00:00;  1,21
03.01.1955 12:00:00;  4,17
12.02.1955 12:00:00;  1,76
19.03.1955 12:00:00; 0,970
03.04.1955 12:00:00;  6,24
26.05.1955 12:00:00;  2,69
11.06.1955 12:00:00;  1,21
06.07.1955 12:00:00;  4,76
02.08.1955 12:00:00;  5,81
27.09.1955 12:00:00;  4,37
25.10.1955 12:00:00;  3,20
30.11.1955 12:00:00;  2,85
13.12.1955 12:00:00;  2,69
20.01.1956 12:00:00;  2,38
17.02.1956 12:00:00;  2,07
20.03.1956 12:00:00;  2,54
23.04.1956 12:00:00;  4,17
31.05.1956 12:00:00;  3,39
02.06.1956 12:00:00;  3,20
14.07.1956 12:00:00;  2,54
19.08.1956 12:00:00;  2,07
26.09.1956 12:00:00; 0,500
23.10.1956 12:00:00;  2,07
05.11.1956 12:00:00;  3,20
02.12.1956 12:00:00;  3,98
15.01.1957 12:00:00;  3,20
24.02.1957 12:00:00;  2,76
03.03.1957 12:00:00;  2,98
30.04.1957 12:00:00;  2,54
31.05.1957 12:00:00;  1,93
18.06.1957 12:00:00; 0,360
08.07.1957 12:00:00; 0,210
31.08.1957 12:00:00;  2,76
07.09.1957 12:00:00;  1,93
26.10.1957 12:00:00; 0,860
23.11.1957 12:00:00;  1,59
07.12.1957 12:00:00;  1,59
04.01.1958 12:00:00;  2,76
08.02.1958 12:00:00;  3,20
22.03.1958 12:00:00;  3,20
14.04.1958 12:00:00;  9,28
31.05.1958 12:00:00;  1,42
03.06.1958 12:00:00; 0,460
28.07.1958 12:00:00;  1,93
31.08.1958 12:00:00; 0,730
10.09.1958 12:00:00; 0,310
11.10.1958 12:00:00; 0,600
15.11.1958 12:00:00;  1,42
16.12.1958 12:00:00; 0,550
31.01.1959 12:00:00;  1,25
12.02.1959 12:00:00; 0,550
16.03.1959 12:00:00;  4,62
18.04.1959 12:00:00;  1,93
30.05.1959 12:00:00;  2,54
09.06.1959 12:00:00;  2,32
14.07.1959 12:00:00;  4,35
12.08.1959 12:00:00;  6,57
16.09.1959 12:00:00;  2,32
31.10.1959 12:00:00; 0,410
27.11.1959 12:00:00; 0,460
04.12.1959 12:00:00; 0,500
31.01.1960 12:00:00;  2,76
03.02.1960 12:00:00;  2,76
12.03.1960 12:00:00;  5,70
23.04.1960 12:00:00;  4,12
21.05.1960 12:00:00;  2,10
25.06.1960 12:00:00;  2,32
02.07.1960 12:00:00;  1,76
01.08.1960 12:00:00;  4,12
20.09.1960 12:00:00;  4,35
29.10.1960 12:00:00;  2,98
26.11.1960 12:00:00;  1,25
25.12.1960 12:00:00; 0,860
17.01.1961 12:00:00; 0,550
08.02.1961 12:00:00;  2,32
11.03.1961 12:00:00;  3,43
15.04.1961 12:00:00; 0,860
21.05.1961 12:00:00;  1,25
27.06.1961 12:00:00;  3,43
29.07.1961 12:00:00; 0,410
31.08.1961 12:00:00; 0,360
22.09.1961 12:00:00; 0,230
14.10.1961 12:00:00; 0,260
24.11.1961 12:00:00; 0,280
01.12.1961 12:00:00; 0,310
20.01.1962 12:00:00;  3,20
25.02.1962 12:00:00;  4,89
24.03.1962 12:00:00;  2,98
26.04.1962 12:00:00;  4,12
09.05.1962 12:00:00;  6,28
30.06.1962 12:00:00;  1,12
28.07.1962 12:00:00;  1,12
29.08.1962 12:00:00; 0,360
01.09.1962 12:00:00; 0,330
28.10.1962 12:00:00; 0,360
23.11.1962 12:00:00; 0,550
02.12.1962 12:00:00; 0,730
31.01.1963 12:00:00;  1,59
28.02.1963 12:00:00;  1,59
02.03.1963 12:00:00;  1,59
29.04.1963 12:00:00;  6,28
31.05.1963 12:00:00;  2,18
09.06.1963 12:00:00;  1,76
13.07.1963 12:00:00; 0,860
13.08.1963 12:00:00; 0,500
23.09.1963 12:00:00; 0,550
14.10.1963 12:00:00; 0,500
06.11.1963 12:00:00; 0,730
06.12.1963 12:00:00; 0,600
16.01.1964 12:00:00; 0,280
24.02.1964 12:00:00;  1,42
13.03.1964 12:00:00;  1,59
29.04.1964 12:00:00;  2,54
26.05.1964 12:00:00; 0,860
02.06.1964 12:00:00; 0,860
27.07.1964 12:00:00; 0,460
07.08.1964 12:00:00; 0,600
25.09.1964 12:00:00; 0,550
05.10.1964 12:00:00; 0,500
27.11.1964 12:00:00;  3,43
16.12.1964 12:00:00;  2,54
