Messstelle:                ;Rauris (Unterland)
HZB-Nummer:                ;203166
HD-Nummer:                 ;
DBMS-Nummer:               ;5001016
Gewässer:                  ;Rauriser Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;242,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00917,19
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1953              ;424100,00 - 233600,00
Exportzeitreihe:           ;(5001016,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[24.01.1961 12:00,01.01.2022 00:00]
Werte:
24.01.1961 12:00:00;  4,60
14.02.1961 12:00:00;  4,40
05.03.1961 12:00:00;  5,21
01.04.1961 12:00:00;  6,05
02.05.1961 12:00:00;  8,84
01.06.1961 12:00:00;  13,0
11.07.1961 12:00:00;  13,0
31.08.1961 12:00:00;  11,4
30.09.1961 12:00:00;  7,46
17.10.1961 12:00:00;  6,06
21.11.1961 12:00:00;  5,20
09.12.1961 12:00:00;  4,60
31.01.1962 12:00:00;  3,26
18.02.1962 12:00:00;  2,60
15.03.1962 12:00:00;  3,08
12.04.1962 12:00:00;  4,64
05.05.1962 12:00:00;  8,88
10.06.1962 12:00:00;  12,4
06.07.1962 12:00:00;  12,4
31.08.1962 12:00:00;  10,9
30.09.1962 12:00:00;  6,00
28.10.1962 12:00:00;  4,62
30.11.1962 12:00:00;  4,02
25.12.1962 12:00:00;  2,82
18.01.1963 12:00:00;  2,66
02.02.1963 12:00:00;  2,98
01.03.1963 12:00:00;  2,82
03.04.1963 12:00:00;  3,66
07.05.1963 12:00:00;  6,25
18.06.1963 12:00:00;  10,6
31.07.1963 12:00:00;  11,2
10.08.1963 12:00:00;  9,64
30.09.1963 12:00:00;  9,64
31.10.1963 12:00:00;  5,50
06.11.1963 12:00:00;  5,50
18.12.1963 12:00:00;  4,02
29.01.1964 12:00:00;  3,30
22.02.1964 12:00:00;  2,82
08.03.1964 12:00:00;  2,66
10.04.1964 12:00:00;  3,30
02.05.1964 12:00:00;  5,25
11.06.1964 12:00:00;  9,95
31.07.1964 12:00:00;  8,14
15.08.1964 12:00:00;  7,31
30.09.1964 12:00:00;  6,50
07.10.1964 12:00:00;  5,25
14.11.1964 12:00:00;  5,75
28.12.1964 12:00:00;  4,20
29.01.1965 12:00:00;  3,48
26.02.1965 12:00:00;  2,98
10.03.1965 12:00:00;  2,82
27.04.1965 12:00:00;  4,62
01.05.1965 12:00:00;  4,62
02.06.1965 12:00:00;  17,0
12.07.1965 12:00:00;  20,4
29.08.1965 12:00:00;  13,3
26.09.1965 12:00:00;  11,6
29.10.1965 12:00:00;  6,77
24.11.1965 12:00:00;  4,62
30.12.1965 12:00:00;  3,66
15.01.1966 12:00:00;  2,98
16.02.1966 12:00:00;  2,98
17.03.1966 12:00:00;  3,14
02.04.1966 12:00:00;  3,30
12.05.1966 12:00:00;  9,95
03.06.1966 12:00:00;  13,0
02.07.1966 12:00:00;  14,4
30.08.1966 12:00:00;  18,9
30.09.1966 12:00:00;  12,3
31.10.1966 12:00:00;  5,60
02.11.1966 12:00:00;  5,10
29.12.1966 12:00:00;  5,10
27.01.1967 12:00:00;  3,49
14.02.1967 12:00:00;  3,66
21.03.1967 12:00:00;  3,16
05.04.1967 12:00:00;  4,23
05.05.1967 12:00:00;  10,3
17.06.1967 12:00:00;  16,6
30.07.1967 12:00:00;  16,2
30.08.1967 12:00:00;  10,6
29.09.1967 12:00:00;  8,70
31.10.1967 12:00:00;  5,10
27.11.1967 12:00:00;  4,03
12.12.1967 12:00:00;  3,33
27.01.1968 12:00:00;  3,13
28.02.1968 12:00:00;  3,46
13.03.1968 12:00:00;  2,65
12.04.1968 12:00:00;  4,85
02.05.1968 12:00:00;  7,50
13.06.1968 12:00:00;  12,0
29.07.1968 12:00:00;  10,9
28.08.1968 12:00:00;  12,0
29.09.1968 12:00:00;  9,32
31.10.1968 12:00:00;  7,50
30.11.1968 12:00:00;  6,47
31.12.1968 12:00:00;  4,59
01.01.1969 12:00:00;  4,59
20.02.1969 12:00:00;  3,29
05.03.1969 12:00:00;  3,46
20.04.1969 12:00:00;  3,62
11.05.1969 12:00:00;  9,64
30.06.1969 12:00:00;  10,3
01.07.1969 12:00:00;  9,64
12.08.1969 12:00:00;  8,70
30.09.1969 12:00:00;  6,66
31.10.1969 12:00:00;  4,20
28.11.1969 12:00:00;  3,29
27.12.1969 12:00:00;  3,13
08.01.1970 12:00:00;  2,65
17.02.1970 12:00:00;  2,50
08.03.1970 12:00:00;  1,91
06.04.1970 12:00:00;  3,30
03.05.1970 12:00:00;  6,50
01.06.1970 12:00:00;  15,8
19.07.1970 12:00:00;  20,0
30.08.1970 12:00:00;  17,7
30.09.1970 12:00:00;  10,6
28.10.1970 12:00:00;  8,14
15.11.1970 12:00:00;  6,77
26.12.1970 12:00:00;  4,02
31.01.1971 12:00:00;  3,66
27.02.1971 12:00:00;  2,36
06.03.1971 12:00:00;  2,50
02.04.1971 12:00:00;  3,66
01.05.1971 12:00:00;  6,00
15.06.1971 12:00:00;  8,68
23.07.1971 12:00:00;  8,98
19.08.1971 12:00:00;  8,14
22.09.1971 12:00:00;  5,25
30.10.1971 12:00:00;  4,20
21.11.1971 12:00:00;  3,30
19.12.1971 12:00:00;  3,14
17.01.1972 12:00:00;  2,22
16.02.1972 12:00:00;  2,66
25.03.1972 12:00:00;  2,66
01.04.1972 12:00:00;  3,30
01.05.1972 12:00:00;  5,25
04.06.1972 12:00:00;  12,6
03.07.1972 12:00:00;  15,8
26.08.1972 12:00:00;  9,95
28.09.1972 12:00:00;  4,83
26.10.1972 12:00:00;  4,20
27.11.1972 12:00:00;  3,14
22.12.1972 12:00:00;  2,82
11.01.1973 12:00:00;  2,50
19.02.1973 12:00:00;  2,36
20.03.1973 12:00:00;  2,36
05.04.1973 12:00:00;  2,36
01.05.1973 12:00:00;  6,77
10.06.1973 12:00:00;  13,3
31.07.1973 12:00:00;  9,95
28.08.1973 12:00:00;  8,14
23.09.1973 12:00:00;  6,25
25.10.1973 12:00:00;  5,75
27.11.1973 12:00:00;  4,41
30.12.1973 12:00:00;  3,84
31.01.1974 12:00:00;  3,30
28.02.1974 12:00:00;  2,50
01.03.1974 12:00:00;  2,50
23.04.1974 12:00:00;  5,04
03.05.1974 12:00:00;  6,25
14.06.1974 12:00:00;  13,0
27.07.1974 12:00:00;  17,3
31.08.1974 12:00:00;  10,9
17.09.1974 12:00:00;  8,14
31.10.1974 12:00:00;  5,50
28.11.1974 12:00:00;  5,04
14.12.1974 12:00:00;  4,41
30.01.1975 12:00:00;  3,84
22.02.1975 12:00:00;  3,30
31.03.1975 12:00:00;  2,66
01.04.1975 12:00:00;  3,48
02.05.1975 12:00:00;  11,6
09.06.1975 12:00:00;  17,3
29.07.1975 12:00:00;  17,7
31.08.1975 12:00:00;  15,8
26.09.1975 12:00:00;  9,95
31.10.1975 12:00:00;  4,62
25.11.1975 12:00:00;  3,48
20.12.1975 12:00:00;  3,14
03.01.1976 12:00:00;  2,95
13.02.1976 09:00:00;  3,60
12.03.1976 07:00:00;  3,17
01.04.1976 12:00:00;  4,73
01.05.1976 00:00:00;  5,45
07.06.1976 16:00:00;  12,0
25.07.1976 00:00:00;  8,90
29.08.1976 14:00:00;  7,94
08.09.1976 14:00:00;  9,24
29.10.1976 22:00:00;  7,10
25.11.1976 15:00:00;  4,30
30.12.1976 23:00:00;  3,88
19.01.1977 09:00:00;  3,67
19.02.1977 19:00:00;  3,45
01.03.1977 09:00:00;  4,00
17.04.1977 03:00:00;  4,07
11.05.1977 14:00:00;  10,7
05.06.1977 12:00:00;  11,7
29.07.1977 16:00:00;  10,2
13.08.1977 16:00:00;  9,65
28.09.1977 18:00:00;  5,45
27.10.1977 19:00:00;  4,20
29.11.1977 12:00:00;  3,39
16.12.1977 13:00:00;  3,08
29.01.1978 01:00:00;  2,49
10.02.1978 06:00:00;  2,29
21.03.1978 07:00:00;  2,68
18.04.1978 12:00:00;  3,93
03.05.1978 14:00:00;  7,04
30.06.1978 10:00:00;  11,0
01.07.1978 04:00:00;  12,9
29.08.1978 17:00:00;  8,12
05.09.1978 15:00:00;  7,58
31.10.1978 23:59:55;  6,21
30.11.1978 23:59:55;  3,62
24.12.1978 19:00:00;  2,97
18.01.1979 11:00:00;  2,07
28.02.1979 09:00:00;  1,68
01.03.1979 21:00:00;  1,81
09.04.1979 06:00:00;  2,00
04.05.1979 05:00:00;  3,04
19.06.1979 04:00:00;  15,5
08.07.1979 07:00:00;  13,6
15.08.1979 14:00:00;  11,3
30.09.1979 23:59:55;  9,52
26.10.1979 05:00:00;  6,53
26.11.1979 01:00:00;  5,58
28.12.1979 16:00:00;  5,06
31.01.1980 23:59:55;  4,16
19.02.1980 10:00:00;  3,59
17.03.1980 16:00:00;  3,30
11.04.1980 20:00:00;  3,30
01.05.1980 15:00:00;  4,82
03.06.1980 18:00:00;  11,1
28.07.1980 14:00:00;  18,4
27.08.1980 08:00:00;  10,5
30.09.1980 23:59:55;  8,29
08.10.1980 01:00:00;  6,73
30.11.1980 03:00:00;  6,00
27.12.1980 17:00:00;  4,60
23.01.1981 09:00:00;  2,90
17.02.1981 20:00:00;  2,80
06.03.1981 11:00:00;  3,11
30.04.1981 14:00:00;  7,86
07.05.1981 01:00:00;  7,41
23.06.1981 05:00:00;  13,2
16.07.1981 20:00:00;  13,7
31.08.1981 14:00:00;  9,95
08.09.1981 15:00:00;  9,47
29.10.1981 10:00:00;  6,79
30.11.1981 10:00:00;  6,03
27.12.1981 10:00:00;  3,69
30.01.1982 05:00:00;  3,12
23.02.1982 04:00:00;  2,88
15.03.1982 10:00:00;  2,99
01.04.1982 08:00:00;  3,97
01.05.1982 09:00:00;  4,21
16.06.1982 14:00:00;  13,8
20.07.1982 11:00:00;  10,3
26.08.1982 14:00:00;  9,83
20.09.1982 17:00:00;  6,42
31.10.1982 22:00:00;  6,32
08.11.1982 07:00:00;  5,40
31.12.1982 10:00:00;  3,74
16.01.1983 11:00:00;  3,61
23.02.1983 03:00:00;  2,64
01.03.1983 10:00:00;  2,97
06.04.1983 09:00:00;  4,06
06.05.1983 11:00:00;  8,97
01.06.1983 17:00:00;  9,92
31.07.1983 12:00:00;  9,55
31.08.1983 13:00:00;  7,96
30.09.1983 19:00:00;  5,85
06.10.1983 07:00:00;  5,25
30.11.1983 11:00:00;  4,33
16.12.1983 10:00:00;  3,37
26.01.1984 07:00:00;  2,51
18.02.1984 02:00:00;  2,07
01.03.1984 00:00:00;  2,67
04.04.1984 07:00:00;  3,44
01.05.1984 00:00:00;  5,13
01.06.1984 02:00:00;  10,3
19.07.1984 11:00:00;  9,58
31.08.1984 16:00:00;  8,61
03.09.1984 14:00:00;  7,76
31.10.1984 17:00:00;  5,95
28.11.1984 09:00:00;  3,99
24.12.1984 09:00:00;  2,93
