Messstelle:                ;Ebreichsdorf (Steg)
HZB-Nummer:                ;214502
HD-Nummer:                 ;no521
DBMS-Nummer:               ;3003172
Gewässer:                  ;Piesting
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;323,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00195,46
   01.01.2014              ;00195,57
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2015              ;755487,70 - 314437,20
Exportzeitreihe:           ;(3003172,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[23.09.2015 16:20,01.01.2022 00:00]
Werte:
25.09.2015 11:50:00; 0,271
03.10.2015 23:20:00; 0,373
06.11.2015 13:15:00; 0,599
22.12.2015 10:35:00; 0,662
04.01.2016 14:20:00; 0,225
17.02.2016 11:05:00;  1,20
26.03.2016 11:05:00;  1,52
08.04.2016 07:50:00; 0,983
11.05.2016 21:40:00;  1,09
30.06.2016 13:55:00;  1,25
11.07.2016 12:00:00;  1,66
08.08.2016 08:25:00;  1,38
05.09.2016 13:05:00; 0,177
02.10.2016 00:25:00;  1,01
02.11.2016 17:30:00;  1,68
23.12.2016 18:25:00;  1,36
07.01.2017 04:50:00; 0,546
03.02.2017 10:25:00; 0,852
08.03.2017 08:20:00;  1,37
17.04.2017 08:40:00;  1,60
30.05.2017 18:30:00;  1,99
20.06.2017 13:20:00;  1,07
22.07.2017 18:40:00; 0,566
03.08.2017 15:25:00; 0,415
30.09.2017 09:20:00; 0,850
09.10.2017 04:35:00; 0,772
07.11.2017 16:00:00; 0,493
11.12.2017 07:50:00;  1,63
24.01.2018 08:00:00;  1,71
26.02.2018 10:05:00;  1,15
06.03.2018 06:35:00;  1,76
29.04.2018 16:10:00;  1,34
02.05.2018 06:10:00;  1,22
18.06.2018 12:20:00;  1,01
31.07.2018 13:05:00;  1,51
09.08.2018 10:00:00;  1,10
20.09.2018 01:00:00; 0,959
01.10.2018 09:45:00; 0,382
10.11.2018 16:35:00; 0,992
02.12.2018 07:15:00;  2,07
31.01.2019 13:05:00;  2,36
01.02.2019 21:15:00;  2,53
28.03.2019 22:05:00;  2,23
23.04.2019 08:35:00;  1,70
02.05.2019 21:50:00;  2,10
06.06.2019 10:45:00; 0,543
11.07.2019 17:30:00; 0,614
29.08.2019 11:40:00; 0,659
30.09.2019 14:15:00; 0,486
29.10.2019 12:30:00; 0,486
01.11.2019 17:10:00; 0,820
21.12.2019 09:55:00; 0,804
15.01.2020 10:50:00;  1,25
24.02.2020 09:40:00; 0,651
11.03.2020 09:25:00; 0,769
29.04.2020 11:10:00; 0,908
22.05.2020 15:40:00; 0,389
16.06.2020 09:35:00; 0,334
09.07.2020 11:20:00; 0,269
12.08.2020 07:15:00; 0,064
15.09.2020 14:20:00; 0,596
29.10.2020 23:30:00; 0,759
29.11.2020 20:10:00;  1,08
04.12.2020 08:35:00; 0,867
12.01.2021 21:10:00; 0,958
15.02.2021 14:30:00; 0,909
11.03.2021 11:10:00; 0,653
12.04.2021 13:55:00;  1,13
29.05.2021 08:20:00; 0,994
21.06.2021 10:35:00; 0,363
07.07.2021 10:10:00; 0,093
01.08.2021 01:00:00; 0,514
15.09.2021 09:25:00; 0,556
08.10.2021 11:50:00; 0,161
22.11.2021 14:55:00; 0,309
22.12.2021 17:30:00; 0,633
