Messstelle:                ;Bruck (Fuscher Ache)
HZB-Nummer:                ;203141
HD-Nummer:                 ;
DBMS-Nummer:               ;5001014
Gewässer:                  ;Fuscher Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;161
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00758,61
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;411700,00 - 237170,00
Exportzeitreihe:           ;(5001014,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  1,69
07.02.1951 12:00:00;  1,69
30.03.1951 12:00:00;  1,65
04.04.1951 12:00:00;  1,47
01.05.1951 12:00:00;  6,51
30.06.1951 12:00:00;  11,1
01.07.1951 12:00:00;  11,7
31.08.1951 12:00:00;  8,07
30.09.1951 12:00:00;  5,62
31.10.1951 12:00:00;  2,12
30.11.1951 12:00:00;  1,69
31.12.1951 12:00:00;  1,51
24.01.1952 12:00:00;  1,42
02.02.1952 12:00:00;  1,42
14.03.1952 12:00:00;  1,42
07.04.1952 12:00:00;  3,46
23.05.1952 12:00:00;  6,70
05.06.1952 12:00:00;  9,40
30.07.1952 12:00:00;  7,50
23.08.1952 12:00:00;  8,45
21.09.1952 12:00:00;  7,50
30.10.1952 12:00:00;  6,70
30.11.1952 12:00:00;  4,50
27.12.1952 12:00:00;  2,12
09.01.1953 12:00:00;  2,12
09.02.1953 12:00:00;  1,77
15.03.1953 12:00:00;  1,69
19.04.1953 12:00:00;  2,98
01.05.1953 12:00:00;  5,20
04.06.1953 12:00:00;  7,50
17.07.1953 12:00:00;  12,7
30.08.1953 12:00:00;  6,70
30.09.1953 12:00:00;  5,20
30.10.1953 12:00:00;  3,20
24.11.1953 12:00:00;  1,95
29.12.1953 12:00:00;  1,42
03.01.1954 12:00:00;  1,25
13.02.1954 12:00:00;  1,42
07.03.1954 12:00:00;  1,69
01.04.1954 12:00:00;  1,95
05.05.1954 12:00:00;  3,20
02.06.1954 12:00:00;  10,5
31.07.1954 12:00:00;  12,2
29.08.1954 12:00:00;  5,90
25.09.1954 12:00:00;  6,22
28.10.1954 12:00:00;  4,92
25.11.1954 12:00:00;  3,20
31.12.1954 12:00:00;  1,95
03.01.1955 12:00:00;  1,51
19.02.1955 12:00:00;  2,12
19.03.1955 12:00:00;  2,12
02.04.1955 12:00:00;  2,12
22.05.1955 12:00:00;  7,18
04.06.1955 12:00:00;  7,88
23.07.1955 12:00:00;  13,4
26.08.1955 12:00:00;  7,50
23.09.1955 12:00:00;  4,78
30.10.1955 12:00:00;  4,24
28.11.1955 12:00:00;  2,77
23.12.1955 12:00:00;  2,34
29.01.1956 12:00:00;  1,67
25.02.1956 12:00:00; 0,700
17.03.1956 12:00:00;  1,19
08.04.1956 12:00:00;  2,25
04.05.1956 12:00:00;  3,12
27.06.1956 12:00:00;  10,5
23.07.1956 12:00:00;  8,05
16.08.1956 12:00:00;  9,44
30.09.1956 12:00:00;  6,89
31.10.1956 12:00:00;  4,20
22.11.1956 12:00:00; 0,840
31.12.1956 12:00:00;  2,05
