Messstelle:                ;Fischamend (Rohrbrücke)
HZB-Nummer:                ;208439
HD-Nummer:                 ;
DBMS-Nummer:               ;11002094
Gewässer:                  ;Fischa
Sachgebiet:                ;OWF
Dienststelle:              ;Magistratsabteilung 31
Messstellenbetreiber:      ;Stadt Wien, Magistratsabteilung 31 - Wasserwerke
orogr.Einzugsgebiet [km²]: ;534,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00152,42
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;770901,00 - 329442,00
Exportzeitreihe:           ;(11002094,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[03.01.1955 12:00,01.01.2022 00:00]
Werte:
03.01.1955 12:00:00;  6,42
16.02.1955 12:00:00;  5,45
12.03.1955 12:00:00;  5,05
03.04.1955 12:00:00;  7,00
26.05.1955 12:00:00;  5,86
19.06.1955 12:00:00;  5,32
05.07.1955 12:00:00;  6,57
08.08.1955 12:00:00;  6,57
30.09.1955 12:00:00;  5,86
03.10.1955 12:00:00;  5,45
28.11.1955 12:00:00;  6,14
02.12.1955 12:00:00;  6,14
31.01.1956 12:00:00;  4,78
24.02.1956 12:00:00;  3,42
01.03.1956 12:00:00;  3,66
22.04.1956 12:00:00;  6,28
15.05.1956 12:00:00;  6,14
09.06.1956 12:00:00;  5,45
29.07.1956 12:00:00;  4,78
19.08.1956 12:00:00;  4,28
26.09.1956 12:00:00;  3,79
13.10.1956 12:00:00;  4,78
24.11.1956 12:00:00;  6,14
29.12.1956 12:00:00;  5,86
22.01.1957 12:00:00;  5,18
17.02.1957 12:00:00;  5,32
28.03.1957 12:00:00;  5,73
11.04.1957 12:00:00;  5,73
24.05.1957 12:00:00;  3,79
14.06.1957 12:00:00;  3,42
07.07.1957 12:00:00;  3,42
07.08.1957 12:00:00;  4,91
11.09.1957 12:00:00;  3,91
11.10.1957 12:00:00;  3,66
01.11.1957 12:00:00;  4,91
08.12.1957 12:00:00;  4,78
29.01.1958 12:00:00;  3,79
04.02.1958 12:00:00;  3,66
18.03.1958 12:00:00;  7,28
29.04.1958 12:00:00;  7,43
29.05.1958 12:00:00;  4,16
08.06.1958 12:00:00;  3,91
31.07.1958 12:00:00;  4,78
07.08.1958 12:00:00;  4,78
21.09.1958 12:00:00;  5,45
02.10.1958 12:00:00;  5,18
14.11.1958 12:00:00;  7,28
03.12.1958 12:00:00;  6,71
20.01.1959 12:00:00;  6,42
18.02.1959 12:00:00;  5,86
31.03.1959 12:00:00;  6,14
06.04.1959 12:00:00;  5,86
30.05.1959 12:00:00;  6,00
09.06.1959 12:00:00;  5,32
12.07.1959 12:00:00;  5,86
30.08.1959 12:00:00;  6,14
19.09.1959 12:00:00;  5,32
03.10.1959 12:00:00;  5,18
21.11.1959 12:00:00;  5,59
12.12.1959 12:00:00;  5,73
20.01.1960 12:00:00;  5,73
10.02.1960 12:00:00;  5,05
07.03.1960 12:00:00;  6,42
23.04.1960 12:00:00;  6,14
20.05.1960 12:00:00;  5,45
07.06.1960 12:00:00;  5,05
23.07.1960 12:00:00;  6,42
31.08.1960 12:00:00;  4,83
08.09.1960 12:00:00;  3,92
07.10.1960 12:00:00;  5,10
19.11.1960 12:00:00;  4,96
13.12.1960 12:00:00;  4,96
30.01.1961 12:00:00;  2,89
08.02.1961 12:00:00;  2,79
31.03.1961 12:00:00;  3,44
22.04.1961 12:00:00;  2,58
27.05.1961 12:00:00;  3,33
25.06.1961 12:00:00;  3,33
16.07.1961 12:00:00;  2,54
27.08.1961 12:00:00;  1,89
06.09.1961 12:00:00;  2,95
10.10.1961 12:00:00;  2,45
01.11.1961 12:00:00;  4,42
06.12.1961 12:00:00;  4,30
16.01.1962 12:00:00;  4,68
05.02.1962 12:00:00;  4,18
04.03.1962 12:00:00;  5,10
11.04.1962 12:00:00;  5,64
05.05.1962 12:00:00;  3,92
22.06.1962 12:00:00;  3,44
21.07.1962 12:00:00;  3,80
26.08.1962 12:00:00;  2,89
18.09.1962 12:00:00;  2,48
04.10.1962 12:00:00;  3,67
06.11.1962 12:00:00;  5,10
27.12.1962 12:00:00;  3,80
20.01.1963 12:00:00;  2,79
17.02.1963 12:00:00;  2,58
07.03.1963 12:00:00;  2,79
29.04.1963 12:00:00;  7,28
25.05.1963 12:00:00;  6,00
07.06.1963 12:00:00;  5,86
28.07.1963 12:00:00;  4,23
03.08.1963 12:00:00;  3,99
29.09.1963 12:00:00;  4,35
27.10.1963 12:00:00;  3,75
15.11.1963 12:00:00;  4,35
22.12.1963 12:00:00;  3,20
31.01.1964 12:00:00;  3,31
26.02.1964 12:00:00;  3,75
08.03.1964 12:00:00;  3,20
22.04.1964 12:00:00;  6,26
31.05.1964 12:00:00;  5,70
15.06.1964 12:00:00;  3,99
21.07.1964 12:00:00;  3,99
05.08.1964 12:00:00;  4,23
18.09.1964 12:00:00;  3,44
05.10.1964 12:00:00;  4,30
15.11.1964 12:00:00;  6,08
05.12.1964 12:00:00;  5,50
05.01.1965 12:00:00;  6,55
15.02.1965 12:00:00;  5,84
02.03.1965 12:00:00;  6,70
05.04.1965 12:00:00;  9,58
28.05.1965 12:00:00;  13,1
27.06.1965 12:00:00;  11,4
12.07.1965 12:00:00;  7,73
30.08.1965 12:00:00;  7,60
27.09.1965 12:00:00;  6,23
10.10.1965 12:00:00;  5,58
02.11.1965 12:00:00;  5,71
03.12.1965 12:00:00;  6,23
24.01.1966 12:00:00;  4,97
19.02.1966 12:00:00;  5,84
12.03.1966 12:00:00;  5,71
09.04.1966 12:00:00;  5,45
18.05.1966 12:00:00;  4,97
20.06.1966 12:00:00;  4,52
12.07.1966 12:00:00;  5,09
16.08.1966 12:00:00;  8,80
30.09.1966 12:00:00;  7,75
27.10.1966 12:00:00;  5,84
11.11.1966 12:00:00;  7,17
01.12.1966 12:00:00;  8,65
11.01.1967 12:00:00;  8,35
20.02.1967 12:00:00;  7,45
13.03.1967 12:00:00;  9,25
24.04.1967 12:00:00;  7,60
30.05.1967 12:00:00;  5,58
30.06.1967 12:00:00;  4,74
08.07.1967 12:00:00;  4,30
