Messstelle:                ;Saalfelden
HZB-Nummer:                ;203471
HD-Nummer:                 ;
DBMS-Nummer:               ;5001042
Gewässer:                  ;Urslau
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;119,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00730,20
   27.10.2010              ;00730,94
   06.07.2011              ;00729,30
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1950              ;412700,00 - 254410,00
Exportzeitreihe:           ;(5001042,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  1,32
11.02.1951 12:00:00;  1,32
08.03.1951 12:00:00;  1,67
02.04.1951 12:00:00;  2,80
19.05.1951 12:00:00;  5,80
30.06.1951 12:00:00;  3,32
09.07.1951 12:00:00;  3,15
31.08.1951 12:00:00;  1,90
26.09.1951 12:00:00;  1,32
31.10.1951 12:00:00; 0,830
01.11.1951 12:00:00;  1,03
31.12.1951 12:00:00;  1,67
18.01.1952 12:00:00;  1,32
23.02.1952 12:00:00;  1,12
03.03.1952 12:00:00;  1,22
07.04.1952 12:00:00;  4,88
23.05.1952 12:00:00;  4,88
13.06.1952 12:00:00;  5,11
28.07.1952 12:00:00;  2,19
16.08.1952 12:00:00;  2,33
30.09.1952 12:00:00;  2,80
01.10.1952 12:00:00;  2,62
30.11.1952 12:00:00;  3,32
27.12.1952 12:00:00;  2,04
31.01.1953 12:00:00;  1,67
28.02.1953 12:00:00;  1,20
01.03.1953 12:00:00;  1,31
20.04.1953 12:00:00;  4,64
04.05.1953 12:00:00;  4,88
24.06.1953 12:00:00;  3,56
27.07.1953 12:00:00;  3,35
21.08.1953 12:00:00;  2,35
29.09.1953 12:00:00;  1,53
31.10.1953 12:00:00;  1,42
24.11.1953 12:00:00; 0,750
30.12.1953 12:00:00; 0,660
06.01.1954 12:00:00; 0,750
23.02.1954 12:00:00; 0,750
06.03.1954 12:00:00; 0,840
25.04.1954 12:00:00;  3,18
09.05.1954 12:00:00;  5,60
25.06.1954 12:00:00;  4,40
31.07.1954 12:00:00;  5,86
22.08.1954 12:00:00;  2,50
20.09.1954 12:00:00;  1,53
25.10.1954 12:00:00;  1,90
28.11.1954 12:00:00;  1,64
07.12.1954 12:00:00;  1,20
31.01.1955 12:00:00;  1,20
28.02.1955 12:00:00; 0,840
12.03.1955 12:00:00; 0,840
20.04.1955 12:00:00;  3,35
31.05.1955 12:00:00;  4,40
01.06.1955 12:00:00;  5,36
21.07.1955 12:00:00;  4,64
27.08.1955 12:00:00;  3,15
27.09.1955 12:00:00;  2,04
24.10.1955 12:00:00;  1,78
23.11.1955 12:00:00;  1,12
25.12.1955 12:00:00;  1,03
29.01.1956 12:00:00; 0,830
27.02.1956 12:00:00; 0,830
02.03.1956 12:00:00; 0,930
10.04.1956 12:00:00;  4,42
04.05.1956 12:00:00;  5,11
14.06.1956 12:00:00;  7,30
23.07.1956 12:00:00;  4,65
18.08.1956 12:00:00;  3,73
30.09.1956 12:00:00;  2,33
03.10.1956 12:00:00;  1,90
26.11.1956 12:00:00;  1,90
31.12.1956 12:00:00;  1,78
30.01.1957 12:00:00;  1,32
01.02.1957 12:00:00;  1,32
04.03.1957 12:00:00;  2,04
17.04.1957 12:00:00;  3,96
12.05.1957 12:00:00;  3,73
02.06.1957 12:00:00;  4,19
09.07.1957 12:00:00;  3,50
15.08.1957 12:00:00;  2,04
17.09.1957 12:00:00;  2,62
31.10.1957 12:00:00;  1,22
28.11.1957 12:00:00; 0,930
31.12.1957 12:00:00; 0,730
31.01.1958 12:00:00; 0,710
07.02.1958 12:00:00; 0,710
14.03.1958 12:00:00; 0,570
13.04.1958 12:00:00;  2,50
01.05.1958 12:00:00;  3,98
17.06.1958 12:00:00;  2,35
20.07.1958 12:00:00;  2,35
22.08.1958 12:00:00;  1,75
17.09.1958 12:00:00;  1,20
12.10.1958 12:00:00;  1,42
30.11.1958 12:00:00;  2,50
20.12.1958 12:00:00;  1,42
31.01.1959 12:00:00;  1,20
26.02.1959 12:00:00;  1,20
01.03.1959 12:00:00;  1,64
04.04.1959 12:00:00;  3,01
31.05.1959 12:00:00;  3,01
05.06.1959 12:00:00;  2,50
28.07.1959 12:00:00;  4,74
31.08.1959 12:00:00;  3,45
30.09.1959 12:00:00;  1,40
21.10.1959 12:00:00; 0,840
27.11.1959 12:00:00; 0,760
26.12.1959 12:00:00; 0,680
27.01.1960 12:00:00; 0,840
19.02.1960 12:00:00; 0,840
10.03.1960 12:00:00;  2,54
30.04.1960 12:00:00;  3,05
03.05.1960 12:00:00;  2,37
24.06.1960 12:00:00;  2,88
06.07.1960 12:00:00;  2,20
30.08.1960 12:00:00;  3,45
29.09.1960 12:00:00;  1,92
06.10.1960 12:00:00;  1,78
22.11.1960 12:00:00;  1,78
30.12.1960 12:00:00;  1,20
31.01.1961 12:00:00; 0,840
09.02.1961 12:00:00; 0,840
05.03.1961 12:00:00;  1,78
29.04.1961 12:00:00;  3,65
05.05.1961 12:00:00;  3,85
30.06.1961 12:00:00;  4,28
28.07.1961 12:00:00;  2,20
12.08.1961 12:00:00;  1,92
30.09.1961 12:00:00;  1,00
17.10.1961 12:00:00; 0,680
22.11.1961 12:00:00; 0,760
03.12.1961 12:00:00; 0,840
25.01.1962 12:00:00; 0,980
28.02.1962 12:00:00; 0,980
03.03.1962 12:00:00; 0,980
12.04.1962 12:00:00;  2,25
06.05.1962 12:00:00;  4,21
30.06.1962 12:00:00;  5,57
02.07.1962 12:00:00;  4,65
31.08.1962 12:00:00;  2,80
17.09.1962 12:00:00;  1,78
28.10.1962 12:00:00;  1,32
30.11.1962 12:00:00;  1,44
31.12.1962 12:00:00;  1,32
31.01.1963 12:00:00;  1,32
23.02.1963 12:00:00; 0,830
15.03.1963 12:00:00;  1,32
03.04.1963 12:00:00;  2,48
23.05.1963 12:00:00;  4,65
18.06.1963 12:00:00;  3,15
30.07.1963 12:00:00;  1,90
07.08.1963 12:00:00;  1,67
25.09.1963 12:00:00;  1,64
31.10.1963 12:00:00;  1,10
12.11.1963 12:00:00; 0,920
31.12.1963 12:00:00; 0,760
30.01.1964 12:00:00; 0,840
26.02.1964 12:00:00; 0,600
10.03.1964 12:00:00; 0,680
01.04.1964 12:00:00;  2,37
31.05.1964 12:00:00;  3,65
27.06.1964 12:00:00;  3,05
28.07.1964 12:00:00;  2,37
01.08.1964 12:00:00;  2,20
06.09.1964 12:00:00;  2,06
08.10.1964 12:00:00;  1,78
15.11.1964 12:00:00;  3,25
31.12.1964 12:00:00;  1,65
31.01.1965 12:00:00;  1,15
28.02.1965 12:00:00;  1,05
13.03.1965 12:00:00; 0,960
24.04.1965 12:00:00;  4,26
01.05.1965 12:00:00;  4,26
04.06.1965 12:00:00;  13,8
24.07.1965 12:00:00;  6,24
20.08.1965 12:00:00;  3,65
26.09.1965 12:00:00;  3,05
29.10.1965 12:00:00;  1,64
24.11.1965 12:00:00;  1,10
16.12.1965 12:00:00;  1,30
27.01.1966 12:00:00;  1,30
01.02.1966 12:00:00;  1,50
20.03.1966 12:00:00;  2,20
01.04.1966 12:00:00;  2,71
13.05.1966 12:00:00;  8,60
23.06.1966 12:00:00;  7,37
13.07.1966 12:00:00;  6,79
08.08.1966 12:00:00;  6,50
30.09.1966 12:00:00;  1,79
29.10.1966 12:00:00;  1,05
