Messstelle:                ;Hohenau a. d. March (Fluss-km 66,92)
HZB-Nummer:                ;207308
HD-Nummer:                 ;
DBMS-Nummer:               ;10001012
Gewässer:                  ;March
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;24137,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1889              ;00148,00
   01.11.1939              ;00147,00
   01.01.2001              ;00146,82
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1889              ;794325,00 - 384880,00
   01.01.2010              ;794317,00 - 384940,00
Exportzeitreihe:           ;(10001012,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1986 00:00,01.01.2022 00:00]
Werte:
13.01.1986 02:00:00;  76,4
24.02.1986 12:00:00;  62,3
01.03.1986 12:00:00;  67,0
30.04.1986 12:00:00;   117
15.05.1986 12:00:00;  59,3
30.06.1986 12:00:00;   103
31.07.1986 12:00:00;  32,2
01.08.1986 12:00:00;  33,6
30.09.1986 12:00:00;  32,7
07.10.1986 12:00:00;  28,6
18.11.1986 12:00:00;  39,9
27.12.1986 12:00:00;  36,5
31.01.1987 12:00:00;  84,1
10.02.1987 12:00:00;  80,9
18.03.1987 12:00:00;  91,5
30.04.1987 12:00:00;   133
12.05.1987 12:00:00;   106
05.06.1987 12:00:00;   197
31.07.1987 12:00:00;  68,3
30.08.1987 12:00:00;  37,9
19.09.1987 12:00:00;  36,0
13.10.1987 12:00:00;  45,5
16.11.1987 12:00:00;  41,4
18.12.1987 12:00:00;  50,9
19.01.1988 12:00:00;  72,0
01.02.1988 00:00:00;   112
05.03.1988 12:00:00;   109
30.04.1988 12:00:00;   121
31.05.1988 12:00:00;  55,9
24.06.1988 12:00:00;  35,0
27.07.1988 12:00:00;  25,2
14.08.1988 12:00:00;  26,0
30.09.1988 12:00:00;  33,6
14.10.1988 12:00:00;  31,3
23.11.1988 12:00:00;  26,4
01.12.1988 12:00:00;  46,1
26.01.1989 12:00:00;  61,7
09.02.1989 12:00:00;  49,3
30.03.1989 12:00:00;  64,0
13.04.1989 12:00:00;  40,9
31.05.1989 12:00:00;  46,6
17.06.1989 12:00:00;  40,9
22.07.1989 12:00:00;  25,2
