Messstelle:                ;Windpassing
HZB-Nummer:                ;207910
HD-Nummer:                 ;no230
DBMS-Nummer:               ;3001031
Gewässer:                  ;Traisen
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;733,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1953              ;00294,13
   01.01.1976              ;00294,15
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1919              ;698484,10 - 334301,90
   01.01.1932              ;698505,00 - 334330,00
Exportzeitreihe:           ;(3001031,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[20.01.1971 12:00,01.01.2022 00:00]
Werte:
20.01.1971 12:00:00;  8,34
28.02.1971 12:00:00;  9,64
13.03.1971 12:00:00;  8,34
30.04.1971 12:00:00;  14,0
30.05.1971 12:00:00;  10,7
07.06.1971 12:00:00;  12,8
25.07.1971 12:00:00;  8,98
26.08.1971 12:00:00;  6,30
08.09.1971 12:00:00;  6,06
31.10.1971 12:00:00;  4,58
01.11.1971 12:00:00;  5,04
20.12.1971 12:00:00;  8,98
29.01.1972 12:00:00;  6,06
06.02.1972 12:00:00;  6,30
25.03.1972 12:00:00;  6,26
01.04.1972 12:00:00;  6,52
19.05.1972 12:00:00;  10,5
29.06.1972 12:00:00;  9,18
10.07.1972 12:00:00;  7,30
19.08.1972 12:00:00;  12,2
28.09.1972 12:00:00;  8,45
22.10.1972 12:00:00;  6,46
12.11.1972 12:00:00;  6,73
31.12.1972 12:00:00;  5,65
21.01.1973 12:00:00;  4,50
21.02.1973 12:00:00;  5,92
02.03.1973 12:00:00;  6,73
15.04.1973 12:00:00;  9,14
31.05.1973 12:00:00;  11,4
18.06.1973 12:00:00;  9,69
27.07.1973 12:00:00;  7,00
28.08.1973 12:00:00;  5,92
15.09.1973 12:00:00;  4,96
11.10.1973 12:00:00;  5,42
09.11.1973 12:00:00;  5,65
03.12.1973 12:00:00;  5,58
07.01.1974 12:00:00;  7,70
28.02.1974 12:00:00;  11,4
14.03.1974 12:00:00;  9,69
30.04.1974 12:00:00;  7,00
01.05.1974 12:00:00;  7,58
29.06.1974 12:00:00;  14,4
13.07.1974 12:00:00;  12,1
17.08.1974 12:00:00;  7,87
13.09.1974 12:00:00;  6,73
02.10.1974 12:00:00;  6,19
27.11.1974 12:00:00;  7,29
01.12.1974 12:00:00;  10,7
25.01.1975 12:00:00;  12,8
28.02.1975 12:00:00;  9,69
03.03.1975 12:00:00;  9,38
10.04.1975 12:00:00;  10,3
31.05.1975 12:00:00;  7,58
28.06.1975 12:00:00;  6,73
31.07.1975 12:00:00;  18,2
24.08.1975 12:00:00;  14,1
30.09.1975 12:00:00;  7,88
30.10.1975 12:00:00;  7,25
29.11.1975 12:00:00;  6,83
27.12.1975 12:00:00;  6,83
01.01.1976 00:00:00; Lücke
01.01.1976 01:00:00;  8,06
18.02.1976 00:00:00;  10,2
26.03.1976 05:00:00;  8,60
24.04.1976 08:00:00;  9,66
22.05.1976 18:00:00;  8,63
30.06.1976 23:59:55;  8,49
08.07.1976 09:00:00;  6,57
19.08.1976 02:00:00;  6,73
15.09.1976 10:00:00;  7,09
30.10.1976 17:00:00;  7,52
13.11.1976 08:00:00;  7,09
31.12.1976 11:00:00;  11,5
24.01.1977 22:00:00;  8,84
05.02.1977 10:00:00;  13,0
31.03.1977 07:00:00;  14,4
01.04.1977 14:00:00;  14,4
30.05.1977 06:00:00;  9,09
29.06.1977 20:00:00;  6,79
30.07.1977 07:00:00;  6,24
01.08.1977 00:00:00;  6,45
18.09.1977 06:00:00;  7,50
29.10.1977 06:00:00;  6,60
22.11.1977 10:00:00;  6,03
02.12.1977 03:00:00;  6,27
29.01.1978 07:00:00;  7,69
21.02.1978 17:00:00;  6,66
20.03.1978 10:00:00;  9,94
12.04.1978 02:00:00;  9,68
09.05.1978 04:00:00;  9,43
30.06.1978 23:59:55;  6,96
30.07.1978 09:00:00;  6,00
22.08.1978 11:00:00;  4,90
16.09.1978 20:00:00;  4,44
22.10.1978 12:00:00;  4,72
19.11.1978 11:00:00;  5,28
03.12.1978 15:00:00;  5,60
24.01.1979 17:00:00;  6,39
03.02.1979 01:00:00;  7,79
03.03.1979 10:00:00;  8,31
25.04.1979 23:00:00;  16,5
27.05.1979 02:00:00;  12,0
16.06.1979 01:00:00;  9,43
27.07.1979 04:00:00;  9,63
16.08.1979 08:00:00;  7,09
21.09.1979 09:00:00;  6,61
27.10.1979 10:00:00;  5,58
05.11.1979 09:00:00;  5,50
31.12.1979 23:59:55;  7,53
02.01.1980 00:00:00;  7,44
01.02.1980 00:00:00;  8,51
05.03.1980 21:00:00;  9,68
01.04.1980 09:00:00;  13,9
30.05.1980 15:00:00;  16,7
22.06.1980 20:00:00;  11,8
19.07.1980 04:00:00;  10,1
27.08.1980 06:00:00;  8,34
30.09.1980 04:00:00;  5,00
05.10.1980 08:00:00;  6,08
15.11.1980 07:00:00;  6,36
09.12.1980 08:00:00;  8,08
31.01.1981 07:00:00;  8,17
01.02.1981 08:00:00;  8,22
05.03.1981 13:00:00;  8,17
25.04.1981 04:00:00;  8,92
31.05.1981 01:00:00;  8,67
10.06.1981 00:00:00;  7,19
04.07.1981 12:00:00;  7,21
14.08.1981 21:00:00;  7,07
13.09.1981 01:00:00;  6,54
21.10.1981 21:00:00;  7,51
01.11.1981 11:00:00;  8,57
29.12.1981 09:00:00;  10,5
29.01.1982 10:00:00;  10,4
28.02.1982 12:00:00;  9,62
01.03.1982 06:00:00;  9,68
17.04.1982 09:00:00;  10,8
23.05.1982 06:00:00;  11,1
26.06.1982 10:00:00;  8,55
22.07.1982 04:00:00;  7,07
31.08.1982 22:00:00;  6,68
11.09.1982 09:00:00;  5,40
01.10.1982 04:00:00;  5,88
27.11.1982 13:00:00;  4,91
04.12.1982 10:00:00;  5,28
03.01.1983 14:00:00;  8,55
27.02.1983 07:00:00;  7,83
