Messstelle:                ;St. Stefan
HZB-Nummer:                ;213942
HD-Nummer:                 ;01871
DBMS-Nummer:               ;2002572
Gewässer:                  ;Globasnitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;21,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   20.12.2012              ;00511,21
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2009              ;555744,99 - 160296,11
   04.08.2015              ;555744,60 - 160295,90
Exportzeitreihe:           ;(2002572,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.03.2010 14:30,01.01.2022 00:00]
Werte:
22.03.2010 14:30:00; 0,293
08.04.2010 06:30:00; 0,241
26.05.2010 14:30:00; 0,125
14.06.2010 20:30:00; 0,125
12.07.2010 21:00:00; 0,099
05.08.2010 16:30:00; 0,090
13.09.2010 13:30:00; 0,263
24.10.2010 11:45:00; 0,267
05.11.2010 08:30:00; 0,320
03.12.2010 20:30:00; 0,361
31.01.2011 07:30:00; 0,150
23.02.2011 10:15:00; 0,116
08.03.2011 04:15:00; 0,099
21.04.2011 10:15:00; 0,082
02.05.2011 16:15:00; 0,094
01.06.2011 08:00:00; 0,183
28.07.2011 06:45:00; 0,120
29.08.2011 08:30:00; 0,060
01.09.2011 02:15:00; 0,070
17.10.2011 13:30:00; 0,081
22.11.2011 10:30:00; 0,081
31.12.2011 11:30:00; 0,101
28.01.2012 20:00:00; 0,081
01.02.2012 00:00:00; 0,081
15.03.2012 19:15:00; 0,081
01.04.2012 00:00:00; 0,081
05.05.2012 23:15:00; 0,101
28.06.2012 20:30:00; 0,166
27.07.2012 10:00:00; 0,149
19.08.2012 12:00:00; 0,108
10.09.2012 19:30:00; 0,125
12.10.2012 12:45:00; 0,167
19.11.2012 10:00:00; 0,322
13.12.2012 10:30:00; 0,212
27.01.2013 11:30:00; 0,175
14.02.2013 12:00:00; 0,158
01.03.2013 00:00:00; 0,175
04.04.2013 07:00:00; 0,549
29.05.2013 18:00:00; 0,337
28.06.2013 14:30:00; 0,261
26.07.2013 13:30:00; 0,177
07.08.2013 12:00:00; 0,147
01.09.2013 11:15:00; 0,147
04.10.2013 14:45:00; 0,150
01.11.2013 09:45:00; 0,158
19.12.2013 20:00:00; 0,237
03.01.2014 11:30:00; 0,262
01.02.2014 03:15:00; 0,358
30.03.2014 11:28:00; 0,286
11.04.2014 11:28:00; 0,258
30.05.2014 08:00:00; 0,225
23.06.2014 14:00:00; 0,164
12.07.2014 07:30:00; 0,150
11.08.2014 17:27:00; 0,205
26.09.2014 08:30:00; 0,377
21.10.2014 07:15:00; 0,262
04.11.2014 11:45:00; 0,262
29.12.2014 11:00:00; 0,337
28.01.2015 19:00:00; 0,188
06.02.2015 13:00:00; 0,172
13.03.2015 19:00:00; 0,172
26.04.2015 20:30:00; 0,188
13.05.2015 09:00:00; 0,124
11.06.2015 18:15:00; 0,172
22.07.2015 20:00:00; 0,140
10.08.2015 19:45:00; 0,140
01.09.2015 17:15:00; 0,140
05.10.2015 20:15:00; 0,353
29.11.2015 11:15:00; 0,188
24.12.2015 14:00:00; 0,140
07.01.2016 14:00:00; 0,124
07.02.2016 12:45:00; 0,124
18.03.2016 09:45:00; 0,272
26.04.2016 17:00:00; 0,209
01.05.2016 06:00:00; 0,336
30.06.2016 13:00:00; 0,272
26.07.2016 12:30:00; 0,188
09.08.2016 11:15:00; 0,172
30.09.2016 14:15:00; 0,161
05.10.2016 20:00:00; 0,124
03.11.2016 13:15:00; 0,222
31.12.2016 13:00:00; 0,272
22.01.2017 21:00:00; 0,230
