Messstelle:                ;Scheiblingkirchen
HZB-Nummer:                ;209544
HD-Nummer:                 ;no730
DBMS-Nummer:               ;3001170
Gewässer:                  ;Schlattenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;69,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   31.12.1983              ;00369,42
   01.01.1984              ;00369,68
   05.05.2014              ;00369,71
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1984              ;735321,00 - 280195,00
Exportzeitreihe:           ;(3001170,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1985 00:00,01.01.2022 00:00]
Werte:
15.01.1985 12:45:00; 0,065
22.02.1985 22:45:00; 0,103
01.03.1985 10:30:00; 0,139
24.04.1985 07:45:00; 0,268
01.05.1985 17:30:00; 0,327
26.06.1985 17:15:00; 0,251
29.07.1985 19:30:00; 0,146
17.08.1985 07:00:00; 0,155
25.09.1985 09:00:00; 0,141
08.10.1985 18:00:00; 0,134
19.11.1985 09:45:00; 0,131
01.12.1985 15:30:00; 0,222
10.01.1986 22:45:00; 0,207
17.02.1986 12:45:00; 0,126
05.03.1986 12:30:00; 0,205
26.04.1986 17:45:00; 0,286
26.05.1986 18:15:00; 0,174
12.06.1986 08:00:00; 0,205
17.07.1986 20:00:00; 0,161
05.08.1986 03:45:00; 0,138
26.09.1986 13:30:00; 0,181
16.10.1986 10:00:00; 0,150
10.11.1986 12:45:00; 0,146
15.12.1986 14:00:00; 0,128
25.01.1987 11:30:00; 0,136
10.02.1987 16:30:00; 0,152
19.03.1987 08:30:00; 0,233
30.04.1987 23:59:55; 0,268
03.05.1987 20:00:00; 0,255
30.06.1987 23:59:55; 0,259
19.07.1987 00:00:00; 0,152
24.08.1987 06:45:00; 0,136
17.09.1987 23:30:00; 0,104
10.10.1987 05:45:00; 0,120
02.11.1987 12:15:00; 0,136
14.12.1987 15:15:00; 0,122
24.01.1988 07:15:00; 0,136
26.02.1988 06:45:00; 0,072
04.03.1988 07:00:00; 0,120
30.04.1988 23:59:55; 0,210
14.05.1988 17:15:00; 0,136
30.06.1988 23:59:55; 0,164
31.07.1988 23:59:55; 0,082
02.08.1988 00:00:00; 0,072
01.09.1988 07:45:00; 0,104
14.10.1988 10:15:00; 0,136
22.11.1988 10:30:00; 0,120
01.12.1988 00:00:00; 0,168
30.01.1989 10:45:00; 0,120
14.02.1989 04:15:00; 0,136
19.03.1989 12:15:00; 0,152
14.04.1989 15:45:00; 0,138
27.05.1989 23:00:00; 0,233
16.06.1989 07:30:00; 0,233
07.07.1989 20:30:00; 0,233
08.08.1989 18:30:00; 0,585
19.09.1989 17:45:00; 0,497
22.10.1989 18:45:00; 0,468
24.11.1989 00:00:00; 0,410
29.12.1989 00:00:00; 0,299
30.01.1990 00:00:00; 0,232
08.02.1990 00:30:00; 0,156
19.03.1990 09:00:00; 0,156
03.04.1990 06:15:00; 0,156
07.05.1990 01:15:00; 0,174
20.06.1990 09:00:00; 0,188
31.07.1990 23:59:55; 0,172
24.08.1990 05:00:00; 0,108
01.09.1990 16:30:00; 0,126
27.10.1990 12:15:00; 0,140
13.11.1990 23:15:00; 0,156
02.12.1990 06:00:00; 0,232
29.01.1991 08:15:00; 0,210
15.02.1991 02:30:00; 0,025
01.03.1991 02:15:00; 0,053
01.04.1991 04:30:00; 0,104
01.05.1991 00:15:00; 0,187
27.06.1991 18:30:00; 0,277
08.07.1991 12:22:30; 0,000
31.08.1991 23:59:55; 0,267
01.09.1991 03:45:00; 0,232
02.10.1991 22:00:00; 0,254
14.11.1991 17:45:00; 0,232
15.12.1991 08:30:00; 0,188
17.01.1992 00:00:00; 0,299
19.02.1992 10:00:00; 0,209
17.03.1992 00:00:00; 0,252
25.04.1992 23:30:00; 0,277
21.05.1992 17:00:00; 0,190
05.06.1992 01:45:00; 0,111
31.07.1992 08:21:00; 0,088
29.08.1992 00:00:00; 0,024
01.09.1992 00:00:00; 0,031
02.10.1992 14:15:00; 0,081
02.11.1992 23:00:00; 0,172
25.12.1992 23:45:00; 0,190
31.01.1993 02:30:00; 0,072
01.02.1993 00:00:05; 0,123
05.03.1993 03:00:00; 0,120
30.04.1993 23:59:55; 0,208
24.05.1993 19:30:00; 0,136
17.06.1993 19:00:00; 0,104
31.07.1993 22:30:00; 0,104
19.08.1993 22:45:00; 0,063
20.09.1993 14:15:00; 0,072
03.10.1993 00:00:00; 0,152
29.11.1993 18:45:00; 0,136
02.12.1993 09:00:00; 0,212
30.01.1994 00:00:00; 0,209
14.02.1994 03:00:00; 0,123
28.03.1994 06:15:00; 0,123
06.04.1994 19:30:00; 0,113
15.05.1994 20:00:00; 0,172
30.06.1994 18:15:00; 0,135
31.07.1994 23:59:55; 0,079
08.08.1994 02:00:00; 0,040
30.09.1994 11:30:00; 0,088
03.10.1994 15:15:00; 0,088
04.11.1994 19:00:00; 0,168
17.12.1994 07:00:00; 0,168
09.01.1995 15:15:00; 0,120
16.02.1995 11:15:00; 0,168
01.03.1995 00:00:00; 0,299
13.04.1995 19:30:00; 0,327
27.05.1995 22:45:00; 0,233
03.06.1995 15:30:00; 0,212
26.07.1995 19:45:00; 0,190
05.08.1995 19:30:00; 0,152
30.09.1995 23:59:55; 0,141
01.10.1995 11:30:00; 0,136
03.11.1995 10:15:00; 0,152
14.12.1995 07:00:00; 0,053
07.01.1996 01:15:00; 0,152
29.02.1996 05:45:00; 0,136
