Messstelle:                ;Gloggnitz (Adlerbrücke)
HZB-Nummer:                ;208710
HD-Nummer:                 ;no690
DBMS-Nummer:               ;3001098
Gewässer:                  ;Schwarza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;472,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00435,38
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;720387,00 - 282084,00
Exportzeitreihe:           ;(3001098,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  6,44
04.02.1951 12:00:00;  6,44
07.03.1951 12:00:00;  6,44
16.04.1951 12:00:00;  7,76
31.05.1951 12:00:00;  10,5
30.06.1951 12:00:00;  7,60
09.07.1951 12:00:00;  5,50
31.08.1951 12:00:00;  4,25
26.09.1951 12:00:00;  3,34
15.10.1951 12:00:00;  2,20
01.11.1951 12:00:00;  2,93
13.12.1951 12:00:00;  4,25
21.01.1952 12:00:00;  2,55
18.02.1952 12:00:00;  2,55
18.03.1952 12:00:00;  4,85
08.04.1952 12:00:00;  13,0
10.05.1952 12:00:00;  9,20
14.06.1952 12:00:00;  10,0
28.07.1952 12:00:00;  6,20
31.08.1952 12:00:00;  3,34
29.09.1952 12:00:00;  3,80
02.10.1952 12:00:00;  3,34
19.11.1952 12:00:00;  4,85
29.12.1952 12:00:00;  2,55
22.01.1953 12:00:00;  2,55
18.02.1953 12:00:00;  2,93
15.03.1953 12:00:00;  4,85
20.04.1953 12:00:00;  8,40
30.05.1953 12:00:00;  7,60
26.06.1953 12:00:00;  6,90
26.07.1953 12:00:00;  2,93
28.08.1953 12:00:00;  5,50
29.09.1953 12:00:00;  4,85
30.10.1953 12:00:00;  2,93
30.11.1953 12:00:00;  2,20
31.12.1953 12:00:00;  2,55
16.01.1954 12:00:00;  2,55
26.02.1954 12:00:00;  2,20
02.03.1954 12:00:00;  1,90
30.04.1954 12:00:00;  6,90
30.05.1954 12:00:00;  10,0
27.06.1954 12:00:00;  8,40
31.07.1954 12:00:00;  8,40
31.08.1954 12:00:00;  4,25
18.09.1954 12:00:00;  3,34
01.10.1954 12:00:00;  4,25
02.11.1954 12:00:00;  4,85
09.12.1954 12:00:00;  4,85
29.01.1955 12:00:00;  4,25
28.02.1955 12:00:00;  3,34
04.03.1955 12:00:00;  1,65
04.04.1955 12:00:00;  7,60
25.05.1955 12:00:00;  10,0
20.06.1955 12:00:00;  8,40
08.07.1955 12:00:00;  9,20
31.08.1955 12:00:00;  8,40
25.09.1955 12:00:00;  3,80
06.10.1955 12:00:00;  4,85
30.11.1955 12:00:00;  6,20
03.12.1955 12:00:00;  5,50
27.01.1956 12:00:00;  4,85
29.02.1956 12:00:00;  2,93
01.03.1956 12:00:00;  3,34
10.04.1956 12:00:00;  8,60
24.05.1956 12:00:00;  11,2
14.06.1956 12:00:00;  8,60
24.07.1956 12:00:00;  6,44
04.08.1956 12:00:00;  4,60
25.09.1956 12:00:00;  3,56
23.10.1956 12:00:00;  4,34
26.11.1956 12:00:00;  5,80
28.12.1956 12:00:00;  4,60
31.01.1957 12:00:00;  4,60
01.02.1957 12:00:00;  4,60
29.03.1957 12:00:00;  8,60
18.04.1957 12:00:00;  7,80
05.05.1957 12:00:00;  6,44
30.06.1957 12:00:00;  5,20
07.07.1957 12:00:00;  4,08
14.08.1957 12:00:00;  7,80
12.09.1957 12:00:00;  6,44
31.10.1957 12:00:00;  4,08
10.11.1957 12:00:00;  3,56
06.12.1957 12:00:00;  2,40
28.01.1958 12:00:00;  2,40
05.02.1958 12:00:00;  3,12
23.03.1958 12:00:00;  5,20
15.04.1958 12:00:00;  8,60
31.05.1958 12:00:00;  7,12
27.06.1958 12:00:00;  5,80
31.07.1958 12:00:00;  5,80
01.08.1958 12:00:00;  5,80
22.09.1958 12:00:00;  5,20
07.10.1958 12:00:00;  5,20
30.11.1958 12:00:00;  7,12
19.12.1958 12:00:00;  5,80
31.01.1959 12:00:00;  4,60
24.02.1959 12:00:00;  3,56
21.03.1959 12:00:00;  4,60
06.04.1959 12:00:00;  5,80
29.05.1959 12:00:00;  7,12
07.06.1959 12:00:00;  4,60
15.07.1959 12:00:00;  7,80
31.08.1959 12:00:00;  7,80
30.09.1959 12:00:00;  4,08
23.10.1959 12:00:00;  3,56
26.11.1959 12:00:00;  3,12
21.12.1959 12:00:00;  2,40
24.01.1960 12:00:00;  3,12
08.02.1960 12:00:00;  2,40
16.03.1960 12:00:00;  5,80
30.04.1960 12:00:00;  7,80
31.05.1960 12:00:00;  7,80
27.06.1960 12:00:00;  7,12
05.07.1960 12:00:00;  5,80
30.08.1960 12:00:00;  8,60
19.09.1960 12:00:00;  7,12
31.10.1960 12:00:00;  7,80
29.11.1960 12:00:00;  5,20
28.12.1960 12:00:00;  2,40
18.01.1961 12:00:00;  2,10
06.02.1961 12:00:00;  3,12
25.03.1961 12:00:00;  6,38
29.04.1961 12:00:00;  7,94
21.05.1961 12:00:00;  9,20
25.06.1961 12:00:00;  7,10
28.07.1961 12:00:00;  4,43
09.08.1961 12:00:00;  3,39
25.09.1961 12:00:00;  2,17
17.10.1961 12:00:00;  2,52
05.11.1961 12:00:00;  4,43
11.12.1961 12:00:00;  5,01
19.01.1962 12:00:00;  5,66
05.02.1962 12:00:00;  6,38
21.03.1962 12:00:00;  6,38
07.04.1962 12:00:00;  10,6
20.05.1962 12:00:00;  11,6
05.06.1962 12:00:00;  4,43
29.07.1962 12:00:00;  6,02
15.08.1962 12:00:00;  3,85
30.09.1962 12:00:00;  3,85
28.10.1962 12:00:00;  3,39
28.11.1962 12:00:00;  3,85
30.12.1962 12:00:00;  3,85
31.01.1963 12:00:00;  2,93
28.02.1963 12:00:00;  2,52
03.03.1963 12:00:00;  2,17
30.04.1963 12:00:00;  11,2
24.05.1963 12:00:00;  8,50
19.06.1963 12:00:00;  7,70
31.07.1963 12:00:00;  5,40
08.08.1963 12:00:00;  2,50
25.09.1963 12:00:00;  3,54
25.10.1963 12:00:00;  3,02
08.11.1963 12:00:00;  2,50
25.12.1963 12:00:00;  2,14
28.01.1964 12:00:00;  1,78
13.02.1964 12:00:00;  1,78
09.03.1964 12:00:00;  2,14
25.04.1964 12:00:00;  9,30
30.05.1964 12:00:00;  10,3
15.06.1964 12:00:00;  6,16
31.07.1964 12:00:00;  4,76
31.08.1964 12:00:00;  5,40
30.09.1964 12:00:00;  4,76
13.10.1964 12:00:00;  3,54
16.11.1964 12:00:00;  6,92
31.12.1964 12:00:00;  7,70
31.01.1965 12:00:00;  6,16
28.02.1965 12:00:00;  3,54
13.03.1965 12:00:00;  5,40
19.04.1965 12:00:00;  13,4
02.05.1965 12:00:00;  15,8
30.06.1965 12:00:00;  14,5
26.07.1965 12:00:00;  9,30
23.08.1965 12:00:00;  6,92
28.09.1965 12:00:00;  4,76
22.10.1965 12:00:00;  3,54
30.11.1965 12:00:00;  3,85
07.12.1965 12:00:00;  3,85
31.01.1966 12:00:00;  2,93
01.02.1966 12:00:00;  2,93
22.03.1966 12:00:00;  5,66
02.04.1966 12:00:00;  6,38
23.05.1966 12:00:00;  4,76
16.06.1966 12:00:00;  4,76
14.07.1966 12:00:00;  8,50
15.08.1966 12:00:00;  7,12
30.09.1966 12:00:00;  5,80
31.10.1966 12:00:00;  5,20
28.11.1966 12:00:00;  4,08
01.12.1966 12:00:00;  4,60
26.01.1967 12:00:00;  4,60
21.02.1967 12:00:00;  7,12
21.03.1967 12:00:00;  8,60
04.04.1967 12:00:00;  10,3
29.05.1967 12:00:00;  9,40
28.06.1967 12:00:00;  9,31
31.07.1967 12:00:00;  6,21
31.08.1967 12:00:00;  5,55
02.09.1967 12:00:00;  5,55
24.10.1967 12:00:00;  4,37
27.11.1967 12:00:00;  3,38
22.12.1967 12:00:00;  2,95
13.01.1968 12:00:00;  3,38
22.02.1968 12:00:00;  3,16
11.03.1968 12:00:00;  2,25
14.04.1968 12:00:00;  4,37
25.05.1968 12:00:00;  2,10
29.06.1968 12:00:00;  1,96
02.07.1968 12:00:00;  1,63
19.08.1968 12:00:00;  4,76
23.09.1968 12:00:00;  2,85
21.10.1968 12:00:00;  3,71
23.11.1968 12:00:00;  3,33
04.12.1968 12:00:00;  3,33
13.01.1969 12:00:00;  5,39
19.02.1969 12:00:00;  4,30
02.03.1969 12:00:00;  4,93
21.04.1969 12:00:00;  5,62
30.05.1969 12:00:00;  4,30
02.06.1969 12:00:00;  4,10
29.07.1969 12:00:00;  5,85
13.08.1969 12:00:00;  3,33
30.09.1969 12:00:00;  3,71
23.10.1969 12:00:00;  3,00
06.11.1969 12:00:00;  2,55
29.12.1969 12:00:00;  3,33
27.01.1970 12:00:00;  3,92
01.02.1970 12:00:00;  3,76
08.03.1970 12:00:00;  4,88
06.04.1970 12:00:00;  7,20
04.05.1970 12:00:00;  14,1
26.06.1970 12:00:00;  7,94
13.07.1970 12:00:00;  5,01
31.08.1970 12:00:00;  6,21
29.09.1970 12:00:00;  4,97
01.10.1970 12:00:00;  5,88
09.11.1970 12:00:00;  6,04
27.12.1970 12:00:00;  4,56
21.01.1971 12:00:00;  3,92
28.02.1971 12:00:00;  3,60
14.03.1971 12:00:00;  3,60
30.04.1971 12:00:00;  8,80
30.05.1971 12:00:00;  8,40
28.06.1971 12:00:00;  8,80
31.07.1971 12:00:00;  4,24
29.08.1971 12:00:00;  3,46
23.09.1971 12:00:00;  2,30
15.10.1971 12:00:00;  2,30
20.11.1971 12:00:00;  2,00
05.12.1971 12:00:00;  3,46
21.01.1972 12:00:00;  1,60
