Messstelle:                ;Moschendorf
HZB-Nummer:                ;215038
HD-Nummer:                 ;
DBMS-Nummer:               ;1002372
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;791
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.07.1997              ;00201,25
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.07.1997              ;759790,00 - 213388,00
   05.10.2018              ;759790,23 - 213376,87
Exportzeitreihe:           ;(1002372,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[30.09.1997 22:58,01.01.2022 00:00]
Werte:
30.09.1997 22:58:00;  1,78
31.10.1997 07:50:15; 0,000
04.11.1997 07:56:40;  1,36
18.12.1997 07:45:05;  1,42
27.01.1998 21:27:15; 0,992
03.02.1998 08:49:00;  1,03
11.03.1998 23:53:40;  1,55
20.04.1998 22:53:25; 0,000
08.05.1998 04:18:10; 0,000
27.06.1998 02:33:55; 0,558
09.07.1998 18:13:45;  1,44
18.08.1998 13:45:15; 0,958
03.09.1998 10:33:20;  1,34
18.10.1998 20:00:20;  3,37
23.11.1998 17:22:35;  2,86
07.12.1998 13:40:35;  2,17
30.01.1999 20:04:10; 0,000
12.02.1999 03:41:00; 0,853
26.03.1999 18:11:20;  2,25
08.04.1999 07:35:35;  1,79
12.05.1999 07:25:45;  3,07
27.06.1999 10:04:10;  2,78
08.07.1999 01:42:30;  2,19
05.08.1999 18:50:20; 0,833
15.09.1999 13:09:50;  2,35
12.10.1999 16:30:30; 0,436
08.11.1999 08:40:10;  1,10
28.12.1999 21:13:35;  1,60
26.01.2000 13:42:55; 0,766
24.02.2000 02:44:40;  2,44
07.03.2000 12:48:55;  2,51
14.04.2000 12:34:40;  2,43
29.05.2000 22:58:10;  1,27
22.06.2000 07:54:00; 0,328
08.07.2000 09:17:40; 0,326
29.08.2000 20:16:35; 0,287
22.09.2000 19:48:40; 0,158
18.10.2000 19:28:35; 0,000
01.11.2000 09:54:05;  1,30
10.12.2000 11:27:10;  1,36
23.01.2001 10:51:45;  1,51
15.02.2001 23:56:05; 0,949
05.03.2001 14:31:20; 0,627
30.04.2001 10:24:35;  1,65
05.05.2001 00:32:40; 0,000
03.06.2001 07:49:00; 0,000
17.07.2001 07:04:35; 0,065
29.08.2001 17:42:45; 0,044
01.09.2001 02:54:20; 0,041
14.10.2001 09:03:20; 0,034
02.11.2001 19:31:50; 0,041
17.12.2001 15:01:30; 0,059
25.01.2002 14:45:00; 0,830
26.02.2002 23:12:00; 0,251
27.03.2002 22:43:00; 0,167
05.04.2002 05:24:55; 0,162
11.05.2002 19:44:35; 0,148
23.06.2002 05:16:25; 0,141
29.07.2002 08:08:35; 0,110
25.08.2002 22:32:35; 0,194
17.09.2002 19:04:45; 0,161
01.10.2002 06:23:45; 0,158
14.11.2002 17:08:50; 0,207
