Messstelle:                ;Dobersdorf
HZB-Nummer:                ;210211
HD-Nummer:                 ;
DBMS-Nummer:               ;1001019
Gewässer:                  ;Lafnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;925,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00235,99
   01.01.1980              ;00236,00
   01.01.1983              ;00235,00
   01.01.1989              ;00234,00
   04.09.2018              ;00234,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;735100,00 - 209150,00
   01.01.2018              ;735106,80 - 209132,69
   04.09.2018              ;735073,93 - 209153,34
Exportzeitreihe:           ;(1001019,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[26.01.1951 12:00,01.01.2022 00:00]
Werte:
26.01.1951 12:00:00;  3,87
05.02.1951 12:00:00;  7,64
06.03.1951 12:00:00;  6,90
26.04.1951 12:00:00;  6,20
29.05.1951 12:00:00;  6,90
02.06.1951 12:00:00;  6,90
08.07.1951 12:00:00;  5,50
11.08.1951 12:00:00;  2,68
11.09.1951 12:00:00;  2,20
18.10.1951 12:00:00;  2,20
01.11.1951 12:00:00;  2,68
20.12.1951 12:00:00;  3,25
15.01.1952 12:00:00;  1,98
12.02.1952 12:00:00;  3,87
09.03.1952 12:00:00;  6,20
27.04.1952 12:00:00;  3,87
31.05.1952 12:00:00;  3,55
17.06.1952 12:00:00;  3,25
15.07.1952 12:00:00;  2,20
17.08.1952 12:00:00;  1,56
03.09.1952 12:00:00;  1,56
13.10.1952 12:00:00;  2,20
18.11.1952 12:00:00;  2,95
13.12.1952 12:00:00;  2,20
22.01.1953 12:00:00;  2,20
11.02.1953 12:00:00;  2,20
14.03.1953 12:00:00;  2,44
26.04.1953 12:00:00;  2,20
18.05.1953 12:00:00;  1,38
02.06.1953 12:00:00;  2,44
27.07.1953 12:00:00;  4,83
21.08.1953 12:00:00;  4,83
28.09.1953 12:00:00;  3,55
16.10.1953 12:00:00;  3,25
28.11.1953 12:00:00;  2,95
31.12.1953 12:00:00;  2,68
10.01.1954 12:00:00;  2,20
16.02.1954 12:00:00;  2,95
31.03.1954 12:00:00;  5,85
28.04.1954 12:00:00;  3,55
04.05.1954 12:00:00;  4,51
14.06.1954 12:00:00;  5,15
27.07.1954 12:00:00;  6,55
29.08.1954 12:00:00;  4,19
06.09.1954 12:00:00;  3,25
20.10.1954 12:00:00;  3,25
07.11.1954 12:00:00;  2,68
08.12.1954 12:00:00;  4,19
31.01.1955 12:00:00;  4,51
13.02.1955 12:00:00;  2,68
04.03.1955 12:00:00;  3,55
30.04.1955 12:00:00;  5,50
29.05.1955 12:00:00;  4,51
08.06.1955 12:00:00;  4,19
04.07.1955 12:00:00;  3,55
24.08.1955 12:00:00;  4,83
11.09.1955 12:00:00;  4,51
04.10.1955 12:00:00;  5,08
11.11.1955 12:00:00;  6,46
16.12.1955 12:00:00;  4,74
28.01.1956 12:00:00;  3,46
04.02.1956 12:00:00;  3,46
16.03.1956 12:00:00;  4,74
18.04.1956 12:00:00;  6,82
