Messstelle:                ;Obertraun
HZB-Nummer:                ;205104
HD-Nummer:                 ;4030
DBMS-Nummer:               ;4001058
Gewässer:                  ;Traun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;317,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1909              ;00527,22
   01.01.1940              ;00526,20
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1909              ;479220,00 - 269530,00
   01.01.2020              ;479263,00 - 269596,00
Exportzeitreihe:           ;(4001058,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[17.01.1951 12:00,01.01.2022 00:00]
Werte:
17.01.1951 12:00:00;  1,92
05.02.1951 12:00:00;  2,38
07.03.1951 12:00:00;  2,38
04.04.1951 12:00:00;  7,40
18.05.1951 12:00:00;  21,3
29.06.1951 12:00:00;  9,80
04.07.1951 12:00:00;  7,40
31.08.1951 12:00:00;  3,50
14.09.1951 12:00:00;  2,66
31.10.1951 12:00:00; 0,700
01.11.1951 12:00:00; 0,700
16.12.1951 12:00:00;  3,50
31.01.1952 12:00:00;  2,76
10.02.1952 12:00:00;  2,50
03.03.1952 12:00:00;  4,12
07.04.1952 12:00:00;  18,6
23.05.1952 12:00:00;  25,0
23.06.1952 12:00:00;  28,2
28.07.1952 12:00:00;  5,80
15.08.1952 12:00:00;  5,08
23.09.1952 12:00:00;  9,80
01.10.1952 12:00:00;  10,3
19.11.1952 12:00:00;  7,00
31.12.1952 12:00:00;  3,54
28.01.1953 12:00:00;  2,50
20.02.1953 12:00:00;  3,02
15.03.1953 12:00:00;  4,12
19.04.1953 12:00:00;  22,0
12.05.1953 12:00:00;  16,7
23.06.1953 12:00:00;  18,6
26.07.1953 12:00:00;  10,6
21.08.1953 12:00:00;  6,94
10.09.1953 12:00:00;  5,38
30.10.1953 12:00:00;  3,26
30.11.1953 12:00:00;  1,40
22.12.1953 12:00:00;  1,30
11.01.1954 12:00:00;  1,40
12.02.1954 12:00:00;  2,00
08.03.1954 12:00:00;  2,00
20.04.1954 12:00:00;  11,7
01.05.1954 12:00:00;  30,3
27.06.1954 12:00:00;  21,5
28.07.1954 12:00:00;  21,5
22.08.1954 12:00:00;  4,04
11.09.1954 12:00:00;  3,26
25.10.1954 12:00:00;  8,20
23.11.1954 12:00:00;  5,38
05.12.1954 12:00:00;  5,38
30.01.1955 12:00:00;  3,78
25.02.1955 12:00:00;  3,26
14.03.1955 12:00:00;  2,60
21.04.1955 12:00:00;  12,2
24.05.1955 12:00:00;  20,9
30.06.1955 12:00:00;  32,0
29.07.1955 12:00:00;  21,5
31.08.1955 12:00:00;  6,94
06.09.1955 12:00:00;  4,04
24.10.1955 12:00:00;  6,10
30.11.1955 12:00:00;  3,26
02.12.1955 12:00:00;  3,26
31.01.1956 12:00:00;  3,00
29.02.1956 12:00:00;  2,00
01.03.1956 12:00:00;  2,20
11.04.1956 12:00:00;  9,64
04.05.1956 12:00:00;  17,6
30.06.1956 12:00:00;  34,4
31.07.1956 12:00:00;  20,8
18.08.1956 12:00:00;  12,9
27.09.1956 12:00:00;  8,42
03.10.1956 12:00:00;  6,78
25.11.1956 12:00:00;  6,78
28.12.1956 12:00:00;  3,54
27.01.1957 12:00:00;  4,74
01.02.1957 12:00:00;  5,06
07.03.1957 12:00:00;  6,36
16.04.1957 12:00:00;  12,7
09.05.1957 12:00:00;  17,8
29.06.1957 12:00:00;  17,8
09.07.1957 12:00:00;  11,5
10.08.1957 12:00:00;  7,40
12.09.1957 12:00:00;  7,80
20.10.1957 12:00:00;  4,30
26.11.1957 12:00:00;  3,08
07.12.1957 12:00:00;  3,08
29.01.1958 12:00:00;  3,08
04.02.1958 12:00:00;  3,22
25.03.1958 12:00:00;  4,47
13.04.1958 12:00:00;  8,40
01.05.1958 12:00:00;  20,6
18.06.1958 12:00:00;  14,1
22.07.1958 12:00:00;  6,80
15.08.1958 12:00:00;  9,28
17.09.1958 12:00:00;  4,73
12.10.1958 12:00:00;  5,56
30.11.1958 12:00:00;  8,40
20.12.1958 12:00:00;  4,21
31.01.1959 12:00:00;  4,21
22.02.1959 12:00:00;  3,95
01.03.1959 12:00:00;  6,80
02.04.1959 12:00:00;  11,8
05.05.1959 12:00:00;  20,6
28.06.1959 12:00:00;  17,0
13.07.1959 12:00:00;  12,4
31.08.1959 12:00:00;  6,18
16.09.1959 12:00:00;  2,75
22.10.1959 12:00:00;  2,15
12.11.1959 12:00:00;  2,60
20.12.1959 12:00:00;  2,15
26.01.1960 12:00:00;  2,45
22.02.1960 12:00:00;  3,53
11.03.1960 12:00:00;  9,28
27.04.1960 12:00:00;  14,1
04.05.1960 12:00:00;  8,80
26.06.1960 12:00:00;  11,2
07.07.1960 12:00:00;  9,76
30.08.1960 12:00:00;  11,2
28.09.1960 12:00:00;  4,47
07.10.1960 12:00:00;  5,56
28.11.1960 12:00:00;  4,99
31.12.1960 12:00:00;  2,75
31.01.1961 12:00:00;  1,74
01.02.1961 12:00:00;  2,15
05.03.1961 12:00:00;  8,00
02.04.1961 12:00:00;  26,8
23.05.1961 12:00:00;  25,9
19.06.1961 12:00:00;  19,9
28.07.1961 12:00:00;  6,80
12.08.1961 12:00:00;  6,80
30.09.1961 12:00:00;  3,11
15.10.1961 12:00:00;  2,45
03.11.1961 12:00:00;  3,53
31.12.1961 12:00:00;  3,74
24.01.1962 12:00:00;  2,90
28.02.1962 12:00:00;  4,05
04.03.1962 12:00:00;  3,55
12.04.1962 12:00:00;  9,10
03.05.1962 12:00:00;  20,5
09.06.1962 12:00:00;  21,2
01.07.1962 12:00:00;  19,9
29.08.1962 12:00:00;  5,20
17.09.1962 12:00:00;  4,00
28.10.1962 12:00:00;  2,55
30.11.1962 12:00:00;  3,35
14.12.1962 12:00:00;  2,65
31.01.1963 12:00:00;  2,90
26.02.1963 12:00:00;  2,26
07.03.1963 12:00:00;  2,65
05.04.1963 12:00:00;  11,0
08.05.1963 12:00:00;  20,5
12.06.1963 12:00:00;  11,5
24.07.1963 12:00:00;  6,28
04.08.1963 12:00:00;  4,60
24.09.1963 12:00:00;  3,80
31.10.1963 12:00:00;  3,80
07.11.1963 12:00:00;  3,20
31.12.1963 12:00:00;  2,55
30.01.1964 12:00:00;  2,26
01.02.1964 12:00:00;  2,30
20.03.1964 12:00:00;  2,90
01.04.1964 12:00:00;  13,1
31.05.1964 12:00:00;  26,4
27.06.1964 12:00:00;  9,10
30.07.1964 12:00:00;  5,20
29.08.1964 12:00:00;  6,64
05.09.1964 12:00:00;  5,56
07.10.1964 12:00:00;  5,92
12.11.1964 12:00:00;  6,64
31.12.1964 12:00:00;  4,90
26.01.1965 12:00:00;  3,55
28.02.1965 12:00:00;  2,90
12.03.1965 12:00:00;  2,90
28.04.1965 12:00:00;  11,5
01.05.1965 12:00:00;  13,6
01.06.1965 12:00:00;  42,1
31.07.1965 12:00:00;  29,6
24.08.1965 12:00:00;  9,10
27.09.1965 12:00:00;  6,28
31.10.1965 12:00:00;  2,90
19.11.1965 12:00:00;  2,40
04.12.1965 12:00:00;  2,65
21.01.1966 12:00:00;  2,55
01.02.1966 12:00:00;  5,56
16.03.1966 12:00:00;  5,92
01.04.1966 12:00:00;  5,56
12.05.1966 12:00:00;  26,4
03.06.1966 12:00:00;  23,5
22.07.1966 12:00:00;  26,4
14.08.1966 12:00:00;  17,3
30.09.1966 12:00:00;  5,56
17.10.1966 12:00:00;  3,01
30.11.1966 12:00:00;  3,24
02.12.1966 12:00:00;  3,01
25.01.1967 12:00:00;  3,55
01.02.1967 12:00:00;  3,55
20.03.1967 12:00:00;  9,10
02.04.1967 12:00:00;  11,0
06.05.1967 12:00:00;  34,6
16.06.1967 12:00:00;  34,6
31.07.1967 12:00:00;  18,6
31.08.1967 12:00:00;  5,92
04.09.1967 12:00:00;  4,90
30.10.1967 12:00:00;  3,55
03.11.1967 12:00:00;  2,90
18.12.1967 12:00:00;  2,65
13.01.1968 12:00:00;  3,55
19.02.1968 12:00:00;  3,55
17.03.1968 12:00:00;  3,55
15.04.1968 12:00:00;  15,4
20.05.1968 12:00:00;  20,5
30.06.1968 12:00:00;  13,1
09.07.1968 12:00:00;  8,26
03.08.1968 12:00:00;  11,5
11.09.1968 12:00:00;  8,26
31.10.1968 12:00:00;  4,60
24.11.1968 12:00:00;  2,65
16.12.1968 12:00:00;  2,40
08.01.1969 12:00:00;  2,40
19.02.1969 12:00:00;  2,45
04.03.1969 12:00:00;  3,35
01.04.1969 12:00:00;  5,92
31.05.1969 12:00:00;  19,2
26.06.1969 12:00:00;  7,42
30.07.1969 12:00:00;  5,56
12.08.1969 12:00:00;  4,30
30.09.1969 12:00:00;  4,60
21.10.1969 12:00:00;  2,65
01.11.1969 12:00:00;  2,90
31.12.1969 12:00:00;  2,65
05.01.1970 12:00:00;  2,65
02.02.1970 12:00:00;  2,90
18.03.1970 12:00:00;  3,55
07.04.1970 12:00:00;  7,00
03.05.1970 12:00:00;  16,7
30.06.1970 12:00:00;  44,0
14.07.1970 12:00:00;  22,0
08.08.1970 12:00:00;  13,1
30.09.1970 12:00:00;  7,42
01.10.1970 12:00:00;  9,58
28.11.1970 12:00:00;  10,5
31.12.1970 12:00:00;  3,55
31.01.1971 12:00:00;  2,75
08.02.1971 12:00:00;  2,65
15.03.1971 12:00:00;  2,90
01.04.1971 12:00:00;  8,68
29.05.1971 12:00:00;  17,9
07.06.1971 12:00:00;  18,6
31.07.1971 12:00:00;  5,64
24.08.1971 12:00:00;  5,30
15.09.1971 12:00:00;  4,60
31.10.1971 12:00:00;  2,90
01.11.1971 12:00:00;  2,30
05.12.1971 12:00:00;  3,35
23.01.1972 12:00:00;  2,35
10.02.1972 12:00:00;  2,35
10.03.1972 12:00:00;  3,35
01.04.1972 12:00:00;  8,26
01.05.1972 12:00:00;  18,0
30.06.1972 12:00:00;  12,1
01.07.1972 12:00:00;  11,1
18.08.1972 12:00:00;  5,56
20.09.1972 12:00:00;  4,90
22.10.1972 12:00:00;  3,55
30.11.1972 12:00:00;  7,42
31.12.1972 12:00:00;  2,90
29.01.1973 12:00:00;  2,40
20.02.1973 12:00:00;  2,35
02.03.1973 12:00:00;  2,45
17.04.1973 12:00:00;  7,42
15.05.1973 12:00:00;  34,1
30.06.1973 12:00:00;  32,4
21.07.1973 12:00:00;  10,2
20.08.1973 12:00:00;  5,64
24.09.1973 12:00:00;  4,00
16.10.1973 12:00:00;  5,04
13.11.1973 12:00:00;  9,42
20.12.1973 12:00:00;  6,66
11.01.1974 12:00:00;  5,64
28.02.1974 12:00:00;  7,80
11.03.1974 12:00:00;  6,32
27.04.1974 12:00:00;  13,6
08.05.1974 12:00:00;  28,4
11.06.1974 12:00:00;  41,1
31.07.1974 12:00:00;  19,9
31.08.1974 12:00:00;  7,42
20.09.1974 12:00:00;  4,30
16.10.1974 12:00:00;  5,92
10.11.1974 12:00:00;  5,20
26.12.1974 12:00:00;  5,92
23.01.1975 12:00:00;  5,92
27.02.1975 12:00:00;  3,80
01.03.1975 12:00:00;  4,30
03.04.1975 12:00:00;  5,92
05.05.1975 12:00:00;  29,6
09.06.1975 12:00:00;  27,7
31.07.1975 12:00:00;  17,9
11.08.1975 12:00:00;  10,1
29.09.1975 12:00:00;  3,55
05.10.1975 12:00:00;  2,90
14.11.1975 12:00:00;  2,45
25.12.1975 12:00:00;  2,45
01.01.1976 00:00:00; Lücke
01.01.1976 20:00:00;  2,20
17.02.1976 17:00:00;  3,42
16.03.1976 11:00:00;  3,20
01.04.1976 13:00:00;  10,8
01.05.1976 15:00:00;  13,0
30.06.1976 17:00:00;  14,1
19.07.1976 15:00:00;  7,20
31.08.1976 18:00:00;  7,48
29.09.1976 12:00:00;  5,37
30.10.1976 10:00:00;  3,03
13.11.1976 12:00:00;  3,55
31.12.1976 02:00:00;  3,79
09.01.1977 11:00:00;  2,10
04.02.1977 02:00:00;  5,07
02.03.1977 15:00:00;  8,22
13.04.1977 10:00:00;  10,7
12.05.1977 00:00:00;  27,8
25.06.1977 16:00:00;  14,9
30.07.1977 16:00:00;  8,18
31.08.1977 23:59:55;  6,70
30.09.1977 23:59:55;  5,39
29.10.1977 03:00:00;  3,10
01.11.1977 15:00:00;  3,49
07.12.1977 10:00:00;  3,91
28.01.1978 09:00:00;  3,75
21.02.1978 08:00:00;  2,73
27.03.1978 01:00:00;  5,65
19.04.1978 10:00:00;  9,46
15.05.1978 15:00:00;  16,9
23.06.1978 14:00:00;  16,4
31.07.1978 13:00:00;  10,9
30.08.1978 10:00:00;  6,05
01.09.1978 00:00:00;  10,4
22.10.1978 09:00:00;  5,92
30.11.1978 22:00:00;  4,17
06.12.1978 20:00:00;  2,70
24.01.1979 16:00:00;  2,48
02.02.1979 19:00:00;  3,03
03.03.1979 21:00:00;  3,65
09.04.1979 13:00:00;  7,43
08.05.1979 15:00:00;  11,0
30.06.1979 23:59:55;  16,9
27.07.1979 20:00:00;  10,5
24.08.1979 09:00:00;  9,05
14.09.1979 08:00:00;  5,47
15.10.1979 07:00:00;  3,65
01.11.1979 03:00:00;  4,27
31.12.1979 04:00:00;  6,08
27.01.1980 16:00:00;  2,83
01.02.1980 04:00:00;  3,88
05.03.1980 12:00:00;  4,40
24.04.1980 07:00:00;  6,75
01.05.1980 11:00:00;  21,0
23.06.1980 12:00:00;  37,8
31.07.1980 15:00:00;  18,8
28.08.1980 18:00:00;  7,49
22.09.1980 15:00:00;  5,69
08.10.1980 03:00:00;  4,45
14.11.1980 18:00:00;  4,35
13.12.1980 12:00:00;  4,13
05.01.1981 17:00:00;  2,50
25.02.1981 14:00:00;  3,27
02.03.1981 17:00:00;  3,25
30.04.1981 18:00:00;  13,6
04.05.1981 14:00:00;  14,6
30.06.1981 23:59:55;  15,3
11.07.1981 15:00:00;  9,07
16.08.1981 14:00:00;  6,43
13.09.1981 11:00:00;  6,81
10.10.1981 11:00:00;  6,84
12.11.1981 15:00:00;  8,98
25.12.1981 14:00:00;  5,29
30.01.1982 12:00:00;  3,86
28.02.1982 08:00:00;  4,81
19.03.1982 10:00:00;  4,08
16.04.1982 13:00:00;  11,2
01.05.1982 07:00:00;  12,1
26.06.1982 14:00:00;  34,2
17.07.1982 09:00:00;  11,8
27.08.1982 17:00:00;  5,80
17.09.1982 21:00:00;  3,23
01.10.1982 01:00:00;  5,54
13.11.1982 01:00:00;  3,48
09.12.1982 06:00:00;  3,76
03.01.1983 05:00:00;  4,93
25.02.1983 10:00:00;  3,78
07.03.1983 00:00:00;  4,59
15.04.1983 17:00:00;  8,40
28.05.1983 12:00:00;  22,4
25.06.1983 14:00:00;  22,5
28.07.1983 13:00:00;  5,15
31.08.1983 23:00:00;  4,52
03.09.1983 12:00:00;  3,87
09.10.1983 06:00:00;  4,49
24.11.1983 08:00:00;  2,92
17.12.1983 09:00:00;  3,87
28.01.1984 13:00:00;  3,72
20.02.1984 19:00:00;  3,19
13.03.1984 08:45:00;  3,30
05.04.1984 00:45:00;  9,74
01.05.1984 11:15:00;  13,6
30.06.1984 23:59:55;  25,1
26.07.1984 00:15:00;  10,1
23.08.1984 23:30:00;  8,25
05.09.1984 18:30:00;  7,16
31.10.1984 17:15:00;  4,39
20.11.1984 20:15:00;  2,82
31.12.1984 23:59:55;  2,28
21.01.1985 00:00:05;  1,80
21.02.1985 08:30:00;  3,84
20.03.1985 09:45:00;  4,42
19.04.1985 10:00:00;  10,9
04.05.1985 11:30:00;  16,7
30.06.1985 18:00:00;  21,9
30.07.1985 19:15:00;  7,74
17.08.1985 15:00:00;  9,95
30.09.1985 18:15:00;  4,76
31.10.1985 09:15:00;  3,81
29.11.1985 12:00:00;  3,30
01.12.1985 00:00:00;  4,29
13.01.1986 11:00:00;  2,44
27.02.1986 00:15:00;  2,92
05.03.1986 13:30:00;  2,95
21.04.1986 09:15:00;  12,7
10.05.1986 17:15:00;  34,2
29.06.1986 15:30:00;  12,0
31.07.1986 15:15:00;  7,38
07.08.1986 21:15:00;  4,45
30.09.1986 17:00:00;  3,93
17.10.1986 11:00:00;  1,58
20.11.1986 16:00:00;  4,52
14.12.1986 16:00:00;  2,21
30.01.1987 23:30:00;  3,03
03.02.1987 08:00:00;  2,84
02.03.1987 14:00:00;  3,22
03.04.1987 10:45:00;  8,59
17.05.1987 14:30:00;  28,3
20.06.1987 16:00:00;  43,0
24.07.1987 14:15:00;  16,1
18.08.1987 13:30:00;  11,7
23.09.1987 23:15:00;  4,83
17.10.1987 11:00:00;  3,78
01.11.1987 18:15:00;  5,19
16.12.1987 12:15:00;  4,59
22.01.1988 06:30:00;  3,90
19.02.1988 23:15:00;  3,60
12.03.1988 12:00:00;  1,84
03.04.1988 08:15:00;  13,1
23.05.1988 17:45:00;  33,6
27.06.1988 07:15:00;  21,9
29.07.1988 13:00:00;  9,69
11.08.1988 18:15:00;  8,68
30.09.1988 08:15:00;  6,85
20.10.1988 05:15:00;  3,90
10.11.1988 09:45:00;  5,26
19.12.1988 11:45:00;  9,18
26.01.1989 18:30:00;  5,26
01.02.1989 00:00:00;  5,64
03.03.1989 09:00:00;  10,2
30.04.1989 21:30:00;  16,4
03.05.1989 14:45:00;  16,4
09.06.1989 10:15:00;  23,5
24.07.1989 00:30:00;  14,3
27.08.1989 00:30:00;  10,2
25.09.1989 05:30:00;  8,68
29.10.1989 16:15:00;  6,03
29.11.1989 17:30:00;  3,90
08.12.1989 17:45:00;  3,30
17.01.1990 20:45:00;  2,76
06.02.1990 18:15:00;  3,90
06.03.1990 02:15:00;  9,18
22.04.1990 17:00:00;  9,18
30.05.1990 10:15:00;  19,5
30.06.1990 12:45:00;  14,3
29.07.1990 23:30:00;  5,64
06.08.1990 17:00:00;  4,90
03.09.1990 09:30:00;  4,55
26.10.1990 22:30:00;  4,90
09.11.1990 12:15:00;  6,43
30.12.1990 18:30:00;  4,90
28.01.1991 15:45:00;  3,60
12.02.1991 01:45:00;  3,03
01.03.1991 05:15:00;  4,55
24.04.1991 17:00:00;  6,85
08.05.1991 14:00:00;  12,5
26.06.1991 08:15:00;  25,2
13.07.1991 04:00:00;  11,3
31.08.1991 23:59:55;  4,45
10.09.1991 12:45:00;  3,04
14.10.1991 18:45:00;  3,81
01.11.1991 12:45:00;  4,45
22.12.1991 00:15:00;  2,01
29.01.1992 11:15:00;  2,96
05.02.1992 12:15:00;  2,01
02.03.1992 03:00:00;  7,15
03.04.1992 12:45:00;  13,0
01.05.1992 12:30:00;  41,6
30.06.1992 14:00:00;  14,2
28.07.1992 18:15:00;  5,14
23.08.1992 02:45:00;  3,81
01.09.1992 00:00:00;  4,79
12.10.1992 10:45:00;  4,45
16.11.1992 14:30:00;  10,1
30.12.1992 08:45:00;  3,81
04.01.1993 21:15:00;  3,81
21.02.1993 08:00:00;  3,81
07.03.1993 04:45:00;  1,61
01.04.1993 00:15:00;  11,2
30.05.1993 08:45:00;  33,6
15.06.1993 17:15:00;  17,7
11.07.1993 10:00:00;  13,0
17.08.1993 08:00:00;  4,12
25.09.1993 10:00:00;  4,79
17.10.1993 06:00:00;  3,51
06.11.1993 06:00:00;  3,23
03.12.1993 13:00:00;  2,46
17.01.1994 07:15:00;  4,79
17.02.1994 13:15:00;  3,51
01.03.1994 19:00:00;  7,60
13.04.1994 16:00:00;  9,36
08.05.1994 12:15:00;  37,5
30.06.1994 23:59:55;  15,3
18.07.1994 17:00:00;  5,40
03.08.1994 17:45:00;  2,89
30.09.1994 09:15:00;  4,03
02.10.1994 21:30:00;  3,73
10.11.1994 12:00:00;  3,15
27.12.1994 12:15:00;  3,73
22.01.1995 19:30:00;  4,03
04.02.1995 15:45:00;  7,01
22.03.1995 00:00:00;  4,86
01.04.1995 09:45:00;  5,78
23.05.1995 11:45:00;  26,2
18.06.1995 15:15:00;  34,5
31.07.1995 23:59:55;  8,51
23.08.1995 21:00:00;  3,51
28.09.1995 00:15:00;  7,15
31.10.1995 10:45:00;  2,46
01.11.1995 13:45:00;  4,12
13.12.1995 01:15:00;  2,63
29.01.1996 12:45:00;  2,96
06.02.1996 11:00:00;  1,81
05.03.1996 12:30:00;  1,40
05.04.1996 05:15:00;  7,01
25.05.1996 12:30:00;  26,2
19.06.1996 10:00:00;  7,29
24.07.1996 11:00:00;  6,43
22.08.1996 13:15:00;  5,26
01.09.1996 07:45:00;  10,8
14.10.1996 14:00:00;  8,68
