Messstelle:                ;Dobersberg (B30)
HZB-Nummer:                ;214460
HD-Nummer:                 ;no609
DBMS-Nummer:               ;3003163
Gewässer:                  ;Deutsche Thaya
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;597,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   26.03.2015              ;00445,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   26.03.2015              ;676429,40 - 420009,30
Exportzeitreihe:           ;(3003163,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[30.03.2015 08:45,01.01.2022 00:00]
Werte:
30.03.2015 08:49:55;  2,33
25.04.2015 10:15:00;  1,28
18.05.2015 09:05:00; 0,892
08.06.2015 13:55:00; 0,777
26.07.2015 05:40:00; 0,250
15.08.2015 17:55:00; 0,098
22.09.2015 00:40:00; 0,141
01.10.2015 00:10:00; 0,602
14.11.2015 05:30:00; 0,611
31.12.2015 23:35:00;  1,48
22.01.2016 18:00:00; 0,943
17.02.2016 12:50:00;  3,14
31.03.2016 02:15:00;  2,18
30.04.2016 20:20:00;  1,20
01.05.2016 10:45:00;  1,08
26.06.2016 10:05:00; 0,586
11.07.2016 01:05:00; 0,673
29.08.2016 08:20:00; 0,500
16.09.2016 23:30:00; 0,083
29.10.2016 17:15:00; 0,803
15.11.2016 16:10:00; 0,948
07.12.2016 22:35:00;  1,06
23.01.2017 22:10:00; 0,924
15.02.2017 13:15:00; 0,882
07.03.2017 05:45:00;  2,31
25.04.2017 18:50:00;  1,63
29.05.2017 06:10:00; 0,724
23.06.2017 21:05:00; 0,044
18.07.2017 18:20:00; 0,225
31.08.2017 22:45:00; 0,108
08.09.2017 14:30:00; 0,008
01.10.2017 23:25:00; 0,128
11.11.2017 20:10:00; 0,315
20.12.2017 19:40:00; 0,542
16.01.2018 19:30:00;  1,45
25.02.2018 16:05:00; 0,813
04.03.2018 01:20:00; 0,831
28.04.2018 12:30:00; 0,498
06.05.2018 02:00:00; 0,357
10.06.2018 06:15:00; 0,424
21.07.2018 23:25:00; 0,324
24.08.2018 02:25:00; 0,064
01.09.2018 02:50:00; 0,224
13.10.2018 15:35:00; 0,242
18.11.2018 09:10:00; 0,359
02.12.2018 14:55:00; 0,848
31.01.2019 18:35:00;  2,86
01.02.2019 12:50:00;  2,75
31.03.2019 04:00:00;  3,21
28.04.2019 23:55:00; 0,916
09.05.2019 04:45:00;  1,01
29.06.2019 11:30:00; 0,503
24.07.2019 23:05:00; 0,130
07.08.2019 00:55:00; 0,155
28.09.2019 20:05:00; 0,210
01.10.2019 20:10:00; 0,360
30.11.2019 20:40:00; 0,422
01.12.2019 00:00:00; 0,534
07.01.2020 04:05:00; 0,754
01.02.2020 00:00:00;  1,62
30.03.2020 00:32:00;  1,43
28.04.2020 11:30:00; 0,479
10.05.2020 02:55:00; 0,411
04.06.2020 02:50:00; 0,633
31.07.2020 23:59:55;  1,43
01.08.2020 07:00:00;  1,23
21.09.2020 14:35:00;  1,67
09.10.2020 10:45:00;  2,99
30.11.2020 23:55:00;  2,70
21.12.2020 22:20:00;  2,42
11.01.2021 14:20:00;  1,60
15.02.2021 08:00:00;  4,81
30.03.2021 09:35:00;  2,42
29.04.2021 03:26:40;  1,43
11.05.2021 13:40:00;  1,22
20.06.2021 20:00:00; 0,782
08.07.2021 16:00:00; 0,890
01.08.2021 09:50:00;  1,22
11.09.2021 11:50:00; 0,809
30.10.2021 20:30:00; 0,986
26.11.2021 18:25:00; 0,786
12.12.2021 18:25:00;  1,20
