Messstelle:                ;Pöls
HZB-Nummer:                ;211128
HD-Nummer:                 ;ow2380
DBMS-Nummer:               ;6001062
Gewässer:                  ;Pölsfluß
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;422
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00788,42
   23.06.2021              ;00788,29
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.08.1950              ;616942,10 - 232854,30
   01.01.2018              ;616919,40 - 232772,90
Exportzeitreihe:           ;(6001062,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[21.01.1951 12:00,01.01.2022 00:00]
Werte:
21.01.1951 12:00:00;  2,80
02.02.1951 12:00:00;  2,80
03.03.1951 12:00:00;  3,76
04.04.1951 12:00:00;  6,04
19.05.1951 12:00:00;  16,6
30.06.1951 12:00:00;  10,8
12.07.1951 12:00:00;  9,20
31.08.1951 12:00:00;  6,04
30.09.1951 12:00:00;  4,28
31.10.1951 12:00:00;  4,00
07.11.1951 12:00:00;  4,28
31.12.1951 12:00:00;  4,56
29.01.1952 12:00:00;  3,04
22.02.1952 12:00:00;  3,52
15.03.1952 12:00:00;  3,52
08.04.1952 12:00:00;  7,36
28.05.1952 12:00:00;  13,6
19.06.1952 12:00:00;  11,7
27.07.1952 12:00:00;  6,36
09.08.1952 12:00:00;  6,36
02.09.1952 12:00:00;  7,00
12.10.1952 12:00:00;  6,36
30.11.1952 12:00:00;  7,72
28.12.1952 12:00:00;  4,84
27.01.1953 12:00:00;  3,52
05.02.1953 12:00:00;  2,48
15.03.1953 12:00:00;  2,48
03.04.1953 12:00:00;  7,36
14.05.1953 12:00:00;  8,44
30.06.1953 12:00:00;  9,60
18.07.1953 12:00:00;  10,0
16.08.1953 12:00:00;  8,80
20.09.1953 12:00:00;  3,52
25.10.1953 12:00:00;  4,84
15.11.1953 12:00:00;  2,16
31.12.1953 12:00:00;  1,90
19.01.1954 12:00:00;  1,10
24.02.1954 12:00:00;  2,48
08.03.1954 12:00:00;  1,70
25.04.1954 12:00:00;  6,36
01.05.1954 12:00:00;  6,36
27.06.1954 12:00:00;  15,0
27.07.1954 12:00:00;  14,6
31.08.1954 12:00:00;  10,0
20.09.1954 12:00:00;  7,36
31.10.1954 12:00:00;  5,12
21.11.1954 12:00:00;  5,72
