Messstelle:                ;Selzthal
HZB-Nummer:                ;210815
HD-Nummer:                 ;ow1540
DBMS-Nummer:               ;6001032
Gewässer:                  ;Palten
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;368,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00632,93
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;597452,90 - 269660,70
   01.01.2018              ;597511,10 - 269205,50
Exportzeitreihe:           ;(6001032,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[13.01.1951 12:00,01.01.2022 00:00]
Werte:
13.01.1951 12:00:00;  4,00
04.02.1951 12:00:00;  4,40
07.03.1951 12:00:00;  5,00
08.04.1951 12:00:00;  6,50
19.05.1951 12:00:00;  14,7
30.06.1951 12:00:00;  9,88
09.07.1951 12:00:00;  6,80
31.08.1951 12:00:00;  5,48
25.09.1951 12:00:00;  4,60
28.10.1951 12:00:00;  3,52
01.11.1951 12:00:00;  4,00
31.12.1951 12:00:00;  5,00
26.01.1952 12:00:00;  3,84
10.02.1952 12:00:00;  3,20
15.03.1952 12:00:00;  3,84
06.04.1952 12:00:00;  8,60
23.05.1952 12:00:00;  14,7
16.06.1952 12:00:00;  13,1
28.07.1952 12:00:00;  7,40
31.08.1952 12:00:00;  6,20
03.09.1952 12:00:00;  7,40
02.10.1952 12:00:00;  7,10
16.11.1952 12:00:00;  6,12
31.12.1952 12:00:00;  6,12
28.01.1953 12:00:00;  4,68
09.02.1953 12:00:00;  3,82
14.03.1953 12:00:00;  4,49
13.04.1953 12:00:00;  8,10
14.05.1953 12:00:00;  10,2
30.06.1953 12:00:00;  8,30
18.07.1953 12:00:00;  8,90
21.08.1953 12:00:00;  9,20
29.09.1953 12:00:00;  5,72
30.10.1953 12:00:00;  4,40
27.11.1953 12:00:00;  3,52
19.12.1953 12:00:00;  2,20
10.01.1954 12:00:00;  2,72
24.02.1954 12:00:00;  3,04
07.03.1954 12:00:00;  3,52
24.04.1954 12:00:00;  5,96
01.05.1954 12:00:00;  9,54
26.06.1954 12:00:00;  13,1
27.07.1954 12:00:00;  12,7
31.08.1954 12:00:00;  8,60
25.09.1954 12:00:00;  5,00
25.10.1954 12:00:00;  5,24
22.11.1954 12:00:00;  5,24
19.12.1954 12:00:00;  4,60
21.01.1955 12:00:00;  4,00
27.02.1955 12:00:00;  4,40
15.03.1955 12:00:00;  4,20
02.04.1955 12:00:00;  6,80
25.05.1955 12:00:00;  15,5
30.06.1955 12:00:00;  12,7
19.07.1955 12:00:00;  9,88
30.08.1955 12:00:00;  7,40
05.09.1955 12:00:00;  5,96
03.10.1955 12:00:00;  5,72
20.11.1955 12:00:00;  5,48
13.12.1955 12:00:00;  4,40
31.01.1956 12:00:00;  3,68
29.02.1956 12:00:00;  3,04
01.03.1956 12:00:00;  3,68
08.04.1956 12:00:00;  5,31
04.05.1956 12:00:00;  10,0
30.06.1956 12:00:00;  16,7
28.07.1956 12:00:00;  7,40
18.08.1956 12:00:00;  4,84
21.09.1956 12:00:00;  4,84
23.10.1956 12:00:00;  3,82
22.11.1956 12:00:00;  4,01
30.12.1956 12:00:00;  4,00
30.01.1957 12:00:00;  4,60
24.02.1957 12:00:00;  4,40
25.03.1957 12:00:00;  4,80
19.04.1957 12:00:00;  9,20
12.05.1957 12:00:00;  10,4
30.06.1957 12:00:00;  7,70
09.07.1957 12:00:00;  5,54
16.08.1957 12:00:00;  7,10
30.09.1957 12:00:00;  8,00
30.10.1957 12:00:00;  4,84
24.11.1957 12:00:00;  3,62
29.12.1957 12:00:00;  3,10
22.01.1958 12:00:00;  2,63
03.02.1958 12:00:00;  3,45
23.03.1958 12:00:00;  3,28
17.04.1958 12:00:00;  5,78
02.05.1958 12:00:00;  8,30
20.06.1958 12:00:00;  6,31
31.07.1958 12:00:00;  6,31
29.08.1958 12:00:00;  5,31
08.09.1958 12:00:00;  4,01
12.10.1958 12:00:00;  5,78
29.11.1958 12:00:00;  8,30
19.12.1958 12:00:00;  5,54
31.01.1959 12:00:00;  4,21
20.02.1959 12:00:00;  3,62
21.03.1959 12:00:00;  4,40
04.04.1959 12:00:00;  5,07
29.05.1959 12:00:00;  8,00
06.06.1959 12:00:00;  4,60
13.07.1959 12:00:00;  10,8
29.08.1959 12:00:00;  10,4
30.09.1959 12:00:00;  4,21
20.10.1959 12:00:00;  3,10
23.11.1959 12:00:00;  2,93
23.12.1959 12:00:00;  2,36
23.01.1960 12:00:00;  2,76
20.02.1960 12:00:00;  2,36
26.03.1960 12:00:00;  2,93
30.04.1960 12:00:00;  5,07
07.05.1960 12:00:00;  4,84
27.06.1960 12:00:00;  5,54
11.07.1960 12:00:00;  6,31
26.08.1960 12:00:00;  7,40
03.09.1960 12:00:00;  6,84
31.10.1960 12:00:00;  6,84
19.11.1960 12:00:00;  4,84
26.12.1960 12:00:00;  3,28
28.01.1961 12:00:00;  3,10
11.02.1961 12:00:00;  3,62
04.03.1961 12:00:00;  4,60
01.04.1961 12:00:00;  6,31
03.05.1961 12:00:00;  11,5
27.06.1961 12:00:00;  9,68
28.07.1961 12:00:00;  5,78
05.08.1961 12:00:00;  5,31
30.09.1961 12:00:00;  3,62
16.10.1961 12:00:00;  3,62
25.11.1961 12:00:00;  4,40
08.12.1961 12:00:00;  4,40
31.01.1962 12:00:00;  5,07
24.02.1962 12:00:00;  4,21
03.03.1962 12:00:00;  4,21
14.04.1962 12:00:00;  5,31
06.05.1962 12:00:00;  14,5
30.06.1962 12:00:00;  14,0
21.07.1962 12:00:00;  8,60
15.08.1962 12:00:00;  6,57
29.09.1962 12:00:00;  5,24
27.10.1962 12:00:00;  3,68
24.11.1962 12:00:00;  4,40
08.12.1962 12:00:00;  3,68
05.01.1963 12:00:00;  3,68
28.02.1963 12:00:00;  3,52
07.03.1963 12:00:00;  3,52
03.04.1963 12:00:00;  4,00
09.05.1963 12:00:00;  12,0
18.06.1963 12:00:00;  10,6
31.07.1963 12:00:00;  7,40
15.08.1963 12:00:00;  6,20
30.09.1963 12:00:00;  7,70
31.10.1963 12:00:00;  4,84
12.11.1963 12:00:00;  4,60
28.12.1963 12:00:00;  3,28
31.01.1964 12:00:00;  2,93
22.02.1964 12:00:00;  2,36
17.03.1964 12:00:00;  2,50
01.04.1964 12:00:00;  4,84
04.05.1964 12:00:00;  9,32
13.06.1964 12:00:00;  5,78
27.07.1964 12:00:00;  6,04
01.08.1964 12:00:00;  5,78
20.09.1964 12:00:00;  5,31
07.10.1964 12:00:00;  5,07
15.11.1964 12:00:00;  9,32
31.12.1964 12:00:00;  6,57
23.01.1965 12:00:00;  4,60
27.02.1965 12:00:00;  3,28
13.03.1965 12:00:00;  3,28
03.04.1965 12:00:00;  8,30
01.05.1965 12:00:00;  16,7
30.06.1965 12:00:00;  26,5
24.07.1965 12:00:00;  13,4
31.08.1965 12:00:00;  9,85
26.09.1965 12:00:00;  7,00
28.10.1965 12:00:00;  3,76
14.11.1965 12:00:00;  3,15
29.12.1965 12:00:00;  3,30
29.01.1966 12:00:00;  2,85
05.02.1966 12:00:00;  3,15
16.03.1966 12:00:00;  3,30
02.04.1966 12:00:00;  4,12
31.05.1966 12:00:00;  12,0
24.06.1966 12:00:00;  8,25
04.07.1966 12:00:00;  9,50
15.08.1966 12:00:00;  14,2
30.09.1966 12:00:00;  8,95
31.10.1966 12:00:00;  5,62
27.11.1966 12:00:00;  3,76
31.12.1966 12:00:00;  4,12
21.01.1967 12:00:00;  3,45
16.02.1967 12:00:00;  3,30
05.03.1967 12:00:00;  5,62
04.04.1967 12:00:00;  7,00
01.05.1967 12:00:00;  16,2
24.06.1967 12:00:00;  13,8
20.07.1967 12:00:00;  7,60
31.08.1967 12:00:00;  4,70
02.09.1967 12:00:00;  4,94
28.10.1967 12:00:00;  4,50
25.11.1967 12:00:00;  3,76
30.12.1967 12:00:00;  3,15
05.01.1968 12:00:00;  2,60
21.02.1968 12:00:00;  3,00
16.03.1968 12:00:00;  2,70
16.04.1968 12:00:00;  8,25
24.05.1968 12:00:00;  7,60
04.06.1968 12:00:00;  6,40
09.07.1968 12:00:00;  4,30
03.08.1968 12:00:00;  9,95
29.09.1968 12:00:00;  6,70
31.10.1968 12:00:00;  5,15
30.11.1968 12:00:00;  3,76
14.12.1968 12:00:00;  2,70
07.01.1969 12:00:00;  2,60
09.02.1969 12:00:00;  2,40
06.03.1969 12:00:00;  3,10
05.04.1969 12:00:00;  2,97
31.05.1969 12:00:00;  6,22
29.06.1969 12:00:00;  5,95
05.07.1969 12:00:00;  6,22
14.08.1969 12:00:00;  3,76
21.09.1969 12:00:00;  3,76
28.10.1969 12:00:00;  3,45
29.11.1969 12:00:00;  3,15
31.12.1969 12:00:00;  2,60
31.01.1970 12:00:00;  2,40
21.02.1970 12:00:00;  2,30
07.03.1970 12:00:00;  2,40
07.04.1970 12:00:00;  3,70
05.05.1970 12:00:00;  11,2
30.06.1970 12:00:00;  13,4
14.07.1970 12:00:00;  10,8
08.08.1970 12:00:00;  14,6
30.09.1970 12:00:00;  10,6
29.10.1970 12:00:00;  8,60
15.11.1970 12:00:00;  7,30
31.12.1970 12:00:00;  5,15
31.01.1971 12:00:00;  4,12
28.02.1971 12:00:00;  3,30
11.03.1971 12:00:00;  3,30
02.04.1971 12:00:00;  4,94
30.05.1971 12:00:00;  9,20
18.06.1971 12:00:00;  7,30
31.07.1971 12:00:00;  6,15
25.08.1971 12:00:00;  4,94
24.09.1971 12:00:00;  4,94
23.10.1971 12:00:00;  3,76
27.11.1971 12:00:00;  3,45
19.12.1971 12:00:00;  3,15
29.01.1972 12:00:00;  2,60
05.02.1972 12:00:00;  2,60
31.03.1972 12:00:00;  2,63
01.04.1972 12:00:00;  2,63
02.05.1972 12:00:00;  6,84
30.06.1972 12:00:00;  13,8
09.07.1972 12:00:00;  7,30
29.08.1972 12:00:00;  10,3
30.09.1972 12:00:00;  7,03
18.10.1972 12:00:00;  5,03
27.11.1972 12:00:00;  4,23
29.12.1972 12:00:00;  3,85
27.01.1973 12:00:00;  3,25
24.02.1973 12:00:00;  3,25
17.03.1973 12:00:00;  3,10
01.04.1973 12:00:00;  4,42
31.05.1973 12:00:00;  14,7
21.06.1973 12:00:00;  13,5
31.07.1973 12:00:00;  8,26
20.08.1973 12:00:00;  5,72
21.09.1973 12:00:00;  4,42
31.10.1973 12:00:00;  6,22
30.11.1973 12:00:00;  4,80
06.12.1973 12:00:00;  4,23
13.01.1974 12:00:00;  4,42
09.02.1974 12:00:00;  5,49
11.03.1974 12:00:00;  5,26
28.04.1974 12:00:00;  8,95
11.05.1974 12:00:00;  12,7
27.06.1974 12:00:00;  17,0
16.07.1974 12:00:00;  11,2
31.08.1974 12:00:00;  7,60
22.09.1974 12:00:00;  5,40
19.10.1974 12:00:00;  5,26
14.11.1974 12:00:00;  4,80
25.12.1974 12:00:00;  5,49
25.01.1975 12:00:00;  7,30
28.02.1975 12:00:00;  4,80
07.03.1975 12:00:00;  5,49
04.04.1975 12:00:00;  7,03
03.05.1975 12:00:00;  22,7
10.06.1975 12:00:00;  17,5
30.07.1975 12:00:00;  14,3
18.08.1975 12:00:00;  7,94
26.09.1975 12:00:00;  4,42
31.10.1975 12:00:00;  3,40
24.11.1975 12:00:00;  2,58
26.12.1975 12:00:00;  2,45
03.01.1976 15:00:00;  2,39
05.02.1976 04:00:00;  2,51
06.03.1976 08:00:00;  2,31
01.04.1976 10:00:00;  3,49
02.05.1976 12:00:00;  5,62
29.06.1976 09:00:00;  5,62
19.07.1976 17:00:00;  3,05
19.08.1976 16:00:00;  5,92
26.09.1976 21:00:00;  6,02
30.10.1976 06:00:00;  3,59
25.11.1976 08:00:00;  3,37
27.12.1976 01:00:00;  2,93
22.01.1977 12:00:00;  2,80
28.02.1977 21:00:00;  2,90
02.03.1977 10:00:00;  3,69
20.04.1977 12:00:00;  7,22
31.05.1977 23:59:55;  13,8
30.06.1977 03:00:00;  6,84
29.07.1977 23:00:00;  4,71
31.08.1977 23:59:55;  5,33
30.09.1977 23:59:55;  3,50
10.10.1977 06:00:00;  3,01
16.11.1977 18:00:00;  2,39
23.12.1977 16:00:00;  2,48
04.01.1978 16:00:00;  2,26
10.02.1978 04:00:00;  2,17
23.03.1978 09:00:00;  3,01
19.04.1978 17:00:00;  4,20
15.05.1978 16:00:00;  9,12
22.06.1978 19:00:00;  7,85
30.07.1978 16:00:00;  6,59
27.08.1978 18:00:00;  4,45
05.09.1978 22:00:00;  4,62
25.10.1978 17:00:00;  5,23
19.11.1978 09:00:00;  3,75
19.12.1978 17:00:00;  3,11
02.01.1979 01:00:00;  2,34
28.02.1979 08:00:00;  4,09
03.03.1979 15:00:00;  4,15
05.04.1979 12:00:00;  4,58
08.05.1979 10:00:00;  8,55
30.06.1979 23:59:55;  12,6
31.07.1979 19:00:00;  9,29
19.08.1979 17:00:00;  2,37
01.09.1979 00:00:00;  4,60
29.10.1979 10:00:00;  3,04
25.11.1979 05:00:00;  3,09
31.12.1979 13:00:00;  4,89
18.01.1980 02:00:00;  3,37
14.02.1980 15:00:00;  3,95
22.03.1980 18:00:00;  4,02
11.04.1980 19:00:00;  5,55
01.05.1980 00:00:00;  7,13
23.06.1980 18:00:00;  12,8
31.07.1980 23:59:55;  9,04
23.08.1980 17:00:00;  5,82
10.09.1980 22:00:00;  8,01
16.10.1980 06:00:00;  8,63
30.11.1980 12:00:00;  5,77
29.12.1980 15:00:00;  4,12
20.01.1981 08:00:00;  3,96
25.02.1981 15:00:00;  3,30
06.03.1981 14:00:00;  3,05
30.04.1981 23:59:55;  9,51
06.05.1981 15:00:00;  8,48
16.06.1981 08:00:00;  7,86
10.07.1981 07:00:00;  6,07
20.08.1981 08:00:00;  8,73
27.09.1981 23:00:00;  6,62
20.10.1981 12:00:00;  6,12
09.11.1981 09:00:00;  5,77
14.12.1981 00:00:00;  4,68
08.01.1982 23:00:00;  4,51
28.02.1982 13:00:00;  4,01
25.03.1982 15:00:00;  4,04
01.04.1982 00:00:00;  5,65
03.05.1982 08:00:00;  6,14
21.06.1982 06:00:00;  11,0
17.07.1982 05:00:00;  8,08
30.08.1982 07:00:00;  6,98
30.09.1982 08:00:00;  3,40
11.10.1982 08:00:00;  4,58
02.11.1982 07:00:00;  3,67
09.12.1982 06:00:00;  2,83
04.01.1983 11:00:00;  4,33
16.02.1983 16:00:00;  4,43
31.03.1983 13:00:00;  3,15
02.04.1983 19:00:00;  3,62
31.05.1983 19:00:00;  11,9
13.06.1983 17:00:00;  9,20
27.07.1983 22:00:00;  4,62
26.08.1983 18:00:00;  3,83
02.09.1983 05:00:00;  3,95
01.10.1983 07:00:00;  4,02
19.11.1983 10:00:00;  2,48
19.12.1983 07:00:00;  2,42
