Messstelle:                ;Teichlbrücke
HZB-Nummer:                ;205823
HD-Nummer:                 ;8430
DBMS-Nummer:               ;4001125
Gewässer:                  ;Teichl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;148,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1919              ;00571,19
   01.01.1978              ;00570,19
   01.07.1981              ;00571,17
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1971              ;522179,00 - 287976,00
   01.01.2018              ;522181,26 - 287976,19
Exportzeitreihe:           ;(4001125,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[15.01.1951 12:00,01.01.2022 00:00]
Werte:
15.01.1951 12:00:00;  2,15
03.02.1951 12:00:00;  2,45
07.03.1951 12:00:00;  1,70
15.04.1951 12:00:00;  3,21
24.05.1951 12:00:00;  4,50
30.06.1951 12:00:00;  3,21
06.07.1951 12:00:00;  2,45
31.08.1951 12:00:00;  1,85
16.09.1951 12:00:00;  1,59
31.10.1951 12:00:00;  1,37
11.11.1951 12:00:00;  1,37
31.12.1951 12:00:00;  2,45
31.01.1952 12:00:00;  1,59
10.02.1952 12:00:00;  1,37
01.03.1952 12:00:00;  1,85
05.04.1952 12:00:00;  7,94
15.05.1952 12:00:00;  6,10
23.06.1952 12:00:00;  5,02
28.07.1952 12:00:00;  2,15
16.08.1952 12:00:00;  1,85
30.09.1952 12:00:00;  3,21
03.10.1952 12:00:00;  3,21
18.11.1952 12:00:00;  3,62
31.12.1952 12:00:00;  1,85
28.01.1953 12:00:00;  1,85
20.02.1953 12:00:00;  1,85
15.03.1953 12:00:00;  2,83
15.04.1953 12:00:00;  5,54
31.05.1953 12:00:00;  5,02
08.06.1953 12:00:00;  4,06
29.07.1953 12:00:00;  3,62
31.08.1953 12:00:00;  2,97
30.09.1953 12:00:00;  2,09
04.10.1953 12:00:00;  1,84
30.11.1953 12:00:00;  1,40
31.12.1953 12:00:00;  1,16
15.01.1954 12:00:00;  1,16
06.02.1954 12:00:00;  3,35
08.03.1954 12:00:00;  3,52
28.04.1954 12:00:00;  5,44
28.05.1954 12:00:00;  6,40
14.06.1954 12:00:00;  5,92
28.07.1954 12:00:00;  8,04
31.08.1954 12:00:00;  3,69
16.09.1954 12:00:00;  3,09
21.10.1954 12:00:00;  4,20
28.11.1954 12:00:00;  3,86
09.12.1954 12:00:00;  3,22
31.01.1955 12:00:00;  3,86
28.02.1955 12:00:00;  3,22
21.03.1955 12:00:00;  3,35
01.04.1955 12:00:00;  5,92
28.05.1955 12:00:00;  7,48
30.06.1955 12:00:00;  6,40
05.07.1955 12:00:00;  5,44
31.08.1955 12:00:00;  4,20
26.09.1955 12:00:00;  3,23
31.10.1955 12:00:00;  3,23
30.11.1955 12:00:00;  2,75
03.12.1955 12:00:00;  2,75
31.01.1956 12:00:00;  3,23
29.02.1956 12:00:00;  2,36
01.03.1956 12:00:00;  2,36
11.04.1956 12:00:00;  4,31
31.05.1956 12:00:00;  6,78
14.06.1956 12:00:00;  5,22
19.07.1956 12:00:00;  4,31
17.08.1956 12:00:00;  3,69
30.09.1956 12:00:00;  3,86
05.10.1956 12:00:00;  2,83
25.11.1956 12:00:00;  4,20
31.12.1956 12:00:00;  2,96
31.01.1957 12:00:00;  2,10
24.02.1957 12:00:00;  2,91
04.03.1957 12:00:00;  4,31
18.04.1957 12:00:00;  5,22
12.05.1957 12:00:00;  4,31
30.06.1957 12:00:00;  2,62
09.07.1957 12:00:00;  2,36
15.08.1957 12:00:00;  3,55
13.09.1957 12:00:00;  4,31
31.10.1957 12:00:00;  2,36
28.11.1957 12:00:00;  2,10
31.12.1957 12:00:00;  2,36
31.01.1958 12:00:00;  2,10
05.02.1958 12:00:00;  2,10
22.03.1958 12:00:00;  2,91
10.04.1958 12:00:00;  5,70
26.05.1958 12:00:00;  5,46
18.06.1958 12:00:00;  4,31
31.07.1958 12:00:00;  2,91
02.08.1958 12:00:00;  2,62
08.09.1958 12:00:00;  2,62
07.10.1958 12:00:00;  2,62
30.11.1958 12:00:00;  3,23
23.12.1958 12:00:00;  2,75
31.01.1959 12:00:00;  2,62
20.02.1959 12:00:00;  2,36
31.03.1959 12:00:00;  3,23
06.04.1959 12:00:00;  2,91
30.05.1959 12:00:00;  3,23
08.06.1959 12:00:00;  2,91
14.07.1959 12:00:00;  4,31
31.08.1959 12:00:00;  3,59
22.09.1959 12:00:00;  2,35
31.10.1959 12:00:00;  2,09
25.11.1959 12:00:00;  1,70
13.12.1959 12:00:00;  1,96
24.01.1960 12:00:00;  1,70
18.02.1960 12:00:00;  3,79
23.03.1960 12:00:00;  3,20
30.04.1960 12:00:00;  2,86
04.05.1960 12:00:00;  2,86
27.06.1960 12:00:00;  3,59
06.07.1960 12:00:00;  5,25
31.08.1960 12:00:00;  4,39
04.09.1960 12:00:00;  3,59
31.10.1960 12:00:00;  2,86
30.11.1960 12:00:00;  2,35
30.12.1960 12:00:00;  1,96
31.01.1961 12:00:00;  1,61
06.02.1961 12:00:00;  1,96
02.03.1961 12:00:00;  3,59
29.04.1961 12:00:00;  6,70
31.05.1961 12:00:00;  4,82
30.06.1961 12:00:00;  3,79
28.07.1961 12:00:00;  2,35
15.08.1961 12:00:00;  3,59
30.09.1961 12:00:00;  1,96
31.10.1961 12:00:00;  1,70
03.11.1961 12:00:00;  1,70
10.12.1961 12:00:00;  1,96
24.01.1962 12:00:00;  2,52
04.02.1962 12:00:00;  2,52
25.03.1962 12:00:00;  2,52
14.04.1962 12:00:00;  3,98
31.05.1962 12:00:00;  7,20
28.06.1962 12:00:00;  4,82
17.07.1962 12:00:00;  4,82
31.08.1962 12:00:00;  2,09
04.09.1962 12:00:00;  1,96
29.10.1962 12:00:00;  2,35
30.11.1962 12:00:00;  2,22
15.12.1962 12:00:00;  2,22
29.01.1963 12:00:00;  2,22
28.02.1963 12:00:00;  1,96
08.03.1963 12:00:00;  2,52
03.04.1963 12:00:00;  4,61
08.05.1963 12:00:00;  5,25
30.06.1963 12:00:00;  4,94
31.07.1963 12:00:00;  2,06
07.08.1963 12:00:00;  1,59
24.09.1963 12:00:00;  2,97
31.10.1963 12:00:00;  1,78
30.11.1963 12:00:00;  1,24
12.12.1963 12:00:00;  1,24
31.01.1964 12:00:00;  1,40
14.02.1964 12:00:00;  1,59
18.03.1964 12:00:00;  1,78
29.04.1964 12:00:00;  6,44
31.05.1964 12:00:00;  2,48
07.06.1964 12:00:00;  1,59
31.07.1964 12:00:00;  1,59
29.08.1964 12:00:00;  1,59
06.09.1964 12:00:00;  1,59
07.10.1964 12:00:00;  1,59
16.11.1964 12:00:00;  2,06
26.12.1964 12:00:00;  3,20
31.01.1965 12:00:00;  2,69
21.02.1965 12:00:00;  2,35
12.03.1965 12:00:00;  2,52
30.04.1965 12:00:00;  7,70
04.05.1965 12:00:00;  7,70
08.06.1965 12:00:00;  7,20
25.07.1965 12:00:00;  3,20
22.08.1965 12:00:00;  1,96
30.09.1965 12:00:00;  2,35
30.10.1965 12:00:00;  2,35
30.11.1965 12:00:00;  1,70
01.12.1965 12:00:00;  1,70
31.01.1966 12:00:00;  2,22
27.02.1966 12:00:00;  5,25
31.03.1966 12:00:00;  3,98
01.04.1966 12:00:00;  3,98
22.05.1966 12:00:00;  6,10
24.06.1966 12:00:00;  5,54
11.07.1966 12:00:00;  6,70
30.08.1966 12:00:00;  7,51
30.09.1966 12:00:00;  4,25
26.10.1966 12:00:00;  2,34
30.11.1966 12:00:00;  2,34
17.12.1966 12:00:00;  1,59
22.01.1967 12:00:00;  1,78
19.02.1967 12:00:00;  3,68
05.03.1967 12:00:00;  5,40
01.04.1967 12:00:00;  8,05
30.05.1967 12:00:00;  8,05
30.06.1967 12:00:00;  4,94
26.07.1967 12:00:00;  2,97
31.08.1967 12:00:00;  2,48
30.09.1967 12:00:00;  2,34
31.10.1967 12:00:00;  2,34
27.11.1967 12:00:00;  1,59
04.12.1967 12:00:00;  1,59
31.01.1968 12:00:00;  2,06
05.02.1968 12:00:00;  2,48
17.03.1968 12:00:00;  2,34
16.04.1968 12:00:00;  4,94
31.05.1968 12:00:00;  3,14
29.06.1968 12:00:00;  3,14
09.07.1968 12:00:00;  1,78
02.08.1968 12:00:00;  5,44
22.09.1968 12:00:00;  2,70
30.10.1968 12:00:00;  3,22
30.11.1968 12:00:00;  2,24
15.12.1968 12:00:00;  1,93
09.01.1969 12:00:00;  1,44
12.02.1969 12:00:00;  1,55
10.03.1969 12:00:00;  2,49
09.04.1969 12:00:00;  3,93
28.05.1969 12:00:00;  2,97
24.06.1969 12:00:00;  2,97
24.07.1969 12:00:00;  2,81
14.08.1969 12:00:00;  2,48
28.09.1969 12:00:00;  1,68
16.10.1969 12:00:00; 0,940
08.11.1969 12:00:00;  1,30
31.12.1969 12:00:00;  1,78
30.01.1970 12:00:00;  1,68
12.02.1970 12:00:00;  1,68
03.03.1970 12:00:00;  2,20
03.04.1970 12:00:00;  4,48
26.05.1970 12:00:00;  9,20
25.06.1970 12:00:00;  5,20
13.07.1970 12:00:00;  3,69
07.08.1970 12:00:00;  5,68
30.09.1970 12:00:00;  3,30
19.10.1970 12:00:00;  3,30
05.11.1970 12:00:00;  3,30
31.12.1970 12:00:00;  1,78
31.01.1971 12:00:00;  1,59
08.02.1971 12:00:00;  1,59
12.03.1971 12:00:00;  1,12
01.04.1971 12:00:00;  3,30
27.05.1971 12:00:00;  2,97
09.06.1971 12:00:00;  2,97
31.07.1971 12:00:00;  1,78
25.08.1971 12:00:00;  1,49
10.09.1971 12:00:00;  1,59
31.10.1971 12:00:00;  1,40
11.11.1971 12:00:00;  1,00
05.12.1971 12:00:00;  1,68
23.01.1972 12:00:00;  1,40
08.02.1972 12:00:00;  1,12
09.03.1972 12:00:00;  1,59
01.04.1972 12:00:00;  2,48
26.05.1972 12:00:00;  4,25
30.06.1972 12:00:00;  3,14
10.07.1972 12:00:00;  2,64
31.08.1972 12:00:00;  2,48
23.09.1972 12:00:00;  1,78
05.10.1972 12:00:00;  1,40
11.11.1972 12:00:00;  2,06
27.12.1972 12:00:00;  1,30
11.01.1973 12:00:00;  1,06
27.02.1973 12:00:00;  1,24
09.03.1973 12:00:00;  1,40
17.04.1973 12:00:00;  3,30
31.05.1973 12:00:00;  5,40
05.06.1973 12:00:00;  4,94
21.07.1973 12:00:00;  2,64
29.08.1973 12:00:00;  1,78
17.09.1973 12:00:00;  1,40
