Messstelle:                ;Gußwerk
HZB-Nummer:                ;210864
HD-Nummer:                 ;ow1640
DBMS-Nummer:               ;6001037
Gewässer:                  ;Salza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;280
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00735,50
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1967              ;672933,40 - 289672,20
   01.01.2018              ;672916,00 - 289659,10
Exportzeitreihe:           ;(6001037,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[21.01.1965 12:00,01.01.2022 00:00]
Werte:
21.01.1965 12:00:00;  1,55
21.02.1965 12:00:00;  1,55
11.03.1965 12:00:00;  1,55
16.04.1965 12:00:00;  12,0
01.05.1965 12:00:00;  14,7
30.06.1965 12:00:00;  7,00
16.07.1965 12:00:00;  3,90
21.08.1965 12:00:00;  3,44
29.09.1965 12:00:00;  2,58
27.10.1965 12:00:00;  1,45
24.11.1965 12:00:00;  1,33
30.12.1965 12:00:00;  1,20
15.01.1966 12:00:00; 0,740
01.02.1966 12:00:00;  2,42
31.03.1966 12:00:00;  3,78
02.04.1966 12:00:00;  3,17
22.05.1966 12:00:00;  3,36
10.06.1966 12:00:00;  2,98
13.07.1966 12:00:00;  6,44
15.08.1966 12:00:00;  5,57
28.09.1966 12:00:00;  3,66
27.10.1966 12:00:00;  2,55
28.11.1966 12:00:00;  1,76
15.12.1966 12:00:00;  1,52
30.01.1967 12:00:00;  1,88
18.02.1967 12:00:00;  2,00
20.03.1967 12:00:00;  7,03
04.04.1967 12:00:00;  6,37
29.05.1967 12:00:00;  7,78
26.06.1967 12:00:00;  3,56
01.07.1967 12:00:00;  2,98
31.08.1967 12:00:00;  2,62
28.09.1967 12:00:00;  1,10
30.10.1967 12:00:00;  1,45
29.11.1967 12:00:00;  1,84
03.12.1967 12:00:00;  1,45
11.01.1968 12:00:00;  1,70
19.02.1968 12:00:00;  2,10
14.03.1968 12:00:00;  1,75
29.04.1968 12:00:00;  6,84
30.05.1968 12:00:00;  1,92
28.06.1968 12:00:00;  1,12
12.07.1968 12:00:00; 0,920
02.08.1968 12:00:00;  4,25
22.09.1968 12:00:00;  1,90
31.10.1968 12:00:00;  1,90
19.11.1968 12:00:00; 0,760
11.12.1968 12:00:00; 0,600
18.01.1969 12:00:00;  1,12
22.02.1969 12:00:00;  1,00
07.03.1969 12:00:00;  1,36
05.04.1969 12:00:00;  6,00
31.05.1969 12:00:00;  2,97
02.06.1969 12:00:00;  2,59
29.07.1969 12:00:00;  3,57
05.08.1969 12:00:00;  1,36
26.09.1969 12:00:00;  2,59
26.10.1969 12:00:00;  1,00
20.11.1969 12:00:00; 0,760
10.12.1969 12:00:00; 0,920
04.01.1970 12:00:00; 0,680
09.02.1970 12:00:00; 0,920
08.03.1970 12:00:00;  1,48
05.04.1970 12:00:00;  4,02
25.05.1970 12:00:00;  10,8
28.06.1970 12:00:00;  5,46
12.07.1970 12:00:00;  4,98
07.08.1970 12:00:00;  4,60
21.09.1970 12:00:00;  3,89
21.10.1970 12:00:00;  3,22
09.11.1970 12:00:00;  4,06
27.12.1970 12:00:00;  2,68
20.01.1971 12:00:00;  2,20
27.02.1971 12:00:00;  2,20
13.03.1971 12:00:00;  2,20
29.04.1971 12:00:00;  5,98
29.05.1971 12:00:00;  1,63
05.06.1971 12:00:00;  2,86
28.07.1971 12:00:00;  2,68
26.08.1971 12:00:00;  1,90
11.09.1971 12:00:00;  1,63
28.10.1971 12:00:00;  1,06
07.11.1971 12:00:00;  1,51
19.12.1971 12:00:00;  2,35
31.01.1972 12:00:00;  1,06
15.02.1972 12:00:00; 0,790
22.03.1972 12:00:00;  1,63
01.04.1972 12:00:00;  2,20
03.05.1972 12:00:00;  4,74
28.06.1972 12:00:00;  2,68
10.07.1972 12:00:00;  2,86
19.08.1972 12:00:00;  3,47
23.09.1972 12:00:00;  2,68
18.10.1972 12:00:00;  1,15
28.11.1972 12:00:00;  2,50
22.12.1972 12:00:00; 0,700
26.01.1973 12:00:00; 0,910
28.02.1973 12:00:00; 0,700
21.03.1973 12:00:00; 0,800
21.04.1973 12:00:00;  4,60
31.05.1973 12:00:00;  5,34
21.06.1973 12:00:00;  4,84
25.07.1973 12:00:00;  2,50
27.08.1973 12:00:00;  1,28
07.09.1973 12:00:00;  1,41
21.10.1973 12:00:00;  1,98
02.11.1973 12:00:00;  2,15
19.12.1973 12:00:00;  2,15
