Messstelle:                ;Krössbach
HZB-Nummer:                ;202283
HD-Nummer:                 ;
DBMS-Nummer:               ;7001117
Gewässer:                  ;Ruetz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;127,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   12.07.1990              ;01086,16
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   12.07.1990              ;220885,00 - 216106,00
Exportzeitreihe:           ;(7001117,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:00,01.01.2022 00:00]
Werte:
20.01.1991 16:30:00; 0,347
14.02.1991 12:45:00; 0,389
06.03.1991 11:00:00; 0,443
27.04.1991 19:15:00; 0,885
01.05.1991 16:00:00;  1,04
05.06.1991 16:15:00;  5,19
29.07.1991 08:15:00;  8,05
31.08.1991 11:45:00;  4,52
25.09.1991 12:45:00;  3,84
31.10.1991 12:45:00;  1,60
29.11.1991 18:00:00; 0,825
11.12.1991 14:30:00; 0,266
28.01.1992 13:00:00; 0,319
20.02.1992 14:30:00; 0,145
24.03.1992 13:45:00; 0,266
03.04.1992 11:45:00; 0,334
01.05.1992 07:15:00;  2,81
14.06.1992 14:15:00;  5,82
14.07.1992 10:30:00;  8,19
13.08.1992 10:15:00;  6,23
27.09.1992 14:00:00;  2,99
31.10.1992 07:15:00;  1,40
19.11.1992 08:00:00;  1,07
30.12.1992 00:00:00; 0,482
02.01.1993 22:30:00; 0,425
01.02.1993 10:15:00; 0,425
30.03.1993 08:15:00; 0,441
05.04.1993 00:00:00; 0,574
02.05.1993 14:00:00;  3,60
05.06.1993 12:15:00;  5,73
14.07.1993 09:15:00;  5,48
30.08.1993 12:30:00;  4,66
06.09.1993 11:00:00;  3,38
31.10.1993 10:15:00;  3,21
30.11.1993 13:00:00;  1,60
31.12.1993 23:59:55; 0,810
21.01.1994 12:00:00; 0,490
16.02.1994 13:00:00; 0,482
05.03.1994 09:15:00; 0,556
09.04.1994 08:00:00; 0,637
07.05.1994 08:00:00;  2,92
15.06.1994 11:00:00;  5,01
10.07.1994 13:15:00;  9,26
19.08.1994 10:45:00;  5,92
30.09.1994 12:45:00;  4,63
31.10.1994 11:15:00;  1,94
30.11.1994 23:59:55;  1,27
24.12.1994 10:00:00; 0,708
31.01.1995 23:00:00; 0,425
28.02.1995 07:45:00; 0,301
08.03.1995 07:45:00; 0,222
01.04.1995 00:00:00; 0,473
22.05.1995 07:00:00;  2,71
04.06.1995 12:30:00;  7,99
30.07.1995 09:30:00;  12,0
31.08.1995 22:00:00;  5,32
30.09.1995 07:00:00;  3,35
31.10.1995 23:59:55;  1,71
21.11.1995 08:15:00; 0,958
29.12.1995 01:30:00; 0,358
31.01.1996 05:15:00; 0,282
24.02.1996 07:00:00; 0,218
04.03.1996 10:15:00; 0,218
01.04.1996 08:15:00; 0,449
