Messstelle:                ;Weitensfeld-Ost
HZB-Nummer:                ;212886
HD-Nummer:                 ;00511
DBMS-Nummer:               ;2001050
Gewässer:                  ;Gurk
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;431,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1914              ;00693,56
   16.07.1939              ;00692,56
   01.01.1957              ;00694,65
   01.03.1968              ;00694,58
   01.01.1976              ;00694,58
   01.01.1994              ;00692,90
   04.06.2004              ;00692,94
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1914              ;516154,10 - 190370,30
Exportzeitreihe:           ;(2001050,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 12:00,01.01.2022 00:00]
Werte:
01.01.1951 12:00:00;  2,22
04.02.1951 12:00:00;  3,22
05.03.1951 12:00:00;  4,20
05.04.1951 12:00:00;  9,46
20.05.1951 12:00:00;  18,0
30.06.1951 12:00:00;  9,52
31.07.1951 12:00:00;  5,65
31.08.1951 12:00:00;  2,42
16.09.1951 12:00:00;  2,00
23.10.1951 12:00:00;  2,56
01.11.1951 12:00:00;  3,02
31.12.1951 12:00:00;  2,70
29.01.1952 12:00:00;  1,50
10.02.1952 12:00:00;  1,60
09.03.1952 12:00:00;  1,90
09.04.1952 12:00:00;  5,65
28.05.1952 12:00:00;  3,70
13.06.1952 12:00:00;  3,02
24.07.1952 12:00:00;  3,34
16.08.1952 12:00:00;  3,18
04.09.1952 12:00:00;  5,42
25.10.1952 12:00:00;  4,96
26.11.1952 12:00:00;  4,50
25.12.1952 12:00:00;  2,42
24.01.1953 12:00:00;  1,60
17.02.1953 12:00:00;  1,80
17.03.1953 12:00:00;  2,42
10.04.1953 12:00:00;  4,96
27.05.1953 12:00:00;  5,42
07.06.1953 12:00:00;  4,96
01.07.1953 12:00:00;  7,90
21.08.1953 12:00:00;  6,46
19.09.1953 12:00:00;  4,50
25.10.1953 12:00:00;  3,70
26.11.1953 12:00:00;  3,02
31.12.1953 12:00:00;  1,90
27.01.1954 12:00:00;  1,50
21.02.1954 12:00:00; 0,980
02.03.1954 12:00:00;  1,80
26.04.1954 12:00:00;  5,19
02.05.1954 12:00:00;  8,50
27.06.1954 12:00:00;  11,6
29.07.1954 12:00:00;  8,20
11.08.1954 12:00:00;  5,19
06.09.1954 12:00:00;  4,96
31.10.1954 12:00:00;  4,50
22.11.1954 12:00:00;  3,18
10.12.1954 12:00:00;  3,18
03.01.1955 12:00:00;  2,14
12.02.1955 12:00:00;  1,50
03.03.1955 12:00:00;  1,70
21.04.1955 12:00:00;  5,65
06.05.1955 12:00:00;  9,52
17.06.1955 12:00:00;  7,00
31.07.1955 12:00:00;  6,46
28.08.1955 12:00:00;  4,30
10.09.1955 12:00:00;  4,50
09.10.1955 12:00:00;  4,96
30.11.1955 12:00:00;  4,50
31.12.1955 12:00:00;  3,34
31.01.1956 12:00:00;  1,42
02.02.1956 12:00:00; 0,800
21.03.1956 12:00:00;  1,80
09.04.1956 12:00:00;  2,70
18.05.1956 12:00:00;  7,30
30.06.1956 12:00:00;  8,50
31.07.1956 12:00:00;  3,90
14.08.1956 12:00:00;  3,50
30.09.1956 12:00:00;  3,02
26.10.1956 12:00:00;  2,42
30.11.1956 12:00:00;  4,10
27.12.1956 12:00:00;  1,70
20.01.1957 12:00:00;  1,42
22.02.1957 12:00:00;  1,70
02.03.1957 12:00:00;  1,50
02.04.1957 12:00:00;  5,42
14.05.1957 12:00:00;  7,30
20.06.1957 12:00:00;  9,18
09.07.1957 12:00:00;  7,00
31.08.1957 12:00:00;  4,96
12.09.1957 12:00:00;  4,30
31.10.1957 12:00:00;  3,70
05.11.1957 12:00:00;  2,70
31.12.1957 12:00:00;  2,00
28.01.1958 12:00:00;  1,60
01.02.1958 12:00:00;  2,28
25.03.1958 12:00:00;  2,00
03.04.1958 12:00:00;  5,19
31.05.1958 12:00:00;  6,19
19.06.1958 12:00:00;  3,90
21.07.1958 12:00:00;  5,42
13.08.1958 12:00:00;  9,18
22.09.1958 12:00:00;  5,19
12.10.1958 12:00:00;  5,92
11.11.1958 12:00:00;  6,46
09.12.1958 12:00:00;  5,19
31.01.1959 12:00:00;  3,90
15.02.1959 12:00:00;  2,00
19.03.1959 12:00:00;  3,34
05.04.1959 12:00:00;  4,50
09.05.1959 12:00:00;  7,90
09.06.1959 12:00:00;  8,50
13.07.1959 12:00:00;  7,90
02.08.1959 12:00:00;  8,50
30.09.1959 12:00:00;  4,50
24.10.1959 12:00:00;  2,70
11.11.1959 12:00:00;  3,90
23.12.1959 12:00:00;  3,70
12.01.1960 12:00:00;  1,50
16.02.1960 12:00:00;  2,00
15.03.1960 12:00:00;  3,90
30.04.1960 12:00:00;  8,84
10.05.1960 12:00:00;  7,00
26.06.1960 12:00:00;  4,10
08.07.1960 12:00:00;  3,90
30.08.1960 12:00:00;  4,40
04.09.1960 12:00:00;  5,88
31.10.1960 12:00:00;  10,8
28.11.1960 12:00:00;  6,16
28.12.1960 12:00:00;  5,60
22.01.1961 12:00:00;  2,08
05.02.1961 12:00:00;  2,36
06.03.1961 12:00:00;  4,00
02.04.1961 12:00:00;  5,60
26.05.1961 12:00:00;  4,00
20.06.1961 12:00:00;  4,00
13.07.1961 12:00:00;  2,50
31.08.1961 12:00:00;  2,28
30.09.1961 12:00:00;  1,18
07.10.1961 12:00:00;  1,70
03.11.1961 12:00:00;  3,90
11.12.1961 12:00:00;  4,10
31.01.1962 12:00:00;  1,70
24.02.1962 12:00:00;  1,70
18.03.1962 12:00:00;  1,90
13.04.1962 12:00:00;  3,18
07.05.1962 12:00:00;  7,90
25.06.1962 12:00:00;  8,50
27.07.1962 12:00:00;  10,2
31.08.1962 12:00:00;  4,73
07.09.1962 12:00:00;  4,10
28.10.1962 12:00:00;  3,02
30.11.1962 12:00:00;  3,70
22.12.1962 12:00:00;  2,00
31.01.1963 12:00:00;  2,14
26.02.1963 12:00:00; 0,790
02.03.1963 12:00:00; 0,790
05.04.1963 12:00:00;  5,20
11.05.1963 12:00:00;  9,45
30.06.1963 12:00:00;  7,60
26.07.1963 12:00:00;  2,25
17.08.1963 12:00:00;  3,00
30.09.1963 12:00:00;  6,20
31.10.1963 12:00:00;  3,00
01.11.1963 12:00:00;  3,00
24.12.1963 12:00:00;  3,36
10.01.1964 12:00:00;  2,56
22.02.1964 12:00:00;  1,18
24.03.1964 12:00:00;  1,34
03.04.1964 12:00:00;  4,50
26.05.1964 12:00:00;  5,42
12.06.1964 12:00:00;  3,70
03.07.1964 12:00:00;  4,30
18.08.1964 12:00:00;  3,70
30.09.1964 12:00:00;  3,02
08.10.1964 12:00:00;  2,56
28.11.1964 12:00:00;  5,88
31.12.1964 12:00:00;  3,54
22.01.1965 12:00:00;  1,89
27.02.1965 12:00:00;  1,29
12.03.1965 12:00:00;  1,56
26.04.1965 12:00:00;  4,32
01.05.1965 12:00:00;  4,74
30.06.1965 12:00:00;  11,1
30.07.1965 12:00:00;  6,44
22.08.1965 12:00:00;  7,00
26.09.1965 12:00:00;  8,84
31.10.1965 12:00:00;  4,96
25.11.1965 12:00:00;  3,34
25.12.1965 12:00:00;  2,00
14.01.1966 12:00:00;  1,60
04.02.1966 12:00:00;  2,14
31.03.1966 12:00:00;  2,70
01.04.1966 12:00:00;  3,02
31.05.1966 12:00:00;  4,96
24.06.1966 12:00:00;  3,82
02.07.1966 12:00:00;  3,47
02.08.1966 12:00:00;  5,06
30.09.1966 12:00:00;  5,13
15.10.1966 12:00:00;  3,18
03.11.1966 12:00:00;  4,73
27.12.1966 12:00:00;  4,20
18.01.1967 12:00:00;  3,65
15.02.1967 12:00:00;  2,59
21.03.1967 12:00:00;  3,99
03.04.1967 12:00:00;  4,63
01.05.1967 12:00:00;  7,23
30.06.1967 12:00:00;  5,06
23.07.1967 12:00:00;  3,50
01.08.1967 12:00:00;  3,70
30.09.1967 12:00:00;  6,64
28.10.1967 12:00:00;  3,00
27.11.1967 12:00:00;  3,90
20.12.1967 12:00:00;  1,89
11.01.1968 12:00:00;  1,56
18.02.1968 12:00:00;  1,29
12.03.1968 12:00:00;  1,42
17.04.1968 12:00:00;  5,42
21.05.1968 12:00:00;  4,50
30.06.1968 12:00:00;  7,82
11.07.1968 12:00:00;  5,06
01.08.1968 12:00:00;  5,32
29.09.1968 12:00:00;  5,42
31.10.1968 12:00:00;  3,70
02.11.1968 12:00:00;  3,70
30.12.1968 12:00:00;  2,42
01.01.1969 12:00:00;  2,14
09.02.1969 12:00:00;  1,26
07.03.1969 12:00:00;  1,20
06.04.1969 12:00:00;  4,11
31.05.1969 12:00:00;  7,23
30.06.1969 12:00:00;  6,94
28.07.1969 12:00:00;  4,42
20.08.1969 12:00:00;  4,42
14.09.1969 12:00:00;  6,35
22.10.1969 12:00:00;  3,30
03.11.1969 12:00:00;  3,13
22.12.1969 12:00:00;  2,70
23.01.1970 12:00:00;  2,00
17.02.1970 12:00:00;  1,60
02.03.1970 12:00:00;  1,50
04.04.1970 12:00:00;  3,02
05.05.1970 12:00:00;  9,52
28.06.1970 12:00:00;  6,75
28.07.1970 12:00:00;  5,49
07.08.1970 12:00:00;  6,49
26.09.1970 12:00:00;  4,81
24.10.1970 12:00:00;  1,60
04.11.1970 12:00:00;  1,42
25.12.1970 12:00:00;  1,42
29.01.1971 12:00:00;  1,50
28.02.1971 12:00:00; 0,920
05.03.1971 12:00:00; 0,860
01.04.1971 12:00:00;  2,42
29.05.1971 12:00:00;  4,81
29.06.1971 12:00:00;  3,85
28.07.1971 12:00:00;  2,22
21.08.1971 12:00:00;  1,90
15.09.1971 12:00:00;  1,50
11.10.1971 12:00:00;  1,26
26.11.1971 12:00:00;  1,50
28.12.1971 12:00:00;  1,50
26.01.1972 12:00:00;  1,30
07.02.1972 12:00:00;  1,04
05.03.1972 12:00:00;  3,85
01.04.1972 12:00:00;  7,02
02.05.1972 12:00:00;  9,44
17.06.1972 12:00:00;  12,4
10.07.1972 12:00:00;  7,60
26.08.1972 12:00:00;  4,62
21.09.1972 12:00:00;  2,73
19.10.1972 12:00:00;  2,03
27.11.1972 12:00:00;  1,84
31.12.1972 12:00:00;  1,58
28.01.1973 12:00:00;  1,10
28.02.1973 12:00:00; 0,800
11.03.1973 12:00:00; 0,800
05.04.1973 12:00:00;  2,87
29.05.1973 12:00:00;  5,72
06.06.1973 12:00:00;  4,81
31.07.1973 12:00:00;  6,66
28.08.1973 12:00:00;  4,60
16.09.1973 12:00:00;  3,01
25.10.1973 12:00:00;  5,08
28.11.1973 12:00:00;  2,56
31.12.1973 12:00:00;  2,08
27.01.1974 12:00:00;  1,84
11.02.1974 12:00:00;  1,84
05.03.1974 12:00:00;  1,72
06.04.1974 12:00:00;  3,94
28.05.1974 12:00:00;  5,80
15.06.1974 12:00:00;  4,38
30.07.1974 12:00:00;  5,56
19.08.1974 12:00:00;  3,34
19.09.1974 12:00:00;  4,16
31.10.1974 12:00:00;  4,38
30.11.1974 12:00:00;  1,96
14.12.1974 12:00:00;  1,60
09.01.1975 12:00:00;  1,03
26.02.1975 12:00:00; 0,820
01.03.1975 12:00:00; 0,920
02.04.1975 12:00:00;  2,73
31.05.1975 12:00:00;  19,6
15.06.1975 12:00:00;  11,3
31.07.1975 12:00:00;  7,84
06.08.1975 12:00:00;  5,08
30.09.1975 12:00:00;  2,28
28.10.1975 12:00:00;  1,90
22.11.1975 12:00:00;  1,36
21.12.1975 12:00:00;  1,44
28.01.1976 10:30:00; 0,718
07.02.1976 17:00:00; 0,646
22.03.1976 07:00:00; 0,601
04.04.1976 07:00:00;  2,19
01.05.1976 13:30:00;  6,65
30.06.1976 23:59:55;  3,25
28.07.1976 18:00:00;  1,88
29.08.1976 09:30:00;  1,75
01.09.1976 00:00:00;  2,59
09.10.1976 15:30:00; 0,745
29.11.1976 16:00:00;  3,43
27.12.1976 11:00:00;  1,09
31.01.1977 14:00:00; 0,935
03.02.1977 23:30:00;  1,53
02.03.1977 09:00:00;  5,54
16.04.1977 09:00:00;  6,30
10.05.1977 10:30:00;  9,02
05.06.1977 15:00:00;  4,55
03.07.1977 17:30:00;  3,55
18.08.1977 09:00:00;  5,11
04.09.1977 10:30:00;  2,74
15.10.1977 10:30:00;  1,55
27.11.1977 14:00:00;  1,09
20.12.1977 08:30:00; 0,926
09.01.1978 16:00:00; 0,920
24.02.1978 06:30:00; 0,827
25.03.1978 14:00:00;  1,92
18.04.1978 11:00:00;  4,66
16.05.1978 19:30:00;  9,21
24.06.1978 05:00:00;  7,30
05.07.1978 01:00:00;  7,72
30.08.1978 04:00:00;  4,85
30.09.1978 13:00:00;  2,30
28.10.1978 09:30:00;  1,51
29.11.1978 00:30:00;  1,33
02.12.1978 10:30:00; 0,920
03.01.1979 06:30:00; 0,984
22.02.1979 02:30:00;  1,56
03.03.1979 00:00:00;  1,63
09.04.1979 08:30:00;  4,54
02.05.1979 07:00:00;  7,68
09.06.1979 12:30:00;  8,14
31.07.1979 20:00:00;  6,87
19.08.1979 09:30:00;  4,08
21.09.1979 09:30:00;  2,81
27.10.1979 16:00:00;  3,31
04.11.1979 16:00:00;  3,30
31.12.1979 05:30:00;  4,03
28.01.1980 19:00:00;  1,71
23.02.1980 20:30:00;  1,47
04.03.1980 04:00:00;  1,62
12.04.1980 19:30:00;  4,03
01.05.1980 00:00:00;  5,13
23.06.1980 08:00:00;  6,14
29.07.1980 15:30:00;  6,43
30.08.1980 13:30:00;  4,59
30.09.1980 23:59:55;  4,66
08.10.1980 09:00:00;  4,00
14.11.1980 11:00:00;  5,99
30.12.1980 12:00:00;  3,41
29.01.1981 10:00:00;  2,81
26.02.1981 07:00:00;  1,82
02.03.1981 05:30:00;  1,58
30.04.1981 23:59:55;  5,17
01.05.1981 02:00:00;  5,13
30.06.1981 00:30:00;  5,05
18.07.1981 08:30:00;  4,04
20.08.1981 23:00:00;  5,03
24.09.1981 04:30:00;  3,23
19.10.1981 21:30:00;  3,30
30.11.1981 04:00:00;  3,33
27.12.1981 08:30:00;  1,79
15.01.1982 09:00:00;  1,53
11.02.1982 22:30:00;  1,51
15.03.1982 04:30:00;  1,04
28.04.1982 22:30:00;  2,83
03.05.1982 20:30:00;  2,80
