Messstelle:                ;See
HZB-Nummer:                ;201236
HD-Nummer:                 ;
DBMS-Nummer:               ;7001021
Gewässer:                  ;Trisanna
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
orogr.Einzugsgebiet [km²]: ;385,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.10.1949              ;01018,81
   01.01.1972              ;01017,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1972              ;160584,39 - 216717,77
Exportzeitreihe:           ;(7001021,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[21.01.1951 12:00,01.01.2022 00:00]
Werte:
21.01.1951 12:00:00;  1,60
18.02.1951 12:00:00;  1,82
04.03.1951 12:00:00;  1,67
02.04.1951 12:00:00;  2,64
02.05.1951 12:00:00;  10,0
07.06.1951 12:00:00;  22,9
30.07.1951 12:00:00;  18,9
30.08.1951 12:00:00;  8,86
30.09.1951 12:00:00;  5,78
30.10.1951 12:00:00;  3,24
03.11.1951 12:00:00;  3,12
29.12.1951 12:00:00;  2,35
29.01.1952 12:00:00;  1,90
19.02.1952 12:00:00;  1,90
15.03.1952 12:00:00;  2,07
07.04.1952 12:00:00;  3,97
28.05.1952 12:00:00;  9,40
27.06.1952 12:00:00;  16,5
27.07.1952 12:00:00;  8,32
15.08.1952 12:00:00;  8,59
30.09.1952 12:00:00;  7,34
19.10.1952 12:00:00;  6,64
24.11.1952 12:00:00;  5,39
30.12.1952 12:00:00;  3,68
14.01.1953 12:00:00;  3,00
15.02.1953 12:00:00;  2,44
15.03.1953 12:00:00;  3,00
18.04.1953 12:00:00;  6,43
13.05.1953 12:00:00;  8,59
06.06.1953 12:00:00;  12,8
28.07.1953 12:00:00;  16,9
31.08.1953 12:00:00;  8,59
25.09.1953 12:00:00;  5,78
31.10.1953 12:00:00;  3,68
26.11.1953 12:00:00;  2,54
23.12.1953 12:00:00;  1,82
11.01.1954 12:00:00;  1,35
20.02.1954 12:00:00;  1,82
08.03.1954 12:00:00;  1,74
23.04.1954 12:00:00;  3,24
08.05.1954 12:00:00;  4,81
02.06.1954 12:00:00;  13,5
31.07.1954 12:00:00;  10,9
09.08.1954 12:00:00;  9,13
25.09.1954 12:00:00;  7,10
27.10.1954 12:00:00;  5,59
30.11.1954 12:00:00;  3,68
23.12.1954 12:00:00;  1,90
11.01.1955 12:00:00;  2,76
10.02.1955 12:00:00;  1,53
08.03.1955 12:00:00;  1,40
21.04.1955 12:00:00;  4,64
24.05.1955 12:00:00;  10,6
03.06.1955 12:00:00;  15,0
12.07.1955 12:00:00;  23,8
30.08.1955 12:00:00;  8,05
30.09.1955 12:00:00;  5,78
30.10.1955 12:00:00;  3,24
27.11.1955 12:00:00;  2,15
20.12.1955 12:00:00;  1,74
08.01.1956 12:00:00; 0,960
02.02.1956 12:00:00; 0,800
13.03.1956 12:00:00;  1,00
10.04.1956 12:00:00;  3,04
04.05.1956 12:00:00;  4,51
26.06.1956 12:00:00;  14,0
27.07.1956 12:00:00;  13,2
17.08.1956 12:00:00;  10,1
30.09.1956 12:00:00;  6,94
31.10.1956 12:00:00;  5,28
22.11.1956 12:00:00;  2,94
31.12.1956 12:00:00;  1,81
31.01.1957 12:00:00;  1,60
22.02.1957 12:00:00; 0,900
03.03.1957 12:00:00;  1,42
16.04.1957 12:00:00;  3,09
10.05.1957 12:00:00;  5,73
10.06.1957 12:00:00;  10,1
18.07.1957 12:00:00;  14,0
31.08.1957 12:00:00;  10,4
22.09.1957 12:00:00;  5,96
31.10.1957 12:00:00;  4,55
24.11.1957 12:00:00;  2,72
31.12.1957 12:00:00;  1,89
23.01.1958 12:00:00;  1,60
04.02.1958 12:00:00;  1,70
24.03.1958 12:00:00;  1,80
20.04.1958 12:00:00;  2,90
01.05.1958 12:00:00;  6,27
15.06.1958 12:00:00;  14,1
29.07.1958 12:00:00;  14,5
31.08.1958 12:00:00;  8,57
17.09.1958 12:00:00;  6,44
12.10.1958 12:00:00;  6,00
30.11.1958 12:00:00;  4,49
07.12.1958 12:00:00;  2,64
10.01.1959 12:00:00;  1,82
13.02.1959 12:00:00;  1,88
01.03.1959 12:00:00;  2,88
02.04.1959 12:00:00;  4,00
05.05.1959 12:00:00;  6,00
03.06.1959 12:00:00;  9,90
28.07.1959 12:00:00;  8,79
31.08.1959 12:00:00;  6,21
22.09.1959 12:00:00;  4,15
27.10.1959 12:00:00;  2,88
30.11.1959 12:00:00;  2,59
26.12.1959 12:00:00;  2,35
17.01.1960 12:00:00;  1,70
15.02.1960 12:00:00;  1,44
13.03.1960 12:00:00;  2,10
30.04.1960 12:00:00;  4,49
03.05.1960 12:00:00;  4,49
30.06.1960 12:00:00;  12,7
05.07.1960 12:00:00;  10,2
31.08.1960 12:00:00;  11,4
04.09.1960 12:00:00;  9,33
20.10.1960 12:00:00;  8,15
30.11.1960 12:00:00;  4,15
30.12.1960 12:00:00;  2,46
19.01.1961 12:00:00;  1,60
07.02.1961 12:00:00;  1,05
05.03.1961 12:00:00;  2,70
01.04.1961 12:00:00;  4,40
03.05.1961 12:00:00;  7,25
05.06.1961 12:00:00;  12,4
31.07.1961 12:00:00;  10,7
31.08.1961 12:00:00;  8,50
30.09.1961 12:00:00;  4,70
31.10.1961 12:00:00;  3,15
22.11.1961 12:00:00;  1,90
08.12.1961 12:00:00;  1,10
31.01.1962 12:00:00;  1,35
24.02.1962 12:00:00;  1,41
19.03.1962 12:00:00;  1,35
06.04.1962 12:00:00;  1,80
05.05.1962 12:00:00;  7,30
09.06.1962 12:00:00;  12,2
07.07.1962 12:00:00;  12,0
31.08.1962 12:00:00;  7,80
28.09.1962 12:00:00;  4,80
30.10.1962 12:00:00;  2,80
23.11.1962 12:00:00;  1,60
22.12.1962 12:00:00;  1,20
31.01.1963 12:00:00;  1,45
24.02.1963 12:00:00;  1,15
01.03.1963 12:00:00;  1,60
03.04.1963 12:00:00;  2,20
07.05.1963 12:00:00;  7,60
17.06.1963 12:00:00;  12,5
31.07.1963 12:00:00;  8,50
14.08.1963 12:00:00;  6,35
30.09.1963 12:00:00;  6,60
30.10.1963 12:00:00;  3,70
30.11.1963 12:00:00;  3,60
18.12.1963 12:00:00;  2,20
18.01.1964 12:00:00;  1,40
22.02.1964 12:00:00;  1,20
08.03.1964 12:00:00;  1,20
01.04.1964 12:00:00;  2,40
03.05.1964 12:00:00;  6,40
27.06.1964 12:00:00;  9,80
31.07.1964 12:00:00;  5,90
01.08.1964 12:00:00;  5,90
30.09.1964 12:00:00;  6,40
28.10.1964 12:00:00;  5,20
14.11.1964 12:00:00;  4,40
30.12.1964 12:00:00;  2,80
15.01.1965 12:00:00;  2,40
10.02.1965 12:00:00;  2,30
11.03.1965 12:00:00;  2,15
30.04.1965 12:00:00;  3,55
01.05.1965 12:00:00;  3,60
02.06.1965 12:00:00;  16,0
12.07.1965 12:00:00;  18,5
27.08.1965 12:00:00;  12,2
30.09.1965 12:00:00;  8,40
31.10.1965 12:00:00;  4,20
24.11.1965 12:00:00;  3,30
29.12.1965 12:00:00;  2,75
31.01.1971 12:00:00;  2,10
27.02.1971 12:00:00;  1,20
06.03.1971 12:00:00;  1,40
01.04.1971 12:00:00;  2,05
01.05.1971 12:00:00;  5,00
01.06.1971 12:00:00;  6,80
25.07.1971 12:00:00;  8,60
25.08.1971 12:00:00;  6,50
27.09.1971 12:00:00;  4,20
31.10.1971 12:00:00;  2,70
21.11.1971 12:00:00;  1,45
26.12.1971 12:00:00;  1,60
30.01.1972 12:00:00;  1,40
19.02.1972 12:00:00;  1,15
07.03.1972 12:00:00;  1,50
01.04.1972 12:00:00;  2,20
01.05.1972 12:00:00;  3,60
03.06.1972 12:00:00;  10,0
03.07.1972 12:00:00;  9,50
27.08.1972 12:00:00;  5,10
30.09.1972 12:00:00;  3,40
09.10.1972 12:00:00;  2,80
12.11.1972 12:00:00;  3,50
31.12.1972 12:00:00;  1,80
25.01.1973 12:00:00;  1,50
23.02.1973 12:00:00; 0,900
20.03.1973 12:00:00;  1,40
22.04.1973 12:00:00;  1,70
01.05.1973 12:00:00;  5,50
26.06.1973 12:00:00;  13,4
11.07.1973 12:00:00;  11,5
22.08.1973 12:00:00;  6,30
14.09.1973 12:00:00;  4,60
31.10.1973 12:00:00;  5,50
30.11.1973 12:00:00;  3,80
15.12.1973 12:00:00;  1,70
19.01.1974 12:00:00;  2,20
27.02.1974 12:00:00;  1,60
01.03.1974 12:00:00;  1,60
28.04.1974 12:00:00;  4,90
03.05.1974 12:00:00;  5,20
14.06.1974 12:00:00;  11,7
27.07.1974 12:00:00;  17,3
31.08.1974 12:00:00;  11,0
24.09.1974 12:00:00;  7,00
31.10.1974 12:00:00;  4,60
29.11.1974 12:00:00;  3,20
23.12.1974 12:00:00;  2,80
29.01.1975 12:00:00;  2,40
26.02.1975 12:00:00;  1,80
29.03.1975 12:00:00;  2,00
06.04.1975 12:00:00; 0,800
06.05.1975 12:00:00;  9,90
07.06.1975 12:00:00;  12,2
28.07.1975 12:00:00;  16,8
17.08.1975 12:00:00;  13,2
30.09.1975 12:00:00;  6,60
31.10.1975 12:00:00;  3,20
25.11.1975 12:00:00;  2,00
31.12.1975 12:00:00;  1,70
23.01.1976 03:00:00; 0,823
13.02.1976 22:00:00;  1,20
22.03.1976 11:30:00;  1,10
14.04.1976 10:00:00;  2,35
01.05.1976 00:00:00;  3,26
30.06.1976 15:00:00;  8,96
09.07.1976 18:30:00;  6,36
30.08.1976 01:30:00;  5,06
10.09.1976 00:00:00;  5,75
30.10.1976 00:30:00;  4,40
24.11.1976 11:00:00;  2,82
31.12.1976 07:00:00;  1,84
18.01.1977 11:30:00;  1,48
07.02.1977 10:00:00;  1,26
01.03.1977 12:30:00;  1,60
17.04.1977 05:30:00;  3,05
11.05.1977 06:30:00;  8,31
07.06.1977 12:30:00;  13,0
30.07.1977 09:00:00;  9,29
28.08.1977 21:30:00;  11,1
28.09.1977 12:00:00;  4,37
30.10.1977 00:30:00;  2,80
20.11.1977 00:30:00;  2,42
21.12.1977 04:00:00;  1,56
23.01.1978 12:30:00;  1,58
03.02.1978 14:30:00;  1,20
21.03.1978 02:00:00;  2,03
18.04.1978 10:30:00;  3,40
16.05.1978 15:30:00;  6,13
29.06.1978 15:30:00;  13,0
09.07.1978 01:30:00;  15,2
29.08.1978 18:30:00;  7,81
06.09.1978 00:00:00;  6,52
31.10.1978 23:59:55;  5,09
30.11.1978 15:00:00;  2,53
27.12.1978 04:00:00;  2,31
31.01.1979 05:30:00;  1,86
28.02.1979 10:00:00;  1,19
03.03.1979 12:00:00;  1,65
09.04.1979 13:30:00;  2,26
06.05.1979 20:30:00;  3,12
20.06.1979 12:30:00;  15,8
28.07.1979 19:30:00;  11,0
23.08.1979 20:30:00;  8,56
19.09.1979 11:30:00;  5,60
31.10.1979 23:59:55;  4,86
25.11.1979 13:30:00;  3,60
31.12.1979 20:00:00;  3,19
28.01.1980 14:00:00;  1,55
19.02.1980 13:00:00;  1,76
05.03.1980 10:00:00;  1,70
12.04.1980 07:30:00;  2,97
01.05.1980 17:00:00;  4,45
03.06.1980 15:30:00;  11,1
04.07.1980 14:00:00;  15,1
27.08.1980 19:30:00;  9,49
30.09.1980 23:59:55;  4,94
15.10.1980 10:30:00;  3,48
30.11.1980 04:30:00;  3,01
31.12.1980 12:30:00;  2,07
05.01.1981 12:30:00;  1,48
25.02.1981 14:30:00;  1,69
04.03.1981 10:30:00;  1,75
30.04.1981 19:00:00;  6,22
06.05.1981 13:00:00;  5,24
25.06.1981 14:30:00;  9,58
16.07.1981 14:30:00;  11,8
31.08.1981 23:59:55;  7,86
08.09.1981 18:30:00;  7,51
30.10.1981 12:00:00;  7,68
30.11.1981 21:30:00;  4,12
20.12.1981 17:00:00;  1,19
28.01.1982 16:30:00;  2,00
03.02.1982 16:00:00;  1,39
14.03.1982 07:30:00;  1,70
01.04.1982 07:00:00;  3,62
02.05.1982 13:00:00;  4,94
16.06.1982 15:00:00;  16,1
26.07.1982 08:30:00;  12,6
27.08.1982 08:00:00;  7,93
30.09.1982 17:00:00;  5,24
31.10.1982 23:59:55;  3,83
30.11.1982 22:00:00;  2,60
25.12.1982 10:00:00;  1,76
12.01.1983 16:00:00;  1,84
24.02.1983 17:30:00;  1,57
03.03.1983 14:30:00;  1,53
06.04.1983 05:00:00;  2,55
06.05.1983 13:00:00;  8,48
19.06.1983 12:30:00;  12,5
31.07.1983 16:00:00;  8,91
28.08.1983 18:30:00;  6,33
30.09.1983 23:59:55;  6,25
31.10.1983 14:00:00;  3,72
23.11.1983 12:00:00;  1,87
15.12.1983 10:00:00;  1,91
26.01.1984 09:45:00;  1,76
10.02.1984 08:00:00; 0,334
14.03.1984 13:15:00;  1,30
07.04.1984 15:15:00;  1,95
02.05.1984 12:00:00;  5,71
01.06.1984 11:00:00;  9,95
29.07.1984 14:00:00;  11,2
31.08.1984 20:00:00;  6,95
03.09.1984 18:30:00;  6,30
31.10.1984 23:59:55;  4,55
28.11.1984 04:45:00;  2,60
23.12.1984 13:45:00;  1,55
30.01.1985 00:00:00;  1,43
19.02.1985 13:15:00;  1,27
20.03.1985 13:45:00;  1,28
01.04.1985 13:15:00;  1,84
04.05.1985 10:30:00;  3,05
19.06.1985 14:45:00;  10,6
27.07.1985 15:15:00;  10,9
24.08.1985 19:00:00;  8,56
30.09.1985 18:45:00;  5,11
28.10.1985 11:45:00;  2,97
27.11.1985 12:00:00;  1,70
24.12.1985 14:30:00;  1,66
13.01.1986 18:30:00;  1,07
05.02.1986 12:00:00;  1,22
02.03.1986 14:45:00;  1,57
21.04.1986 08:15:00;  3,25
11.05.1986 13:45:00;  10,3
08.06.1986 14:15:00;  10,5
27.07.1986 17:45:00;  8,56
22.08.1986 19:15:00;  6,87
30.09.1986 23:59:55;  4,22
20.10.1986 03:30:00;  2,97
28.11.1986 12:45:00;  1,55
25.12.1986 00:15:00;  1,59
31.01.1987 23:30:00;  1,49
09.02.1987 14:45:00;  1,16
21.03.1987 13:30:00;  1,19
02.04.1987 10:00:00;  1,59
23.05.1987 14:00:00;  8,22
23.06.1987 12:30:00;  14,5
31.07.1987 23:59:55;  20,6
23.08.1987 15:45:00;  10,6
23.09.1987 21:30:00;  6,30
