Messstelle:                ;Rauchwart
HZB-Nummer:                ;210484
HD-Nummer:                 ;
DBMS-Nummer:               ;1001045
Gewässer:                  ;Strem
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;94,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;00227,32
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1991              ;742400,00 - 221200,00
   05.10.2018              ;742449,79 - 221186,19
Exportzeitreihe:           ;(1001045,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:00,01.01.2022 00:00]
Werte:
31.01.1991 23:59:55; 0,259
03.02.1991 16:30:00; 0,210
25.03.1991 23:45:00; 0,279
24.04.1991 14:30:00; 0,210
27.05.1991 15:30:00; 0,194
17.06.1991 15:15:00; 0,179
09.07.1991 09:30:00; 0,164
10.08.1991 11:30:00; 0,179
04.09.1991 12:45:00; 0,164
06.10.1991 14:00:00; 0,243
01.11.1991 00:00:00; 0,279
16.12.1991 19:45:00; 0,279
29.01.1992 13:15:00; 0,261
28.02.1992 14:30:00; 0,261
01.03.1992 12:00:00; 0,261
26.04.1992 12:00:00; 0,243
13.05.1992 17:45:00; 0,194
28.06.1992 14:45:00; 0,131
30.07.1992 04:30:00; 0,105
30.08.1992 11:45:00; 0,081
01.09.1992 08:15:00; 0,092
02.10.1992 17:30:00; 0,194
24.11.1992 12:15:00; 0,194
19.12.1992 22:30:00; 0,226
28.01.1993 16:45:00; 0,159
28.02.1993 15:45:00; 0,144
14.03.1993 18:45:00; 0,092
07.04.1993 12:00:00; 0,118
19.05.1993 11:30:00; 0,119
12.06.1993 14:30:00; 0,106
03.07.1993 12:45:00; 0,078
05.08.1993 11:15:00; 0,064
28.09.1993 09:00:00; 0,078
02.10.1993 12:30:00; 0,078
01.11.1993 10:30:00; 0,181
14.12.1993 22:00:00; 0,213
26.01.1994 11:45:00; 0,181
01.02.1994 12:45:00; 0,078
30.03.1994 16:15:00; 0,135
30.04.1994 12:15:00; 0,135
12.05.1994 10:30:00; 0,119
28.06.1994 12:00:00; 0,092
29.07.1994 15:30:00; 0,029
01.08.1994 13:00:00; 0,041
14.09.1994 17:00:00; 0,092
31.10.1994 17:00:00; 0,106
01.11.1994 15:45:00; 0,078
01.12.1994 16:00:00; 0,181
13.01.1995 12:15:00; 0,150
03.02.1995 14:30:00; 0,181
13.03.1995 16:00:00; 0,165
24.04.1995 19:30:00; 0,135
25.05.1995 09:30:00; 0,119
03.06.1995 20:45:00; 0,165
25.07.1995 04:45:00; 0,106
21.08.1995 12:00:00; 0,057
19.09.1995 16:45:00; 0,230
06.10.1995 18:30:00; 0,000
13.11.1995 00:30:00; 0,210
02.12.1995 21:30:00; 0,228
06.01.1996 00:00:00; 0,263
10.02.1996 09:15:00; 0,228
05.03.1996 12:30:00; 0,245
29.04.1996 16:00:00; 0,145
08.05.1996 08:00:00; 0,161
06.06.1996 07:00:00; 0,161
05.07.1996 10:45:00; 0,110
25.08.1996 02:30:00; 0,124
02.09.1996 06:00:00; 0,141
01.10.1996 08:30:00; 0,269
20.11.1996 19:00:00; 0,213
03.12.1996 22:15:00; 0,213
01.01.1997 00:00:00; 0,248
03.02.1997 14:07:30; 0,261
29.03.1997 04:43:30; 0,228
16.04.1997 10:38:45; 0,155
22.05.1997 00:19:05; 0,154
28.06.1997 04:13:05; 0,130
10.07.1997 08:17:45; 0,111
29.08.1997 06:35:05; 0,203
13.09.1997 10:30:25; 0,200
09.10.1997 10:44:15; 0,198
06.11.1997 10:11:15; 0,223
19.12.1997 23:36:40; 0,240
31.01.1998 11:52:25; 0,196
28.02.1998 11:04:10; 0,184
31.03.1998 23:59:55; 0,193
13.04.1998 13:43:45; 0,186
17.05.1998 20:06:20; 0,173
01.06.1998 10:30:05; 0,185
27.07.1998 13:58:05; 0,293
15.08.1998 09:07:35; 0,208
05.09.1998 15:27:35; 0,281
28.10.1998 13:42:40; 0,328
24.11.1998 14:55:00; 0,313
27.12.1998 18:09:00; 0,264
02.01.1999 23:48:40; 0,263
12.02.1999 06:05:00; 0,295
25.03.1999 10:57:55; 0,269
08.04.1999 03:29:30; 0,250
12.05.1999 02:51:45; 0,292
11.06.1999 13:14:50; 0,221
03.07.1999 07:01:35; 0,244
28.08.1999 03:28:15; 0,204
11.09.1999 11:45:45; 0,213
20.10.1999 08:04:55; 0,212
17.11.1999 13:31:55; 0,241
31.12.1999 13:02:55; 0,232
28.01.2000 19:05:05; 0,212
23.02.2000 16:22:20; 0,284
11.03.2000 08:33:30; 0,219
30.04.2000 23:59:55; 0,177
12.05.2000 19:55:30; 0,138
24.06.2000 22:33:55; 0,106
07.07.2000 19:11:25; 0,117
18.08.2000 20:11:40; 0,020
01.09.2000 00:00:00; 0,067
26.10.2000 15:20:50; 0,173
16.11.2000 04:20:25; 0,205
13.12.2000 08:04:15; 0,204
25.01.2001 10:54:50; 0,245
14.02.2001 18:33:40; 0,152
02.03.2001 11:04:00; 0,176
30.04.2001 23:59:55; 0,176
27.05.2001 07:00:05; 0,110
28.06.2001 08:18:00; 0,108
04.07.2001 12:18:55; 0,101
30.08.2001 19:14:30; 0,077
01.09.2001 00:00:00; 0,082
06.10.2001 11:57:55; 0,193
18.11.2001 13:17:00; 0,168
16.12.2001 14:23:20; 0,145
11.01.2002 19:14:25; 0,172
03.02.2002 09:45:35; 0,182
12.03.2002 15:47:05; 0,132
01.04.2002 16:45:05; 0,163
25.05.2002 17:37:10; 0,102
27.06.2002 08:53:45; 0,060
14.07.2002 22:18:10; 0,076
30.08.2002 12:43:50; 0,118
20.09.2002 13:51:00; 0,111
05.10.2002 12:53:10; 0,147
15.11.2002 16:31:55; 0,200
26.12.2002 11:55:00; 0,188
13.01.2003 09:07:50; 0,151
28.02.2003 19:33:00; 0,150
31.03.2003 23:59:55; 0,105
09.04.2003 13:44:05; 0,054
22.05.2003 15:56:40; 0,055
26.06.2003 06:56:10; 0,061
16.07.2003 21:18:00; 0,056
29.08.2003 20:41:20; 0,050
06.09.2003 12:10:10; 0,065
04.10.2003 02:24:10; 0,092
16.11.2003 02:12:15; 0,075
18.12.2003 05:55:25; 0,051
29.01.2004 19:21:15; 0,148
15.02.2004 11:09:30; 0,151
06.03.2004 11:47:15; 0,176
19.04.2004 16:16:20; 0,222
31.05.2004 07:00:10; 0,187
17.06.2004 17:28:00; 0,216
22.07.2004 07:56:55; 0,144
29.08.2004 10:08:00; 0,102
09.09.2004 20:05:45; 0,128
07.10.2004 11:32:00; 0,139
16.11.2004 22:52:50; 0,084
23.12.2004 09:58:00; 0,110
27.01.2005 01:12:30; 0,063
01.02.2005 15:17:10; 0,121
04.03.2005 04:49:35; 0,100
09.04.2005 11:46:00; 0,143
28.05.2005 09:26:45; 0,113
21.06.2005 08:15:45; 0,084
05.07.2005 13:28:55; 0,103
03.08.2005 08:36:55; 0,087
16.09.2005 10:02:45; 0,111
15.10.2005 10:41:00; 0,150
04.11.2005 16:17:25; 0,160
24.12.2005 02:37:35; 0,143
29.01.2006 13:58:10; 0,182
01.02.2006 00:00:00; 0,204
08.03.2006 11:53:50; 0,253
08.04.2006 09:38:40; 0,188
12.05.2006 09:16:55; 0,185
27.06.2006 11:07:20; 0,156
24.07.2006 01:30:00; 0,115
01.08.2006 12:39:05; 0,117
12.09.2006 12:17:00; 0,102
12.10.2006 11:11:55; 0,128
03.11.2006 10:07:40; 0,166
31.12.2006 23:59:55; 0,142
19.01.2007 01:28:50; 0,124
02.02.2007 12:57:15; 0,126
16.03.2007 14:39:40; 0,171
