Messstelle:                ;Mauthen
HZB-Nummer:                ;212647
HD-Nummer:                 ;00357
DBMS-Nummer:               ;2001030
Gewässer:                  ;Gail
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;348,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1878              ;00694,95
   12.10.1918              ;00697,84
   12.10.1921              ;00697,85
   30.03.1927              ;00697,81
   31.08.1929              ;00697,85
   01.09.1939              ;00692,85
   01.01.1955              ;00692,99
   01.01.1976              ;00692,99
   25.03.2003              ;00692,93
   29.09.2003              ;00694,44
   18.06.2015              ;00693,20
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1878              ;424464,00 - 169916,00
Exportzeitreihe:           ;(2001030,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  3,30
01.02.1951 12:00:00;  3,30
10.03.1951 12:00:00;  4,50
01.04.1951 12:00:00;  5,82
18.05.1951 12:00:00;  41,4
30.06.1951 12:00:00;  36,6
30.07.1951 12:00:00;  11,6
31.08.1951 12:00:00;  5,10
26.09.1951 12:00:00;  3,46
24.10.1951 12:00:00;  3,94
06.11.1951 12:00:00;  5,34
31.12.1951 12:00:00;  6,98
31.01.1952 12:00:00;  3,28
23.02.1952 12:00:00;  3,12
12.03.1952 12:00:00;  2,80
09.04.1952 12:00:00;  7,70
28.05.1952 12:00:00;  8,22
30.06.1952 12:00:00;  8,22
15.07.1952 12:00:00;  5,64
13.08.1952 12:00:00;  6,36
22.09.1952 12:00:00;  9,60
20.10.1952 12:00:00;  9,60
30.11.1952 12:00:00;  7,46
31.12.1952 12:00:00;  3,32
02.01.1953 12:00:00;  3,20
23.02.1953 12:00:00;  3,00
21.03.1953 12:00:00;  3,20
22.04.1953 12:00:00;  7,00
16.05.1953 12:00:00;  10,5
02.06.1953 12:00:00;  13,0
26.07.1953 12:00:00;  13,8
25.08.1953 12:00:00;  10,7
24.09.1953 12:00:00;  5,10
12.10.1953 12:00:00;  8,02
30.11.1953 12:00:00;  11,4
31.12.1953 12:00:00;  9,72
31.01.1954 12:00:00;  3,79
10.02.1954 12:00:00;  3,55
12.03.1954 12:00:00;  3,00
02.04.1954 12:00:00;  5,45
01.05.1954 12:00:00;  14,3
30.06.1954 12:00:00;  18,2
31.07.1954 12:00:00;  11,3
09.08.1954 12:00:00;  11,3
30.09.1954 12:00:00;  8,80
21.10.1954 12:00:00;  4,50
16.11.1954 12:00:00;  4,50
06.12.1954 12:00:00;  3,80
21.01.1955 12:00:00;  3,10
28.02.1955 12:00:00;  2,95
