Messstelle:                ;Nickelsdorf (Pötschring)
HZB-Nummer:                ;210021
HD-Nummer:                 ;
DBMS-Nummer:               ;1001002
Gewässer:                  ;Komitatskanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;0
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00127,35
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1952              ;806950,00 - 312850,00
   05.10.2018              ;806971,24 - 312844,17
Exportzeitreihe:           ;(1001002,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1983 23:59:55,01.01.2022 00:00]
Werte:
31.12.1983 23:59:55; 0,000
01.01.1984 00:00:00; 0,000
01.02.1984 00:00:00; 0,000
01.03.1984 00:00:00; 0,000
01.04.1984 00:00:00; 0,000
01.05.1984 00:00:00; 0,000
01.06.1984 00:00:00; 0,262
02.07.1984 01:08:35; 0,000
01.08.1984 00:00:00; 0,000
01.09.1984 00:00:00; 0,000
01.10.1984 00:48:00; 0,000
01.11.1984 00:00:00; 0,000
01.12.1984 00:00:00; 0,000
02.01.1985 08:00:00; 0,000
01.02.1985 00:00:00; 0,000
11.03.1985 08:00:00; 0,000
13.04.1985 20:22:50; 0,000
01.05.1985 00:00:00; 0,000
27.06.1985 08:00:00; 0,000
01.07.1985 00:00:00; 0,000
01.08.1985 00:00:00; 0,575
30.09.1985 08:00:00; 0,490
11.10.1985 00:00:00; 0,000
01.11.1985 00:00:00; 0,000
01.12.1985 00:00:00; 0,000
12.01.1986 08:00:00; 0,195
13.02.1986 00:01:00; 0,195
01.03.1986 00:00:00; 0,195
25.04.1986 08:00:00; 0,262
08.05.1986 08:00:00; 0,007
01.06.1986 00:00:00; 0,448
30.07.1986 08:00:00; 0,195
09.08.1986 05:36:00; 0,000
01.09.1986 00:00:00; 0,000
01.10.1986 00:00:00; 0,000
01.11.1986 00:00:00; 0,000
01.12.1986 00:00:00; 0,000
01.01.1987 00:00:00; 0,000
01.02.1987 00:00:00; 0,575
01.03.1987 02:00:00; 0,931
29.04.1987 08:00:00;  1,07
01.05.1987 02:00:00;  1,07
22.06.1987 08:00:00; 0,617
12.07.1987 08:00:00; 0,448
22.08.1987 08:00:00; 0,978
15.09.1987 08:00:00; 0,448
21.10.1987 08:00:00; 0,490
20.11.1987 08:00:00; 0,448
02.12.1987 08:00:00; 0,575
06.01.1988 16:00:00; 0,659
14.02.1988 00:00:00; 0,490
01.03.1988 00:00:00; 0,532
28.04.1988 16:00:00;  1,29
29.05.1988 14:00:00; 0,786
10.06.1988 16:00:00; 0,374
29.07.1988 10:00:00; 0,141
11.08.1988 14:00:00; 0,196
11.09.1988 18:00:00; 0,225
26.10.1988 12:00:00; 0,164
24.11.1988 08:00:00; 0,073
17.12.1988 08:00:00; 0,164
31.01.1989 01:15:00; 0,262
01.02.1989 00:00:00; 0,265
04.03.1989 22:15:00; 0,659
01.04.1989 00:00:00; 0,884
01.05.1989 00:00:00; 0,978
19.06.1989 00:10:00; 0,473
01.07.1989 02:15:00; 0,853
27.08.1989 12:45:00;  1,02
19.09.1989 15:30:00; 0,923
30.10.1989 06:45:00; 0,904
28.11.1989 15:00:00; 0,532
19.12.1989 12:45:00; 0,411
09.01.1990 00:01:00; 0,633
04.02.1990 06:45:00; 0,589
08.03.1990 10:45:00; 0,721
06.04.1990 21:00:00; 0,544
06.05.1990 14:30:00; 0,500
20.06.1990 00:10:00; 0,623
31.07.1990 23:59:55; 0,273
31.08.1990 05:00:00; 0,196
02.09.1990 06:30:00; 0,193
19.10.1990 21:45:00; 0,308
11.11.1990 23:15:00; 0,461
27.12.1990 18:30:00; 0,520
20.01.1991 00:01:00; 0,480
01.02.1991 00:00:00; 0,480
03.03.1991 06:30:00; 0,322
06.04.1991 15:45:00; 0,282
10.05.1991 15:30:00; 0,697
08.06.1991 20:15:00;  1,19
13.07.1991 10:30:00; 0,544
30.08.1991 14:00:00; 0,875
26.09.1991 13:15:00; 0,480
15.10.1991 14:15:00; 0,564
04.11.1991 07:00:00; 0,609
20.12.1991 00:00:00; 0,875
31.01.1992 23:59:55; 0,955
27.02.1992 11:00:00; 0,817
05.03.1992 10:45:00; 0,727
23.04.1992 12:45:00;  1,00
17.05.1992 23:45:00; 0,682
30.06.1992 23:59:55; 0,691
31.07.1992 03:15:00; 0,254
30.08.1992 15:30:00; 0,036
01.09.1992 00:00:00; 0,149
19.10.1992 08:00:00; 0,608
01.11.1992 00:00:00; 0,724
03.12.1992 11:15:00; 0,740
12.01.1993 11:45:00; 0,697
25.02.1993 00:01:00; 0,567
01.03.1993 00:00:00; 0,833
30.04.1993 23:59:55; 0,992
25.05.1993 00:00:00; 0,736
21.06.1993 10:45:00; 0,351
12.07.1993 01:00:00; 0,354
01.08.1993 10:45:00; 0,553
30.09.1993 09:45:00; 0,243
02.10.1993 01:45:00; 0,176
01.11.1993 00:00:00; 0,856
02.12.1993 07:00:00; 0,910
24.01.1994 00:00:00; 0,953
25.02.1994 19:15:00; 0,862
03.03.1994 11:15:00; 0,817
10.04.1994 13:00:00; 0,637
16.05.1994 16:15:00; 0,953
30.06.1994 11:45:00; 0,588
27.07.1994 22:15:00; 0,221
18.08.1994 14:00:00; 0,148
14.09.1994 06:45:00; 0,109
18.10.1994 12:15:00; 0,282
02.11.1994 13:45:00; 0,322
10.12.1994 12:30:00; 0,480
16.01.1995 19:00:00; 0,441
02.02.1995 11:15:00; 0,746
01.03.1995 12:15:00; 0,875
30.04.1995 18:45:00;  1,59
28.05.1995 14:45:00;  1,00
04.06.1995 13:00:00; 0,742
28.07.1995 15:30:00; 0,567
14.08.1995 17:15:00; 0,174
28.09.1995 13:30:00; 0,361
01.10.1995 00:00:00; 0,361
14.11.1995 15:16:30; 0,000
16.12.1995 13:45:00; 0,695
06.01.1996 23:00:00;  1,29
17.02.1996 08:00:00; 0,910
07.03.1996 11:15:00;  1,15
01.04.1996 17:00:00;  1,69
08.05.1996 18:15:00;  6,07
21.06.1996 13:00:00;  1,44
29.07.1996 13:00:00;  1,29
23.08.1996 10:30:00;  1,29
03.09.1996 01:45:00;  1,39
15.10.1996 18:30:00;  2,69
24.11.1996 11:30:00;  2,15
11.12.1996 11:15:00;  1,84
26.01.1997 11:41:30; 0,485
02.02.1997 14:46:05; 0,524
16.03.1997 01:29:55; 0,783
26.04.1997 13:15:25;  3,97
31.05.1997 14:12:20;  2,78
15.06.1997 09:21:45;  1,96
05.07.1997 08:34:40;  1,92
31.08.1997 14:57:05;  1,10
19.09.1997 14:10:40; 0,740
23.10.1997 12:02:40; 0,805
06.11.1997 16:33:15; 0,842
01.12.1997 00:20:40;  1,10
30.01.1998 14:06:20; 0,793
11.02.1998 08:47:00; 0,714
06.03.1998 15:35:50; 0,714
01.04.1998 11:38:40; 0,936
14.05.1998 17:35:45; 0,780
08.06.1998 13:21:30; 0,643
08.07.1998 03:29:25; 0,989
13.08.1998 14:14:15; 0,534
02.09.1998 16:53:25; 0,692
06.10.1998 02:55:55;  1,09
08.11.1998 15:05:45;  1,00
11.12.1998 16:39:20; 0,812
31.01.1999 21:56:05; 0,214
01.02.1999 00:00:00; 0,361
24.03.1999 11:42:40;  1,01
05.04.1999 14:06:05;  1,08
20.05.1999 18:20:40;  1,27
14.06.1999 21:28:10; 0,718
08.07.1999 10:03:05; 0,711
07.08.1999 16:38:20; 0,875
27.09.1999 07:14:05;  1,08
