Messstelle:                ;Puig
HZB-Nummer:                ;201574
HD-Nummer:                 ;
DBMS-Nummer:               ;7001054
Gewässer:                  ;Sill
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;341,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1947              ;01005,75
   01.01.1977              ;01005,76
   07.12.2001              ;01004,97
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1947              ;235056,72 - 219801,29
   07.12.2001              ;234958,61 - 219951,24
Exportzeitreihe:           ;(7001054,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  2,80
26.02.1951 12:00:00;  2,20
31.03.1951 12:00:00;  2,60
03.04.1951 12:00:00;  2,60
03.05.1951 12:00:00;  16,7
30.06.1951 12:00:00;  28,5
21.07.1951 12:00:00;  27,0
31.08.1951 12:00:00;  13,2
30.09.1951 12:00:00;  7,40
31.10.1951 12:00:00;  4,29
06.11.1951 12:00:00;  3,83
27.12.1951 12:00:00;  3,20
31.01.1952 12:00:00;  2,60
10.02.1952 12:00:00;  2,60
15.03.1952 12:00:00;  2,40
05.04.1952 12:00:00;  5,26
27.05.1952 12:00:00;  10,2
30.06.1952 12:00:00;  12,2
27.07.1952 12:00:00;  8,00
29.08.1952 12:00:00;  9,56
05.09.1952 12:00:00;  9,24
20.10.1952 12:00:00;  9,88
30.11.1952 12:00:00;  7,40
31.12.1952 12:00:00;  4,52
31.01.1953 12:00:00;  3,40
23.02.1953 12:00:00;  2,80
17.03.1953 12:00:00;  3,00
03.04.1953 12:00:00;  4,76
15.05.1953 12:00:00;  8,00
07.06.1953 12:00:00;  10,5
27.07.1953 12:00:00;  14,7
31.08.1953 12:00:00;  10,9
24.09.1953 12:00:00;  6,86
14.10.1953 12:00:00;  5,78
29.11.1953 12:00:00;  3,83
27.12.1953 12:00:00;  3,00
27.01.1954 12:00:00;  2,53
28.02.1954 12:00:00;  2,03
13.03.1954 12:00:00;  1,70
25.04.1954 12:00:00;  3,51
01.05.1954 12:00:00;  5,58
02.06.1954 12:00:00;  16,3
31.07.1954 12:00:00;  14,8
13.08.1954 12:00:00;  11,3
25.09.1954 12:00:00;  8,22
