Messstelle:                ;Obergäu
HZB-Nummer:                ;203307
HD-Nummer:                 ;
DBMS-Nummer:               ;5001026
Gewässer:                  ;Lammer
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;394,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00470,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;438670,00 - 271685,00
Exportzeitreihe:           ;(5001026,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[18.01.1951 12:00,01.01.2022 00:00]
Werte:
18.01.1951 12:00:00;  4,20
03.02.1951 12:00:00;  5,85
07.03.1951 12:00:00;  5,50
13.04.1951 12:00:00;  16,2
20.05.1951 12:00:00;  16,2
30.06.1951 12:00:00;  16,2
12.07.1951 12:00:00;  13,0
31.08.1951 12:00:00;  9,40
16.09.1951 12:00:00;  4,46
30.10.1951 12:00:00;  5,50
21.11.1951 12:00:00;  7,25
30.12.1951 12:00:00;  7,60
13.01.1952 12:00:00;  6,20
05.02.1952 12:00:00;  3,10
19.03.1952 12:00:00;  5,50
30.04.1952 12:00:00;  13,0
11.05.1952 12:00:00;  9,00
02.06.1952 12:00:00;  9,00
31.07.1952 12:00:00;  3,10
09.08.1952 12:00:00;  3,10
30.09.1952 12:00:00;  13,0
19.10.1952 12:00:00;  13,0
26.11.1952 12:00:00;  9,00
31.12.1952 12:00:00;  5,50
31.01.1953 12:00:00;  1,90
28.02.1953 12:00:00;  1,90
04.03.1953 12:00:00;  1,90
30.04.1953 12:00:00;  17,6
12.05.1953 12:00:00;  17,6
30.06.1953 12:00:00;  17,6
26.07.1953 12:00:00;  9,00
31.08.1953 12:00:00;  5,50
19.09.1953 12:00:00;  5,50
31.10.1953 12:00:00;  3,10
30.11.1953 12:00:00;  3,10
02.12.1953 12:00:00;  2,30
02.01.1954 12:00:00;  1,30
23.02.1954 12:00:00;  3,27
01.03.1954 12:00:00;  3,78
30.04.1954 12:00:00;  1,99
02.05.1954 12:00:00;  6,60
01.06.1954 12:00:00;  17,9
29.07.1954 12:00:00;  16,0
20.08.1954 12:00:00;  10,7
15.09.1954 12:00:00;  3,27
25.10.1954 12:00:00;  9,06
21.11.1954 12:00:00;  10,3
22.12.1954 12:00:00;  9,88
27.01.1955 12:00:00;  8,24
28.02.1955 12:00:00;  8,24
21.03.1955 12:00:00;  6,26
03.04.1955 12:00:00;  13,9
18.05.1955 12:00:00;  14,9
22.06.1955 12:00:00;  19,2
19.07.1955 12:00:00;  14,9
24.08.1955 12:00:00;  17,3
27.09.1955 12:00:00;  5,92
25.10.1955 12:00:00;  7,42
23.11.1955 12:00:00;  5,24
23.12.1955 12:00:00;  5,58
27.01.1956 12:00:00;  4,06
01.02.1956 12:00:00;  3,78
02.03.1956 12:00:00;  4,06
23.04.1956 12:00:00;  4,90
16.05.1956 12:00:00;  16,0
27.06.1956 12:00:00;  18,6
15.07.1956 12:00:00;  11,2
31.08.1956 12:00:00;  7,83
30.09.1956 12:00:00;  7,00
02.10.1956 12:00:00;  7,00
21.11.1956 12:00:00;  8,32
03.12.1956 12:00:00;  7,88
30.01.1957 12:00:00;  4,60
01.02.1957 12:00:00;  5,56
13.03.1957 12:00:00;  12,8
16.04.1957 12:00:00;  13,4
12.05.1957 12:00:00;  12,3
03.06.1957 12:00:00;  14,9
10.07.1957 12:00:00;  12,8
12.08.1957 12:00:00;  9,47
12.09.1957 12:00:00;  5,92
31.10.1957 12:00:00;  3,78
26.11.1957 12:00:00;  2,35
07.12.1957 12:00:00;  2,17
02.01.1958 12:00:00;  1,45
05.02.1958 12:00:00;  2,81
23.03.1958 12:00:00;  3,31
12.04.1958 12:00:00;  7,65
31.05.1958 12:00:00;  14,5
21.06.1958 12:00:00;  6,93
29.07.1958 12:00:00;  7,29
18.08.1958 12:00:00;  5,85
12.09.1958 12:00:00;  2,05
12.10.1958 12:00:00;  3,05
30.11.1958 12:00:00;  3,31
13.12.1958 12:00:00;  1,73
19.01.1959 12:00:00;  2,65
04.02.1959 12:00:00;  3,05
17.03.1959 12:00:00;  6,93
01.04.1959 12:00:00;  7,65
29.05.1959 12:00:00;  10,7
01.06.1959 12:00:00;  10,7
28.07.1959 12:00:00;  9,88
31.08.1959 12:00:00;  8,64
16.09.1959 12:00:00;  4,92
20.10.1959 12:00:00;  3,04
30.11.1959 12:00:00;  3,04
18.12.1959 12:00:00;  2,20
15.01.1960 12:00:00;  2,20
12.02.1960 12:00:00;  4,92
21.03.1960 12:00:00;  8,64
27.04.1960 12:00:00;  6,78
03.05.1960 12:00:00;  7,40
24.06.1960 12:00:00;  6,16
31.07.1960 12:00:00;  14,9
12.08.1960 12:00:00;  13,9
20.09.1960 12:00:00;  5,70
