Messstelle:                ;Großarl
HZB-Nummer:                ;203224
HD-Nummer:                 ;
DBMS-Nummer:               ;5001021
Gewässer:                  ;Großarlbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;144,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00879,49
   17.12.2009              ;00879,57
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;439690,00 - 233160,00
Exportzeitreihe:           ;(5001021,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[06.01.1951 12:00,01.01.2022 00:00]
Werte:
06.01.1951 12:00:00;  1,40
05.02.1951 12:00:00;  1,50
08.03.1951 12:00:00;  1,60
05.04.1951 12:00:00;  2,64
18.05.1951 12:00:00;  7,64
30.06.1951 12:00:00;  7,85
22.07.1951 12:00:00;  6,17
24.08.1951 12:00:00;  2,78
15.09.1951 12:00:00;  2,14
24.10.1951 12:00:00;  1,50
07.11.1951 12:00:00;  1,70
04.12.1951 12:00:00;  1,50
28.01.1952 12:00:00;  1,16
29.02.1952 12:00:00;  1,16
18.03.1952 12:00:00;  1,32
08.04.1952 12:00:00;  3,52
24.05.1952 12:00:00;  5,39
13.06.1952 12:00:00;  7,22
27.07.1952 12:00:00;  3,20
13.08.1952 12:00:00;  2,50
25.09.1952 12:00:00;  3,36
01.10.1952 12:00:00;  4,00
30.11.1952 12:00:00;  3,28
31.12.1952 12:00:00;  2,18
28.01.1953 12:00:00;  1,69
24.02.1953 12:00:00;  1,53
15.03.1953 12:00:00;  1,69
02.04.1953 12:00:00;  3,70
03.05.1953 12:00:00;  4,50
30.06.1953 12:00:00;  7,52
27.07.1953 12:00:00;  6,12
21.08.1953 12:00:00;  4,50
10.09.1953 12:00:00;  3,00
16.10.1953 12:00:00;  2,64
28.11.1953 12:00:00;  1,85
29.12.1953 12:00:00;  1,45
31.01.1954 12:00:00;  1,45
25.02.1954 12:00:00;  1,24
01.03.1954 12:00:00;  1,45
23.04.1954 12:00:00;  2,88
09.05.1954 12:00:00;  4,50
27.06.1954 12:00:00;  10,8
29.07.1954 12:00:00;  7,39
31.08.1954 12:00:00;  5,14
20.09.1954 12:00:00;  3,00
25.10.1954 12:00:00;  3,15
22.11.1954 12:00:00;  2,30
08.12.1954 12:00:00;  2,18
31.01.1955 12:00:00;  1,70
28.02.1955 12:00:00;  1,25
21.03.1955 12:00:00;  1,00
21.04.1955 12:00:00;  3,00
25.05.1955 12:00:00;  7,85
04.06.1955 12:00:00;  8,35
28.07.1955 12:00:00;  8,60
29.08.1955 12:00:00;  3,92
06.09.1955 12:00:00;  3,45
31.10.1955 12:00:00;  3,15
30.11.1955 12:00:00;  2,06
23.12.1955 12:00:00;  1,52
09.01.1956 12:00:00; 0,960
29.02.1956 12:00:00; 0,750
02.03.1956 12:00:00; 0,890
12.04.1956 12:00:00;  2,52
04.05.1956 12:00:00;  3,85
25.06.1956 12:00:00;  10,3
30.07.1956 12:00:00;  5,67
17.08.1956 12:00:00;  4,38
30.09.1956 12:00:00;  3,22
25.10.1956 12:00:00;  2,52
30.11.1956 12:00:00;  2,00
31.12.1956 12:00:00;  1,10
31.01.1957 12:00:00;  1,40
23.02.1957 12:00:00; 0,700
04.03.1957 12:00:00;  1,30
16.04.1957 12:00:00;  3,68
12.05.1957 12:00:00;  3,68
30.06.1957 12:00:00;  8,07
09.07.1957 12:00:00;  5,46
13.08.1957 12:00:00;  5,46
23.09.1957 12:00:00;  4,55
31.10.1957 12:00:00;  2,24
25.11.1957 12:00:00;  1,50
31.12.1957 12:00:00;  1,10
26.01.1958 12:00:00; 0,960
09.02.1958 12:00:00;  1,03
24.03.1958 12:00:00;  1,03
13.04.1958 12:00:00;  1,80
02.05.1958 12:00:00;  3,36
17.06.1958 12:00:00;  4,73
22.07.1958 12:00:00;  4,38
30.08.1958 12:00:00;  4,03
08.09.1958 12:00:00;  2,52
12.10.1958 12:00:00;  3,36
30.11.1958 12:00:00;  3,68
19.12.1958 12:00:00;  2,38
31.01.1959 12:00:00;  1,60
26.02.1959 12:00:00;  1,40
01.03.1959 12:00:00;  1,80
04.04.1959 12:00:00;  2,52
05.05.1959 12:00:00;  5,22
03.06.1959 12:00:00;  6,70
26.07.1959 12:00:00;  6,50
31.08.1959 12:00:00;  4,98
30.09.1959 12:00:00;  2,08
22.10.1959 12:00:00;  1,35
30.11.1959 12:00:00;  1,44
30.12.1959 12:00:00;  1,10
25.01.1960 12:00:00; 0,960
