Messstelle:                ;Deutsch Brodersdorf (Messseilbahn)
HZB-Nummer:                ;214031
HD-Nummer:                 ;no834
DBMS-Nummer:               ;3003086
Gewässer:                  ;Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1598,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   21.06.2007              ;00193,00
   01.01.2009              ;00192,56
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   21.06.2007              ;760749,12 - 311101,10
   01.09.2010              ;760742,00 - 311081,00
   21.06.2011              ;760747,60 - 311097,90
Exportzeitreihe:           ;(3003086,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[14.01.1976 00:00:05,01.01.2022 00:00]
Werte:
31.01.1976 11:30:00;  7,90
28.02.1976 12:00:00;  4,72
06.03.1976 16:00:00;  4,09
11.04.1976 11:00:00;  4,46
22.05.1976 10:30:00;  7,37
28.06.1976 08:00:00;  3,03
12.07.1976 14:00:00;  1,49
11.08.1976 13:30:00;  1,63
13.09.1976 13:00:00;  2,98
23.10.1976 10:30:00;  2,79
06.11.1976 10:30:00;  2,10
18.12.1976 10:30:00;  6,20
01.01.1977 10:00:00;  3,99
05.02.1977 10:00:00;  6,42
02.03.1977 14:00:00;  11,1
18.04.1977 04:30:00;  8,53
29.05.1977 10:00:00;  6,20
13.06.1977 01:00:00;  2,69
10.07.1977 10:30:00;  3,27
21.08.1977 10:00:00;  2,96
13.09.1977 22:00:00;  2,04
30.10.1977 09:30:00;  2,76
27.11.1977 11:00:00;  1,42
24.12.1977 09:00:00;  1,91
07.01.1978 11:30:00;  1,61
18.02.1978 10:00:00;  1,93
18.03.1978 09:00:00;  4,70
10.04.1978 03:00:00;  1,67
13.05.1978 10:00:00;  3,21
24.06.1978 09:00:00;  3,01
21.07.1978 14:00:00;  2,47
29.08.1978 09:30:00;  1,50
11.09.1978 12:00:00; 0,863
14.10.1978 11:30:00;  1,10
25.11.1978 11:00:00;  1,50
08.12.1978 23:30:00;  1,30
08.01.1979 14:30:00;  1,24
03.02.1979 10:00:00;  2,47
03.03.1979 11:00:00;  1,44
23.04.1979 07:00:00;  6,56
31.05.1979 23:59:55;  7,76
11.06.1979 15:30:00;  4,11
07.07.1979 09:00:00;  7,30
18.08.1979 10:00:00;  4,56
15.09.1979 23:30:00;  2,34
27.10.1979 09:00:00;  2,19
02.11.1979 13:00:00;  3,09
29.12.1979 11:00:00;  5,22
12.01.1980 10:00:00;  2,92
23.02.1980 22:00:00;  3,88
08.03.1980 09:30:00;  4,11
14.04.1980 03:30:00;  5,59
17.05.1980 11:00:00;  8,79
14.06.1980 08:30:00;  3,59
26.07.1980 09:00:00;  2,77
23.08.1980 09:30:00;  1,46
