Messstelle:                ;Weichselboden
HZB-Nummer:                ;210880
HD-Nummer:                 ;ow1700
DBMS-Nummer:               ;6001039
Gewässer:                  ;Radmerbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;54,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00668,63
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.07.1967              ;662803,30 - 282524,20
   01.01.2018              ;662794,90 - 282500,30
Exportzeitreihe:           ;(6001039,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[28.01.1971 12:00,01.01.2022 00:00]
Werte:
28.01.1971 12:00:00; 0,170
28.02.1971 12:00:00; 0,170
12.03.1971 12:00:00; 0,120
01.04.1971 12:00:00; 0,800
31.05.1971 12:00:00; 0,340
07.06.1971 12:00:00; 0,460
31.07.1971 12:00:00; 0,250
26.08.1971 12:00:00; 0,120
29.09.1971 12:00:00; 0,120
31.10.1971 12:00:00; 0,120
10.11.1971 12:00:00; 0,120
05.12.1971 12:00:00; 0,460
31.01.1972 12:00:00; 0,120
03.02.1972 12:00:00; 0,080
30.03.1972 12:00:00; 0,570
11.04.1972 12:00:00;  1,04
27.05.1972 12:00:00;  1,15
17.06.1972 12:00:00; 0,570
04.07.1972 12:00:00; 0,570
19.08.1972 12:00:00; 0,460
23.09.1972 12:00:00; 0,340
23.10.1972 12:00:00; 0,340
30.11.1972 12:00:00; 0,570
31.12.1972 12:00:00; 0,170
29.01.1973 12:00:00; 0,050
28.02.1973 12:00:00; 0,080
22.03.1973 12:00:00; 0,080
22.04.1973 12:00:00; 0,690
30.05.1973 12:00:00;  1,50
18.06.1973 12:00:00; 0,800
21.07.1973 12:00:00; 0,170
19.08.1973 12:00:00; 0,250
24.09.1973 12:00:00; 0,170
17.10.1973 12:00:00; 0,340
09.11.1973 12:00:00; 0,570
21.12.1973 12:00:00; 0,460
11.01.1974 12:00:00; 0,340
28.02.1974 12:00:00; 0,570
12.03.1974 12:00:00; 0,570
23.04.1974 12:00:00; 0,800
31.05.1974 12:00:00;  1,84
23.06.1974 12:00:00;  1,27
31.07.1974 12:00:00; 0,800
28.08.1974 12:00:00; 0,250
17.09.1974 12:00:00; 0,170
08.10.1974 12:00:00; 0,570
12.11.1974 12:00:00; 0,800
01.12.1974 12:00:00; 0,690
31.01.1975 12:00:00; 0,920
28.02.1975 12:00:00; 0,340
01.03.1975 12:00:00; 0,570
03.04.1975 12:00:00; 0,800
29.05.1975 12:00:00;  2,17
20.06.1975 12:00:00;  1,27
31.07.1975 12:00:00;  1,04
25.08.1975 12:00:00; 0,460
30.09.1975 12:00:00; 0,170
31.10.1975 12:00:00; 0,120
15.11.1975 12:00:00; 0,050
30.12.1975 12:00:00; 0,120
01.01.1976 16:00:00; 0,186
13.02.1976 11:00:00; 0,224
12.03.1976 09:00:00; 0,117
11.04.1976 18:00:00; 0,997
20.05.1976 13:00:00;  1,17
30.06.1976 23:59:55; 0,189
19.07.1976 08:00:00; 0,090
31.08.1976 18:00:00; 0,174
30.09.1976 00:00:00; 0,204
14.10.1976 04:00:00; 0,163
12.11.1976 01:00:00; 0,122
31.12.1976 11:00:00; 0,237
19.01.1977 08:00:00; 0,098
04.02.1977 05:00:00; 0,311
31.03.1977 23:59:55; 0,327
13.04.1977 16:00:00; 0,131
13.05.1977 20:00:00; 0,696
21.06.1977 06:00:00; 0,252
08.07.1977 16:00:00; 0,217
31.08.1977 23:59:55; 0,033
01.09.1977 19:00:00; 0,029
31.10.1977 23:59:55; 0,010
01.11.1977 02:00:00; 0,009
12.12.1977 20:00:00; 0,157
28.01.1978 11:00:00; 0,140
21.02.1978 10:00:00; 0,072
27.03.1978 23:00:00; 0,264
18.04.1978 15:00:00; 0,442
28.05.1978 15:00:00;  1,01
20.06.1978 14:00:00; 0,131
31.07.1978 23:59:55;  1,53
30.08.1978 14:00:00; 0,850
21.09.1978 12:00:00; 0,180
22.10.1978 18:00:00; 0,204
25.11.1978 12:00:00; 0,917
29.12.1978 12:00:00; 0,251
22.01.1979 14:00:00; 0,030
28.02.1979 08:00:00; 0,108
01.03.1979 08:00:00; 0,103
09.04.1979 13:00:00; 0,414
31.05.1979 09:00:00; 0,982
09.06.1979 11:00:00; 0,414
27.07.1979 05:00:00; 0,483
24.08.1979 08:00:00; 0,251
02.09.1979 19:00:00; 0,197
15.10.1979 12:00:00; 0,117
04.11.1979 09:00:00; 0,131
31.12.1979 23:59:55; 0,436
27.01.1980 18:00:00; 0,126
01.02.1980 00:00:00; 0,190
06.03.1980 10:00:00; 0,335
11.04.1980 02:00:00; 0,866
19.05.1980 16:00:00;  2,58
20.06.1980 12:00:00; 0,635
29.07.1980 17:00:00; 0,122
05.08.1980 15:00:00; 0,010
23.09.1980 18:00:00; 0,122
08.10.1980 03:00:00; 0,055
15.11.1980 12:00:00; 0,191
06.12.1980 09:00:00; 0,012
29.01.1981 08:00:00; 0,018
01.02.1981 18:00:00; 0,131
01.03.1981 08:00:00; 0,367
22.04.1981 16:00:00; 0,756
30.05.1981 12:00:00; 0,432
15.06.1981 08:00:00; 0,027
11.07.1981 16:00:00; 0,140
17.08.1981 04:00:00; 0,264
13.09.1981 18:00:00; 0,288
11.10.1981 03:00:00; 0,311
09.11.1981 23:00:00; 0,671
27.12.1981 11:00:00; 0,231
30.01.1982 13:00:00; 0,764
28.02.1982 16:00:00; 0,814
01.03.1982 08:00:00; 0,848
24.04.1982 10:00:00;  1,35
01.05.1982 21:00:00;  1,56
26.06.1982 15:00:00; 0,906
21.07.1982 15:00:00; 0,628
17.08.1982 08:00:00; 0,712
20.09.1982 14:00:00; 0,661
01.10.1982 13:00:00; 0,828
13.11.1982 15:00:00; 0,694
27.12.1982 16:00:00; 0,869
03.01.1983 15:00:00; 0,973
23.02.1983 09:00:00; 0,794
05.03.1983 12:00:00; 0,884
06.04.1983 17:00:00;  1,61
25.05.1983 19:00:00;  1,23
09.06.1983 13:00:00; 0,958
28.07.1983 16:00:00; 0,661
30.08.1983 17:00:00; 0,596
03.09.1983 13:00:00; 0,580
05.10.1983 14:00:00; 0,706
23.11.1983 08:00:00; 0,285
14.12.1983 08:00:00; 0,764
27.01.1984 08:00:00; 0,279
