Messstelle:                ;Spittal-Fasan
HZB-Nummer:                ;212530
HD-Nummer:                 ;00240
DBMS-Nummer:               ;2001020
Gewässer:                  ;Lieser
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1035,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1877              ;00557,05
   01.01.1904              ;00567,12
   16.02.1905              ;00572,84
   19.03.1959              ;00557,22
   03.04.1967              ;00557,22
   14.06.1972              ;00556,18
   01.01.1976              ;00556,19
   13.12.1995              ;00556,19
   02.06.2003              ;00556,21
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1925              ;462380,70 - 185363,14
   30.05.2005              ;462380,30 - 185362,24
   04.08.2015              ;462487,70 - 185453,00
   01.01.2018              ;462491,66 - 185381,12
Exportzeitreihe:           ;(2001020,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[10.01.1951 12:00,01.01.2022 00:00]
Werte:
10.01.1951 12:00:00;  16,4
25.02.1951 12:00:00;  16,4
16.03.1951 12:00:00;  16,4
06.04.1951 12:00:00;  16,8
17.05.1951 12:00:00;  45,0
04.06.1951 12:00:00;  66,5
30.07.1951 12:00:00;  30,6
31.08.1951 12:00:00;  17,2
11.09.1951 12:00:00;  17,2
14.10.1951 12:00:00;  16,8
06.11.1951 12:00:00;  17,2
31.12.1951 12:00:00;  18,0
31.01.1952 12:00:00;  16,0
04.02.1952 12:00:00;  15,6
17.03.1952 12:00:00;  16,4
05.04.1952 12:00:00;  17,6
26.05.1952 12:00:00;  18,0
28.06.1952 12:00:00;  21,5
15.07.1952 12:00:00;  18,5
08.08.1952 12:00:00;  21,5
29.09.1952 12:00:00;  21,5
20.10.1952 12:00:00;  22,0
27.11.1952 12:00:00;  18,0
31.12.1952 12:00:00;  14,0
27.01.1953 12:00:00;  13,0
25.02.1953 12:00:00;  13,0
01.03.1953 12:00:00;  13,0
04.04.1953 12:00:00;  15,2
21.05.1953 12:00:00;  27,2
29.06.1953 12:00:00;  35,4
26.07.1953 12:00:00;  28,4
31.08.1953 12:00:00;  26,0
16.09.1953 12:00:00;  17,2
11.10.1953 12:00:00;  16,4
29.11.1953 12:00:00;  15,2
31.12.1953 12:00:00;  12,5
26.01.1954 12:00:00;  7,88
26.02.1954 12:00:00;  5,20
09.03.1954 12:00:00;  6,00
18.04.1954 12:00:00;  20,9
23.05.1954 12:00:00;  36,8
30.06.1954 12:00:00;  62,0
31.07.1954 12:00:00;  33,2
06.08.1954 12:00:00;  26,0
20.09.1954 12:00:00;  19,2
