Messstelle:                ;St. Pantaleon (Süd)
HZB-Nummer:                ;209247
HD-Nummer:                 ;no010
DBMS-Nummer:               ;3001141
Gewässer:                  ;Erla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;91,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1978              ;00241,63
   01.01.2006              ;00241,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1978              ;618381,00 - 342472,00
Exportzeitreihe:           ;(3001141,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1978 00:30,01.01.2022 00:00]
Werte:
24.01.1978 12:30:00; 0,175
25.02.1978 19:30:00; 0,241
10.03.1978 12:30:00; 0,167
05.04.1978 14:00:00; 0,336
31.05.1978 18:30:00; 0,346
04.06.1978 12:00:00; 0,236
31.07.1978 07:30:00; 0,203
01.08.1978 07:00:00; 0,199
28.09.1978 10:30:00; 0,215
24.10.1978 19:30:00; 0,228
16.11.1978 11:00:00; 0,138
02.12.1978 01:30:00; 0,326
01.01.1979 18:00:00; 0,587
18.02.1979 07:30:00; 0,421
02.03.1979 03:00:00; 0,187
03.04.1979 15:00:00; 0,508
30.05.1979 09:00:00; 0,514
11.06.1979 06:30:00; 0,291
04.07.1979 07:30:00; 0,409
31.08.1979 13:00:00; 0,356
03.09.1979 11:00:00; 0,371
04.10.1979 01:30:00; 0,356
16.11.1979 07:00:00; 0,561
29.12.1979 20:30:00; 0,687
28.01.1980 06:00:00; 0,614
28.02.1980 19:30:00; 0,614
22.03.1980 14:30:00; 0,403
28.04.1980 16:30:00; 0,687
17.05.1980 06:00:00; 0,865
28.06.1980 10:30:00; 0,687
12.07.1980 19:30:00; 0,641
26.08.1980 08:30:00; 0,543
23.09.1980 14:30:00; 0,549
31.10.1980 23:00:00; 0,537
04.11.1980 08:30:00; 0,438
13.12.1980 15:30:00; 0,754
01.01.1981 13:30:00; 0,754
25.02.1981 16:00:00; 0,880
23.03.1981 23:00:00; 0,927
10.04.1981 21:00:00; 0,664
30.05.1981 00:00:00; 0,781
15.06.1981 18:30:00; 0,427
09.07.1981 22:30:00; 0,421
28.08.1981 16:00:00; 0,391
13.09.1981 07:00:00; 0,386
08.10.1981 09:30:00; 0,627
30.11.1981 12:00:00; 0,654
07.12.1981 18:30:00; 0,781
01.01.1982 07:30:00; 0,781
21.02.1982 18:00:00;  1,13
30.03.1982 20:30:00; 0,880
26.04.1982 12:00:00; 0,741
25.05.1982 23:00:00; 0,747
22.06.1982 15:00:00; 0,821
16.07.1982 22:30:00; 0,532
13.08.1982 00:00:00; 0,601
19.09.1982 04:00:00; 0,561
23.10.1982 11:30:00; 0,473
10.11.1982 18:30:00; 0,415
01.12.1982 00:00:00; 0,507
02.01.1983 22:00:00; 0,574
23.02.1983 20:00:00; 0,508
25.03.1983 14:00:00; 0,473
30.04.1983 14:30:00; 0,468
29.05.1983 12:30:00; 0,462
13.06.1983 09:00:00; 0,409
28.07.1983 18:00:00; 0,232
24.08.1983 17:00:00; 0,246
22.09.1983 20:30:00; 0,211
10.10.1983 20:00:00; 0,271
13.11.1983 11:30:00; 0,356
02.12.1983 13:00:00; 0,433
30.01.1984 18:00:00; 0,251
28.02.1984 07:00:00; 0,276
01.03.1984 00:00:00; 0,370
29.04.1984 20:30:00; 0,422
21.05.1984 12:00:00; 0,494
17.06.1984 10:00:00; 0,139
03.07.1984 15:30:00; 0,144
25.08.1984 12:30:00; 0,153
05.09.1984 19:30:00; 0,203
27.10.1984 03:30:00; 0,167
14.11.1984 06:00:00; 0,153
29.12.1984 22:00:00; 0,164
02.01.1985 19:30:00; 0,347
08.02.1985 00:01:00; 0,489
01.03.1985 13:15:00; 0,412
13.04.1985 21:45:00; 0,338
01.05.1985 17:30:00; 0,648
22.06.1985 12:30:00; 0,561
10.07.1985 09:45:00; 0,462
01.08.1985 06:45:00; 0,641
20.09.1985 10:45:00;  1,10
31.10.1985 12:15:00; 0,854
02.11.1985 15:15:00; 0,794
10.12.1985 14:15:00;  1,09
31.01.1986 00:30:00; 0,761
21.02.1986 13:30:00; 0,641
03.03.1986 18:00:00; 0,491
27.04.1986 06:15:00; 0,661
14.05.1986 20:30:00; 0,392
24.06.1986 13:15:00; 0,351
18.07.1986 18:30:00; 0,321
28.08.1986 00:00:00; 0,286
27.09.1986 06:45:00; 0,217
13.10.1986 19:15:00; 0,238
09.11.1986 01:30:00; 0,185
10.12.1986 09:15:00; 0,241
04.01.1987 22:45:00; 0,600
16.02.1987 16:00:00; 0,600
18.03.1987 00:00:00; 0,820
15.04.1987 16:15:00;  1,02
27.05.1987 12:45:00;  1,10
28.06.1987 20:15:00; 0,781
04.07.1987 14:15:00; 0,660
31.08.1987 23:59:55; 0,637
18.09.1987 22:00:00; 0,185
07.10.1987 07:45:00; 0,342
13.11.1987 12:15:00; 0,342
23.12.1987 19:45:00; 0,342
12.01.1988 06:45:00; 0,150
25.02.1988 09:00:00; 0,489
18.03.1988 13:15:00; 0,220
16.04.1988 11:45:00; 0,781
23.05.1988 09:15:00; 0,386
02.06.1988 09:00:00; 0,342
