Messstelle:                ;Unterfladnitz
HZB-Nummer:                ;210963
HD-Nummer:                 ;ow4042
DBMS-Nummer:               ;6001047
Gewässer:                  ;Weizbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;93,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00372,26
   01.01.1984              ;00371,42
   01.01.2007              ;00401,49
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1920              ;00000,00 - 00000,00
   01.01.1995              ;699313,80 - 224235,30
   01.01.2007              ;699380,05 - 226813,45
   01.01.2018              ;699399,30 - 226837,70
Exportzeitreihe:           ;(6001047,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1966 12:00,01.01.2022 00:00]
Werte:
31.01.1966 12:00:00;  1,26
04.02.1966 12:00:00;  1,02
23.03.1966 12:00:00; 0,850
09.04.1966 12:00:00; 0,850
22.05.1966 12:00:00; 0,850
12.06.1966 12:00:00; 0,480
14.07.1966 12:00:00;  1,60
11.08.1966 12:00:00;  2,18
23.09.1966 12:00:00;  1,75
25.10.1966 12:00:00;  1,60
29.11.1966 12:00:00;  1,08
14.12.1966 12:00:00; 0,850
22.01.1967 12:00:00; 0,850
10.02.1967 12:00:00; 0,660
26.03.1967 12:00:00; 0,850
19.04.1967 12:00:00; 0,850
28.05.1967 12:00:00; 0,850
30.06.1967 12:00:00; 0,600
28.07.1967 12:00:00; 0,600
22.08.1967 12:00:00; 0,600
08.09.1967 12:00:00; 0,600
31.10.1967 12:00:00; 0,540
25.11.1967 12:00:00; 0,600
29.12.1967 12:00:00; 0,480
31.01.1968 12:00:00; 0,480
20.02.1968 12:00:00; 0,480
30.03.1968 12:00:00; 0,480
28.04.1968 12:00:00; 0,380
17.05.1968 12:00:00; 0,380
17.06.1968 12:00:00; 0,280
14.07.1968 12:00:00; 0,810
01.08.1968 12:00:00; 0,600
30.09.1968 12:00:00;  1,08
28.10.1968 12:00:00;  1,08
19.11.1968 12:00:00; 0,660
16.12.1968 12:00:00; 0,600
31.01.1969 12:00:00; 0,600
18.02.1969 12:00:00; 0,600
09.03.1969 12:00:00;  1,12
30.04.1969 12:00:00;  1,01
22.05.1969 12:00:00; 0,530
02.06.1969 12:00:00; 0,370
30.07.1969 12:00:00; 0,820
19.08.1969 12:00:00; 0,730
27.09.1969 12:00:00;  1,02
31.10.1969 12:00:00; 0,530
12.11.1969 12:00:00; 0,390
27.12.1969 12:00:00; 0,820
27.01.1970 12:00:00; 0,530
03.02.1970 12:00:00; 0,730
10.03.1970 12:00:00; 0,920
10.04.1970 12:00:00;  1,43
25.05.1970 12:00:00; 0,920
07.06.1970 12:00:00; 0,820
10.07.1970 12:00:00; 0,880
02.08.1970 12:00:00;  1,09
25.09.1970 12:00:00; 0,880
31.10.1970 12:00:00; 0,660
08.11.1970 12:00:00; 0,540
30.12.1970 12:00:00; 0,410
12.01.1971 12:00:00; 0,410
15.02.1971 12:00:00; 0,540
24.03.1971 12:00:00; 0,520
23.04.1971 12:00:00; 0,660
27.05.1971 12:00:00; 0,410
30.06.1971 12:00:00; 0,540
12.07.1971 12:00:00; 0,240
25.08.1971 12:00:00; 0,470
24.09.1971 12:00:00; 0,470
22.10.1971 12:00:00; 0,470
22.11.1971 12:00:00; 0,540
31.12.1971 12:00:00; 0,660
27.01.1972 12:00:00; 0,660
09.02.1972 12:00:00; 0,660
16.03.1972 12:00:00;  1,34
10.04.1972 12:00:00;  1,09
08.05.1972 12:00:00;  1,34
17.06.1972 12:00:00; 0,660
10.07.1972 12:00:00;  1,62
28.08.1972 12:00:00;  1,08
08.09.1972 12:00:00;  1,08
31.10.1972 12:00:00; 0,880
12.11.1972 12:00:00; 0,660
31.12.1972 12:00:00; 0,690
