Messstelle:                ;Thebnerstraßl
HZB-Nummer:                ;207407
HD-Nummer:                 ;
DBMS-Nummer:               ;10001049
Gewässer:                  ;Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;131384
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.09.1955              ;00133,26
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   06.10.1999              ;798549,00 - 336554,00
   01.01.2010              ;798464,73 - 336649,44
Exportzeitreihe:           ;(10001049,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[07.10.1999 00:00,01.01.2022 00:00]
Werte:
26.10.1999 11:00:00;  1058
02.11.1999 22:45:00;   973
01.12.1999 19:30:00;  1152
17.01.2000 22:45:00;  1083
25.02.2000 07:15:00;  2127
08.03.2000 15:15:00;  2127
15.04.2000 07:30:00;  2661
25.05.2000 19:00:00;  2410
30.06.2000 18:30:00;  1675
03.07.2000 01:15:00;  1431
28.08.2000 13:15:00;  1186
14.09.2000 14:45:00;  1359
30.10.2000 21:00:00;  1104
13.11.2000 21:30:00;  1073
26.12.2000 05:45:00;   956
03.01.2001 09:45:00;   991
03.02.2001 23:00:00;  1172
04.03.2001 08:00:00;  1306
07.04.2001 17:00:00;  2283
28.05.2001 18:30:00;  2084
09.06.2001 19:15:00;  2047
16.07.2001 20:30:00;  1587
28.08.2001 01:30:00;  1147
01.09.2001 00:00:00;  1261
22.10.2001 22:00:00;  1092
06.11.2001 14:15:00;   939
25.12.2001 14:45:00;  1092
21.01.2002 03:15:00;  1110
21.02.2002 01:45:00;  1952
18.03.2002 22:00:00;  1666
20.04.2002 15:45:00;  1666
26.05.2002 19:15:00;  2079
30.06.2002 19:30:00;  1710
13.07.2002 22:15:00;  1399
01.08.2002 18:00:00;  1495
19.09.2002 14:15:00;  1433
04.10.2002 18:00:00;  2027
03.11.2002 01:00:00;  2673
15.12.2002 22:15:00;  1712
23.01.2003 07:30:00;  1988
25.02.2003 11:00:00;  1293
01.03.2003 22:00:00;  1431
09.04.2003 17:30:00;  1471
