Messstelle:                ;Almdorf
HZB-Nummer:                ;201947
HD-Nummer:                 ;
DBMS-Nummer:               ;7001087
Gewässer:                  ;Fieberbrunner Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;165,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   18.01.1955              ;00660,00
   01.01.1982              ;00665,36
   01.03.2005              ;00665,30
   08.07.2015              ;00663,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1955              ;382910,00 - 264886,00
   08.07.2015              ;382861,15 - 264927,67
Exportzeitreihe:           ;(7001087,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1956 12:00,01.01.2022 00:00]
Werte:
31.01.1956 12:00:00;  2,49
24.02.1956 12:00:00;  2,11
02.03.1956 12:00:00;  2,28
10.04.1956 12:00:00;  5,64
04.05.1956 12:00:00;  6,66
12.06.1956 12:00:00;  6,92
23.07.1956 12:00:00;  4,87
28.08.1956 12:00:00;  5,38
30.09.1956 12:00:00;  4,15
25.10.1956 12:00:00;  2,28
26.11.1956 12:00:00;  2,49
24.12.1956 12:00:00;  2,49
31.01.1957 12:00:00;  2,12
23.02.1957 12:00:00;  2,49
03.03.1957 12:00:00;  3,11
18.04.1957 12:00:00;  5,64
15.05.1957 12:00:00;  4,36
30.06.1957 12:00:00;  4,62
06.07.1957 12:00:00;  3,32
03.08.1957 12:00:00;  3,94
22.09.1957 12:00:00;  3,94
31.10.1957 12:00:00;  2,90
28.11.1957 12:00:00;  2,28
03.12.1957 12:00:00;  1,80
07.01.1958 12:00:00;  1,95
08.02.1958 12:00:00;  2,28
06.03.1958 12:00:00;  2,85
13.04.1958 12:00:00;  5,52
31.05.1958 12:00:00;  5,00
07.06.1958 12:00:00;  4,31
22.07.1958 12:00:00;  4,31
31.08.1958 12:00:00;  3,45
17.09.1958 12:00:00;  2,85
12.10.1958 12:00:00;  2,85
30.11.1958 12:00:00;  4,54
13.12.1958 12:00:00;  3,25
29.01.1959 12:00:00;  2,72
13.02.1959 12:00:00;  2,72
01.03.1959 12:00:00;  4,31
16.04.1959 12:00:00;  5,52
29.05.1959 12:00:00;  5,78
07.06.1959 12:00:00;  5,26
28.07.1959 12:00:00;  5,34
31.08.1959 12:00:00;  5,34
22.09.1959 12:00:00;  2,90
