Messstelle:                ;Eltendorf (Hackenwiesen)
HZB-Nummer:                ;210401
HD-Nummer:                 ;
DBMS-Nummer:               ;1001037
Gewässer:                  ;Lafnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1956,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1979              ;00224,00
   01.01.1987              ;00223,65
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;740250,00 - 205700,00
   05.10.2018              ;740273,73 - 205710,88
Exportzeitreihe:           ;(1001037,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1979 00:00,01.01.2022 00:00]
Werte:
01.01.1979 12:30:00;  7,20
03.02.1979 21:00:00;  6,11
02.03.1979 13:00:00;  6,37
23.04.1979 17:00:00;  12,1
26.05.1979 16:00:00;  7,79
05.06.1979 12:30:00;  6,40
20.07.1979 10:30:00;  21,8
31.08.1979 06:00:00;  15,0
22.09.1979 11:00:00;  7,13
19.10.1979 15:30:00;  6,27
01.11.1979 00:00:00;  7,02
19.12.1979 22:30:00;  15,1
17.01.1980 00:01:00;  11,0
22.02.1980 09:30:00;  8,71
12.03.1980 13:30:00;  9,32
13.04.1980 03:00:00;  10,3
31.05.1980 09:30:00;  8,17
20.06.1980 12:00:00;  4,01
25.07.1980 11:00:00;  5,54
30.08.1980 16:00:00;  4,03
06.09.1980 16:00:00;  4,53
05.10.1980 11:00:00;  4,69
27.11.1980 05:00:00;  14,1
16.12.1980 02:30:00;  12,5
27.01.1981 15:00:00;  11,0
27.02.1981 21:30:00;  7,47
01.03.1981 00:00:00;  8,93
25.04.1981 07:30:00;  6,53
29.05.1981 20:30:00;  7,34
14.06.1981 21:00:00;  3,92
08.07.1981 16:00:00;  4,88
31.08.1981 12:00:00;  4,45
10.09.1981 12:00:00;  4,05
21.10.1981 14:00:00;  7,54
22.11.1981 16:00:00;  8,68
15.12.1981 16:00:00;  6,47
22.01.1982 06:00:00;  8,75
14.02.1982 04:30:00;  7,30
01.03.1982 00:00:00;  9,06
29.04.1982 22:00:00;  12,0
03.05.1982 10:00:00;  8,39
24.06.1982 04:00:00;  9,34
17.07.1982 20:00:00;  8,06
01.08.1982 03:00:00;  14,6
29.09.1982 14:00:00;  8,49
01.10.1982 00:00:00;  10,9
30.11.1982 00:00:00;  14,0
10.12.1982 04:00:00;  15,8
15.01.1983 14:30:00;  15,0
24.02.1983 15:30:00;  13,9
17.03.1983 21:00:00;  15,2
30.04.1983 20:30:00;  13,2
20.05.1983 09:30:00;  9,19
17.06.1983 04:00:00;  7,03
17.07.1983 22:00:00;  6,32
26.08.1983 15:30:00;  5,81
15.09.1983 16:00:00;  4,74
01.10.1983 17:30:00;  6,31
04.11.1983 13:30:00;  5,63
04.12.1983 14:30:00;  6,20
14.01.1984 14:30:00;  5,27
11.02.1984 04:30:00;  4,29
12.03.1984 17:00:00;  4,89
30.04.1984 17:30:00;  8,05
20.05.1984 16:00:00;  6,62
20.06.1984 21:00:00;  7,65
19.07.1984 16:30:00;  6,62
31.08.1984 13:30:00;  6,29
01.09.1984 16:00:00;  6,20
19.10.1984 16:00:00;  6,82
02.11.1984 15:30:00;  6,80
31.12.1984 07:00:00;  4,84
01.01.1985 02:00:00;  5,37
03.02.1985 15:00:00;  7,99
03.03.1985 15:00:00;  8,90
20.04.1985 11:00:00;  10,3
02.05.1985 03:30:00;  12,0
26.06.1985 18:00:00;  12,9
30.07.1985 21:00:00;  8,15
04.08.1985 02:00:00;  8,03
18.09.1985 11:30:00;  8,24
30.10.1985 02:00:00;  5,98
01.11.1985 12:00:00;  5,96
28.12.1985 16:00:00;  8,68
19.01.1986 19:30:00;  5,92
10.02.1986 10:00:00;  6,49
06.03.1986 17:15:00;  4,50
25.04.1986 17:15:00;  18,5
16.05.1986 19:30:00;  11,3
29.06.1986 14:30:00;  20,1
31.07.1986 14:45:00;  7,02
18.08.1986 09:15:00;  5,98
30.09.1986 16:15:00;  6,96
26.10.1986 16:00:00;  4,30
03.11.1986 05:45:00;  4,75
23.12.1986 13:45:00;  5,17
01.01.1987 00:00:00;  5,48
05.02.1987 07:45:00;  7,13
15.03.1987 12:45:00;  9,03
29.04.1987 13:45:00;  16,6
10.05.1987 07:45:00;  17,6
30.06.1987 20:00:00;  10,6
21.07.1987 20:45:00;  7,23
31.08.1987 22:00:00;  10,5
30.09.1987 18:45:00;  8,93
20.10.1987 19:00:00;  8,24
08.11.1987 18:15:00;  8,18
17.12.1987 13:00:00;  11,1
21.01.1988 19:00:00;  9,76
26.02.1988 16:30:00;  8,31
09.03.1988 19:00:00;  7,70
28.04.1988 10:15:00;  10,6
02.05.1988 16:30:00;  8,62
28.06.1988 15:30:00;  8,49
31.07.1988 23:59:55;  8,15
04.08.1988 13:30:00;  7,58
01.09.1988 11:00:00;  8,18
16.10.1988 05:45:00;  7,40
06.11.1988 13:15:00;  7,40
13.12.1988 18:00:00;  7,70
28.01.1989 07:00:00;  7,14
01.02.1989 18:30:00;  7,11
11.03.1989 20:00:00;  8,31
12.04.1989 17:30:00;  9,12
06.05.1989 20:00:00;  9,44
18.06.1989 17:30:00;  12,2
02.07.1989 01:00:00;  14,4
17.08.1989 19:00:00;  16,0
23.09.1989 17:00:00;  11,3
22.10.1989 10:30:00;  7,87
23.11.1989 10:15:00;  6,18
29.12.1989 14:15:00;  5,56
29.01.1990 12:45:00;  6,02
18.02.1990 19:30:00;  5,40
06.03.1990 01:45:00;  5,11
05.04.1990 12:00:00;  5,71
08.05.1990 09:45:00;  6,34
02.06.1990 01:30:00;  9,19
25.07.1990 16:45:00;  8,43
31.08.1990 23:59:55;  6,46
24.09.1990 12:45:00;  5,11
17.10.1990 18:15:00;  4,82
16.11.1990 03:15:00;  8,06
21.12.1990 19:30:00;  7,70
20.01.1991 12:15:00;  8,43
06.02.1991 08:15:00;  8,06
03.03.1991 00:10:00;  7,01
19.04.1991 21:15:00;  8,60
01.05.1991 00:00:00;  9,52
03.06.1991 20:30:00;  9,35
09.07.1991 10:45:00;  15,6
