Messstelle:                ;St. Veit
HZB-Nummer:                ;213827
HD-Nummer:                 ;01853
DBMS-Nummer:               ;2002486
Gewässer:                  ;Glan
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;380,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   18.07.2007              ;00462,66
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2007              ;529778,65 - 180930,71
   04.08.2015              ;529848,50 - 180972,00
Exportzeitreihe:           ;(2002486,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[09.05.2007 14:15,01.01.2022 00:00]
Werte:
27.05.2007 03:22:30; 0,999
26.06.2007 03:37:30; 0,899
23.07.2007 07:37:30; 0,669
07.08.2007 22:07:30; 0,848
17.09.2007 08:37:30;  1,06
16.10.2007 18:07:30;  1,33
13.11.2007 15:22:30;  1,21
30.12.2007 07:07:30; 0,891
02.01.2008 03:52:30; 0,891
17.02.2008 07:22:30; 0,669
01.03.2008 00:22:30;  1,11
28.04.2008 07:07:30;  1,21
17.05.2008 18:22:30; 0,937
04.06.2008 10:07:30; 0,949
13.07.2008 08:52:30;  1,39
08.08.2008 00:52:30;  1,33
07.09.2008 06:22:30;  1,46
01.10.2008 14:22:30;  1,46
03.11.2008 11:37:30;  1,96
08.12.2008 11:07:30;  3,80
10.01.2009 10:22:30;  2,20
22.02.2009 21:52:30;  1,81
03.03.2009 16:37:30;  2,04
27.04.2009 08:52:30;  3,24
11.05.2009 15:22:30;  1,93
16.06.2009 04:37:30;  1,56
30.07.2009 00:52:30;  2,09
02.08.2009 22:07:30;  2,27
03.09.2009 17:22:30;  2,27
30.10.2009 15:45:00;  2,44
01.11.2009 09:15:00;  2,73
21.12.2009 07:00:00;  1,93
29.01.2010 09:30:00;  2,35
01.02.2010 08:45:00;  1,63
08.03.2010 07:45:00;  2,94
24.04.2010 23:30:00;  2,37
27.05.2010 23:30:00;  1,88
15.06.2010 10:07:30;  1,15
21.07.2010 21:37:30;  1,10
24.08.2010 10:37:30; 0,891
02.09.2010 21:45:00;  1,21
12.10.2010 14:37:30;  1,56
06.11.2010 09:22:30;  2,73
17.12.2010 06:52:30;  4,06
23.01.2011 08:37:30;  3,57
24.02.2011 07:22:30;  2,84
08.03.2011 10:07:30;  2,55
22.04.2011 21:07:30;  1,96
27.05.2011 11:00:00;  1,15
01.06.2011 01:00:00;  1,66
11.07.2011 01:45:00;  1,46
30.08.2011 18:45:00;  1,59
16.09.2011 19:30:00;  1,59
06.10.2011 02:45:00;  1,77
30.11.2011 16:15:00;  1,85
21.12.2011 05:30:00;  1,42
31.01.2012 04:21:00;  1,18
03.02.2012 07:36:00;  1,18
25.03.2012 00:00:00;  1,06
01.04.2012 01:45:00;  1,29
12.05.2012 10:00:00;  1,06
30.06.2012 18:45:00; 0,999
08.07.2012 21:00:00; 0,848
25.08.2012 10:15:00;  1,70
11.09.2012 18:30:00;  1,93
09.10.2012 10:00:00;  3,03
01.11.2012 00:00:00;  5,94
13.12.2012 09:15:00;  4,15
26.01.2013 10:30:00;  2,74
11.02.2013 07:30:00;  2,04
01.03.2013 01:45:00;  3,24
30.04.2013 20:21:10;  6,32
23.05.2013 16:15:00;  4,18
30.06.2013 19:45:00;  2,93
30.07.2013 19:45:00;  1,70
05.08.2013 18:30:00;  1,49
07.09.2013 00:15:00;  1,49
27.10.2013 16:15:00;  1,49
02.11.2013 20:15:00;  2,18
23.12.2013 22:00:00;  2,43
03.01.2014 20:15:00;  3,56
01.02.2014 00:00:00;  5,02
30.03.2014 10:30:00;  7,25
25.04.2014 20:00:00;  4,41
30.05.2014 17:30:00;  2,90
22.06.2014 23:00:00;  2,09
20.07.2014 20:30:00;  2,40
04.08.2014 14:45:00;  2,32
30.09.2014 12:30:00;  5,80
31.10.2014 19:45:00;  3,20
