Messstelle:                ;Guldendorf
HZB-Nummer:                ;213405
HD-Nummer:                 ;01549
DBMS-Nummer:               ;2001094
Gewässer:                  ;Olsa
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;161,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1994              ;00652,17
   17.11.2009              ;00652,17
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1994              ;530293,00 - 205163,00
Exportzeitreihe:           ;(2001094,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1994 00:15,01.01.2022 00:00]
Werte:
28.01.1994 08:00:00; 0,964
20.02.1994 03:30:00; 0,890
04.03.1994 17:45:00; 0,964
01.04.1994 04:30:00;  1,20
24.05.1994 13:00:00; 0,964
30.06.1994 14:45:00; 0,554
13.07.1994 19:30:00; 0,704
02.08.1994 16:30:00; 0,654
08.09.1994 15:00:00;  1,36
16.10.1994 09:15:00; 0,964
08.11.1994 06:45:00;  1,36
21.12.1994 14:30:00; 0,554
09.01.1995 00:01:00; 0,766
28.02.1995 05:30:00; 0,766
10.03.1995 13:45:00; 0,604
22.04.1995 16:30:00;  1,12
31.05.1995 13:45:00; 0,766
03.06.1995 10:15:00;  1,53
27.07.1995 07:30:00; 0,964
06.08.1995 23:00:00; 0,964
13.09.1995 12:45:00;  1,44
11.10.1995 11:15:00; 0,704
21.11.1995 08:45:00; 0,766
22.12.1995 17:15:00; 0,828
31.01.1996 02:15:00; 0,554
02.02.1996 00:01:00; 0,604
08.03.1996 10:00:00; 0,514
05.04.1996 09:30:00;  1,12
04.05.1996 09:45:00;  1,20
07.06.1996 16:30:00; 0,604
23.07.1996 01:30:00;  1,36
22.08.1996 13:45:00; 0,828
10.09.1996 18:45:00;  1,20
02.10.1996 12:15:00;  1,04
12.11.1996 14:00:00; 0,890
30.12.1996 00:01:00; 0,964
30.01.1997 09:13:20; 0,793
04.02.1997 16:29:55; 0,962
12.03.1997 16:20:20; 0,616
01.04.1997 08:22:55; 0,349
18.05.1997 17:38:10; 0,434
06.06.1997 19:37:55; 0,608
13.07.1997 19:24:45; 0,584
15.08.1997 17:41:45; 0,427
27.09.1997 20:54:50; 0,303
07.10.1997 04:16:55; 0,314
06.11.1997 14:28:25; 0,578
29.12.1997 15:12:45; 0,554
27.01.1998 06:58:35; 0,549
08.02.1998 00:44:35; 0,519
26.03.1998 06:11:40; 0,575
03.04.1998 10:26:30; 0,793
29.05.1998 02:26:55; 0,624
03.06.1998 21:48:35; 0,227
31.07.1998 18:39:20; 0,666
