Messstelle:                ;Tattendorf
HZB-Nummer:                ;208306
HD-Nummer:                 ;no505
DBMS-Nummer:               ;3001067
Gewässer:                  ;Piesting
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;315
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1970              ;00221,04
   01.01.2014              ;00221,10
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1966              ;750075,00 - 310512,00
Exportzeitreihe:           ;(3001067,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[12.01.1967 12:00,01.01.2022 00:00]
Werte:
12.01.1967 12:00:00; 0,510
20.02.1967 12:00:00;  2,45
15.03.1967 12:00:00;  2,07
21.04.1967 12:00:00;  1,73
20.05.1967 12:00:00; 0,600
29.06.1967 12:00:00; 0,910
29.07.1967 12:00:00; 0,430
16.08.1967 12:00:00; 0,690
07.09.1967 12:00:00; 0,600
11.10.1967 12:00:00; 0,740
03.11.1967 12:00:00; 0,850
29.12.1967 12:00:00;  1,09
14.01.1968 12:00:00; 0,430
27.02.1968 12:00:00;  1,58
09.03.1968 12:00:00;  1,65
12.04.1968 12:00:00; 0,430
02.05.1968 12:00:00; 0,650
18.06.1968 12:00:00; 0,600
08.07.1968 12:00:00; 0,470
16.08.1968 12:00:00; 0,430
30.09.1968 12:00:00; 0,690
11.10.1968 12:00:00; 0,390
08.11.1968 12:00:00; 0,650
12.12.1968 12:00:00; 0,560
01.01.1969 12:00:00;  1,22
17.02.1969 12:00:00; 0,650
04.03.1969 12:00:00;  1,35
22.04.1969 12:00:00;  1,65
30.05.1969 12:00:00; 0,560
20.06.1969 12:00:00; 0,600
18.07.1969 12:00:00; 0,800
04.08.1969 12:00:00; 0,650
04.09.1969 12:00:00; 0,850
25.10.1969 12:00:00; 0,600
21.11.1969 12:00:00; 0,430
21.12.1969 12:00:00; 0,350
10.01.1970 12:00:00; 0,430
03.02.1970 12:00:00;  1,02
13.03.1970 12:00:00;  1,28
29.04.1970 12:00:00;  2,85
29.05.1970 12:00:00;  1,64
27.06.1970 12:00:00;  1,09
09.07.1970 12:00:00; 0,650
14.08.1970 12:00:00; 0,740
13.09.1970 12:00:00; 0,740
11.10.1970 12:00:00; 0,740
13.11.1970 12:00:00;  1,33
27.12.1970 12:00:00; 0,250
02.01.1971 12:00:00; 0,530
28.02.1971 12:00:00; 0,250
03.03.1971 12:00:00; 0,460
21.04.1971 12:00:00; 0,510
14.05.1971 12:00:00; 0,800
18.06.1971 12:00:00; 0,470
13.07.1971 12:00:00; 0,740
30.08.1971 12:00:00; 0,600
24.09.1971 12:00:00; 0,500
24.10.1971 12:00:00; 0,530
29.11.1971 12:00:00; 0,600
17.12.1971 12:00:00; 0,740
22.01.1972 12:00:00; 0,500
06.02.1972 12:00:00; 0,600
13.03.1972 12:00:00;  1,15
01.04.1972 12:00:00;  1,02
19.05.1972 12:00:00;  2,16
27.06.1972 12:00:00;  1,03
09.07.1972 12:00:00;  1,67
31.08.1972 12:00:00;  1,99
29.09.1972 12:00:00;  1,43
18.10.1972 12:00:00;  1,73
16.11.1972 12:00:00;  1,15
30.12.1972 12:00:00;  1,09
15.01.1973 12:00:00;  1,00
28.02.1973 12:00:00;  1,12
16.03.1973 12:00:00;  1,02
14.04.1973 12:00:00; 0,830
26.05.1973 12:00:00;  1,33
02.06.1973 12:00:00;  1,19
27.07.1973 12:00:00; 0,910
26.08.1973 12:00:00; 0,740
07.09.1973 12:00:00; 0,510
10.10.1973 12:00:00; 0,420
12.11.1973 12:00:00; 0,460
04.12.1973 12:00:00; 0,830
15.01.1974 12:00:00; 0,430
24.02.1974 12:00:00;  2,52
09.03.1974 12:00:00;  1,84
11.04.1974 12:00:00; 0,630
24.05.1974 12:00:00; 0,460
28.06.1974 12:00:00; 0,460
28.07.1974 12:00:00; 0,890
26.08.1974 12:00:00; 0,950
16.09.1974 12:00:00; 0,890
05.10.1974 12:00:00; 0,590
04.11.1974 12:00:00; 0,830
01.12.1974 12:00:00;  1,27
27.01.1975 12:00:00;  2,14
28.02.1975 12:00:00;  1,95
10.03.1975 12:00:00;  1,25
14.04.1975 12:00:00;  1,69
20.05.1975 12:00:00;  1,25
15.06.1975 12:00:00; 0,450
01.07.1975 12:00:00;  2,33
23.08.1975 12:00:00;  2,15
19.09.1975 12:00:00;  1,41
09.10.1975 12:00:00; 0,950
04.11.1975 12:00:00;  1,53
20.12.1975 12:00:00;  1,53
01.01.1976 00:00:00; Lücke
02.01.1976 16:00:00;  1,43
31.01.1976 18:00:00;  4,60
26.02.1976 14:00:00;  2,37
25.03.1976 10:30:00;  1,91
20.04.1976 01:00:00;  1,67
11.05.1976 06:00:00;  1,54
28.06.1976 23:30:00;  1,15
14.07.1976 10:00:30; 0,658
11.08.1976 06:30:00; 0,743
04.09.1976 07:30:00;  1,23
11.10.1976 12:30:00; 0,901
17.11.1976 07:00:00;  1,23
31.12.1976 05:30:00;  1,53
22.01.1977 08:30:00;  1,94
05.02.1977 08:30:00;  3,03
31.03.1977 23:59:55;  2,85
06.04.1977 15:30:00;  2,71
12.05.1977 09:00:00; 0,633
18.06.1977 12:30:00;  1,17
04.07.1977 05:00:00; 0,842
19.08.1977 14:30:00;  1,20
26.09.1977 05:30:00; 0,769
06.10.1977 14:00:00; 0,619
02.11.1977 04:00:00; 0,912
12.12.1977 05:00:00; 0,786
21.01.1978 10:30:00;  1,32
21.02.1978 12:30:00;  1,06
31.03.1978 19:30:00; 0,812
07.04.1978 09:00:00; 0,957
02.05.1978 05:00:00; 0,669
02.06.1978 13:00:00; 0,669
16.07.1978 05:00:00; 0,640
21.08.1978 08:00:00; 0,568
18.09.1978 03:00:00; 0,477
22.10.1978 01:00:00; 0,765
06.11.1978 10:00:00; 0,556
29.12.1978 16:00:00; 0,541
23.01.1979 18:00:00; 0,594
03.02.1979 22:30:00;  1,10
05.03.1979 06:00:00; 0,786
27.04.1979 09:00:00;  1,93
29.05.1979 09:30:00;  1,04
06.06.1979 15:00:00; 0,820
16.07.1979 08:30:00; 0,748
31.08.1979 14:00:00; 0,939
24.09.1979 07:00:00; 0,487
18.10.1979 15:00:00; 0,635
02.11.1979 12:00:00; 0,614
06.12.1979 09:30:00; 0,869
13.01.1980 16:00:00; 0,825
29.02.1980 22:00:00; 0,932
23.03.1980 16:00:00;  1,35
14.04.1980 09:30:00;  3,12
28.05.1980 07:30:00;  2,50
16.06.1980 06:00:00; 0,770
14.07.1980 13:30:00; 0,474
06.08.1980 08:00:00; 0,710
08.09.1980 09:00:00; 0,460
03.10.1980 09:30:00; 0,516
03.11.1980 10:00:00; 0,985
01.12.1980 15:30:00;  1,46
26.01.1981 09:45:00;  1,99
25.02.1981 03:15:00;  2,11
29.03.1981 13:45:00;  1,88
14.04.1981 11:15:00; 0,779
26.05.1981 10:15:00; 0,899
25.06.1981 08:30:00; 0,495
07.07.1981 06:45:00; 0,579
23.08.1981 18:45:00; 0,799
