Messstelle:                ;Waier
HZB-Nummer:                ;212183
HD-Nummer:                 ;
DBMS-Nummer:               ;7001142
Gewässer:                  ;Isel
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Verbund Hydro Power AG
orogr.Einzugsgebiet [km²]: ;285,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   10.07.1975              ;00931,34
   01.01.1977              ;00930,34
   01.01.1981              ;00930,41
   01.01.1985              ;00930,74
   07.10.2009              ;00930,75
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1985              ;388685,13 - 206410,93
Exportzeitreihe:           ;(7001142,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
31.01.1976 23:59:55;  1,57
02.02.1976 08:00:00;  1,57
16.03.1976 00:00:00;  1,45
11.04.1976 08:00:00;  2,36
01.05.1976 13:00:00;  2,84
06.06.1976 13:00:00;  8,68
27.07.1976 14:00:00;  11,1
23.08.1976 12:00:00;  6,43
27.09.1976 15:00:00;  7,07
29.10.1976 16:00:00;  4,76
28.11.1976 14:00:00;  3,59
31.12.1976 23:59:55;  2,40
27.01.1977 03:00:00;  1,87
26.02.1977 20:00:00;  1,77
01.03.1977 08:00:00;  1,61
17.04.1977 06:00:00;  1,92
10.05.1977 14:00:00;  7,36
06.06.1977 10:00:00;  17,5
30.07.1977 12:00:00;  15,5
26.08.1977 11:00:00;  12,4
27.09.1977 10:00:00;  4,60
31.10.1977 12:00:00;  4,19
30.11.1977 23:59:55;  2,22
15.12.1977 19:00:00;  2,02
11.01.1978 17:00:00;  1,65
09.02.1978 00:00:00;  1,82
27.03.1978 08:00:00;  1,51
18.04.1978 10:00:00;  1,74
17.05.1978 14:00:00;  4,03
30.06.1978 14:00:00;  9,23
10.07.1978 14:00:00;  13,1
31.08.1978 23:59:55;  9,71
21.09.1978 09:00:00;  5,61
31.10.1978 12:00:00;  4,43
29.11.1978 08:00:00;  2,31
06.12.1978 18:00:00;  1,65
31.01.1979 23:59:55;  1,69
27.02.1979 02:00:00;  1,19
01.03.1979 00:00:00;  1,44
08.04.1979 11:30:00;  1,59
04.05.1979 09:30:00;  2,07
20.06.1979 11:00:00;  16,3
25.07.1979 12:00:00;  14,1
30.08.1979 11:00:00;  11,2
30.09.1979 13:00:00;  10,0
31.10.1979 11:30:00;  4,55
04.11.1979 10:00:00;  3,36
22.12.1979 18:00:00;  2,88
26.01.1980 04:30:00;  1,93
29.02.1980 23:59:55;  1,82
01.03.1980 09:30:00;  1,67
09.04.1980 10:30:00;  2,11
02.05.1980 13:30:00;  2,38
03.06.1980 15:00:00;  6,79
05.07.1980 14:30:00;  15,8
26.08.1980 12:30:00;  14,0
15.09.1980 11:30:00;  7,52
16.10.1980 08:30:00;  4,66
30.11.1980 23:59:55;  3,03
29.12.1980 05:00:00;  2,20
09.01.1981 06:00:00;  1,83
26.02.1981 09:00:00;  1,48
01.03.1981 04:00:00;  1,50
30.04.1981 14:30:00;  3,07
06.05.1981 10:30:00;  2,95
26.06.1981 13:30:00;  9,34
30.07.1981 11:00:00;  16,4
29.08.1981 14:00:00;  8,93
18.09.1981 14:00:00;  7,90
25.10.1981 09:30:00;  4,67
26.11.1981 10:00:00;  2,61
14.12.1981 01:00:00;  2,03
26.01.1982 09:00:00;  2,03
28.02.1982 23:59:55;  1,72
21.03.1982 00:00:00;  1,38
16.04.1982 12:00:00;  2,39
02.05.1982 13:00:00;  2,32
16.06.1982 15:00:00;  14,1
01.07.1982 11:30:00;  17,2
26.08.1982 10:30:00;  12,4
25.09.1982 12:30:00;  8,49
12.10.1982 12:30:00;  4,36
30.11.1982 22:30:00;  3,45
25.12.1982 07:30:00;  2,49
31.01.1983 12:30:00;  2,07
16.02.1983 00:00:00;  1,73
07.03.1983 07:00:00;  1,72
06.04.1983 10:30:00;  1,92
05.05.1983 12:00:00;  5,26
19.06.1983 10:30:00;  11,9
03.07.1983 10:30:00;  19,7
08.08.1983 13:00:00;  10,7
14.09.1983 08:30:00;  7,94
26.10.1983 04:00:00;  3,75
24.11.1983 06:30:00;  2,34
16.12.1983 00:00:00;  1,79
28.01.1984 00:45:00;  1,50
09.02.1984 00:00:00;  1,16
05.03.1984 10:15:00;  1,14
