Messstelle:                ;Krottendorf
HZB-Nummer:                ;213090
HD-Nummer:                 ;00715
DBMS-Nummer:               ;2001065
Gewässer:                  ;Lavant
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;954,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00354,05
   09.09.2004              ;00354,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1905              ;643804,31 - 170261,38
   04.08.2015              ;573390,70 - 170558,20
Exportzeitreihe:           ;(2001065,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[02.01.1951 12:00,01.01.2022 00:00]
Werte:
02.01.1951 12:00:00;  7,45
03.02.1951 12:00:00;  7,91
14.03.1951 12:00:00;  9,38
18.04.1951 12:00:00;  15,1
20.05.1951 12:00:00;  18,2
28.06.1951 12:00:00;  12,5
31.07.1951 12:00:00;  8,86
31.08.1951 12:00:00;  6,20
03.09.1951 12:00:00;  6,20
13.10.1951 12:00:00;  7,45
01.11.1951 12:00:00;  8,86
26.12.1951 12:00:00;  7,91
31.01.1952 12:00:00;  5,10
13.02.1952 12:00:00;  4,80
13.03.1952 12:00:00;  8,37
09.04.1952 12:00:00;  11,4
31.05.1952 12:00:00;  8,60
13.06.1952 12:00:00;  6,88
28.07.1952 12:00:00;  5,90
17.08.1952 12:00:00;  5,90
02.09.1952 12:00:00;  6,20
11.10.1952 12:00:00;  9,90
30.11.1952 12:00:00;  9,90
26.12.1952 12:00:00;  8,14
11.01.1953 12:00:00;  7,26
14.02.1953 12:00:00;  6,50
17.03.1953 12:00:00;  6,35
09.04.1953 12:00:00;  8,86
20.05.1953 12:00:00;  8,37
30.06.1953 12:00:00;  9,90
14.07.1953 12:00:00;  9,90
21.08.1953 12:00:00;  7,45
28.09.1953 12:00:00;  8,37
19.10.1953 12:00:00;  7,45
28.11.1953 12:00:00;  7,07
31.12.1953 12:00:00;  5,49
31.01.1954 12:00:00;  5,36
05.02.1954 12:00:00;  5,23
12.03.1954 12:00:00;  7,45
22.04.1954 12:00:00;  6,69
02.05.1954 12:00:00;  11,4
15.06.1954 12:00:00;  17,8
29.07.1954 12:00:00;  13,5
19.08.1954 12:00:00;  10,8
07.09.1954 12:00:00;  10,8
31.10.1954 12:00:00;  9,38
01.11.1954 12:00:00;  8,86
08.12.1954 12:00:00;  9,38
21.01.1955 12:00:00;  7,07
15.02.1955 12:00:00;  7,45
04.03.1955 12:00:00;  6,20
30.04.1955 12:00:00;  8,37
03.05.1955 12:00:00;  8,14
10.06.1955 12:00:00;  9,38
31.07.1955 12:00:00;  11,6
28.08.1955 12:00:00;  8,60
11.09.1955 12:00:00;  5,90
03.10.1955 12:00:00;  6,88
25.11.1955 12:00:00;  7,07
29.12.1955 12:00:00;  7,68
31.01.1956 12:00:00;  5,75
11.02.1956 12:00:00;  4,42
17.03.1956 12:00:00;  5,23
16.04.1956 12:00:00;  6,50
19.05.1956 12:00:00;  11,1
13.06.1956 12:00:00;  17,4
25.07.1956 12:00:00;  13,1
13.08.1956 12:00:00;  10,2
11.09.1956 12:00:00;  6,50
26.10.1956 12:00:00;  6,88
30.11.1956 12:00:00;  7,26
27.12.1956 12:00:00;  6,20
22.01.1957 12:00:00;  5,49
10.02.1957 12:00:00;  5,36
03.03.1957 12:00:00;  6,50
02.04.1957 12:00:00;  9,64
04.05.1957 12:00:00;  6,50
12.06.1957 12:00:00;  11,4
09.07.1957 12:00:00;  7,26
14.08.1957 12:00:00;  8,86
10.09.1957 12:00:00;  8,60
20.10.1957 12:00:00;  8,14
30.11.1957 12:00:00;  7,26
31.12.1957 12:00:00;  6,69
31.01.1958 12:00:00;  6,05
02.02.1958 12:00:00;  6,20
26.03.1958 12:00:00;  6,20
21.04.1958 12:00:00;  6,20
01.05.1958 12:00:00;  10,2
11.06.1958 12:00:00;  7,45
22.07.1958 12:00:00;  7,07
20.08.1958 12:00:00;  10,2
10.09.1958 12:00:00;  10,2
31.10.1958 12:00:00;  9,38
01.11.1958 12:00:00;  9,12
05.12.1958 12:00:00;  8,60
28.01.1959 12:00:00;  8,37
16.02.1959 12:00:00;  6,50
01.03.1959 12:00:00;  7,68
06.04.1959 12:00:00;  8,60
22.05.1959 12:00:00;  12,2
09.06.1959 12:00:00;  10,5
12.07.1959 12:00:00;  10,2
11.08.1959 12:00:00;  11,6
30.09.1959 12:00:00;  8,60
28.10.1959 12:00:00;  7,26
09.11.1959 12:00:00;  9,38
28.12.1959 12:00:00;  10,2
14.01.1960 12:00:00;  7,26
18.02.1960 12:00:00;  8,14
14.03.1960 12:00:00;  9,38
25.04.1960 12:00:00;  12,8
31.05.1960 12:00:00;  11,4
07.06.1960 12:00:00;  9,38
20.07.1960 12:00:00;  11,4
29.08.1960 12:00:00;  8,37
04.09.1960 12:00:00;  12,8
05.10.1960 12:00:00;  13,5
28.11.1960 12:00:00;  13,8
07.12.1960 12:00:00;  14,8
20.01.1961 12:00:00;  9,06
05.02.1961 12:00:00;  7,60
23.03.1961 12:00:00;  8,40
02.04.1961 12:00:00;  8,84
14.05.1961 12:00:00;  8,84
30.06.1961 12:00:00;  6,50
04.07.1961 12:00:00;  5,28
12.08.1961 12:00:00;  4,76
30.09.1961 12:00:00;  4,00
01.10.1961 12:00:00;  4,00
04.11.1961 12:00:00;  7,78
28.12.1961 12:00:00;  9,88
30.01.1962 12:00:00;  7,22
03.02.1962 12:00:00;  7,78
02.03.1962 12:00:00;  9,40
03.04.1962 12:00:00;  15,0
06.05.1962 12:00:00;  16,1
25.06.1962 12:00:00;  17,6
03.07.1962 12:00:00;  17,8
31.08.1962 12:00:00;  11,8
16.09.1962 12:00:00;  9,88
11.10.1962 12:00:00;  8,35
05.11.1962 12:00:00;  10,8
29.12.1962 12:00:00;  9,36
14.01.1963 12:00:00;  9,15
28.02.1963 12:00:00;  7,96
01.03.1963 12:00:00;  7,58
06.04.1963 12:00:00;  14,7
28.05.1963 12:00:00;  16,9
30.06.1963 12:00:00;  13,1
25.07.1963 12:00:00;  11,0
15.08.1963 12:00:00;  9,57
30.09.1963 12:00:00;  10,9
27.10.1963 12:00:00;  8,40
01.11.1963 12:00:00;  8,40
14.12.1963 12:00:00;  8,20
31.01.1964 12:00:00;  6,74
23.02.1964 12:00:00;  5,46
07.03.1964 12:00:00;  6,08
27.04.1964 12:00:00;  11,8
25.05.1964 12:00:00;  9,44
14.06.1964 12:00:00;  7,63
10.07.1964 12:00:00;  7,63
30.08.1964 12:00:00;  7,82
17.09.1964 12:00:00;  6,91
05.10.1964 12:00:00;  7,82
29.11.1964 12:00:00;  14,2
14.12.1964 12:00:00;  11,8
25.01.1965 12:00:00;  9,92
28.02.1965 12:00:00;  7,00
11.03.1965 12:00:00;  9,00
20.04.1965 12:00:00;  12,3
02.05.1965 12:00:00;  18,4
30.06.1965 12:00:00;  15,8
01.07.1965 12:00:00;  15,8
31.08.1965 12:00:00;  21,9
25.09.1965 12:00:00;  17,5
01.10.1965 12:00:00;  12,8
10.11.1965 12:00:00;  11,4
31.12.1965 12:00:00;  11,8
31.01.1966 12:00:00;  9,00
01.02.1966 12:00:00;  9,44
31.03.1966 12:00:00;  8,29
03.04.1966 12:00:00;  8,53
31.05.1966 12:00:00;  8,29
04.06.1966 12:00:00;  7,36
14.07.1966 12:00:00;  6,49
05.08.1966 12:00:00;  6,93
30.09.1966 12:00:00;  11,3
17.10.1966 12:00:00;  9,21
03.11.1966 12:00:00;  9,97
31.12.1966 12:00:00;  8,29
20.01.1967 12:00:00;  6,71
10.02.1967 12:00:00;  5,48
27.03.1967 12:00:00;  8,53
03.04.1967 12:00:00;  10,9
28.05.1967 12:00:00;  11,6
25.06.1967 12:00:00;  8,23
20.07.1967 12:00:00;  7,54
31.08.1967 12:00:00;  8,46
03.09.1967 12:00:00;  8,71
27.10.1967 12:00:00;  8,23
26.11.1967 12:00:00;  6,88
29.12.1967 12:00:00;  5,48
14.01.1968 12:00:00;  5,30
19.02.1968 12:00:00;  5,30
13.03.1968 12:00:00;  4,57
14.04.1968 12:00:00;  6,49
11.05.1968 12:00:00;  5,12
01.06.1968 12:00:00;  5,48
09.07.1968 12:00:00;  6,21
02.08.1968 12:00:00;  6,21
04.09.1968 12:00:00;  9,45
30.10.1968 12:00:00;  7,06
02.11.1968 12:00:00;  6,62
31.12.1968 12:00:00;  4,67
01.01.1969 12:00:00;  4,50
10.02.1969 12:00:00;  3,69
07.03.1969 12:00:00;  6,21
21.04.1969 12:00:00;  8,77
31.05.1969 12:00:00;  9,21
01.06.1969 12:00:00;  8,77
27.07.1969 12:00:00;  9,21
21.08.1969 12:00:00;  7,77
14.09.1969 12:00:00;  12,8
30.10.1969 12:00:00;  9,48
09.11.1969 12:00:00;  8,74
22.12.1969 12:00:00;  4,93
08.01.1970 12:00:00;  5,30
17.02.1970 12:00:00;  3,60
01.03.1970 12:00:00;  4,93
06.04.1970 12:00:00;  11,6
29.05.1970 12:00:00;  16,7
29.06.1970 12:00:00;  10,7
14.07.1970 12:00:00;  11,4
07.08.1970 12:00:00;  10,3
26.09.1970 12:00:00;  8,54
18.10.1970 12:00:00;  7,19
14.11.1970 12:00:00;  7,19
25.12.1970 12:00:00;  4,39
04.01.1971 12:00:00;  5,27
28.02.1971 12:00:00;  3,46
05.03.1971 12:00:00;  3,04
01.04.1971 12:00:00;  6,75
28.05.1971 12:00:00;  7,56
24.06.1971 12:00:00;  5,70
11.07.1971 12:00:00;  4,24
12.08.1971 12:00:00;  4,92
19.09.1971 12:00:00;  4,66
30.10.1971 12:00:00;  2,90
21.11.1971 12:00:00;  3,40
10.12.1971 12:00:00;  3,96
14.01.1972 12:00:00;  2,92
06.02.1972 12:00:00;  3,54
05.03.1972 12:00:00;  6,54
01.04.1972 12:00:00;  9,48
07.05.1972 12:00:00;  17,8
29.06.1972 12:00:00;  17,9
09.07.1972 12:00:00;  13,1
27.08.1972 12:00:00;  14,1
30.09.1972 12:00:00;  11,6
22.10.1972 12:00:00;  8,00
05.11.1972 12:00:00;  8,69
30.12.1972 12:00:00;  5,08
27.01.1973 12:00:00;  5,24
25.02.1973 12:00:00;  4,76
11.03.1973 12:00:00;  5,08
22.04.1973 12:00:00;  8,92
29.05.1973 12:00:00;  8,00
03.06.1973 12:00:00;  7,12
31.07.1973 12:00:00;  12,3
19.08.1973 12:00:00;  7,78
09.09.1973 12:00:00;  6,68
28.10.1973 12:00:00;  13,1
29.11.1973 12:00:00;  6,90
03.12.1973 12:00:00;  5,80
31.01.1974 12:00:00;  7,34
20.02.1974 12:00:00;  7,34
03.03.1974 12:00:00;  6,90
21.04.1974 12:00:00;  8,82
19.05.1974 12:00:00;  8,50
23.06.1974 12:00:00;  7,60
15.07.1974 12:00:00;  7,16
18.08.1974 12:00:00;  7,50
15.09.1974 12:00:00;  9,27
31.10.1974 12:00:00;  10,3
24.11.1974 12:00:00;  8,50
15.12.1974 12:00:00;  5,94
11.01.1975 12:00:00;  5,40
18.02.1975 12:00:00;  4,18
01.03.1975 12:00:00;  4,92
03.04.1975 12:00:00;  13,5
30.05.1975 12:00:00;  16,7
16.06.1975 12:00:00;  13,2
31.07.1975 12:00:00;  18,6
21.08.1975 12:00:00;  12,8
30.09.1975 12:00:00;  9,23
26.10.1975 12:00:00;  6,97
24.11.1975 12:00:00;  5,70
30.12.1975 12:00:00;  5,34
30.01.1976 13:00:00;  3,54
09.02.1976 13:00:00;  3,84
11.03.1976 15:00:00;  4,26
11.04.1976 16:00:00;  5,73
02.05.1976 13:00:00;  8,31
30.06.1976 06:00:00;  5,48
20.07.1976 04:00:00;  4,50
27.08.1976 04:00:00;  6,25
03.09.1976 06:00:00;  6,72
10.10.1976 13:00:00;  5,97
24.11.1976 15:00:00;  7,64
27.12.1976 11:00:00;  4,98
19.01.1977 07:00:00;  5,92
04.02.1977 10:00:00;  6,89
16.03.1977 16:00:00;  10,8
