Messstelle:                ;Siezenheim
HZB-Nummer:                ;203570
HD-Nummer:                 ;
DBMS-Nummer:               ;5001052
Gewässer:                  ;Saalach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1139,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00416,77
   04.02.1992              ;00415,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1940              ;423160,00 - 297060,00
Exportzeitreihe:           ;(5001052,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
01.01.1976 11:00:00;  3,87
04.02.1976 09:00:00;  4,28
24.03.1976 09:30:00;  4,63
15.04.1976 08:30:00;  11,5
01.05.1976 08:00:00;  11,3
28.06.1976 06:00:00;  15,9
19.07.1976 08:30:00;  6,20
16.08.1976 05:30:00;  10,9
29.09.1976 08:00:00;  11,3
30.10.1976 08:00:00;  4,11
04.11.1976 09:00:00;  4,98
31.12.1976 09:30:00;  4,84
29.01.1977 05:00:00;  2,91
03.02.1977 07:30:00;  2,57
02.03.1977 09:30:00;  11,9
12.04.1977 06:30:00;  13,3
31.05.1977 03:00:00;  38,5
05.06.1977 05:00:00;  17,3
12.07.1977 01:30:00;  17,2
30.08.1977 06:30:00;  25,0
30.09.1977 08:30:00;  8,81
27.10.1977 10:00:00;  5,61
30.11.1977 06:00:00;  5,53
08.12.1977 08:00:00;  5,18
07.01.1978 05:30:00;  4,53
10.02.1978 08:00:00;  3,55
27.03.1978 05:00:00;  10,6
20.04.1978 04:00:00;  14,8
16.05.1978 05:30:00;  39,8
23.06.1978 05:30:00;  26,4
31.07.1978 06:00:00;  20,1
25.08.1978 07:30:00;  10,6
06.09.1978 04:30:00;  18,9
22.10.1978 02:30:00;  9,13
27.11.1978 03:00:00;  4,65
02.12.1978 08:00:00;  4,80
08.01.1979 08:30:00;  4,48
01.02.1979 09:00:00;  4,96
03.03.1979 08:00:00;  4,68
23.04.1979 06:00:00;  13,1
08.05.1979 01:30:00;  25,7
30.06.1979 23:59:55;  29,5
07.07.1979 06:30:00;  18,4
20.08.1979 06:00:00;  17,7
10.09.1979 05:30:00;  6,80
14.10.1979 07:30:00;  5,20
02.11.1979 08:00:00;  5,47
29.12.1979 05:30:00;  9,26
19.01.1980 06:30:00;  4,75
03.02.1980 04:30:00;  6,95
06.03.1980 06:00:00;  7,95
12.04.1980 03:00:00;  28,0
20.05.1980 02:30:00;  55,3
24.06.1980 02:00:00;  56,1
31.07.1980 05:30:00;  40,7
27.08.1980 04:30:00;  18,3
19.09.1980 07:30:00;  8,55
07.10.1980 09:00:00;  9,89
10.11.1980 06:30:00;  10,5
09.12.1980 07:30:00;  10,3
31.01.1981 03:00:00;  6,36
28.02.1981 04:00:00;  5,59
02.03.1981 05:30:00;  5,26
30.04.1981 03:30:00;  16,2
04.05.1981 04:30:00;  17,8
24.06.1981 07:00:00;  11,0
11.07.1981 03:30:00;  10,4
16.08.1981 06:30:00;  13,5
09.09.1981 07:30:00;  16,1
10.10.1981 07:00:00;  12,4
12.11.1981 06:30:00;  12,8
29.12.1981 06:30:00;  12,0
29.01.1982 07:00:00;  12,5
27.02.1982 09:30:00;  15,0
24.03.1982 08:00:00;  12,7
26.04.1982 07:00:00;  31,7
01.05.1982 08:00:00;  32,4
22.06.1982 13:00:00;  52,8
22.07.1982 08:00:00;  27,0
27.08.1982 01:30:00;  14,3
27.09.1982 09:30:00;  9,18
31.10.1982 06:00:00;  5,81
13.11.1982 08:00:00;  4,05
16.12.1982 09:00:00;  3,46
02.01.1983 07:45:00;  6,07
26.02.1983 08:15:00;  9,06
06.03.1983 08:00:00;  9,35
05.04.1983 02:15:00;  22,0
30.05.1983 03:00:00;  26,4
13.06.1983 06:45:00;  31,0
29.07.1983 07:30:00;  11,6
02.08.1983 09:15:00;  12,2
01.09.1983 07:15:00;  15,5
07.10.1983 07:45:00;  14,7
27.11.1983 05:30:00;  4,96
17.12.1983 06:15:00;  6,20
29.01.1984 03:00:00;  7,62
26.02.1984 07:45:00;  6,89
14.03.1984 03:45:00;  6,58
07.04.1984 06:30:00;  7,57
14.05.1984 02:45:00;  31,3
22.06.1984 06:15:00;  31,9
23.07.1984 06:30:00;  18,4
23.08.1984 07:15:00;  9,76
03.09.1984 08:45:00;  21,2
31.10.1984 07:15:00;  14,8
28.11.1984 02:15:00;  11,6
13.12.1984 07:00:00;  9,09
06.01.1985 23:00:00;  2,10
25.02.1985 06:15:00;  5,02
21.03.1985 07:45:00;  3,25
01.04.1985 03:00:00;  16,3
01.05.1985 01:45:00;  32,6
05.06.1985 02:45:00;  30,7
30.07.1985 01:45:00;  12,9
22.08.1985 07:30:00;  21,7
29.09.1985 08:00:00;  11,7
24.10.1985 08:45:00;  6,36
19.11.1985 23:30:00;  4,87
14.12.1985 08:15:00;  6,85
10.01.1986 05:45:00;  5,51
27.02.1986 09:15:00;  5,88
03.03.1986 08:30:00;  4,98
07.04.1986 03:00:00;  29,7
26.05.1986 02:00:00;  61,8
29.06.1986 07:30:00;  11,9
23.07.1986 07:00:00;  12,1
08.08.1986 07:15:00;  10,8
30.09.1986 05:45:00;  5,88
16.10.1986 05:45:00;  3,94
07.11.1986 08:15:00;  4,66
11.12.1986 05:45:00;  3,87
31.01.1987 10:30:00;  6,28
02.02.1987 06:00:00;  4,26
23.03.1987 01:45:00;  13,6
04.04.1987 03:45:00;  25,9
18.05.1987 09:15:00;  33,4
23.06.1987 07:30:00;  64,5
24.07.1987 01:00:00;  35,5
31.08.1987 23:59:55;  22,1
22.09.1987 06:45:00;  13,3
31.10.1987 07:00:00;  8,04
01.11.1987 03:45:00;  10,7
16.12.1987 07:45:00;  8,25
15.01.1988 15:00:00;  10,4
28.02.1988 03:00:00;  11,4
11.03.1988 04:00:00;  11,4
01.04.1988 22:45:00;  40,2
29.05.1988 19:30:00;  34,4
26.06.1988 03:00:00;  19,4
24.07.1988 08:15:00;  18,1
15.08.1988 03:00:00;  9,89
29.09.1988 09:00:00;  14,2
20.10.1988 03:15:00;  6,43
08.11.1988 09:45:00;  7,27
04.12.1988 00:30:00;  17,9
24.01.1989 12:00:00;  12,1
17.02.1989 06:00:00;  8,70
10.03.1989 05:45:00;  9,64
30.04.1989 07:30:00;  19,8
02.05.1989 02:15:00;  22,1
10.06.1989 13:45:00;  25,8
24.07.1989 08:30:00;  22,8
27.08.1989 03:30:00;  17,2
20.09.1989 03:15:00;  14,3
29.10.1989 16:45:00;  13,0
28.11.1989 03:00:00;  7,42
11.12.1989 07:45:00;  5,33
24.01.1990 06:45:00;  2,46
03.02.1990 06:15:00;  2,81
29.03.1990 07:30:00;  18,7
11.04.1990 09:30:00;  19,5
31.05.1990 06:30:00;  14,0
02.06.1990 06:15:00;  15,7
31.07.1990 09:45:00;  11,9
25.08.1990 04:00:00;  6,43
03.09.1990 05:00:00;  7,27
26.10.1990 03:30:00;  4,68
11.11.1990 02:15:00;  8,93
15.12.1990 09:15:00;  8,44
30.01.1991 05:45:00;  3,66
16.02.1991 07:15:00;  3,31
02.03.1991 03:30:00;  3,91
