Messstelle:                ;Fischering
HZB-Nummer:                ;213371
HD-Nummer:                 ;00775
DBMS-Nummer:               ;2001091
Gewässer:                  ;Lavant
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;715,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1989              ;00408,50
   07.10.2004              ;00409,75
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1989              ;635621,12 - 183846,37
   01.01.2014              ;564804,32 - 183848,14
Exportzeitreihe:           ;(2001091,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1989 00:15,01.01.2022 00:00]
Werte:
03.01.1989 11:30:00;  2,48
04.02.1989 12:30:00;  2,48
10.03.1989 02:00:00;  2,48
11.04.1989 19:15:00;  3,09
31.05.1989 14:45:00;  5,27
21.06.1989 00:45:00;  3,61
01.07.1989 18:00:00;  7,65
05.08.1989 10:00:00;  8,27
23.09.1989 14:45:00;  7,96
31.10.1989 08:30:00;  7,56
26.11.1989 10:30:00;  2,77
09.12.1989 05:45:00;  2,77
13.01.1990 09:00:00;  2,62
09.02.1990 15:15:00;  2,77
17.03.1990 13:00:00;  2,77
19.04.1990 01:45:00;  3,43
22.05.1990 05:00:00;  3,26
04.06.1990 22:00:00;  2,48
29.07.1990 15:45:00;  6,00
27.08.1990 15:00:00;  3,26
19.09.1990 17:15:00;  2,77
01.10.1990 13:00:00;  3,09
14.11.1990 23:45:00;  6,79
08.12.1990 01:30:00;  5,51
03.01.1991 16:00:00;  3,80
02.02.1991 13:00:00;  3,09
04.03.1991 04:15:00;  3,99
28.04.1991 18:30:00;  4,60
01.05.1991 14:15:00;  8,27
23.06.1991 10:15:00;  7,35
07.07.1991 19:00:00;  5,75
17.08.1991 16:30:00;  7,65
20.09.1991 19:15:00;  3,43
22.10.1991 16:45:00;  3,80
13.11.1991 22:30:00;  4,39
14.12.1991 13:15:00;  3,61
10.01.1992 09:15:00;  3,09
19.02.1992 09:30:00;  2,48
20.03.1992 17:00:00;  3,09
18.04.1992 11:15:00;  4,60
29.05.1992 04:15:00;  6,00
24.06.1992 17:30:00;  5,27
27.07.1992 00:00:00;  3,09
16.08.1992 18:45:00;  3,09
06.09.1992 18:45:00;  2,62
11.10.1992 18:00:00;  3,43
22.11.1992 18:00:00;  5,27
31.12.1992 07:45:00;  3,80
24.01.1993 17:45:00;  3,43
08.02.1993 23:45:00;  3,09
14.03.1993 18:15:00;  3,18
12.04.1993 19:45:00;  2,93
31.05.1993 17:15:00;  2,62
20.06.1993 21:45:00;  2,77
10.07.1993 13:30:00;  2,48
10.08.1993 07:30:00;  2,93
08.09.1993 20:45:00;  2,77
02.10.1993 13:15:00;  4,60
28.11.1993 17:00:00;  6,79
26.12.1993 17:15:00;  4,39
27.01.1994 12:15:00;  3,09
14.02.1994 02:00:00;  2,48
31.03.1994 07:45:00;  3,26
06.04.1994 03:45:00;  3,26
23.05.1994 18:15:00;  4,82
27.06.1994 14:00:00;  2,93
03.07.1994 23:15:00;  2,62
02.08.1994 13:45:00;  2,62
25.09.1994 18:00:00;  6,52
19.10.1994 07:30:00;  3,99
04.11.1994 00:00:00;  5,75
28.12.1994 04:45:00;  3,43
09.01.1995 20:00:00;  2,48
01.02.1995 10:00:00;  3,09
17.03.1995 10:30:00;  3,80
18.04.1995 18:00:00;  3,80
30.05.1995 13:15:00;  5,51
28.06.1995 21:45:00;  6,26
01.07.1995 18:00:00;  5,04
14.08.1995 15:30:00;  5,04
13.09.1995 12:00:00;  3,80
24.10.1995 10:30:00;  3,26
30.11.1995 12:00:00;  2,48
28.12.1995 22:00:00;  2,77
29.01.1996 10:45:00;  2,48
03.02.1996 01:15:00;  2,07
02.03.1996 17:15:00;  2,20
15.04.1996 08:45:00;  5,61
25.05.1996 16:00:00;  10,3
16.06.1996 17:15:00;  4,39
27.07.1996 20:15:00;  5,27
02.08.1996 19:15:00;  4,39
21.09.1996 19:15:00;  5,04
01.10.1996 15:30:00;  7,96
09.11.1996 16:45:00;  6,26
28.12.1996 18:45:00;  3,09
09.01.1997 07:05:15;  3,40
20.02.1997 14:35:25;  3,14
15.03.1997 21:46:30;  3,29
17.04.1997 22:16:40;  3,64
23.05.1997 14:40:55;  4,04
07.06.1997 03:34:55;  3,25
10.07.1997 09:58:20;  6,77
14.08.1997 22:11:10;  4,91
30.09.1997 08:03:40;  3,66
25.10.1997 10:46:20;  3,47
25.11.1997 08:03:45;  3,26
15.12.1997 13:23:55;  3,22
26.01.1998 08:29:05;  2,43
03.02.1998 06:44:45;  2,39
07.03.1998 16:20:25;  2,66
25.04.1998 08:44:10;  2,80
30.05.1998 14:05:05;  4,14
13.06.1998 16:12:20;  3,29
27.07.1998 07:20:20;  5,22
15.08.1998 17:08:05;  4,15
02.09.1998 13:50:10;  5,58
03.10.1998 14:35:20;  7,84
19.11.1998 11:15:50;  8,37
25.12.1998 23:12:55;  4,92
31.01.1999 05:38:25;  2,52
08.02.1999 12:05:55;  2,41
10.03.1999 10:01:55;  2,77
26.04.1999 09:29:30;  2,95
01.05.1999 09:56:55;  5,70
07.06.1999 16:59:40;  4,34
04.07.1999 18:24:30;  3,48
15.08.1999 05:13:30;  8,34
18.09.1999 19:49:15;  9,32
23.10.1999 13:12:10;  5,72
29.11.1999 23:52:55;  5,06
21.12.1999 15:16:10;  2,32
25.01.2000 22:52:10;  1,92
04.02.2000 03:47:35;  2,36
25.03.2000 16:52:50;  2,89
10.04.2000 05:06:50;  2,78
19.05.2000 00:40:25;  6,78
24.06.2000 15:16:45;  5,32
07.07.2000 01:58:40;  3,83
31.08.2000 14:18:15;  3,13
08.09.2000 13:46:35;  3,14
01.10.2000 00:00:00;  4,92
03.11.2000 12:59:55;  6,70
24.12.2000 10:11:35;  6,85
01.01.2001 13:43:10;  6,69
27.02.2001 06:18:50;  4,07
22.03.2001 09:20:20;  4,20
05.04.2001 16:43:15;  5,74
19.05.2001 15:19:10;  5,91
26.06.2001 14:49:05;  2,92
24.07.2001 06:20:20;  2,41
27.08.2001 09:11:35;  1,78
02.09.2001 16:50:25;  2,14
30.10.2001 19:11:45;  2,14
27.11.2001 14:58:55;  2,14
10.12.2001 17:11:30;  1,29
21.01.2002 08:18:05;  1,79
23.02.2002 03:25:00;  2,76
02.03.2002 13:30:10;  1,61
05.04.2002 11:08:10;  2,76
11.05.2002 16:38:05;  3,24
30.06.2002 16:30:00;  1,89
09.07.2002 17:48:35;  1,88
01.08.2002 15:36:10;  2,43
30.09.2002 22:34:40;  7,12
06.10.2002 22:20:20;  7,25
16.11.2002 22:15:30;  6,43
21.12.2002 12:44:25;  6,20
12.01.2003 07:40:55;  4,35
02.02.2003 11:16:00;  3,09
21.03.2003 12:38:05;  1,99
07.04.2003 10:26:40;  3,14
