Messstelle:                ;Mariathal
HZB-Nummer:                ;201822
HD-Nummer:                 ;
DBMS-Nummer:               ;7001075
Gewässer:                  ;Brandenberger Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;272,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00530,00
   01.01.1982              ;00528,00
   01.01.1983              ;00526,91
   14.04.2003              ;00528,90
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;339333,00 - 258334,00
   14.04.2003              ;339310,70 - 258366,52
Exportzeitreihe:           ;(7001075,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[02.01.1976 12:00,01.01.2022 00:00]
Werte:
16.02.1976 12:00:00;  2,54
11.03.1976 12:00:00;  2,08
30.04.1976 13:00:00;  6,30
01.05.1976 12:00:00;  6,40
30.06.1976 15:00:00;  3,95
12.07.1976 19:00:00;  2,96
09.08.1976 11:00:00;  5,70
29.09.1976 08:00:00;  4,92
29.10.1976 17:00:00;  2,96
13.11.1976 19:00:00;  2,85
27.12.1976 10:00:00;  2,83
19.01.1977 09:00:00;  2,04
03.02.1977 11:00:00;  2,70
02.03.1977 08:00:00;  6,53
12.04.1977 11:00:00;  8,23
31.05.1977 13:00:00;  7,81
21.06.1977 14:00:00;  4,92
09.07.1977 01:00:00;  4,32
07.08.1977 20:00:00;  6,64
29.09.1977 16:00:00;  3,49
24.10.1977 12:00:00;  2,63
12.11.1977 10:00:00;  2,71
05.12.1977 11:00:00;  2,69
28.01.1978 13:00:00;  2,66
05.02.1978 11:00:00;  1,82
27.03.1978 13:00:00;  5,74
16.04.1978 21:00:00;  7,19
28.05.1978 16:00:00;  10,3
19.06.1978 21:00:00;  5,47
31.07.1978 10:00:00;  5,61
29.08.1978 18:00:00;  4,07
06.09.1978 13:00:00;  5,01
16.10.1978 09:00:00;  6,15
27.11.1978 11:00:00;  3,25
03.12.1978 19:00:00;  2,33
18.01.1979 13:00:00;  2,17
28.02.1979 14:00:00;  2,53
02.03.1979 17:00:00;  3,15
09.04.1979 12:00:00;  6,15
07.05.1979 12:00:00;  8,79
09.06.1979 14:00:00;  5,90
31.07.1979 12:00:00;  6,15
02.08.1979 20:00:00;  5,74
14.09.1979 14:00:00;  5,02
29.10.1979 11:00:00;  3,34
01.11.1979 11:00:00;  3,49
28.12.1979 15:00:00;  3,86
19.01.1980 14:00:00;  2,06
04.02.1980 04:00:00;  3,36
05.03.1980 11:00:00;  3,17
12.04.1980 13:00:00;  5,70
18.05.1980 16:00:00;  15,0
17.06.1980 11:00:00;  10,6
31.07.1980 23:59:55;  7,52
28.08.1980 14:00:00;  4,18
29.09.1980 12:00:00;  3,34
07.10.1980 16:00:00;  2,32
14.11.1980 16:00:00;  3,46
09.12.1980 12:00:00;  3,28
23.01.1981 13:00:00;  3,49
27.02.1981 12:00:00;  3,35
02.03.1981 15:00:00;  3,91
30.04.1981 13:00:00;  6,55
31.05.1981 16:00:00;  7,21
17.06.1981 21:00:00;  4,53
11.07.1981 15:00:00;  3,42
20.08.1981 19:00:00;  6,56
28.09.1981 11:00:00;  4,85
06.10.1981 14:00:00;  6,09
30.11.1981 11:00:00;  5,55
28.12.1981 12:00:00;  5,02
28.01.1982 18:00:00;  5,49
22.02.1982 10:30:00;  3,90
07.03.1982 14:00:00;  4,50
16.04.1982 10:30:00;  7,35
02.05.1982 14:00:00;  7,96
11.06.1982 10:30:00;  8,01
18.07.1982 13:30:00;  4,70
15.08.1982 18:30:00;  4,88
20.09.1982 15:30:00;  3,07
30.10.1982 18:00:00;  3,10
08.11.1982 17:00:00;  2,58
06.12.1982 19:30:00;  2,83
02.01.1983 08:00:00;  3,39
23.02.1983 12:30:00;  2,91
04.03.1983 14:30:00;  3,95
06.04.1983 13:30:00;  5,99
31.05.1983 14:30:00;  6,32
09.06.1983 14:00:00;  5,81
31.07.1983 23:59:55;  3,26
01.08.1983 15:00:00;  3,11
02.09.1983 08:00:00;  3,02
31.10.1983 15:00:00;  3,44
24.11.1983 15:30:00;  1,92
14.12.1983 14:30:00;  2,54
26.01.1984 13:45:00;  3,31
19.02.1984 08:30:00;  3,05
13.03.1984 14:15:00;  3,18
10.04.1984 10:00:00;  7,48
12.05.1984 11:45:00;  7,57
18.06.1984 13:45:00;  5,55
24.07.1984 11:30:00;  4,59
24.08.1984 10:45:00;  3,65
03.09.1984 03:00:00;  3,61
26.10.1984 11:45:00;  3,98
20.11.1984 14:30:00;  3,92
09.12.1984 15:00:00;  3,50
10.01.1985 14:00:00;  2,56
19.02.1985 11:30:00;  2,81
20.03.1985 11:00:00;  2,79
29.04.1985 11:15:00;  5,19
23.05.1985 16:45:00;  7,77
06.06.1985 12:45:00;  5,34
29.07.1985 09:15:00;  3,78
31.08.1985 21:00:00;  5,45
25.09.1985 00:15:00;  1,84
26.10.1985 14:30:00;  2,40
28.11.1985 13:15:00;  2,02
14.12.1985 11:30:00;  1,35
08.01.1986 13:00:00;  1,40
27.02.1986 11:30:00;  1,88
01.03.1986 17:00:00;  2,53
15.04.1986 10:00:00;  8,00
28.05.1986 00:15:00;  5,93
30.06.1986 18:15:00;  5,16
06.07.1986 14:00:00;  4,43
09.08.1986 12:30:00;  4,31
30.09.1986 23:59:55;  2,80
20.10.1986 03:45:00;  2,36
30.11.1986 13:30:00;  2,40
14.12.1986 18:00:00;  2,22
31.01.1987 11:15:00;  2,45
01.02.1987 10:00:00;  2,58
21.03.1987 11:30:00;  3,48
03.04.1987 15:00:00;  6,20
24.05.1987 09:00:00;  15,9
30.06.1987 10:45:00;  11,0
18.07.1987 19:00:00;  7,90
31.08.1987 04:15:00;  7,56
21.09.1987 11:15:00;  4,45
31.10.1987 17:30:00;  3,33
09.11.1987 13:45:00;  3,17
14.12.1987 14:00:00;  3,99
10.01.1988 14:00:00;  2,84
14.02.1988 13:30:00;  2,40
10.03.1988 11:30:00;  2,55
02.04.1988 14:00:00;  9,59
29.05.1988 15:15:00;  8,97
30.06.1988 12:15:00;  6,20
24.07.1988 16:00:00;  4,84
11.08.1988 17:00:00;  4,67
30.09.1988 14:00:00;  4,74
21.10.1988 15:45:00;  3,24
10.11.1988 14:15:00;  3,72
31.12.1988 22:45:00;  6,81
25.01.1989 12:30:00;  4,38
17.02.1989 14:30:00;  3,28
03.03.1989 15:15:00;  7,51
30.04.1989 23:59:55;  5,88
28.05.1989 16:15:00;  4,67
20.06.1989 22:30:00;  4,91
24.07.1989 04:45:00;  6,13
27.08.1989 12:45:00;  4,65
23.09.1989 12:15:00;  4,81
28.10.1989 15:30:00;  3,49
30.11.1989 14:45:00;  2,76
11.12.1989 09:45:00;  2,05
08.01.1990 12:15:00;  1,81
07.02.1990 14:00:00;  2,27
27.03.1990 00:00:00;  4,50
06.04.1990 14:30:00;  4,96
31.05.1990 23:59:55;  4,60
02.06.1990 13:30:00;  4,35
29.07.1990 19:45:00;  3,84
13.08.1990 18:45:00;  3,32
03.09.1990 03:45:00;  3,17
23.10.1990 12:15:00;  2,87
30.11.1990 14:15:00;  4,45
21.12.1990 15:45:00;  2,93
31.01.1991 23:59:55;  2,61
18.02.1991 13:30:00;  1,97
01.03.1991 14:15:00;  4,42
22.04.1991 15:00:00;  3,82
01.05.1991 16:30:00;  6,33
26.06.1991 10:45:00;  6,38
12.07.1991 12:45:00;  4,57
31.08.1991 23:59:55;  4,11
30.09.1991 18:45:00;  2,91
18.10.1991 02:30:00;  1,81
03.11.1991 02:00:00;  1,73
08.12.1991 16:30:00;  2,17
29.01.1992 15:15:00;  2,66
