Messstelle:                ;Hammerjäger
HZB-Nummer:                ;211920
HD-Nummer:                 ;ow2494
DBMS-Nummer:               ;6001140
Gewässer:                  ;Ingeringbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;198,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1994              ;00748,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1994              ;630546,00 - 235942,90
   01.01.2018              ;630539,10 - 235944,30
Exportzeitreihe:           ;(6001140,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1994 00:15,01.01.2022 00:00]
Werte:
18.01.1994 14:30:00; 0,792
17.02.1994 06:15:00;  1,39
29.03.1994 18:30:00;  1,01
01.04.1994 13:30:00;  1,26
12.05.1994 15:15:00;  5,82
11.06.1994 09:15:00;  1,26
26.07.1994 16:15:00; 0,792
17.08.1994 18:00:00; 0,599
30.09.1994 23:59:55;  2,70
29.10.1994 07:45:00;  1,26
04.11.1994 09:15:00;  1,84
27.12.1994 06:30:00;  1,68
08.01.1995 01:45:00;  1,26
03.02.1995 12:30:00; 0,792
08.03.1995 04:30:00;  1,13
23.04.1995 02:45:00;  1,13
23.05.1995 01:15:00;  2,72
19.06.1995 08:45:00;  3,33
26.07.1995 10:15:00; 0,899
08.08.1995 14:00:00; 0,792
27.09.1995 19:30:00;  2,53
24.10.1995 15:00:00;  1,84
22.11.1995 00:30:00; 0,599
27.12.1995 00:30:00; 0,599
02.01.1996 16:30:00; 0,693
01.02.1996 01:45:00; 0,687
14.03.1996 09:15:00; 0,520
05.04.1996 01:15:00; 0,446
08.05.1996 15:15:00;  7,62
19.06.1996 14:45:00;  1,26
31.07.1996 14:30:00; 0,734
02.08.1996 22:30:00; 0,600
01.09.1996 06:15:00;  3,77
02.10.1996 07:45:00;  4,61
30.11.1996 08:15:00;  1,84
26.12.1996 20:00:00;  1,68
28.01.1997 08:23:30; 0,779
04.02.1997 20:43:40; 0,903
09.03.1997 23:08:45;  1,18
17.04.1997 12:49:20; 0,852
05.05.1997 09:29:35;  3,44
10.06.1997 12:36:55;  2,72
23.07.1997 15:14:35;  2,16
21.08.1997 16:04:30;  1,35
06.09.1997 18:15:35; 0,848
30.10.1997 02:04:10;  1,54
27.11.1997 19:16:00;  1,09
18.12.1997 10:00:10; 0,567
26.01.1998 09:01:50; 0,664
07.02.1998 14:36:00; 0,682
23.03.1998 08:06:30; 0,376
17.04.1998 13:33:10; 0,441
10.05.1998 13:21:45;  2,70
30.06.1998 20:39:25;  1,16
07.07.1998 12:44:45;  1,15
24.08.1998 09:44:50;  1,00
12.09.1998 14:32:40;  1,50
02.10.1998 14:17:40;  1,42
18.11.1998 09:01:00; 0,917
25.12.1998 16:59:00; 0,469
26.01.1999 10:03:35; 0,506
23.02.1999 13:05:30; 0,546
07.03.1999 20:42:50; 0,639
26.04.1999 16:06:15;  1,75
20.05.1999 14:29:00;  2,33
26.06.1999 20:06:35;  1,83
21.07.1999 10:22:35;  1,35
16.08.1999 14:32:00;  1,39
18.09.1999 12:00:15;  1,43
26.10.1999 07:03:05;  1,44
24.11.1999 02:14:55; 0,903
22.12.1999 06:22:00; 0,813
25.01.2000 22:12:45; 0,800
22.02.2000 01:01:20;  1,01
06.03.2000 09:54:15;  1,17
08.04.2000 08:28:15;  1,41
31.05.2000 08:26:55;  5,63
23.06.2000 14:46:40;  1,07
07.07.2000 18:34:05;  1,05
30.08.2000 16:09:15; 0,529
16.09.2000 18:31:10; 0,670
05.10.2000 07:49:20; 0,941
03.11.2000 08:04:15;  1,55
23.12.2000 07:06:10; 0,767
16.01.2001 20:09:35; 0,728
28.02.2001 20:03:25; 0,734
03.03.2001 19:35:25; 0,685
20.04.2001 02:42:30; 0,764
16.05.2001 15:19:30;  3,26
10.06.2001 18:38:50;  2,56
16.07.2001 20:06:45; 0,901
08.08.2001 22:56:15;  1,03
05.09.2001 20:15:55;  1,34
19.10.2001 07:08:05; 0,961
26.11.2001 23:11:35; 0,576
16.12.2001 17:06:55; 0,585
