Messstelle:                ;Stiefern
HZB-Nummer:                ;207993
HD-Nummer:                 ;no290
DBMS-Nummer:               ;3001039
Gewässer:                  ;Kamp
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1493,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00217,23
   01.10.1996              ;00216,15
   01.01.2002              ;00216,96
   01.01.2003              ;00217,00
   01.01.2016              ;00216,99
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1914              ;702570,00 - 377615,00
Exportzeitreihe:           ;(3001039,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[23.01.1951 12:00,01.01.2022 00:00]
Werte:
23.01.1951 12:00:00;  7,38
04.02.1951 12:00:00;  7,84
05.03.1951 12:00:00;  8,84
28.04.1951 12:00:00;  7,61
02.05.1951 12:00:00;  8,84
16.06.1951 12:00:00;  5,82
09.07.1951 12:00:00;  3,36
15.08.1951 12:00:00;  4,38
09.09.1951 12:00:00;  3,24
21.10.1951 12:00:00;  3,24
01.11.1951 12:00:00;  3,48
16.12.1951 12:00:00;  3,96
08.01.1952 12:00:00;  3,84
13.02.1952 12:00:00;  5,82
16.03.1952 12:00:00;  4,56
26.04.1952 12:00:00;  9,92
08.05.1952 12:00:00;  3,24
18.06.1952 12:00:00;  3,96
09.07.1952 12:00:00;  3,00
15.08.1952 12:00:00;  1,60
07.09.1952 12:00:00;  1,92
18.10.1952 12:00:00;  3,60
01.11.1952 12:00:00;  4,08
07.12.1952 12:00:00;  4,56
23.01.1953 12:00:00;  3,60
09.02.1953 12:00:00;  4,56
15.03.1953 12:00:00;  4,92
26.04.1953 12:00:00;  4,08
24.05.1953 12:00:00;  2,20
03.06.1953 12:00:00;  2,40
26.07.1953 12:00:00;  3,72
21.08.1953 12:00:00;  2,90
15.09.1953 12:00:00;  2,40
25.10.1953 12:00:00;  3,00
22.11.1953 12:00:00;  2,20
31.12.1953 12:00:00;  2,00
01.01.1954 12:00:00;  1,76
28.02.1954 12:00:00;  2,40
01.03.1954 12:00:00;  3,24
11.04.1954 12:00:00;  3,00
01.05.1954 12:00:00;  2,80
13.06.1954 12:00:00;  3,00
25.07.1954 12:00:00;  2,70
22.08.1954 12:00:00;  2,70
11.09.1954 12:00:00;  2,20
20.10.1954 12:00:00;  2,60
14.11.1954 12:00:00;  3,00
10.12.1954 12:00:00;  3,12
04.01.1955 12:00:00;  4,92
16.02.1955 12:00:00;  3,00
19.03.1955 12:00:00;  3,24
04.04.1955 12:00:00;  10,5
22.05.1955 12:00:00;  3,84
19.06.1955 12:00:00;  2,60
05.07.1955 12:00:00;  2,80
19.08.1955 12:00:00;  8,84
25.09.1955 12:00:00;  3,36
09.10.1955 12:00:00;  3,00
01.11.1955 12:00:00;  3,36
18.12.1955 12:00:00;  2,90
30.01.1956 12:00:00;  3,00
26.02.1956 12:00:00;  3,72
01.03.1956 12:00:00;  3,96
08.04.1956 12:00:00;  3,24
15.05.1956 12:00:00;  3,72
27.06.1956 12:00:00;  3,84
13.07.1956 12:00:00;  2,90
31.08.1956 12:00:00;  2,90
28.09.1956 12:00:00;  1,30
02.10.1956 12:00:00;  2,60
26.11.1956 12:00:00;  3,24
02.12.1956 12:00:00;  2,80
06.01.1957 12:00:00;  3,84
24.02.1957 12:00:00;  3,36
17.03.1957 12:00:00;  4,38
14.04.1957 12:00:00;  3,60
18.05.1957 12:00:00;  3,24
18.06.1957 12:00:00;  2,00
10.07.1957 12:00:00;  2,10
05.08.1957 12:00:00;  3,24
01.09.1957 12:00:00;  2,90
06.10.1957 12:00:00;  3,00
25.11.1957 12:00:00;  3,96
08.12.1957 12:00:00;  2,90
01.01.1958 12:00:00;  3,96
02.02.1958 12:00:00;  17,8
08.03.1958 12:00:00;  11,8
16.04.1958 12:00:00;  4,38
29.05.1958 12:00:00;  3,24
09.06.1958 12:00:00;  3,00
28.07.1958 12:00:00;  5,64
10.08.1958 12:00:00;  3,24
17.09.1958 12:00:00;  2,80
17.10.1958 12:00:00;  3,24
16.11.1958 12:00:00;  3,24
24.12.1958 12:00:00;  3,84
06.01.1959 12:00:00;  4,20
17.02.1959 12:00:00;  7,84
31.03.1959 12:00:00;  5,28
09.04.1959 12:00:00;  3,24
23.05.1959 12:00:00;  2,40
11.06.1959 12:00:00;  3,48
10.07.1959 12:00:00;  7,84
31.08.1959 12:00:00;  8,84
15.09.1959 12:00:00;  3,48
04.10.1959 12:00:00;  5,10
