Messstelle:                ;Hoheneich
HZB-Nummer:                ;208579
HD-Nummer:                 ;no865
DBMS-Nummer:               ;3001085
Gewässer:                  ;Braunaubach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;291,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00479,24
   01.01.1981              ;00478,92
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1932              ;652636,00 - 404551,00
Exportzeitreihe:           ;(3001085,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[29.01.1951 12:00,01.01.2022 00:00]
Werte:
29.01.1951 12:00:00;  1,92
03.02.1951 12:00:00;  2,17
04.03.1951 12:00:00;  2,08
20.04.1951 12:00:00; 0,890
30.05.1951 12:00:00;  1,72
30.06.1951 12:00:00; 0,890
31.07.1951 12:00:00; 0,050
04.08.1951 12:00:00; 0,060
06.09.1951 12:00:00; 0,080
28.10.1951 12:00:00; 0,230
09.11.1951 12:00:00; 0,050
09.12.1951 12:00:00; 0,380
30.01.1952 12:00:00; 0,310
03.02.1952 12:00:00; 0,420
18.03.1952 12:00:00;  2,58
30.04.1952 12:00:00;  1,38
05.05.1952 12:00:00;  1,00
30.06.1952 12:00:00;  1,13
31.07.1952 12:00:00; 0,110
01.08.1952 12:00:00; 0,080
04.09.1952 12:00:00; 0,350
02.10.1952 12:00:00; 0,260
03.11.1952 12:00:00; 0,890
25.12.1952 12:00:00; 0,830
03.01.1953 12:00:00;  1,13
09.02.1953 12:00:00;  2,33
24.03.1953 12:00:00;  2,00
30.04.1953 12:00:00; 0,940
31.05.1953 12:00:00; 0,210
11.06.1953 12:00:00; 0,090
25.07.1953 12:00:00;  1,25
31.08.1953 12:00:00; 0,670
10.09.1953 12:00:00; 0,490
31.10.1953 12:00:00; 0,420
30.11.1953 12:00:00; 0,010
03.12.1953 12:00:00; 0,010
05.01.1954 12:00:00; 0,020
27.02.1954 12:00:00; 0,020
01.03.1954 12:00:00; 0,040
01.04.1954 12:00:00;  1,25
29.05.1954 12:00:00;  1,06
26.06.1954 12:00:00;  1,13
31.07.1954 12:00:00;  1,45
31.08.1954 12:00:00; 0,490
04.09.1954 12:00:00; 0,280
18.10.1954 12:00:00;  1,65
26.11.1954 12:00:00; 0,230
30.12.1954 12:00:00; 0,230
26.01.1955 12:00:00;  1,92
14.02.1955 12:00:00;  1,72
20.03.1955 12:00:00; 0,940
30.04.1955 12:00:00;  2,58
28.05.1955 12:00:00; 0,450
06.06.1955 12:00:00; 0,080
04.07.1955 12:00:00; 0,940
01.08.1955 12:00:00;  1,25
24.09.1955 12:00:00;  1,59
23.10.1955 12:00:00;  1,19
16.11.1955 12:00:00; 0,280
20.12.1955 12:00:00; 0,670
26.01.1956 12:00:00; 0,670
18.02.1956 12:00:00; 0,420
01.03.1956 12:00:00;  1,65
28.04.1956 12:00:00;  1,38
31.05.1956 12:00:00;  1,19
06.06.1956 12:00:00; 0,890
21.07.1956 12:00:00; 0,280
18.08.1956 12:00:00; 0,580
30.09.1956 12:00:00; 0,150
01.10.1956 12:00:00; 0,160
25.11.1956 12:00:00;  1,25
25.12.1956 12:00:00;  2,17
24.01.1957 12:00:00;  1,59
24.02.1957 12:00:00;  2,17
15.03.1957 12:00:00;  2,08
30.04.1957 12:00:00;  1,25
15.05.1957 12:00:00; 0,670
30.06.1957 12:00:00; 0,230
04.07.1957 12:00:00; 0,100
12.08.1957 12:00:00;  1,25
11.09.1957 12:00:00; 0,670
31.10.1957 12:00:00; 0,780
26.11.1957 12:00:00; 0,670
31.12.1957 12:00:00; 0,780
01.01.1958 12:00:00; 0,890
04.02.1958 12:00:00;  1,25
20.03.1958 12:00:00;  1,92
30.04.1958 12:00:00;  3,02
31.05.1958 12:00:00; 0,670
17.06.1958 12:00:00; 0,210
22.07.1958 12:00:00; 0,450
31.08.1958 12:00:00; 0,280
14.09.1958 12:00:00; 0,150
02.10.1958 12:00:00;  1,25
12.11.1958 12:00:00;  1,32
12.12.1958 12:00:00; 0,670
25.01.1959 12:00:00;  1,65
23.02.1959 12:00:00; 0,490
29.03.1959 12:00:00;  1,85
14.04.1959 12:00:00; 0,670
20.05.1959 12:00:00; 0,720
10.06.1959 12:00:00; 0,420
14.07.1959 12:00:00; 0,540
12.08.1959 12:00:00;  1,25
28.09.1959 12:00:00; 0,580
23.10.1959 12:00:00; 0,280
04.11.1959 12:00:00; 0,230
02.12.1959 12:00:00; 0,670
26.01.1960 12:00:00;  1,92
16.02.1960 12:00:00;  1,00
12.03.1960 12:00:00;  2,93
30.04.1960 12:00:00;  1,85
15.05.1960 12:00:00;  1,25
29.06.1960 12:00:00;  1,25
06.07.1960 12:00:00;  1,00
01.08.1960 12:00:00;  1,52
19.09.1960 12:00:00;  1,65
05.10.1960 12:00:00;  2,58
14.11.1960 12:00:00;  1,38
31.12.1960 12:00:00; 0,780
26.01.1961 12:00:00; 0,420
08.02.1961 12:00:00;  1,92
22.03.1961 12:00:00;  1,65
30.04.1961 12:00:00;  1,38
21.05.1961 12:00:00;  1,00
30.06.1961 12:00:00; 0,890
29.07.1961 12:00:00; 0,780
31.08.1961 12:00:00; 0,230
26.09.1961 12:00:00; 0,140
02.10.1961 12:00:00; 0,350
01.11.1961 12:00:00; 0,630
09.12.1961 12:00:00; 0,630
05.01.1962 12:00:00; 0,630
04.02.1962 12:00:00;  1,32
01.03.1962 12:00:00;  1,92
28.04.1962 12:00:00;  1,72
08.05.1962 12:00:00;  2,08
30.06.1962 12:00:00;  1,25
17.07.1962 12:00:00; 0,830
13.08.1962 12:00:00; 0,280
16.09.1962 12:00:00; 0,350
13.10.1962 12:00:00; 0,890
10.11.1962 12:00:00; 0,890
31.12.1962 12:00:00; 0,890
29.01.1963 12:00:00; 0,310
05.02.1963 12:00:00; 0,310
02.03.1963 12:00:00; 0,310
30.04.1963 12:00:00;  1,85
24.05.1963 12:00:00;  1,59
14.06.1963 12:00:00;  1,13
31.07.1963 12:00:00; 0,670
12.08.1963 12:00:00; 0,540
25.09.1963 12:00:00; 0,580
31.10.1963 12:00:00; 0,940
05.11.1963 12:00:00; 0,940
31.12.1963 12:00:00; 0,450
31.01.1964 12:00:00; 0,280
06.02.1964 12:00:00; 0,280
16.03.1964 12:00:00; 0,670
20.04.1964 12:00:00;  1,45
29.05.1964 12:00:00; 0,540
04.06.1964 12:00:00; 0,580
31.07.1964 12:00:00; 0,420
01.08.1964 12:00:00; 0,450
28.09.1964 12:00:00; 0,670
02.10.1964 12:00:00; 0,670
30.11.1964 12:00:00;  1,65
30.12.1964 12:00:00; 0,940
02.01.1965 12:00:00; 0,890
26.02.1965 12:00:00; 0,830
14.03.1965 12:00:00; 0,720
18.04.1965 12:00:00;  5,93
19.05.1965 12:00:00;  4,58
30.06.1965 12:00:00;  3,40
01.07.1965 12:00:00;  3,59
08.08.1965 12:00:00;  1,25
16.09.1965 12:00:00; 0,580
31.10.1965 12:00:00; 0,450
10.11.1965 12:00:00; 0,450
05.12.1965 12:00:00; 0,830
03.01.1966 12:00:00; 0,940
25.02.1966 12:00:00;  2,66
31.03.1966 12:00:00;  1,00
05.04.1966 12:00:00; 0,890
18.05.1966 12:00:00;  1,45
12.06.1966 12:00:00;  1,52
05.07.1966 12:00:00;  4,46
03.08.1966 12:00:00;  5,18
30.09.1966 12:00:00;  1,92
30.10.1966 12:00:00;  1,00
08.11.1966 12:00:00; 0,830
19.12.1966 12:00:00;  1,52
21.01.1967 12:00:00;  3,30
16.02.1967 12:00:00;  2,41
14.03.1967 12:00:00;  2,00
17.04.1967 12:00:00;  1,45
24.05.1967 12:00:00;  1,65
30.06.1967 12:00:00;  1,65
31.07.1967 12:00:00; 0,670
31.08.1967 12:00:00; 0,670
06.09.1967 12:00:00; 0,670
26.10.1967 12:00:00; 0,830
22.11.1967 12:00:00; 0,670
11.12.1967 12:00:00; 0,780
13.01.1968 12:00:00;  1,00
09.02.1968 12:00:00;  1,85
29.03.1968 12:00:00;  2,08
27.04.1968 12:00:00; 0,580
01.05.1968 12:00:00;  1,19
30.06.1968 12:00:00; 0,630
14.07.1968 12:00:00; 0,490
01.08.1968 12:00:00;  1,19
26.09.1968 12:00:00;  2,00
02.10.1968 12:00:00;  1,92
30.11.1968 12:00:00;  1,32
30.12.1968 12:00:00; 0,940
20.01.1969 12:00:00; 0,830
08.02.1969 12:00:00;  1,32
03.03.1969 12:00:00;  1,19
30.04.1969 12:00:00;  1,32
26.05.1969 12:00:00; 0,670
15.06.1969 12:00:00; 0,670
31.07.1969 12:00:00; 0,350
07.08.1969 12:00:00; 0,350
30.09.1969 12:00:00; 0,670
30.10.1969 12:00:00; 0,450
02.11.1969 12:00:00; 0,490
31.12.1969 12:00:00; 0,670
11.01.1970 12:00:00; 0,670
01.02.1970 12:00:00; 0,780
09.03.1970 12:00:00;  1,72
30.04.1970 12:00:00;  1,79
26.05.1970 12:00:00; 0,940
30.06.1970 12:00:00; 0,580
24.07.1970 12:00:00; 0,350
03.08.1970 12:00:00; 0,720
14.09.1970 12:00:00; 0,780
05.10.1970 12:00:00; 0,780
17.11.1970 12:00:00; 0,940
31.12.1970 12:00:00;  1,19
21.01.1971 12:00:00; 0,890
28.02.1971 12:00:00;  1,13
03.03.1971 12:00:00;  1,13
02.04.1971 12:00:00;  2,08
23.05.1971 12:00:00; 0,630
02.06.1971 12:00:00;  1,59
30.07.1971 12:00:00; 0,180
16.08.1971 12:00:00; 0,100
12.09.1971 12:00:00; 0,090
03.10.1971 12:00:00; 0,140
02.11.1971 12:00:00; 0,120
03.12.1971 12:00:00; 0,280
29.01.1972 12:00:00; 0,630
18.02.1972 12:00:00; 0,630
07.03.1972 12:00:00; 0,720
10.04.1972 12:00:00; 0,830
10.05.1972 12:00:00; 0,490
30.06.1972 12:00:00; 0,310
10.07.1972 12:00:00; 0,100
31.08.1972 12:00:00; 0,160
22.09.1972 12:00:00; 0,140
13.10.1972 12:00:00; 0,350
11.11.1972 12:00:00; 0,160
24.12.1972 12:00:00; 0,100
29.01.1973 12:00:00; 0,140
12.02.1973 12:00:00; 0,490
03.03.1973 12:00:00; 0,720
10.04.1973 12:00:00; 0,670
14.05.1973 12:00:00; 0,540
21.06.1973 12:00:00; 0,450
17.07.1973 12:00:00; 0,230
30.08.1973 12:00:00; 0,070
03.09.1973 12:00:00; 0,100
22.10.1973 12:00:00; 0,120
05.11.1973 12:00:00; 0,120
05.12.1973 12:00:00; 0,350
12.01.1974 12:00:00; 0,350
27.02.1974 12:00:00; 0,830
25.03.1974 12:00:00; 0,210
12.04.1974 12:00:00; 0,100
05.05.1974 12:00:00; 0,140
10.06.1974 12:00:00; 0,780
05.07.1974 12:00:00; 0,630
26.08.1974 12:00:00; 0,540
18.09.1974 12:00:00; 0,160
03.10.1974 12:00:00; 0,420
13.11.1974 12:00:00; 0,310
05.12.1974 12:00:00;  2,41
23.01.1975 12:00:00; 0,670
28.02.1975 12:00:00; 0,720
07.03.1975 12:00:00; 0,280
30.04.1975 12:00:00; 0,420
22.05.1975 12:00:00; 0,150
05.06.1975 12:00:00; 0,180
31.07.1975 12:00:00; 0,450
23.08.1975 12:00:00; 0,260
26.09.1975 12:00:00; 0,140
30.10.1975 12:00:00; 0,210
09.11.1975 12:00:00; 0,210
18.12.1975 12:00:00; 0,630
01.01.1976 12:15:00; 0,883
24.02.1976 15:30:00;  1,23
17.03.1976 13:30:00; 0,215
15.04.1976 14:30:00; 0,543
21.05.1976 10:30:00; 0,188
27.06.1976 19:30:00; 0,158
09.07.1976 18:45:00; 0,118
27.08.1976 10:45:00; 0,226
13.09.1976 19:30:00; 0,264
28.10.1976 13:15:00; 0,343
10.11.1976 11:00:00; 0,934
24.12.1976 14:15:00;  1,82
26.01.1977 07:15:00; 0,908
05.02.1977 13:00:00;  2,17
26.03.1977 20:00:00;  2,05
27.04.1977 10:45:00; 0,656
31.05.1977 08:45:00; 0,193
28.06.1977 15:15:00; 0,103
01.07.1977 16:45:00; 0,131
08.08.1977 09:15:00; 0,147
12.09.1977 10:15:00; 0,418
30.10.1977 16:30:00; 0,379
13.11.1977 15:30:00; 0,407
12.12.1977 20:00:00; 0,442
24.01.1978 18:30:00; 0,625
04.02.1978 09:00:00; 0,719
22.03.1978 08:00:00; 0,755
12.04.1978 14:00:00; 0,877
20.05.1978 08:45:00; 0,124
16.06.1978 12:15:00; 0,115
24.07.1978 10:00:00; 0,249
29.08.1978 17:45:00; 0,126
06.09.1978 12:15:00; 0,127
03.10.1978 12:45:00; 0,199
16.11.1978 14:00:00; 0,161
01.12.1978 13:00:00; 0,183
02.01.1979 15:00:00; 0,312
21.02.1979 15:00:00; 0,276
01.03.1979 22:00:00; 0,621
23.04.1979 09:45:00;  2,40
31.05.1979 10:30:00; 0,209
05.06.1979 13:15:55; 0,159
23.07.1979 19:00:00; 0,180
20.08.1979 14:45:00; 0,159
17.09.1979 14:15:00; 0,170
22.10.1979 11:30:00; 0,215
05.11.1979 15:45:00; 0,202
27.12.1979 10:30:00;  1,98
28.01.1980 22:15:00; 0,842
29.02.1980 14:30:00;  1,79
07.03.1980 22:15:00;  1,30
22.04.1980 12:30:00;  3,36
28.05.1980 12:00:00; 0,287
20.06.1980 22:15:00; 0,704
09.07.1980 14:15:00; 0,923
28.08.1980 11:45:00; 0,308
10.09.1980 10:30:00; 0,411
01.10.1980 13:00:00; 0,117
04.11.1980 09:45:00; 0,262
01.12.1980 06:00:00; 0,517
02.01.1981 07:15:00;  1,57
26.02.1981 11:30:00; 0,994
03.03.1981 22:30:00; 0,818
27.04.1981 04:00:00; 0,392
19.05.1981 14:30:00; 0,259
10.06.1981 06:15:00; 0,116
02.07.1981 12:30:00; 0,132
27.08.1981 13:30:00; 0,124
08.09.1981 14:33:20; 0,095
10.10.1981 08:45:00;  1,08
11.11.1981 11:30:00;  1,94
04.12.1981 11:15:00;  2,16
30.01.1982 02:45:00;  1,65
19.02.1982 13:00:00; 0,285
01.03.1982 04:30:00;  1,59
21.04.1982 08:45:00; 0,546
28.05.1982 09:15:00; 0,168
07.06.1982 12:45:00; 0,123
09.07.1982 12:30:00; 0,099
27.08.1982 13:00:00; 0,121
06.09.1982 14:15:00; 0,112
25.10.1982 13:45:00; 0,103
29.11.1982 12:30:00; 0,085
06.12.1982 12:45:00; 0,098
03.01.1983 13:15:00; 0,177
15.02.1983 16:15:00; 0,211
30.03.1983 09:45:00;  1,19
22.04.1983 10:30:00;  1,62
20.05.1983 13:45:00; 0,240
09.06.1983 11:00:00; 0,106
27.07.1983 05:45:00; 0,287
03.08.1983 11:15:00; 0,132
14.09.1983 13:30:00; 0,108
24.10.1983 16:45:00; 0,098
07.11.1983 12:45:00; 0,104
07.12.1983 18:15:00; 0,017
13.01.1984 16:15:00; 0,099
13.02.1984 12:45:00; 0,123
05.03.1984 15:00:00; 0,180
30.04.1984 14:00:00;  1,14
28.05.1984 14:15:00; 0,240
18.06.1984 12:00:00; 0,104
11.07.1984 16:00:00; 0,088
31.08.1984 17:15:00; 0,102
03.09.1984 17:45:00; 0,103
24.10.1984 17:00:00; 0,136
16.11.1984 18:00:00; 0,113
19.12.1984 20:45:00; 0,151
23.01.1985 03:30:00; 0,080
01.02.1985 00:00:00; 0,453
21.03.1985 15:45:00;  1,01
29.04.1985 13:30:00;  1,43
13.05.1985 17:45:00; 0,202
19.06.1985 08:00:00;  1,41
29.07.1985 09:00:00; 0,481
17.08.1985 08:15:00; 0,481
03.09.1985 13:30:00;  1,08
24.10.1985 11:01:25; 0,123
04.11.1985 18:15:00; 0,135
02.12.1985 15:15:00; 0,377
13.01.1986 09:15:00; 0,291
21.02.1986 14:00:00;  1,14
21.03.1986 14:00:00;  2,00
29.04.1986 14:15:00; 0,296
14.05.1986 15:00:00; 0,130
11.06.1986 13:30:00; 0,517
02.07.1986 10:30:00; 0,196
21.08.1986 16:00:00; 0,091
05.09.1986 16:30:00; 0,133
20.10.1986 14:30:00; 0,126
14.11.1986 15:00:00; 0,063
10.12.1986 13:30:00; 0,095
07.01.1987 15:00:00;  1,70
01.02.1987 00:00:00;  3,36
20.03.1987 11:15:00;  2,33
28.04.1987 14:15:00; 0,543
11.05.1987 13:15:00;  1,11
16.06.1987 09:00:00;  1,49
24.07.1987 05:30:00;  1,55
25.08.1987 13:45:00; 0,223
01.09.1987 14:15:00; 0,175
30.10.1987 10:30:00; 0,191
16.11.1987 17:00:00; 0,148
09.12.1987 16:45:00; 0,148
22.01.1988 14:00:00; 0,696
18.02.1988 14:30:00; 0,893
11.03.1988 14:15:00; 0,787
30.04.1988 12:30:00; 0,389
31.05.1988 16:00:00; 0,123
01.06.1988 09:30:00; 0,138
07.07.1988 15:30:00; 0,191
24.08.1988 18:00:00; 0,116
02.09.1988 08:15:00; 0,239
10.10.1988 14:45:00; 0,421
14.11.1988 12:15:00; 0,159
01.12.1988 12:30:00; 0,543
05.01.1989 15:15:00; 0,500
10.02.1989 14:45:00; 0,280
14.03.1989 16:00:00; 0,207
24.04.1989 10:15:00; 0,175
24.05.1989 11:00:00; 0,351
16.06.1989 11:30:00; 0,223
10.07.1989 12:00:00; 0,260
21.08.1989 12:15:00; 0,260
01.09.1989 12:00:00; 0,223
30.10.1989 13:15:00; 0,191
27.11.1989 18:00:00; 0,159
12.12.1989 10:45:00; 0,207
05.01.1990 15:00:00; 0,219
13.02.1990 15:45:00; 0,138
23.03.1990 12:15:00; 0,207
19.04.1990 11:45:00; 0,207
31.05.1990 13:45:00; 0,159
06.06.1990 11:00:00; 0,138
27.07.1990 03:30:00; 0,127
14.08.1990 18:35:00; 0,095
04.09.1990 19:00:00; 0,116
31.10.1990 16:45:00; 0,127
12.11.1990 13:15:00; 0,116
14.12.1990 12:00:00; 0,175
28.01.1991 15:45:00; 0,159
17.02.1991 00:01:00; 0,586
06.03.1991 16:00:00; 0,138
17.04.1991 14:15:00; 0,239
02.05.1991 12:00:00; 0,239
27.06.1991 14:15:00; 0,191
08.07.1991 13:30:00; 0,138
30.08.1991 13:30:00; 0,207
02.09.1991 15:15:00; 0,148
22.10.1991 16:45:00; 0,159
04.11.1991 17:45:00; 0,127
04.12.1991 13:00:00; 0,207
31.01.1992 14:00:00;  1,36
05.02.1992 14:00:00; 0,929
11.03.1992 14:00:00;  2,09
23.04.1992 13:45:00; 0,315
18.05.1992 16:15:00; 0,159
03.06.1992 05:00:00; 0,175
31.07.1992 21:30:00; 0,148
20.08.1992 23:15:00; 0,138
01.09.1992 00:00:00; 0,149
13.10.1992 09:15:00; 0,159
06.11.1992 15:15:00; 0,239
11.12.1992 14:00:00;  1,29
06.01.1993 00:00:00; 0,724
16.02.1993 14:45:00; 0,207
01.03.1993 15:15:00; 0,239
30.04.1993 09:45:00; 0,877
07.05.1993 13:30:00; 0,207
24.06.1993 14:15:00; 0,138
12.07.1993 13:15:00; 0,159
26.08.1993 16:30:00; 0,138
10.09.1993 13:15:00; 0,223
20.10.1993 14:30:00; 0,386
30.11.1993 14:00:00; 0,724
02.12.1993 12:15:00; 0,877
22.01.1994 09:00:00;  1,17
22.02.1994 14:00:00; 0,488
01.03.1994 14:45:00; 0,893
10.04.1994 10:00:00;  1,17
02.05.1994 13:30:00; 0,389
28.06.1994 19:45:00; 0,198
30.07.1994 18:15:00; 0,104
16.08.1994 12:30:00; 0,057
01.09.1994 07:00:00; 0,053
04.10.1994 18:30:00; 0,262
25.11.1994 10:45:00; 0,153
08.12.1994 07:45:00; 0,138
17.01.1995 15:30:00; 0,283
14.02.1995 19:30:00; 0,840
08.03.1995 12:45:00; 0,787
07.04.1995 15:15:00; 0,332
08.05.1995 12:00:00; 0,696
30.06.1995 14:00:00; 0,262
27.07.1995 13:00:00; 0,153
17.08.1995 14:45:00; 0,104
01.09.1995 00:00:00; 0,826
16.10.1995 14:15:00; 0,787
01.11.1995 00:00:00;  1,00
16.12.1995 14:00:00;  1,30
23.01.1996 13:45:00;  1,43
23.02.1996 14:30:00; 0,277
12.03.1996 14:45:00; 0,339
04.04.1996 13:30:00;  2,82
09.05.1996 04:00:00;  3,64
21.06.1996 13:45:00; 0,750
08.07.1996 05:00:00; 0,584
21.08.1996 14:15:00; 0,140
05.09.1996 15:30:00; 0,140
