Messstelle:                ;Schwarzenau (Süd)
HZB-Nummer:                ;208611
HD-Nummer:                 ;no605
DBMS-Nummer:               ;3001088
Gewässer:                  ;Deutsche Thaya
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;175,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00490,57
   01.01.1978              ;00491,27
   01.01.1981              ;00491,22
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1900              ;670998,00 - 400925,00
Exportzeitreihe:           ;(3001088,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
12.01.1976 03:00:00;   337
27.02.1976 03:00:00;   158
02.03.1976 03:00:00;   133
27.04.1976 21:00:00;   134
23.05.1976 17:00:00;   133
04.06.1976 21:00:00;   137
28.07.1976 05:00:00;   192
22.08.1976 07:00:00;   144
20.09.1976 02:00:00;   135
18.10.1976 07:00:00;   162
15.11.1976 17:00:00;   324
03.12.1976 11:00:00;   186
27.01.1977 07:00:00;   201
08.02.1977 19:00:00;   359
04.03.1977 10:00:00;   377
14.04.1977 07:00:00;   241
01.05.1977 00:00:00;   143
12.06.1977 03:00:00;   122
31.07.1977 23:59:55;   119
20.08.1977 00:00:00;   144
02.09.1977 09:00:00;   151
11.10.1977 13:00:00;   167
04.11.1977 21:00:00;   135
25.12.1977 21:00:00;   174
06.01.1978 13:00:00;    50
28.02.1978 05:00:00;   103
01.03.1978 05:00:00;    99
16.04.1978 03:00:00;    47
31.05.1978 11:00:00;    32
18.06.1978 18:00:00;   143
02.07.1978 05:00:00;    94
17.08.1978 17:00:00;    36
30.09.1978 02:00:00;    30
25.10.1978 05:00:00;    32
04.11.1978 08:00:00;    25
11.12.1978 04:00:00;    69
02.01.1979 19:00:00;    50
15.02.1979 22:00:00;    98
12.03.1979 20:00:00;   211
03.04.1979 01:00:00;   193
03.05.1979 04:00:00;    93
19.06.1979 17:00:00;    98
30.07.1979 19:00:00;    40
05.08.1979 06:00:00;   115
25.09.1979 05:00:00;   101
01.10.1979 00:00:00;    39
28.11.1979 02:00:00;   148
18.12.1979 07:00:00;    88
31.01.1980 23:59:55;    51
06.02.1980 05:00:00;   113
28.03.1980 14:00:00;    74
29.04.1980 00:00:00;   215
01.05.1980 02:00:00;   121
11.06.1980 01:00:00;    50
22.07.1980 22:00:00;    74
13.08.1980 13:00:00;    41
12.09.1980 04:00:00;    32
13.10.1980 17:00:00;    79
11.11.1980 12:00:00;    35
