Messstelle:                ;Urschendorf (Schlosspark)
HZB-Nummer:                ;215558
HD-Nummer:                 ;no769
DBMS-Nummer:               ;3003191
Gewässer:                  ;Johannesbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;27,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   12.12.2016              ;00342,41
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   12.12.2016              ;732344,00 - 293807,00
Exportzeitreihe:           ;(3003191,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[12.12.2016 10:39:40,01.01.2022 00:00]
Werte:
28.12.2016 13:28:25;    74
06.01.2017 00:22:50;    64
06.02.2017 08:54:00;    77
19.03.2017 08:16:55;    83
22.04.2017 23:19:35;    74
21.05.2017 06:25:15;    82
25.06.2017 15:08:40;    80
22.07.2017 16:22:20;    82
10.08.2017 20:36:40;    74
01.09.2017 16:49:00;    71
23.10.2017 14:59:00;    81
12.11.2017 10:38:50;    66
05.12.2017 19:02:50;    64
19.01.2018 10:52:30;    67
01.02.2018 00:00:00;    63
31.03.2018 23:59:55;    77
01.04.2018 00:43:00;    80
12.05.2018 11:30:05;    83
01.06.2018 12:06:55;   107
23.07.2018 10:06:15;    78
24.08.2018 12:44:30;    82
01.09.2018 06:37:40;    87
24.10.2018 16:40:40;    74
26.11.2018 13:20:00;    76
24.12.2018 10:00:00;    96
14.01.2019 06:05:00;    75
15.02.2019 13:55:00;    79
02.03.2019 18:05:00;    67
30.04.2019 20:00:00;    82
11.05.2019 20:55:00;    88
23.06.2019 13:00:00;    74
28.07.2019 22:20:00;    76
13.08.2019 00:00:00;    98
09.09.2019 01:15:00;    86
02.10.2019 19:50:00;    63
13.11.2019 15:15:00;    73
23.12.2019 12:30:00;    73
05.01.2020 03:45:00;    64
24.02.2020 08:30:00;    76
06.03.2020 10:35:00;    71
27.04.2020 15:00:00;    69
23.05.2020 22:00:00;    74
27.06.2020 13:15:00;    76
02.07.2020 18:50:00;   102
14.08.2020 18:20:00;    82
23.09.2020 16:20:00;    84
12.10.2020 00:50:00;    79
02.11.2020 18:15:00;    64
10.12.2020 01:55:00;    64
29.01.2021 04:30:00;    81
09.02.2021 14:35:00;    72
17.03.2021 18:40:00;    64
22.04.2021 14:30:00;    68
12.05.2021 09:40:00;    69
06.06.2021 07:00:00;    71
31.07.2021 23:05:25;    96
01.08.2021 00:12:35;    97
17.09.2021 01:50:00;    73
07.10.2021 08:50:00;    71
02.11.2021 05:20:00;    70
29.12.2021 17:50:00;    66
