Messstelle:                ;Hohenau a. d. March (Fluss-km 66,92)
HZB-Nummer:                ;207308
HD-Nummer:                 ;
DBMS-Nummer:               ;10001012
Gewässer:                  ;March
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;24137,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1889              ;00148,00
   01.11.1939              ;00147,00
   01.01.2001              ;00146,82
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1889              ;794325,00 - 384880,00
   01.01.2010              ;794317,00 - 384940,00
Exportzeitreihe:           ;(10001012,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1965 00:00,01.01.2022 00:00]
Werte:
12.01.1965 12:00:00;   250
04.02.1965 12:00:00;   326
25.03.1965 12:00:00;   473
01.04.1965 12:00:00;   463
03.05.1965 12:00:00;   447
15.06.1965 12:00:00;   507
25.07.1965 12:00:00;   404
03.08.1965 12:00:00;   327
01.09.1965 12:00:00;   203
02.10.1965 12:00:00;   212
24.11.1965 12:00:00;   204
25.12.1965 12:00:00;   369
06.01.1966 12:00:00;   288
12.02.1966 12:00:00;   464
01.03.1966 12:00:00;   403
26.04.1966 12:00:00;   313
01.05.1966 12:00:00;   263
30.06.1966 12:00:00;   318
30.07.1966 12:00:00;   457
01.08.1966 12:00:00;   461
01.09.1966 12:00:00;   380
01.10.1966 12:00:00;   216
29.11.1966 12:00:00;   297
25.12.1966 12:00:00;   400
01.01.1967 12:00:00;   355
07.02.1967 12:00:00;   466
13.03.1967 12:00:00;   450
14.04.1967 12:00:00;   414
07.05.1967 12:00:00;   289
13.06.1967 12:00:00;   295
11.07.1967 12:00:00;   222
07.08.1967 12:00:00;   236
17.09.1967 12:00:00;   277
07.10.1967 12:00:00;   177
09.11.1967 12:00:00;   231
30.12.1967 12:00:00;   371
25.01.1968 12:00:00;   367
13.02.1968 12:00:00;   404
31.03.1968 12:00:00;   399
01.04.1968 12:00:00;   399
03.05.1968 12:00:00;   216
15.06.1968 12:00:00;   342
31.07.1968 12:00:00;   241
29.08.1968 12:00:00;   259
01.09.1968 12:00:00;   217
18.10.1968 12:00:00;   229
20.11.1968 12:00:00;   273
01.12.1968 12:00:00;   216
