Messstelle:                ;Wien (Kagraner Brücke)
HZB-Nummer:                ;207217
HD-Nummer:                 ;
DBMS-Nummer:               ;10001031
Gewässer:                  ;Alte Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;0
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1911              ;00155,71
   01.11.1939              ;00154,71
   01.01.1951              ;00154,69
   01.01.1976              ;00154,68
   04.03.2019              ;00154,62
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1897              ;756805,00 - 344450,00
   01.01.2007              ;757063,00 - 344417,00
Exportzeitreihe:           ;(10001031,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.06.2005 00:00,01.01.2022 00:00]
Werte:
16.06.2005 12:45:00;   207
28.07.2005 13:15:00;   217
23.08.2005 15:00:00;   224
01.09.2005 00:00:00;   221
01.10.2005 00:00:00;   211
01.11.2005 00:15:00;   199
30.12.2005 11:00:00;   205
21.01.2006 13:30:00;   211
07.02.2006 19:00:00;   210
05.03.2006 15:45:00;   212
01.04.2006 09:45:00;   211
30.05.2006 17:15:00;   214
30.06.2006 02:00:00;   219
10.07.2006 14:00:00;   222
25.08.2006 08:15:00;   227
08.09.2006 06:15:00;   227
04.10.2006 05:30:00;   219
05.11.2006 11:15:00;   203
29.12.2006 00:30:00;   200
28.01.2007 21:45:00;   209
01.02.2007 00:45:00;   207
01.03.2007 00:00:00; Lücke
01.04.2007 00:00:00; Lücke
01.05.2007 00:00:00; Lücke
01.06.2007 00:00:00; Lücke
01.07.2007 00:00:00; Lücke
01.08.2007 00:00:00; Lücke
01.09.2007 00:00:00; Lücke
10.10.2007 12:00:00;   220
05.11.2007 07:00:00;   219
12.12.2007 21:30:00;   216
01.01.2008 00:00:00;   215
01.02.2008 01:30:00;   214
03.03.2008 00:30:00;   210
12.04.2008 03:30:00;   196
28.05.2008 22:00:00;   195
30.06.2008 14:00:00;   212
31.07.2008 18:00:00;   222
01.08.2008 04:00:00;   222
01.09.2008 06:00:00;   212
16.10.2008 19:00:00;   209
22.11.2008 10:00:00;   206
21.12.2008 06:00:00;   206
30.01.2009 03:00:00;   208
10.02.2009 18:00:00;   210
07.03.2009 14:00:00;   213
01.04.2009 00:00:00;   200
30.05.2009 15:00:00;   196
29.06.2009 10:00:00;   224
25.07.2009 02:00:00;   231
11.08.2009 14:00:00;   233
09.09.2009 08:00:00;   238
29.10.2009 16:00:00;   221
11.11.2009 06:00:00;   225
01.12.2009 04:00:00;   217
18.01.2010 07:00:00;   221
01.02.2010 01:00:00;   219
01.03.2010 00:00:00;   217
01.04.2010 00:00:00;   208
30.05.2010 18:00:00;   205
18.06.2010 18:00:00;   222
30.07.2010 16:00:00;   226
15.08.2010 06:00:00;   234
01.09.2010 02:00:00;   233
01.10.2010 00:00:00;   228
01.11.2010 00:00:00;   217
31.12.2010 22:00:00;   217
19.01.2011 03:00:00;   222
01.02.2011 00:00:00;   222
19.03.2011 14:30:00;   218
04.04.2011 13:15:00;   218
03.05.2011 11:15:00;   200
30.06.2011 15:45:00;   213
31.07.2011 08:15:00;   222
09.08.2011 08:00:00;   226
01.09.2011 18:15:00;   220
13.10.2011 03:00:00;   218
01.11.2011 00:00:00;   215
01.12.2011 00:00:00;   212
24.01.2012 14:00:00;   213
01.02.2012 00:00:00;   211
01.03.2012 00:00:00;   206
01.04.2012 01:00:00;   192
22.05.2012 23:00:00;   191
25.06.2012 15:00:00;   199
27.07.2012 05:00:00;   214
01.08.2012 03:00:00;   214
01.09.2012 06:00:00;   209
01.10.2012 00:00:00;   206
01.11.2012 00:00:00;   199
28.12.2012 01:00:00;   197
